the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E610000096795DB2B6E654C085F632DD2DB94140,85493,0101000020110F00007233F5DF5CC061C128723B9EBC1D5041,85039,>1m <=5m,ATBI DATABASE,,1446871298000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,263571,3925701,35.446705,-83.604897,Lower Fontana Lake-Little Tennessee River,,1943.925537,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446871298000,GRSM,UNR,,3,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Acer_negundo,Acer  negundo,330,Box-elder,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1082937600000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Sapindales, , , , ,Aceraceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000593D3AEA92CB54C004E7D7D9C7DE4140,85499,0101000020110F00003ED41F1F50A961C1E33F036002455041,85045,>1m <=5m,ATBI DATABASE,,1446871302000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,302789,3957356,35.740467,-83.180838,Cosby Creek,Cosby Creek,4389.87793,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446871302000,GRSM,UNR,,6,,,Appalachian Trail,Cosby Campground Road B,Valid,Acer_negundo,Acer  negundo,330,Box-elder,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,865296000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Sapindales, , , , ,Aceraceae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E6100000E1BA7BE378D954C03A7604FBA5DE4140,85498,0101000020110F000008A0E3E81DB561C199C543EFDE445041,85044,>1m <=5m,ATBI DATABASE,,1446871301000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,283145,3957700,35.739433,-83.397999,Little Pigeon River Middle,Copeland Creek,1572.277588,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446871301000,GRSM,UNR,,7,,,Old Settlers Trail,Greenbrier Road,Valid,Acer_negundo,Acer  negundo,330,Box-elder,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1014422400000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Sapindales, , , , ,Aceraceae, ,~,observed, , ,cert,Keith Tree Survey
0101000020E610000096E8F7C0D8E154C09E0C04C4CED84140,85495,0101000020110F0000547DF1B13ABC61C1BA0EA2DEC23E5041,85041,>1m <=5m,ATBI DATABASE,,1446871299000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,271179,3952935,35.693803,-83.528851,West Prong Little Pigeon River Upper,West Prong Little Pigeon River,1622.595459,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446871299000,GRSM,UNR,,6,,,Gatlinburg Trail,Newfound Gap Road North,Valid,Acer_negundo,Acer  negundo,330,Box-elder,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1012608000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Sapindales, , , , ,Aceraceae, ,~,observed, , ,cert,Keith Tree Survey
0101000020E6100000815577BDD8E954C01D214A4EC2D64140,85492,0101000020110F0000D199EE0C06C361C1BA48D7789E3C5041,85038,>1m <=5m,ATBI DATABASE,,1446871298000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,259818,3951458,35.677798,-83.65385,Little River-Goshen Prong,Pounding Mill Branch,1847.385498,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446871298000,GRSM,UNR,,8,,,Metcalf Bottoms Trail,Little River Gorge Road,Valid,Acer_negundo,Acer  negundo,330,Box-elder,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1011484800000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Sapindales, , , , ,Aceraceae, ,~,observed, , ,cert,Keith Tree Survey
0101000020E6100000E5ACED5812E254C01746D7E511D74140,85494,0101000020110F00008D42FE9B6BBC61C1471293B0F13C5041,85040,>1m <=5m,ATBI DATABASE,,1446871299000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,270822,3951437,35.680227,-83.532366,West Prong Little Pigeon River Upper,,1543.527588,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446871299000,GRSM,UNR,,7,,,Sugarland Valley Accessible Trail,Newfound Gap Road North,Valid,Acer_negundo,Acer  negundo,330,Box-elder,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1012608000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Sapindales, , , , ,Aceraceae, ,~,observed, , ,cert,Keith Tree Survey
0101000020E61000007C01A71E99E154C0C251F2EA5CD64140,85496,0101000020110F0000DFA292A604BC61C11F161378343C5041,85042,>1m <=5m,ATBI DATABASE,,1446871300000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,271476,3950807,35.674704,-83.524967,West Prong Little Pigeon River Upper,Bullhead Branch,1590.670776,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446871300000,GRSM,UNR,,6,,,Old Sugarlands Trail,Newfound Gap Road North,Valid,Acer_negundo,Acer  negundo,330,Box-elder,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,831945600000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Sapindales, , , , ,Aceraceae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E610000012F3C3406BE154C0B3DDB1960AD54140,85497,0101000020110F0000643D2FB2DDBB61C18FD00EC5D23A5041,85043,>1m <=5m,ATBI DATABASE,,1446871301000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,271700,3949655,35.664379,-83.522167,West Prong Little Pigeon River Upper,West Prong Little Pigeon River,1762.44458,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446871301000,GRSM,UNR,,10,,,Riverview Quiet Walkway,Newfound Gap Road North,Valid,Acer_negundo,Acer  negundo,330,Box-elder,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,833068800000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Sapindales, , , , ,Aceraceae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E610000025D093D70FF654C0F993D0147CCC4140,85485,0101000020110F0000179633E665CD61C18291A5DAE1315041,85029,>1m <=5m,ATBI DATABASE,,1446871293000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,242282,3943036,35.59753,-83.844713,Abrams Creek Upper,,1746.928955,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446871293000,GRSM,UNR,,5,,,Elijah Oliver Cabin Access Trail,Cades Cove Loop Road,Valid,Acer_negundo,Acer  negundo,330,Box-elder,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,864432000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Sapindales, , , , ,Aceraceae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E6100000128E249718F554C01CE1665195CC4140,85486,0101000020110F0000A20B85E893CC61C1DDB8AF36FC315041,85030,>1m <=5m,ATBI DATABASE,,1446871293000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,243652,3943082,35.5983,-83.829622,Abrams Creek Upper,Tater Branch,1733.190674,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446871293000,GRSM,UNR,,5,,,Cooper Road Trail,Hyatt Lane,Valid,Acer_negundo,Acer  negundo,330,Box-elder,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1044662400000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Sapindales, , , , ,Aceraceae, ,~,observed, , ,cert,Keith Tree Survey
