the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000003EB4273227F854C0947F0F5982BE4140,85595,0101000020110F00004BDB4C932CCF61C1266F797F4B235041,85141,>1m <=5m,ATBI DATABASE,,1446871352000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,238967,3931008,35.488346,-83.877388,Lake Cheoah-Little Tennessee River,Dalton Branch,2086.394775,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446871352000,GRSM,UNR,,6,,,Wolf Ridge Trail,Twenty Mile Trailhead Parking,Valid,Acer_pensylvanicum,Acer  pensylvanicum,333,Striped Maple,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,864172800000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Sapindales, , , , ,Aceraceae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E6100000B693F8444DF854C04B198C9FB3BE4140,85593,0101000020110F0000442746E94CCF61C11ADD5AE57E235041,85139,>1m <=5m,ATBI DATABASE,,1446871352000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,238761,3931181,35.48985,-83.879712,Lake Cheoah-Little Tennessee River,Dalton Branch,2134.833984,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446871352000,GRSM,UNR,,1,,,Wolf Ridge Trail,Twenty Mile Trailhead Parking,Valid,Acer_pensylvanicum,Acer  pensylvanicum,333,Striped Maple,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,864172800000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Sapindales, , , , ,Aceraceae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E61000001767AE01A1F754C06DA2B416EABC4140,85609,0101000020110F0000FABFBB9BBACE61C182486DB0A1215041,85154,>1m <=5m,ATBI DATABASE,,1446871359000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239670,3929604,35.475887,-83.869198,Lake Cheoah-Little Tennessee River,,1586.233887,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446871359000,GRSM,UNR,,9,,,Wolf Ridge Trail,Twenty Mile Trailhead Parking,Valid,Acer_pensylvanicum,Acer  pensylvanicum,333,Striped Maple,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1020384000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Sapindales, , , , ,Aceraceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000E624015B1FF754C0F44E983F45BC4140,85646,0101000020110F00003B94E17E4CCE61C156041EC8F5205041,85190,>1m <=5m,ATBI DATABASE,,1446871381000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,240372,3929025,35.470856,-83.861285,Lake Cheoah-Little Tennessee River,Twentymile Creek,1736.993652,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446871381000,GRSM,UNR,,4,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Acer_pensylvanicum,Acer  pensylvanicum,333,Striped Maple,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1020297600000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Sapindales, , , , ,Aceraceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000005ACC84C9CEF654C0DCAD8C1D7FBC4140,85658,0101000020110F00000950A61108CE61C1C32AE02032215041,85202,>1m <=5m,ATBI DATABASE,,1446871387000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,240824,3929208,35.472622,-83.856367,Lake Cheoah-Little Tennessee River,Twentymile Creek,1807.704224,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446871387000,GRSM,UNR,,2,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Acer_pensylvanicum,Acer  pensylvanicum,333,Striped Maple,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1020297600000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Sapindales, , , , ,Aceraceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000002BE76CB079F654C0AE74BF9699BC4140,85680,0101000020110F00003E2390CBBFCD61C148169ABC4D215041,85225,>1m <=5m,ATBI DATABASE,,1446871399000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,241298,3929284,35.47343,-83.851173,Lake Cheoah-Little Tennessee River,Twentymile Creek,1907.822266,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446871399000,GRSM,UNR,,6,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Acer_pensylvanicum,Acer  pensylvanicum,333,Striped Maple,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1020297600000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Sapindales, , , , ,Aceraceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000004ABADD0070F654C0EC484E56A7BC4140,85684,0101000020110F00001B2DAC91B7CD61C1E4D710135C215041,85228,>1m <=5m,ATBI DATABASE,,1446871401000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,241353,3929329,35.47385,-83.850582,Lake Cheoah-Little Tennessee River,Twentymile Creek,1931.089844,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446871401000,GRSM,UNR,,6,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Acer_pensylvanicum,Acer  pensylvanicum,333,Striped Maple,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1086998400000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Sapindales, , , , ,Aceraceae, ,~,observed, , ,cert,ATBI Ferns
0101000020E61000002EF182B3B4F654C0EDD8959198BC4140,85663,0101000020110F0000B61804EAF1CD61C1850F3EAC4C215041,85207,>1m <=5m,ATBI DATABASE,,1446871390000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,240971,3929290,35.473399,-83.854775,Lake Cheoah-Little Tennessee River,Twentymile Creek,1853.166748,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446871390000,GRSM,UNR,,2,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Acer_pensylvanicum,Acer  pensylvanicum,333,Striped Maple,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1086998400000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Sapindales, , , , ,Aceraceae, ,~,observed, , ,cert,ATBI Ferns
0101000020E61000000B569A6942F654C00422140008BD4140,85698,0101000020110F00003ED843D990CD61C11C9663E2C0215041,85242,>1m <=5m,ATBI DATABASE,,1446871408000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,241615,3929649,35.4768,-83.847799,Lake Cheoah-Little Tennessee River,,1996.108032,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446871408000,GRSM,UNR,,3,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Acer_pensylvanicum,Acer  pensylvanicum,333,Striped Maple,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1086998400000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Sapindales, , , , ,Aceraceae, ,~,observed, , ,cert,ATBI Ferns
0101000020E6100000593BF7A226F654C09C9581CB6FBD4140,85704,0101000020110F000032DC324279CD61C11219BD222D225041,85248,>1m <=5m,ATBI DATABASE,,1446871411000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,241779,3929996,35.479967,-83.846104,Lake Cheoah-Little Tennessee River,Twentymile Creek,2079.277832,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446871411000,GRSM,UNR,,3,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Acer_pensylvanicum,Acer  pensylvanicum,333,Striped Maple,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1020297600000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Sapindales, , , , ,Aceraceae, ,~,observed, , ,cert,INHS plant survey
