the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E610000026F8FAE8C1F754C0C66F502336BC4140,95202,0101000020110F0000A3DAA48DD6CE61C16B392106E6205041,94678,>1m <=5m,ATBI DATABASE,,1446876744000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239470,3929000,35.470395,-83.871206,Lake Cheoah-Little Tennessee River,Twentymile Creek,1430.253174,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446876744000,GRSM,UNR,,4,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Acroneuria_carolinensis,Acroneuria  carolinensis,688,Carolina Stone,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,930096000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Plecoptera, ,Systellognatha, , ,Perlidae,Acroneuriinae,Acroneuriini,by hand, , ,cert,Inventory & Monitoring
0101000020E6100000F62FCF9E19C754C0939D357AA0DF4140,95252,0101000020110F000045DD296C83A561C1281FC10DE5455041,94728,>1m <=5m,ATBI DATABASE,,1446876772000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,309127,3957951,35.747078,-83.110935,Big Creek,,1965.697266,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446876772000,GRSM,UNR,,7,,,Baxter Creek Trail,Big Creek Campground Loop Road,Valid,Acroneuria_carolinensis,Acroneuria  carolinensis,688,Carolina Stone,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,868924800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Plecoptera, ,Systellognatha, , ,Perlidae,Acroneuriinae,Acroneuriini,by hand, , ,cert,Inventory & Monitoring
0101000020E61000009E2350CFABC454C0B6F9326A21D54140,95258,0101000020110F0000DDF2915173A361C10E86A9A1EA3A5041,94734,>1m <=5m,ATBI DATABASE,,1446876775000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312367,3948781,35.665075,-83.072983,Lower Cataloochee Creek,Cataloochee Creek,2468.658691,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446876775000,GRSM,UNR,,4,,,Lawson Jenkins-Kerr Cemetery Access,Old Cataloochee Turnpike,Valid,Acroneuria_carolinensis,Acroneuria  carolinensis,688,Carolina Stone,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,867715200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Plecoptera, ,Systellognatha, , ,Perlidae,Acroneuriinae,Acroneuriini,by hand, , ,cert,Inventory & Monitoring
0101000020E610000099743DCC3CC754C04D6BD7B4EDCF4140,95251,0101000020110F0000288B7A4CA1A561C1894321DB7A355041,94727,>1m <=5m,ATBI DATABASE,,1446876772000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,308640,3944350,35.624435,-83.113082,Upper Cataloochee Creek,Rough Fork,2759.154297,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446876772000,GRSM,UNR,,3,,,Cataloochee Horse Trail,Cataloochee Entrance Road,Valid,Acroneuria_carolinensis,Acroneuria  carolinensis,688,Carolina Stone,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,631152000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Plecoptera, ,Systellognatha, , ,Perlidae,Acroneuriinae,Acroneuriini,by hand, , ,cert,Inventory & Monitoring
0101000020E6100000C1410EECA6CD54C05B5A9B33D3CF4140,95250,0101000020110F000003DE95F413AB61C1E122AF295F355041,94726,>1m <=5m,ATBI DATABASE,,1446876771000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,299560,3944460,35.623626,-83.213309,Straight Fork Raven Fork,Straight Fork Raven Fork,3167.345703,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446876771000,GRSM,UNR,,7,,,Beech Gap Trail,Balsam Mountain Road (closed Winter),Valid,Acroneuria_carolinensis,Acroneuria  carolinensis,688,Carolina Stone,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,777686400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Plecoptera, ,Systellognatha, , ,Perlidae,Acroneuriinae,Acroneuriini,by hand, , ,cert,Inventory & Monitoring
0101000020E6100000EDF6DF9EB5D554C0BA8B864532C94140,95247,0101000020110F00008BE54FCEEBB161C14D5B1BBC722E5041,94723,>1m <=5m,ATBI DATABASE,,1446876769000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,288020,3938979,35.57184,-83.339206,Upper Oconaluftee River,Oconaluftee River,2452.830322,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446876769000,GRSM,UNR,,3,,,Smokemont Loop Trail,Newfound Gap Road South,Valid,Acroneuria_carolinensis,Acroneuria  carolinensis,688,Carolina Stone,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,905385600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Plecoptera, ,Systellognatha, , ,Perlidae,Acroneuriinae,Acroneuriini,by hand, , ,cert,Inventory & Monitoring
0101000020E610000041D076F103D454C0B947CC72EDC94140,95248,0101000020110F0000D305CB7B7BB061C12408DD2E362F5041,94724,>1m <=5m,ATBI DATABASE,,1446876770000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,290434,3939556,35.577552,-83.312737,Bradley Fork,Chasteen Creek,2381.572266,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446876770000,GRSM,UNR,,6,,,Chasteen Creek Trail,Bradly Fork Trail Road,Valid,Acroneuria_carolinensis,Acroneuria  carolinensis,688,Carolina Stone,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,903571200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Plecoptera, ,Systellognatha, , ,Perlidae,Acroneuriinae,Acroneuriini,by hand, , ,cert,Inventory & Monitoring
0101000020E6100000E64CADD3D5D354C0DAE57C2D7FC84140,95249,0101000020110F00004362225154B061C17B745DBDB72D5041,94725,>1m <=5m,ATBI DATABASE,,1446876770000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,290660,3938310,35.566374,-83.309922,Bradley Fork,Bradley Fork,2279.615479,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446876770000,GRSM,UNR,,4,,,Bradley Fork Trail,Bradly Fork Trail Road,Valid,Acroneuria_carolinensis,Acroneuria  carolinensis,688,Carolina Stone,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,903571200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Plecoptera, ,Systellognatha, , ,Perlidae,Acroneuriinae,Acroneuriini,by hand, , ,cert,Inventory & Monitoring
0101000020E6100000B1C377E6CED754C09B39860261DF4140,95246,0101000020110F000017FB201EB4B361C1F46E9EA3A2455041,94722,>1m <=5m,ATBI DATABASE,,1446876769000,DERV,MOUNT GUYOT,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,285512,3958276,35.745141,-83.371999,Webb Creek,,1434.059204,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446876769000,GRSM,UNR,,4,,,Old Settlers Trail,Greenbrier Unpaved Road,Valid,Acroneuria_carolinensis,Acroneuria  carolinensis,688,Carolina Stone,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,839462400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Plecoptera, ,Systellognatha, , ,Perlidae,Acroneuriinae,Acroneuriini,by hand, , ,cert,Inventory & Monitoring
0101000020E610000030E16352B1E054C004E683A04ED94140,95245,0101000020110F00006994DEC83FBB61C12A216795483F5041,94721,>1m <=5m,ATBI DATABASE,,1446876768000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,272822,3953326,35.697705,-83.510819,Le Conte Creek,Le Conte Creek,1628.063721,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446876768000,GRSM,UNR,,6,,,Grassy Branch Trail,Cherokee Orchard Road,Valid,Acroneuria_carolinensis,Acroneuria  carolinensis,688,Carolina Stone,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-932515200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Plecoptera, ,Systellognatha, , ,Perlidae,Acroneuriinae,Acroneuriini,by hand, , ,cert,General
0101000020E61000008AC33434E7E854C0263B3ADEBFD54140,95229,0101000020110F0000F5C2ECE938C261C13E916947903B5041,94705,>1m <=5m,ATBI DATABASE,,1446876758000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,261129,3950547,35.669911,-83.639107,Little River-Goshen Prong,,1913.619873,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446876758000,GRSM,UNR,,10,,,Curry Mountain Trail,Little River Gorge Road,Valid,Acroneuria_carolinensis,Acroneuria  carolinensis,688,Carolina Stone,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,811468800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Plecoptera, ,Systellognatha, , ,Perlidae,Acroneuriinae,Acroneuriini,by hand, , ,cert,Inventory & Monitoring
0101000020E610000082959E445FE754C024FD34FDB8D44140,95235,0101000020110F00005D2CE10AECC061C18B1052787D3A5041,94711,>1m <=5m,ATBI DATABASE,,1446876761000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,263271,3949599,35.661889,-83.615186,Little River-Goshen Prong,Sugar Maple Branch,1974.435913,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446876761000,GRSM,UNR,,1,,,Curry Mountain Trail,Lr Pullout Parking @ Mp 1.184,Valid,Acroneuria_carolinensis,Acroneuria  carolinensis,688,Carolina Stone,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1179446400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Plecoptera, ,Systellognatha, , ,Perlidae,Acroneuriinae,Acroneuriini,at light,No, ,cert,EPT DNA Barcoding
