the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000B319C62EA8E754C049523CA870BF4140,98697,0101000020110F00009EE30CF829C161C1DE26F01444245041,98187,>1m <=5m,ATBI DATABASE,,1446878706000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,262377,3931163,35.495619,-83.619636,Forney Creek,Bear Creek,4634.84375,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446878706000,GRSM,UNR,,6,,,Cold Spring Gap Trail,Lakeview Drive East Parking #4,Valid,Ageratina_altissima_v_roanensis,Ageratina  altissima v. roanensis,986,Appalachian White Snakeroot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1149552000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed,No,day,prob.,ATBI
0101000020E6100000D34D20F4C5CC54C04FD1907F93E04140,98723,0101000020110F0000F5D8BDE354AA61C11E86C55FE3465041,98213,>1m <=5m,ATBI DATABASE,,1446878722000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,301129,3958950,35.754494,-83.199578,Cosby Creek,,2471.418213,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446878722000,GRSM,UNR,,7,,,Lower Mount Cammerer Trail,Cosby Campground Road B,Valid,Ageratina_altissima_v_roanensis,Ageratina  altissima v. roanensis,986,Appalachian White Snakeroot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,970185600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000811E0A6924CA54C0B64A688625DD4140,98725,0101000020110F000001DA5CD918A861C1A43EC8B04C435041,98215,>1m <=5m,ATBI DATABASE,,1446878724000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,304781,3955895,35.727701,-83.158468,Big Creek,Big Creek,2838.546387,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446878724000,GRSM,UNR,,5,,,Big Creek Trail,Big Creek Campground Loop Road,Valid,Ageratina_altissima_v_roanensis,Ageratina  altissima v. roanensis,986,Appalachian White Snakeroot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,970012800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000004D6CFFDCEDCC54C00914814F4BD24140,98722,0101000020110F0000AB0EEFC876AA61C1C32535B0F3375041,98212,>1m <=5m,ATBI DATABASE,,1446878722000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,300631,3946577,35.642916,-83.202014,Straight Fork Raven Fork,,5181.721191,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446878722000,GRSM,UNR,,6,,,Balsam Mountain Trail,Balsam Mountain Road (closed Winter),Valid,Ageratina_altissima_v_roanensis,Ageratina  altissima v. roanensis,986,Appalachian White Snakeroot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1369612800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed,No,day,cert,ATBI
0101000020E61000001FA6961020C654C043D3A1F97AC94140,98729,0101000020110F00003A7A9379AFA461C1CC2F44A6BE2E5041,98219,>1m <=5m,ATBI DATABASE,,1446878725000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,310095,3938728,35.574059,-83.095703,Lower Johnathans Creek,,4946.144043,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446878725000,GRSM,UNR,,7,,,Cataloochee Divide Trail,The Purchase Road (closed Winter),Valid,Ageratina_altissima_v_roanensis,Ageratina  altissima v. roanensis,986,Appalachian White Snakeroot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1377475200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand,No,day,cert,ATBI
0101000020E6100000DE669E1A97C654C0FD2B0C1A05C94140,98728,0101000020110F000016F92D9314A561C17C162B92432E5041,98218,>1m <=5m,ATBI DATABASE,,1446878725000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,309428,3938343,35.570461,-83.102969,Upper Cataloochee Creek,Hemphill Creek,5173.539551,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446878725000,GRSM,UNR,,6,,,Hemphill Bald Trail,The Purchase Road (closed Winter),Valid,Ageratina_altissima_v_roanensis,Ageratina  altissima v. roanensis,986,Appalachian White Snakeroot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1377475200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand,No,day,cert,ATBI
0101000020E6100000AE7E37A0AFC654C0E2555F2823C84140,98726,0101000020110F00008FDCBE6629A561C14E983CAA572D5041,98216,>1m <=5m,ATBI DATABASE,,1446878724000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,309276,3937581,35.563566,-83.104465,Upper Johnathans Creek,,5530.794434,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446878724000,GRSM,UNR,,7,,,Hemphill Bald Trail,The Purchase Road (closed Winter),Valid,Ageratina_altissima_v_roanensis,Ageratina  altissima v. roanensis,986,Appalachian White Snakeroot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1377475200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand,No,day,cert,ATBI
0101000020E61000005288C9199FC654C033FEEE3EC3C84140,98727,0101000020110F00006C25D75D1BA561C121C431CFFE2D5041,98217,>1m <=5m,ATBI DATABASE,,1446878725000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,309379,3938121,35.568452,-83.103457,Upper Cataloochee Creek,,5412.743652,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446878725000,GRSM,UNR,,7,,,Hemphill Bald Trail,The Purchase Road (closed Winter),Valid,Ageratina_altissima_v_roanensis,Ageratina  altissima v. roanensis,986,Appalachian White Snakeroot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1377475200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand,No,day,cert,ATBI
0101000020E610000045221E30BFCB54C03AB5DF4CDFCE4140,98724,0101000020110F0000C93700B975A961C1B1BEEB5660345041,98214,>1m <=5m,ATBI DATABASE,,1446878723000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,302238,3943574,35.616183,-83.18354,Straight Fork Raven Fork,Right Prong Ledge Creek,4672.271484,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446878723000,GRSM,UNR,,5,,,Spruce Mountain Trail,Balsam Mountain Road (closed Winter),Valid,Ageratina_altissima_v_roanensis,Ageratina  altissima v. roanensis,986,Appalachian White Snakeroot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,999129600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000072B23A5D49D354C0FA68AB717AC14140,98721,0101000020110F000021089D05DDAF61C1C2A69A7164265041,98211,>1m <=5m,ATBI DATABASE,,1446878721000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291295,3932209,35.511542,-83.301349,Lower Raven Fork,Raven Fork,2016.376831,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446878721000,GRSM,UNR,,6,,,Oconaluftee River Trail,Oconaluftee Maintenance Area,Valid,Ageratina_altissima_v_roanensis,Ageratina  altissima v. roanensis,986,Appalachian White Snakeroot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,969408000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000B6E7EBF260D354C09B06E1EB9AC14140,98720,0101000020110F0000D3636D0DF1AF61C16A0D715486265041,98210,>1m <=5m,ATBI DATABASE,,1446878720000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291167,3932322,35.512533,-83.302788,Lower Oconaluftee River,Oconaluftee River,2018.367676,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446878720000,GRSM,UNR,,6,,,Oconaluftee River Trail,Oconaluftee Maintenance Area,Valid,Ageratina_altissima_v_roanensis,Ageratina  altissima v. roanensis,986,Appalachian White Snakeroot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,969408000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,Fridley Veg Plots
