the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000F10EE97D24F754C00B2B44B03FBC4140,99361,0101000020110F0000AF94A1DB50CE61C1B177D0FBEF205041,98842,>1m <=5m,ATBI DATABASE,,1446879079000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,240343,3929007,35.470687,-83.861598,Lake Cheoah-Little Tennessee River,Twentymile Creek,1704.007812,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446879079000,GRSM,UNR,,2,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Agrostis_perennans,Agrostis  perennans,1184,Upland Bent,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1000944000000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000003F53A5E990EE54C0546A036BADBC4140,99380,0101000020110F0000799EE02608C761C14C84866A62215041,98860,>1m <=5m,ATBI DATABASE,,1446879089000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252516,3929034,35.474035,-83.727591,Hazel Creek,,1704.380859,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446879089000,GRSM,UNR,,5,,,Lakeshore Trail,Lakeview Drive West,Valid,Agrostis_perennans,Agrostis  perennans,1184,Upland Bent,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1096761600000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000063F118ED0ED54C0F46FBDC41DBD4140,99381,0101000020110F000072704AC864C661C1A3083D96D7215041,98861,>1m <=5m,ATBI DATABASE,,1446879089000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253592,3929385,35.477464,-83.71585,Hazel Creek,Hazel Creek,1806.893311,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446879089000,GRSM,UNR,,3,,,Hazel Creek Trail,Lakeview Drive West,Valid,Agrostis_perennans,Agrostis  perennans,1184,Upland Bent,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1096848000000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000002AD9987447E654C0057E98BA34B94140,99383,0101000020110F00000BCBC765FEBF61C1A7545EC6C31D5041,98863,>1m <=5m,ATBI DATABASE,,1446879090000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,264188,3925708,35.446915,-83.598107,Lower Fontana Lake-Little Tennessee River,Welch Branch,1879.539917,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446879090000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Agrostis_perennans,Agrostis  perennans,1184,Upland Bent,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065484800000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000BAD53EE04BDD54C0042E0443DABD4140,99391,0101000020110F000035632E5D5DB861C103B6AD2D9C225041,98871,>1m <=5m,ATBI DATABASE,,1446879095000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,277030,3929409,35.483216,-83.457752,Fontana Lake-Tuckasegee River,Long Branch,3717.243164,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446879095000,GRSM,UNR,,9,,,Noland Divide Trail,Deep Creek Falls And Trail Parking,Valid,Agrostis_perennans,Agrostis  perennans,1184,Upland Bent,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1066435200000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed,No,day,cert,ATBI
0101000020E6100000D697309063DD54C0358BBE2CF4BD4140,99390,0101000020110F0000D6824A7B71B861C1D6F2B134B7225041,98870,>1m <=5m,ATBI DATABASE,,1446879095000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,276901,3929500,35.484007,-83.459198,Fontana Lake-Tuckasegee River,Long Branch,3597.502686,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446879095000,GRSM,UNR,,3,,,Noland Divide Trail,Deep Creek Falls And Trail Parking,Valid,Agrostis_perennans,Agrostis  perennans,1184,Upland Bent,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1066435200000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed,No,day,cert,ATBI
0101000020E610000079AC60EE0FCC54C004398AAEB6E24140,99402,0101000020110F00004954424CBAA961C1CB870C1620495041,98884,>1m <=5m,ATBI DATABASE,,1446879103000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,302175,3960780,35.771193,-83.188468,Cosby Creek,Gilliland Fork,2509.779785,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446879103000,GRSM,UNR,,6,,,Lower Mount Cammerer Trail,Cosby Entrance Road,Valid,Agrostis_perennans,Agrostis  perennans,1184,Upland Bent,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,932947200000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E610000086EB3FD542C854C00BD363DA45DE4140,99403,0101000020110F0000F4B766D87FA661C120FB955A7A445041,98885,>1m <=5m,ATBI DATABASE,,1446879104000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,307461,3956813,35.7365,-83.129075,Big Creek,Big Creek,2177.561035,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446879104000,GRSM,UNR,,6,,,Big Creek Trail,Big Creek Campground Loop Road,Valid,Agrostis_perennans,Agrostis  perennans,1184,Upland Bent,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,970012800000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000098A29D561D054C02BA1BB240ECE4140,99401,0101000020110F0000E163568A65AD61C18554E3D585335041,98881,>1m <=5m,ATBI DATABASE,,1446879102000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,295661,3943014,35.6098,-83.255967,Upper Raven Fork,Raven Fork,3630.879639,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446879102000,GRSM,UNR,,6,,,Enloe Creek Trail,Straight Fork Road,Valid,Agrostis_perennans,Agrostis  perennans,1184,Upland Bent,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,933206400000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E610000085D1FDB39EDF54C0C4AC246DFBC44140,99384,0101000020110F00004C29058D56BA61C1E165877C0C2A5041,98864,>1m <=5m,ATBI DATABASE,,1446879091000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273892,3935671,35.538916,-83.494057,Noland Creek,Keeyuga Creek,5748.131836,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446879091000,GRSM,UNR,,6,,,Forney Ridge Trail,Clingmans Dome Road Parking #3,Valid,Agrostis_perennans,Agrostis  perennans,1184,Upland Bent,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,935539200000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, ,day,cert,Fridley Veg Plots
