the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000A13CAA9C41F854C004CC3AEBACBB4140,99446,0101000020110F000037B6B30243CF61C1ABC44FEE56205041,98926,>1m <=5m,ATBI DATABASE,,1446879126000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,238749,3928556,35.466208,-83.879,Lake Cheoah-Little Tennessee River,Twentymile Creek,1364.268677,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446879126000,GRSM,UNR,,7,,,Twentymile Trail,Twenty Mile Ranger Station Road,Valid,Agrotis_ipsilon,Agrotis  ipsilon,1200,Black Cutworm,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,709516800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Noctuinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E610000071674525CCEE54C08CF4BDEE03BD4140,99462,0101000020110F00006B6259753AC761C11D9D5CA4BC215041,98941,>1m <=5m,ATBI DATABASE,,1446879135000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252196,3929336,35.476676,-83.731206,Hazel Creek,Hickory Bottom Branch,1810.999878,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446879135000,GRSM,UNR,,3,,,Lakeshore Trail,Lakeview Drive West,Valid,Agrotis_ipsilon,Agrotis  ipsilon,1200,Black Cutworm,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1185148800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Noctuinae,~,black light trap, ,day,cert,Noctuidae
0101000020E6100000C26E758C8DE054C03507B10845BD4140,99415,0101000020110F00007510096721BB61C1D116C28900225041,98965,>1m <=5m,ATBI DATABASE,,1446879149000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272400,3929020,35.478662,-83.508635,Noland Creek,,2158.931152,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446879149000,GRSM,UNR,,6,,,Noland Creek Trail,Lakeview Drive East,Valid,Agrotis_ipsilon,Agrotis  ipsilon,1200,Black Cutworm,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,609465600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Noctuinae,~,black light trap,No, ,cert,Lepidoptera Survey
0101000020E61000003E690E34B2CD54C03C4546BB95E34140,99525,0101000020110F000042805D891DAB61C127EC9D93094A5041,99000,>1m <=5m,ATBI DATABASE,,1446879171000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299884,3961587,35.778,-83.213998,Cosby Creek,Cosby Creek,1742.802612,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446879171000,GRSM,UNR,,6,,,Tritt Cemetery Access Trail,Cosby Government Quarters / Ranger Station Access Road,Valid,Agrotis_ipsilon,Agrotis  ipsilon,1200,Black Cutworm,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,969494400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Noctuinae,~,unspecified, ,week,cert,ATBI Lepidoptera TWIG
0101000020E610000036EB29C570CD54C0AD2C247C89E14140,99528,0101000020110F0000DDB1D3F6E5AA61C1A9027DD2E4475041,99003,>1m <=5m,ATBI DATABASE,,1446879172000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,300205,3959804,35.762001,-83.210004,Cosby Creek,Cosby Creek,2040.874756,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446879172000,GRSM,UNR,,5,,,Gabes Mountain Trail,Cosby Entrance Road,Valid,Agrotis_ipsilon,Agrotis  ipsilon,1200,Black Cutworm,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1000512000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Noctuinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000CF4803C61AC754C0E56EA9ED20E04140,99538,0101000020110F00002745E16684A561C1C7D864796B465041,99012,>1m <=5m,ATBI DATABASE,,1446879176000,DERV,WATERVILLE,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,309130,3958386,35.750998,-83.111005,Big Creek,,1719.309204,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446879176000,GRSM,UNR,,6,,,Big Creek Trail,Big Creek Campground Loop Road,Valid,Agrotis_ipsilon,Agrotis  ipsilon,1200,Black Cutworm,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,525657600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Noctuinae,~,at light, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000005FE1185AC1C654C0E62127E17CD94140,99539,0101000020110F0000F1D0C47438A561C1CCC46FF4783F5041,99013,>1m <=5m,ATBI DATABASE,,1446879177000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,309500,3952620,35.699117,-83.105547,Lower Cataloochee Creek,,4020.623291,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446879177000,GRSM,UNR,,6,,,Long Bunk Trail,Old Cataloochee Turnpike,Valid,Agrotis_ipsilon,Agrotis  ipsilon,1200,Black Cutworm,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,588902400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Noctuinae,~,black light trap,No, ,cert,Lepidoptera Survey
0101000020E6100000BBDA15F0CEC754C065D3E361DBD94140,99535,0101000020110F0000D8E35E6A1DA661C15E9313CADB3F5041,99009,>1m <=5m,ATBI DATABASE,,1446879175000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,308018,3952972,35.702001,-83.122002,Lower Cataloochee Creek,Correll Branch,5809.270508,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446879175000,GRSM,UNR,,6,,,Baxter Creek Trail,Old Cataloochee Turnpike,Valid,Agrotis_ipsilon,Agrotis  ipsilon,1200,Black Cutworm,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,778982400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Noctuinae,~,tree fogging, ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000818AD17013CE54C0277587F6ECDE4140,99524,0101000020110F0000FDC7CB1E70AB61C1D7F6383529455041,98999,>1m <=5m,ATBI DATABASE,,1446879170000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299256,3957561,35.7416,-83.219933,Cosby Creek,Inadu Creek,3408.606934,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446879170000,GRSM,UNR,,8,,,Snake Den Ridge Trail,Cosby Campground Road B,Valid,Agrotis_ipsilon,Agrotis  ipsilon,1200,Black Cutworm,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,973555200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Noctuinae,~,Malaise trap (Townes), , ,cert,ATBI Pilot Study
0101000020E6100000D116F6052BC754C0D16D032321D04140,99537,0101000020110F000012EDEC3392A561C1776BCD97B0355041,99011,>1m <=5m,ATBI DATABASE,,1446879176000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,308742,3944522,35.626004,-83.111997,Upper Cataloochee Creek,Palmer Creek,2738.823242,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446879176000,GRSM,UNR,,6,,,Cataloochee Horse Trail,Cataloochee Entrance Road,Valid,Agrotis_ipsilon,Agrotis  ipsilon,1200,Black Cutworm,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,969321600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Noctuinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E610000017450F7CECC354C0A21B187B9AD14140,99585,0101000020110F0000278D79D3D0A261C13322A4E43A375041,99059,>1m <=5m,ATBI DATABASE,,1446879199000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,313360,3945702,35.63752,-83.061305,Lower Cataloochee Creek,Winding Stair Branch,3129.90918,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446879199000,GRSM,UNR,,6,,,Cataloochee Divide Trail,Cataloochee Entrance Road,Valid,Agrotis_ipsilon,Agrotis  ipsilon,1200,Black Cutworm,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1184889600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Noctuinae,~,black light trap, ,day,cert,Noctuidae
