the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E610000001BD8515D1EE54C01C20AE62D2BC4140,101900,0101000020110F0000340414A73EC761C158F813F888215041,101375,>1m <=5m,ATBI DATABASE,,1446880506000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252164,3929169,35.475164,-83.731507,Hazel Creek,Shehan Branch,1749.216187,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446880506000,GRSM,UNR,,5,,,Lakeshore Trail,Lakeview Drive West,Valid,Amphipyra_pyramidoides,Amphipyra  pyramidoides,1905,Copper Underwing Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1185235200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Amphipyrinae,~,black light trap, ,day,cert,Noctuidae
0101000020E6100000C26E758C8DE054C03507B10845BD4140,101921,0101000020110F00007510096721BB61C1D116C28900225041,101396,>1m <=5m,ATBI DATABASE,,1446880519000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272400,3929020,35.478662,-83.508635,Noland Creek,,2158.931152,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446880519000,GRSM,UNR,,6,,,Noland Creek Trail,Lakeview Drive East,Valid,Amphipyra_pyramidoides,Amphipyra  pyramidoides,1905,Copper Underwing Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,618710400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Amphipyrinae,~,black light trap,No, ,cert,Lepidoptera Survey
0101000020E6100000329504FC68D054C03BF524979CE24140,101967,0101000020110F00009BA2489D6BAD61C198CA54C604495041,101442,>1m <=5m,ATBI DATABASE,,1446880548000,DERV,JONES COVE,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,296031,3960831,35.770397,-83.256404,Cosby Creek,Cricket Branch,2054.198975,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446880548000,GRSM,UNR,,7,,,Maddron Bald Trail,Cosby Entrance Road,Valid,Amphipyra_pyramidoides,Amphipyra  pyramidoides,1905,Copper Underwing Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,998438400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Amphipyrinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E61000003E690E34B2CD54C03C4546BB95E34140,101972,0101000020110F000042805D891DAB61C127EC9D93094A5041,101447,>1m <=5m,ATBI DATABASE,,1446880551000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299884,3961587,35.778,-83.213998,Cosby Creek,Cosby Creek,1742.802612,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446880551000,GRSM,UNR,,6,,,Tritt Cemetery Access Trail,Cosby Government Quarters / Ranger Station Access Road,Valid,Amphipyra_pyramidoides,Amphipyra  pyramidoides,1905,Copper Underwing Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1004745600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Amphipyrinae,~,UV light, ,day,cert,ATBI Lepidoptera TWIG
0101000020E610000036EB29C570CD54C0AD2C247C89E14140,101974,0101000020110F0000DDB1D3F6E5AA61C1A9027DD2E4475041,101449,>1m <=5m,ATBI DATABASE,,1446880552000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,300205,3959804,35.762001,-83.210004,Cosby Creek,Cosby Creek,2040.874756,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446880552000,GRSM,UNR,,5,,,Gabes Mountain Trail,Cosby Entrance Road,Valid,Amphipyra_pyramidoides,Amphipyra  pyramidoides,1905,Copper Underwing Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1000512000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Amphipyrinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000612FE7C159CD54C06C196E9527E04140,101975,0101000020110F00006E9C606BD2AA61C18824637072465041,101450,>1m <=5m,ATBI DATABASE,,1446880552000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,300305,3958603,35.751201,-83.208599,Cosby Creek,,2436.110352,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446880552000,GRSM,UNR,,6,,,Snake Den Ridge Trail,Cosby Campground Road B,Valid,Amphipyra_pyramidoides,Amphipyra  pyramidoides,1905,Copper Underwing Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1059955200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Amphipyrinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000793E332304CE54C0CC4F14625AE44140,101971,0101000020110F000033C08F1F63AB61C184E32A73D74A5041,101446,>1m <=5m,ATBI DATABASE,,1446880551000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299447,3962263,35.784001,-83.218999,Cosby Creek,Cosby Creek,1650.478271,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446880551000,GRSM,UNR,,8,,,Tritt Cemetery Access Trail,Cosby Entrance Road,Valid,Amphipyra_pyramidoides,Amphipyra  pyramidoides,1905,Copper Underwing Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,998352000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Amphipyrinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000005FE1185AC1C654C0E62127E17CD94140,101986,0101000020110F0000F1D0C47438A561C1CCC46FF4783F5041,101461,>1m <=5m,ATBI DATABASE,,1446880558000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,309500,3952620,35.699117,-83.105547,Lower Cataloochee Creek,,4020.623291,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446880558000,GRSM,UNR,,6,,,Long Bunk Trail,Old Cataloochee Turnpike,Valid,Amphipyra_pyramidoides,Amphipyra  pyramidoides,1905,Copper Underwing Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,590716800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Amphipyrinae,~,black light trap,No, ,cert,Lepidoptera Survey
0101000020E610000055FCF18714C654C0F34F3070B4D84140,101990,0101000020110F00009630E5ADA5A461C109B68256A73E5041,101465,>1m <=5m,ATBI DATABASE,,1446880560000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,310440,3951921,35.693,-83.094999,Lower Cataloochee Creek,,3601.62915,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446880560000,GRSM,UNR,,7,,,Mount Sterling Trail,Old Cataloochee Turnpike,Valid,Amphipyra_pyramidoides,Amphipyra  pyramidoides,1905,Copper Underwing Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1090454400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Amphipyrinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000D116F6052BC754C0D16D032321D04140,101982,0101000020110F000012EDEC3392A561C1776BCD97B0355041,101457,>1m <=5m,ATBI DATABASE,,1446880556000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,308742,3944522,35.626004,-83.111997,Upper Cataloochee Creek,Palmer Creek,2738.823242,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446880556000,GRSM,UNR,,6,,,Cataloochee Horse Trail,Cataloochee Entrance Road,Valid,Amphipyra_pyramidoides,Amphipyra  pyramidoides,1905,Copper Underwing Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,971654400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Amphipyrinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E610000045904D6912C354C036A0E9224ED24140,102003,0101000020110F0000D7F6CA9D17A261C105803AA4F6375041,101478,>1m <=5m,ATBI DATABASE,,1446880566000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,314578,3946285,35.643003,-83.047995,Lower Cataloochee Creek,,4054.270264,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446880566000,GRSM,UNR,,7,,,Cataloochee Divide Trail,Old Cataloochee Turnpike,Valid,Amphipyra_pyramidoides,Amphipyra  pyramidoides,1905,Copper Underwing Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,594950400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Amphipyrinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
