the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000C907DF2954DF54C0D240AD1B4FBA4140,102208,0101000020110F0000AEC5913E17BA61C13141F02DEA1E5041,101681,>1m <=5m,ATBI DATABASE,,1446880679000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,274071,3926410,35.455532,-83.489508,Fontana Lake-Tuckasegee River,Middle Peachtree Creek,2166.862793,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446880679000,GRSM,UNR,,8,,,Conner @ Hickory Flats Cemetery Access,Lakeview Drive East,Valid,Anaplectoides_brunneomedia,Anaplectoides  brunneomedia,2036,Brown-lined Dart Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1090454400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Noctuinae,~,at light, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000793E332304CE54C0CC4F14625AE44140,102227,0101000020110F000033C08F1F63AB61C184E32A73D74A5041,101700,>1m <=5m,ATBI DATABASE,,1446880692000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299447,3962263,35.784001,-83.218999,Cosby Creek,Cosby Creek,1650.478271,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446880692000,GRSM,UNR,,8,,,Tritt Cemetery Access Trail,Cosby Entrance Road,Valid,Anaplectoides_brunneomedia,Anaplectoides  brunneomedia,2036,Brown-lined Dart Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,993340800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Noctuinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000002ED371C064C754C0F36F66E7B9D94140,102236,0101000020110F00004AC94B3BC3A561C1D3B7A4C6B83F5041,101709,>1m <=5m,ATBI DATABASE,,1446880697000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,308602,3952846,35.700979,-83.11552,Lower Cataloochee Creek,,4839.766113,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446880697000,GRSM,UNR,,6,,,Mount Sterling Trail,Old Cataloochee Turnpike,Valid,Anaplectoides_brunneomedia,Anaplectoides  brunneomedia,2036,Brown-lined Dart Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1185753600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Noctuinae,~,black light trap, ,day,cert,Noctuidae
0101000020E61000000D5D00E27AC454C0110D2FE1C0CA4140,102239,0101000020110F0000E0AAD1C349A361C167A168F912305041,101712,>1m <=5m,ATBI DATABASE,,1446880698000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312448,3939782,35.584004,-83.069996,Lower Johnathans Creek,Beantown Creek,4682.922852,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446880698000,GRSM,UNR,,4,,,Ferguson Cabin Horse Trail,The Purchase Road (closed Winter),Valid,Anaplectoides_brunneomedia,Anaplectoides  brunneomedia,2036,Brown-lined Dart Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1216080000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Noctuinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000C1BB9F2AB1C454C0C4649D36D2CA4140,102237,0101000020110F0000439339DE77A361C1BB4A7C1325305041,101710,>1m <=5m,ATBI DATABASE,,1446880697000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312149,3939847,35.584533,-83.073309,Lower Johnathans Creek,,4827.102051,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446880697000,GRSM,UNR,,7,,,Ferguson Cabin Horse Trail,The Purchase Road (closed Winter),Valid,Anaplectoides_brunneomedia,Anaplectoides  brunneomedia,2036,Brown-lined Dart Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1057795200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Noctuinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000E1B1DC282BCB54C0BD6DB82538C84140,102232,0101000020110F00002B608C00F8A861C1D13B47946D2D5041,101705,>1m <=5m,ATBI DATABASE,,1446880695000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,302929,3937790,35.564207,-83.174505,Lower Raven Fork,,5334.425293,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446880695000,GRSM,UNR,,6,,,Balsam Mountain Nature Trail,Balsam Mountain Campground Road,Valid,Anaplectoides_brunneomedia,Anaplectoides  brunneomedia,2036,Brown-lined Dart Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1090195200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Noctuinae,~,UV light, ,day,cert,ATBI Lepidoptera TWIG
0101000020E61000001925BFB0A2CB54C0ED91C69BCEC84140,102230,0101000020110F000088380A855DA961C1D56959AC0A2E5041,101703,>1m <=5m,ATBI DATABASE,,1446880693000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,302279,3938314,35.568798,-83.181801,Lower Raven Fork,Flat Creek,5190.19043,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446880693000,GRSM,UNR,,6,,,Flat Creek Trail,Heintooga Ridge Road,Valid,Anaplectoides_brunneomedia,Anaplectoides  brunneomedia,2036,Brown-lined Dart Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1088380800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Noctuinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E610000063320BA34FCA54C0E4396E4724C84140,102234,0101000020110F0000DF3AB98F3DA861C16A42F0D5582D5041,101707,>1m <=5m,ATBI DATABASE,,1446880696000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,304142,3937696,35.5636,-83.161107,Upper Cataloochee Creek,,5086.073242,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446880696000,GRSM,UNR,,6,,,Hemphill Bald Trail,Polls Gap Trail Parking,Valid,Anaplectoides_brunneomedia,Anaplectoides  brunneomedia,2036,Brown-lined Dart Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1088380800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Noctuinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000EDB77EA670CD54C022BF23CF1ACF4140,102228,0101000020110F0000FAAAC7DCE5AA61C188AAD2829E345041,101701,>1m <=5m,ATBI DATABASE,,1446880692000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,299846,3943829,35.617999,-83.209997,Straight Fork Raven Fork,,3103.516113,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446880692000,GRSM,UNR,,3,,,Beech Gap Trail,Balsam Mountain Road (closed Winter),Valid,Anaplectoides_brunneomedia,Anaplectoides  brunneomedia,2036,Brown-lined Dart Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1090195200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Noctuinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000005C9E3743E1D254C043D9AA104EC24140,102226,0101000020110F0000FDF3BF9B84AF61C1A3AF5C4041275041,101699,>1m <=5m,ATBI DATABASE,,1446880691000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291888,3932912,35.518001,-83.294995,Lower Raven Fork,,2050.639648,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446880691000,GRSM,UNR,,6,,,Nations Cemetery Access,Oconaluftee Job Corps Center Access Road,Valid,Anaplectoides_brunneomedia,Anaplectoides  brunneomedia,2036,Brown-lined Dart Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,995241600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Noctuinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E610000086EDEFB89DDF54C0660F4EFA31C74140,102207,0101000020110F000018B9CCB755BA61C1873DADDF5B2C5041,101680,>1m <=5m,ATBI DATABASE,,1446880678000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273946,3937589,35.556206,-83.493998,Noland Creek,Salola Branch,6238.473633,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446880678000,GRSM,UNR,,4,,,Clingmans Dome Trail,Clingmans Dome Road Parking #3,Valid,Anaplectoides_brunneomedia,Anaplectoides  brunneomedia,2036,Brown-lined Dart Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1090454400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Noctuinae,~,at light, ,day,cert,ATBI Lepidoptera TWIG
