the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E610000013AEC1A76BF554C02CD74726EEBD4140,103233,0101000020110F000001189074DACC61C1EBF8E3EBB0225041,102721,>1m <=5m,ATBI DATABASE,,1446881278000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,242827,3930394,35.483823,-83.834692,Lake Cheoah-Little Tennessee River,,2519.925781,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446881278000,GRSM,UNR,,6,,,Twentymile Trail,Payne Cemetery Access Road,Valid,Anemone_quinquefolia,Anemone  quinquefolia,2263,Wood Anemone,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1020297600000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000BEE610C974E854C06B0829A052BD4140,103254,0101000020110F00004B4BF3BCD7C161C1A56AA6B60E225041,102739,>1m <=5m,ATBI DATABASE,,1446881288000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,261195,3929358,35.479077,-83.632124,Lower Fontana Lake-Little Tennessee River,West Fork Chambers Creek,3609.938965,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446881288000,GRSM,UNR,,4,,,Cold Spring Gap Trail,Lakeview Drive East Parking #4,Valid,Anemone_quinquefolia,Anemone  quinquefolia,2263,Wood Anemone,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1083024000000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000006D81DF4734E454C0A3011E53A2BD4140,103258,0101000020110F0000A20E4F453BBE61C1AA5A2CD661225041,102743,>1m <=5m,ATBI DATABASE,,1446881291000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,267231,3929469,35.481509,-83.565687,Forney Creek,Forney Creek,1935.71106,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446881291000,GRSM,UNR,,4,,,Forney Creek Trail,Lakeview Drive East Parking #4,Valid,Anemone_quinquefolia,Anemone  quinquefolia,2263,Wood Anemone,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1083196800000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000008A368BA05CD154C0FC756F91B0E14140,103264,0101000020110F0000EA214A8A3AAE61C1EA868ABA0D485041,102749,>1m <=5m,ATBI DATABASE,,1446881295000,DERV,JONES COVE,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,294668,3960063,35.763194,-83.271275,Cosby Creek,Cole Creek,2091.817383,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446881295000,GRSM,UNR,,5,,,Maddron Bald Trail,Cosby Entrance Road,Valid,Anemone_quinquefolia,Anemone  quinquefolia,2263,Wood Anemone,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,956448000000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000EAB84FCB45D154C06CC593F130E14140,103265,0101000020110F00008B8FEE2527AE61C15249152788475041,102750,>1m <=5m,ATBI DATABASE,,1446881295000,DERV,JONES COVE,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,294784,3959628,35.759299,-83.269881,Cosby Creek,Cole Creek,2276.140137,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446881295000,GRSM,UNR,,7,,,Maddron Bald Trail,Cosby Entrance Road,Valid,Anemone_quinquefolia,Anemone  quinquefolia,2263,Wood Anemone,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,956707200000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000006327A3FAE9CC54C04EA77186DAE34140,103270,0101000020110F00007F566C7C73AA61C133832E98514A5041,102755,>1m <=5m,ATBI DATABASE,,1446881299000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,300994,3961795,35.780099,-83.201777,Cosby Creek,Caney Creek,1771.974609,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446881299000,GRSM,UNR,,6,,,,Cosby Government Quarters / Ranger Station Access Road,Valid,Anemone_quinquefolia,Anemone  quinquefolia,2263,Wood Anemone,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,925257600000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000007F34A6A40AC954C09ED393D6F8E14140,103272,0101000020110F0000A50B4D8B29A761C1FE5F325F59485041,102758,>1m <=5m,ATBI DATABASE,,1446881300000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,306428,3960043,35.7654,-83.141271,Big Creek,,3364.092529,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446881300000,GRSM,UNR,,3,,,Appalachian Trail,Big Creek Entrance Road,Valid,Anemone_quinquefolia,Anemone  quinquefolia,2263,Wood Anemone,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,988934400000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000E396B2B3F8CC54C036303F652CE44140,103269,0101000020110F0000E8BE7CFD7FAA61C17B0BE94DA74A5041,102754,>1m <=5m,ATBI DATABASE,,1446881298000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,300919,3962074,35.782598,-83.202676,Cosby Creek,Caney Creek,1737.707031,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446881298000,GRSM,UNR,,6,,,,Cosby Government Quarters Parking,Valid,Anemone_quinquefolia,Anemone  quinquefolia,2263,Wood Anemone,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,925257600000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000004D6CFFDCEDCC54C00914814F4BD24140,103268,0101000020110F0000AB0EEFC876AA61C1C32535B0F3375041,102753,>1m <=5m,ATBI DATABASE,,1446881297000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,300631,3946577,35.642916,-83.202014,Straight Fork Raven Fork,,5181.721191,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446881297000,GRSM,UNR,,6,,,Balsam Mountain Trail,Balsam Mountain Road (closed Winter),Valid,Anemone_quinquefolia,Anemone  quinquefolia,2263,Wood Anemone,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1369612800000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,observed,No,day,cert,ATBI
0101000020E6100000EDB9B77BE9CD54C0289672F682D14140,103267,0101000020110F0000052E607C4CAB61C117A1075122375041,102752,>1m <=5m,ATBI DATABASE,,1446881297000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,299225,3945930,35.636802,-83.217372,Straight Fork Raven Fork,Table Rock Branch,3307.49707,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446881297000,GRSM,UNR,,6,,,Beech Gap Trail,Beech Gap Trailhead Parking #2,Valid,Anemone_quinquefolia,Anemone  quinquefolia,2263,Wood Anemone,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,957312000000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,by hand, , ,cert,INHS plant survey
