the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000004CEA716323F154C0A3558F36F9BD4140,105036,0101000020110F000063C6426537C961C127F5FC75BC225041,104516,>1m <=5m,ATBI DATABASE,,1446882288000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,248900,3930259,35.484161,-83.767781,Eagle Creek,,2184.272461,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446882288000,GRSM,UNR,,10,,,Lakeshore Trail,Lakeview Drive West,Valid,Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,1085011200000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Apodiformes, , , , ,Trochilidae, ,~,Variable Circular Plot (VCB) Survey,No,day,cert,Northshore Road EIS
0101000020E6100000FAD2483C1AF154C02E19D3950DBC4140,105037,0101000020110F0000DDC0369F2FC961C1271C0ABCBB205041,104517,>1m <=5m,ATBI DATABASE,,1446882289000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,248904,3928593,35.469158,-83.767222,Eagle Creek,,2234.840576,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446882289000,GRSM,UNR,,5,,,Lakeshore Trail,Lakeview Drive West,Valid,Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,1085011200000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Apodiformes, , , , ,Trochilidae, ,~,Variable Circular Plot (VCB) Survey,No,day,cert,Northshore Road EIS
0101000020E6100000FD0C9BA004F054C0ECD6F86D04BC4140,105039,0101000020110F0000CC7469D943C861C1B1DAD42FB2205041,104519,>1m <=5m,ATBI DATABASE,,1446882290000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,250441,3928519,35.468878,-83.750278,Hazel Creek,,2448.859863,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446882290000,GRSM,UNR,,8,,,Lakeshore Trail,Lakeview Drive West,Valid,Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,1085097600000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Apodiformes, , , , ,Trochilidae, ,~,Variable Circular Plot (VCB) Survey,No,day,cert,Northshore Road EIS
0101000020E6100000CDACF10E3AF154C0B7A4C095FBBB4140,105035,0101000020110F000091A62CA64AC961C1AA95ACF6A8205041,104515,>1m <=5m,ATBI DATABASE,,1446882288000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,248726,3928537,35.468608,-83.769164,Eagle Creek,,2154.579834,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446882288000,GRSM,UNR,,8,,,Lake Shore Trail low water access,Lakeview Drive West,Valid,Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,1084924800000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Apodiformes, , , , ,Trochilidae, ,~,Variable Circular Plot (VCB) Survey,No,day,cert,Northshore Road EIS
0101000020E61000006644D9C30DF054C08265F3D899B94140,105038,0101000020110F00006FBC219C4BC861C116F42F322D1E5041,104518,>1m <=5m,ATBI DATABASE,,1446882289000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,250332,3926426,35.450001,-83.750836,Hazel Creek,Hazel Creek,1679.913452,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446882289000,GRSM,UNR,,5,,,Lakeshore Trail,Lakeview Drive West,Valid,Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,1085616000000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Apodiformes, , , , ,Trochilidae, ,~,Variable Circular Plot (VCB) Survey,No,day,cert,Northshore Road EIS
0101000020E6100000A252044FF9ED54C01320F1C8ABB94140,105042,0101000020110F00005982FF6487C661C170F5ACE53F1E5041,104524,>1m <=5m,ATBI DATABASE,,1446882292000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253284,3926405,35.450548,-83.718337,Lower Fontana Lake-Little Tennessee River,,1838.221802,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446882292000,GRSM,UNR,,7,,,Lakeshore Trail,Lakeview Drive West,Valid,Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,1085356800000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Apodiformes, , , , ,Trochilidae, ,~,Variable Circular Plot (VCB) Survey,No,day,cert,Northshore Road EIS
0101000020E610000043059642F1EC54C064018CA1BBBB4140,105045,0101000020110F000082FE5323A7C561C1334CC34566205041,104527,>1m <=5m,ATBI DATABASE,,1446882294000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,254796,3928152,35.466657,-83.702221,Hazel Creek,Rowan Branch,2776.16748,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446882294000,GRSM,UNR,,10,,,Hazel Creek Trail,Lakeview Drive West,Valid,Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,1085443200000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Apodiformes, , , , ,Trochilidae, ,~,Variable Circular Plot (VCB) Survey,No,day,cert,Northshore Road EIS
0101000020E6100000110B8C27E8EC54C01D132136D7BB4140,105046,0101000020110F0000B67293679FC561C102047A0883205041,104528,>1m <=5m,ATBI DATABASE,,1446882294000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,254849,3928244,35.467498,-83.701665,Hazel Creek,Rowan Branch,2579.033691,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446882294000,GRSM,UNR,,4,,,Hazel Creek Trail,Lakeview Drive West,Valid,Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,1085529600000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Apodiformes, , , , ,Trochilidae, ,~,Variable Circular Plot (VCB) Survey,No,day,cert,Northshore Road EIS
0101000020E6100000D2F990BAF4ED54C0A827E71CE0BB4140,105044,0101000020110F0000EA453C8183C661C1854BC7508C205041,104526,>1m <=5m,ATBI DATABASE,,1446882293000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253362,3928315,35.46777,-83.718058,Hazel Creek,Hazel Creek,1992.601562,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446882293000,GRSM,UNR,,8,,,Lakeshore Trail,Lakeview Drive West,Valid,Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,1085097600000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Apodiformes, , , , ,Trochilidae, ,~,Variable Circular Plot (VCB) Survey,No,day,cert,Northshore Road EIS
0101000020E6100000AD36EB5ED7E854C0233646550DB94140,105068,0101000020110F0000827777772BC261C15F6F32B49A1D5041,104550,>1m <=5m,ATBI DATABASE,,1446882308000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,260550,3925671,35.445713,-83.638141,Lower Fontana Lake-Little Tennessee River,Kirkland Branch,1759.327393,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446882308000,GRSM,UNR,,8,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,865468800000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Apodiformes, , , , ,Trochilidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
