the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E610000065BE6A02F8E354C04C06BEB1C6BB4140,115213,0101000020110F00007220111508BE61C1B06E24CF71205041,114756,>1m <=5m,ATBI DATABASE,,1446883453000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,267523,3927850,35.466994,-83.562008,Forney Creek,,1843.025879,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446883453000,GRSM,UNR,,2,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Atalopedes_campestris,Atalopedes  campestris,4288,Satchem,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1089158400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Hesperiinae,~,by hand,No,day,cert,Northshore Road EIS
0101000020E61000008DBA5C18D7DB54C004EED970E1BA4140,115219,0101000020110F00001050DAC220B761C1A6539AC1821F5041,114762,>1m <=5m,ATBI DATABASE,,1446883457000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,279031,3926782,35.459998,-83.434999,Deep Creek,,1836.47522,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446883457000,GRSM,UNR,,5,,,Noland Divide Trail,Deep Creek Campground Loop 1,Valid,Atalopedes_campestris,Atalopedes  campestris,4288,Satchem,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1084752000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Hesperiinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000793E332304CE54C0CC4F14625AE44140,115234,0101000020110F000033C08F1F63AB61C184E32A73D74A5041,114775,>1m <=5m,ATBI DATABASE,,1446883465000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299447,3962263,35.784001,-83.218999,Cosby Creek,Cosby Creek,1650.478271,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446883465000,GRSM,UNR,,8,,,Tritt Cemetery Access Trail,Cosby Entrance Road,Valid,Atalopedes_campestris,Atalopedes  campestris,4288,Satchem,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,964224000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Hesperiinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000CF4803C61AC754C0E56EA9ED20E04140,115237,0101000020110F00002745E16684A561C1C7D864796B465041,114778,>1m <=5m,ATBI DATABASE,,1446883467000,DERV,WATERVILLE,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,309130,3958386,35.750998,-83.111005,Big Creek,,1719.309204,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446883467000,GRSM,UNR,,6,,,Big Creek Trail,Big Creek Campground Loop Road,Valid,Atalopedes_campestris,Atalopedes  campestris,4288,Satchem,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,525657600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Hesperiinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000654117C34BC754C03F9CBCDF20D04140,115236,0101000020110F00004B7E0502AEA561C122FC8151B0355041,114777,>1m <=5m,ATBI DATABASE,,1446883466000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,308561,3944525,35.625996,-83.113995,Upper Cataloochee Creek,Palmer Creek,2753.067871,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446883466000,GRSM,UNR,,6,,,Cataloochee Horse Trail,Pretty Hollow Gap Trail Road,Valid,Atalopedes_campestris,Atalopedes  campestris,4288,Satchem,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1084752000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Hesperiinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E61000000AA4103D33C354C082303142AAD14140,115245,0101000020110F0000454D1C7F33A261C1DFDB8D614B375041,114786,>1m <=5m,ATBI DATABASE,,1446883471000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,314385,3945734,35.638002,-83.049998,Lower Cataloochee Creek,Winding Stair Branch,3749.368652,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446883471000,GRSM,UNR,,9,,,Cataloochee Divide Trail,Old Cataloochee Turnpike,Valid,Atalopedes_campestris,Atalopedes  campestris,4288,Satchem,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1210377600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Hesperiinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000008D94442EACC454C037E70A3D02CB4140,115240,0101000020110F00008A1D37A273A361C1C551E73A57305041,114781,>1m <=5m,ATBI DATABASE,,1446883468000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312180,3940009,35.585999,-83.073005,Lower Johnathans Creek,,4917.642578,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446883468000,GRSM,UNR,,7,,,Science Center Trail,The Purchase Road (closed Winter),Valid,Atalopedes_campestris,Atalopedes  campestris,4288,Satchem,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1023580800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Hesperiinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000850B3FECB0C454C08E3A0E51BFCA4140,115239,0101000020110F0000F75C3FA977A361C1F9DB8C5711305041,114780,>1m <=5m,ATBI DATABASE,,1446883468000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312149,3939783,35.583957,-83.073295,Lower Johnathans Creek,,4764.077148,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446883468000,GRSM,UNR,,6,,,Ferguson Cabin Horse Trail,The Purchase Road (closed Winter),Valid,Atalopedes_campestris,Atalopedes  campestris,4288,Satchem,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1063497600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Hesperiinae,~,"Malaise trap, 6-meter",No,day,cert,PKnob moths monitoring
0101000020E6100000E1B1DC282BCB54C0BD6DB82538C84140,115235,0101000020110F00002B608C00F8A861C1D13B47946D2D5041,114776,>1m <=5m,ATBI DATABASE,,1446883466000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,302929,3937790,35.564207,-83.174505,Lower Raven Fork,,5334.425293,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446883466000,GRSM,UNR,,6,,,Balsam Mountain Nature Trail,Balsam Mountain Campground Road,Valid,Atalopedes_campestris,Atalopedes  campestris,4288,Satchem,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1155600000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Hesperiinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000855A9ECAF3D554C083785A0752C84140,115221,0101000020110F000015E88E9B20B261C1513FD499882D5041,114764,>1m <=5m,ATBI DATABASE,,1446883458000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,287658,3938228,35.564996,-83.343001,Upper Oconaluftee River,Collins Creek,2630.94873,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446883458000,GRSM,UNR,,8,,,Newton Bald Trail,Collins Creek Picnic Area Upper Loop Parking C,Valid,Atalopedes_campestris,Atalopedes  campestris,4288,Satchem,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1062892800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Hesperiinae,~,Malaise trap (Townes), , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000112410BEF6D254C0324D780C06C54140,115232,0101000020110F0000A6D8EBD996AF61C17D25C392172A5041,114773,>1m <=5m,ATBI DATABASE,,1446883464000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291824,3935271,35.53924,-83.296306,Lower Oconaluftee River,Tow String Creek,2136.459229,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446883464000,GRSM,UNR,,6,,,Chambers Cemetery Access,Tow String Horse Barn Road,Valid,Atalopedes_campestris,Atalopedes  campestris,4288,Satchem,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1155600000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Hesperiinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
