the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000004F9CDEF0BBE154C084957F3761BA4140,116842,0101000020110F0000FB966B3922BC61C113AA740FFD1E5041,116312,>1m <=5m,ATBI DATABASE,,1446884326000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,270661,3926558,35.456085,-83.527092,Noland Creek,Noland Creek,1830.685181,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446884326000,GRSM,UNR,,2,,,Noland Creek Trail,Lakeview Drive East,Valid,Aulacorthum_solani,Aulacorthum  solani,4454,Foxglove Aphid,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1086652800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hemiptera, , , ,Aphidoidea,Aphididae, ,~,by hand, ,day,cert,ATBI Aphid Study
0101000020E6100000533E20AA12C854C0CA035E54F5E24140,116852,0101000020110F000053F092EF56A661C1025B13AA61495041,116320,>1m <=5m,ATBI DATABASE,,1446884330000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,307815,3960868,35.773105,-83.126135,Pigeon River-Cripple Creek,,2396.046631,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446884330000,GRSM,UNR,,6,,,Appalachian Trail,Big Creek Entrance Road,Valid,Aulacorthum_solani,Aulacorthum  solani,4454,Foxglove Aphid,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1084060800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hemiptera, , , ,Aphidoidea,Aphididae, ,~,by hand, ,day,cert,ATBI Aphid Study
0101000020E6100000093A8D59FBC554C0B26A66E62FD94140,116858,0101000020110F0000A89EF84A90A461C188E61373283F5041,116326,>1m <=5m,ATBI DATABASE,,1446884333000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,310588,3952336,35.696767,-83.093462,Lower Cataloochee Creek,,3890.333984,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446884333000,GRSM,UNR,,9,,,Mount Sterling Trail,Old Cataloochee Turnpike,Valid,Aulacorthum_solani,Aulacorthum  solani,4454,Foxglove Aphid,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1084060800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hemiptera, , , ,Aphidoidea,Aphididae, ,~,by hand, ,day,cert,ATBI Aphid Study
0101000020E610000009AADECB51C654C0FCC4AFCF51D94140,116856,0101000020110F00007FDE41B6D9A461C18F98E8E94B3F5041,116324,>1m <=5m,ATBI DATABASE,,1446884332000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,310113,3952461,35.697802,-83.098739,Lower Cataloochee Creek,,3778.782227,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446884332000,GRSM,UNR,,6,,,Mount Sterling Trail,Old Cataloochee Turnpike,Valid,Aulacorthum_solani,Aulacorthum  solani,4454,Foxglove Aphid,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1149897600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hemiptera, , , ,Aphidoidea,Aphididae, ,~,by hand, ,day,cert,ATBI Aphid Study
0101000020E6100000A9B6A35104C754C0354A0D30DDDF4140,116854,0101000020110F000081E1C85471A561C187B8A89524465041,116322,>1m <=5m,ATBI DATABASE,,1446884331000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,309249,3958154,35.748931,-83.109635,Big Creek,,1876.194092,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446884331000,GRSM,UNR,,8,,,Baxter Creek Trail,Big Creek Campground Loop Road,Valid,Aulacorthum_solani,Aulacorthum  solani,4454,Foxglove Aphid,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1084060800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hemiptera, , , ,Aphidoidea,Aphididae, ,~,by hand, ,day,cert,ATBI Aphid Study
0101000020E6100000812B58C41FC354C034EABCEE76D14140,116866,0101000020110F000066F695F522A261C1209FBCBE15375041,116335,>1m <=5m,ATBI DATABASE,,1446884337000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,314489,3945558,35.636435,-83.04881,Lower Cataloochee Creek,,3654.708496,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446884337000,GRSM,UNR,,7,,,Cataloochee Divide Trail,Old Cataloochee Turnpike,Valid,Aulacorthum_solani,Aulacorthum  solani,4454,Foxglove Aphid,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1084147200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hemiptera, , , ,Aphidoidea,Aphididae, ,~,by hand, ,day,cert,ATBI Aphid Study
0101000020E61000005F362093C3C754C0F1635FC1DCCE4140,116853,0101000020110F00008658CAC313A661C195F446AE5D345041,116321,>1m <=5m,ATBI DATABASE,,1446884331000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,307875,3943442,35.616105,-83.121308,Upper Cataloochee Creek,,2831.142822,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446884331000,GRSM,UNR,,6,,,Rough Fork Trail,Cataloochee Entrance Road,Valid,Aulacorthum_solani,Aulacorthum  solani,4454,Foxglove Aphid,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1084147200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hemiptera, , , ,Aphidoidea,Aphididae, ,~,by hand, ,day,cert,ATBI Aphid Study
0101000020E61000007164FD7D3EC454C0A452C5C4CECA4140,116864,0101000020110F00000F55A07916A361C19D578F7A21305041,116333,>1m <=5m,ATBI DATABASE,,1446884337000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312783,3939822,35.584428,-83.06631,Lower Johnathans Creek,Beantown Creek,4776.128906,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446884337000,GRSM,UNR,,6,,,Ferguson Cabin Trail,The Purchase Road (closed Winter),Valid,Aulacorthum_solani,Aulacorthum  solani,4454,Foxglove Aphid,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1085184000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hemiptera, , , ,Aphidoidea,Aphididae, ,~,by hand, ,day,cert,ATBI Aphid Study
0101000020E61000008FA6DD5C7AC454C0F3735ECBFACA4140,116862,0101000020110F00007035BF5249A361C1554ABD744F305041,116331,>1m <=5m,ATBI DATABASE,,1446884336000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312455,3939978,35.585772,-83.069965,Lower Johnathans Creek,Beantown Creek,4728.129395,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446884336000,GRSM,UNR,,6,,,Ferguson Cabin Horse Trail,The Purchase Road (closed Winter),Valid,Aulacorthum_solani,Aulacorthum  solani,4454,Foxglove Aphid,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1085184000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hemiptera, , , ,Aphidoidea,Aphididae, ,~,by hand, ,day,cert,ATBI Aphid Study
0101000020E6100000B9FB8C062EC454C055223EF440CA4140,116865,0101000020110F000023DA737D08A361C1BB2923628D2F5041,116334,>1m <=5m,ATBI DATABASE,,1446884337000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312864,3939340,35.5801,-83.065305,Lower Johnathans Creek,Beantown Creek,4291.22168,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446884337000,GRSM,UNR,,6,,,Ferguson Cabin Trail,The Purchase Road (closed Winter),Valid,Aulacorthum_solani,Aulacorthum  solani,4454,Foxglove Aphid,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1084924800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hemiptera, , , ,Aphidoidea,Aphididae, ,~,by hand, ,day,cert,ATBI Aphid Study
0101000020E61000006997B39A75C454C067E0E99D23CA4140,116863,0101000020110F000001DB284845A361C1073770BF6E2F5041,116332,>1m <=5m,ATBI DATABASE,,1446884336000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312466,3939249,35.579205,-83.069674,Lower Johnathans Creek,,4599.254395,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446884336000,GRSM,UNR,,6,,,Ferguson Cabin Trail,The Purchase Road (closed Winter),Valid,Aulacorthum_solani,Aulacorthum  solani,4454,Foxglove Aphid,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1054339200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hemiptera, , , ,Aphidoidea,Aphididae, ,~,by hand, , ,cert,ATBI Aphid Study
0101000020E6100000BDA1E4F97FC454C063964E0F7DCA4140,116861,0101000020110F00006DF136174EA361C115376E26CC2F5041,116330,>1m <=5m,ATBI DATABASE,,1446884335000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312415,3939553,35.581935,-83.070307,Lower Johnathans Creek,Beantown Creek,4667.824219,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446884335000,GRSM,UNR,,6,,,Ferguson Cabin Trail,The Purchase Road (closed Winter),Valid,Aulacorthum_solani,Aulacorthum  solani,4454,Foxglove Aphid,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1084838400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hemiptera, , , ,Aphidoidea,Aphididae, ,~,by hand, ,day,cert,ATBI Aphid Study
0101000020E6100000F53206ADB2C454C0FD1F2CDF4ACA4140,116848,0101000020110F0000270F652679A361C18E7F72BD972F5041,116329,>1m <=5m,ATBI DATABASE,,1446884335000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312131,3939389,35.580403,-83.073402,Lower Johnathans Creek,,4640.040039,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446884335000,GRSM,UNR,,8,,,Ferguson Cabin Trail,The Purchase Road (closed Winter),Valid,Aulacorthum_solani,Aulacorthum  solani,4454,Foxglove Aphid,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1054339200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hemiptera, , , ,Aphidoidea,Aphididae, ,~,by hand, , ,cert,ATBI Aphid Study
0101000020E61000005968B7FBB4C454C06425068B47CA4140,116860,0101000020110F0000C7E1111C7BA361C1654B9443942F5041,116328,>1m <=5m,ATBI DATABASE,,1446884334000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312118,3939378,35.580301,-83.073542,Lower Johnathans Creek,,4640.040039,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446884334000,GRSM,UNR,,7,,,Ferguson Cabin Trail,The Purchase Road (closed Winter),Valid,Aulacorthum_solani,Aulacorthum  solani,4454,Foxglove Aphid,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1084838400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hemiptera, , , ,Aphidoidea,Aphididae, ,~,unspecified, ,day,cert,ATBI Aphid Study
