the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000F10EE97D24F754C00B2B44B03FBC4140,116947,0101000020110F0000AF94A1DB50CE61C1B177D0FBEF205041,116415,>1m <=5m,ATBI DATABASE,,1446884382000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,240343,3929007,35.470687,-83.861598,Lake Cheoah-Little Tennessee River,Twentymile Creek,1704.007812,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446884382000,GRSM,UNR,,2,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Aureolaria_laevigata,Aureolaria  laevigata,4492,Entire-leaf Yellow False Foxglove,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1000944000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Scrophulariaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000095675ECA6E754C0A5FFD29A0DB94140,116973,0101000020110F0000C1C54EE628C161C1E52EB4FC9A1D5041,116441,>1m <=5m,ATBI DATABASE,,1446884397000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,262237,3925627,35.445721,-83.619559,Lower Fontana Lake-Little Tennessee River,,1718.332153,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446884397000,GRSM,UNR,,10,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Aureolaria_laevigata,Aureolaria  laevigata,4492,Entire-leaf Yellow False Foxglove,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065398400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Scrophulariaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000842115D3C0E254C095C7DE8837BA4140,116975,0101000020110F0000E6D0F8CAFFBC61C19E78D399D11E5041,116443,>1m <=5m,ATBI DATABASE,,1446884397000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,269212,3926454,35.454813,-83.543015,Fontana Lake-Tuckasegee River,,1961.229492,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446884397000,GRSM,UNR,,8,,,Tunnel Bypass Trail NC,Lakeview Drive East Parking #4,Valid,Aureolaria_laevigata,Aureolaria  laevigata,4492,Entire-leaf Yellow False Foxglove,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1150156800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Scrophulariaceae, ,~,by hand, ,day,cert,ATBI Aphid Study
0101000020E61000003A2994D17DCC54C0F42A770EC1E14140,116978,0101000020110F000075D818A017AA61C1A6C988FC1E485041,116446,>1m <=5m,ATBI DATABASE,,1446884399000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,301550,3959962,35.763697,-83.195175,Cosby Creek,,2635.37207,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446884399000,GRSM,UNR,,7,,,Lower Mount Cammerer Trail,Cosby Entrance Road,Valid,Aureolaria_laevigata,Aureolaria  laevigata,4492,Entire-leaf Yellow False Foxglove,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,932947200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Scrophulariaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000003920FACF29C954C09B18AEE8F8E14140,116979,0101000020110F00004D86250444A761C17002257259485041,116447,>1m <=5m,ATBI DATABASE,,1446884400000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,306256,3960047,35.765402,-83.143173,Pigeon River-Cripple Creek,,3442.266846,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446884400000,GRSM,UNR,,6,,,Appalachian Trail,Big Creek Entrance Road,Valid,Aureolaria_laevigata,Aureolaria  laevigata,4492,Entire-leaf Yellow False Foxglove,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,970099200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Scrophulariaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000007167D61A36C554C02EF69DBA0DCB4140,116980,0101000020110F00002469CBC5E8A361C1385EE83A63305041,116448,>1m <=5m,ATBI DATABASE,,1446884400000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,311418,3940064,35.58635,-83.081423,Upper Cataloochee Creek,McKee Branch,4544.246582,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446884400000,GRSM,UNR,,4,,,McKee Branch Trail,The Purchase Road (closed Winter),Valid,Aureolaria_laevigata,Aureolaria  laevigata,4492,Entire-leaf Yellow False Foxglove,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,929923200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Scrophulariaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000B53102FFBBD854C0946976D5AAC94140,116977,0101000020110F0000344FB87B7DB461C1F86A869FF02E5041,116445,>1m <=5m,ATBI DATABASE,,1446884398000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,283746,3939490,35.575519,-83.38647,Deep Creek,Beetree Creek,5000.661621,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446884398000,GRSM,UNR,,7,,,Thomas Divide Trail,Newfound Gap Road South,Valid,Aureolaria_laevigata,Aureolaria  laevigata,4492,Entire-leaf Yellow False Foxglove,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1097107200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Scrophulariaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000B14C1DB65DD954C00D2CFD141FD94140,116976,0101000020110F0000295CFED306B561C1C1338DDC163F5041,116444,>1m <=5m,ATBI DATABASE,,1446884398000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,283178,3952906,35.696254,-83.396341,Porters Creek,,2646.998047,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446884398000,GRSM,UNR,,7,,,Porters Creek Trail,Porters Creek Trailhead Parking,Valid,Aureolaria_laevigata,Aureolaria  laevigata,4492,Entire-leaf Yellow False Foxglove,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,902793600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Scrophulariaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000001994095550E954C0EFF0A84FB7CB4140,116972,0101000020110F00006E3D003392C261C1D0F7735614315041,116440,>1m <=5m,ATBI DATABASE,,1446884396000,DERV,THUNDERHEAD MOUNTAIN,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,260314,3941866,35.591525,-83.645524,Little River-Crooked Creek,,4005.142822,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446884396000,GRSM,UNR,,8,,,Greenbrier Ridge Trail,Upper Tremont Road,Valid,Aureolaria_laevigata,Aureolaria  laevigata,4492,Entire-leaf Yellow False Foxglove,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,838166400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Scrophulariaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000089ED5EE97AF154C059AA15EACCCE4140,116964,0101000020110F00007FE59EBA81C961C1731D9B214D345041,116432,>1m <=5m,ATBI DATABASE,,1446884391000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,248826,3944858,35.615622,-83.773123,Abrams Creek Upper,Crooked Arm Branch,2558.450195,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446884391000,GRSM,UNR,,7,,,Crooked Arm Ridge Trail,Laurel Creek Road,Valid,Aureolaria_laevigata,Aureolaria  laevigata,4492,Entire-leaf Yellow False Foxglove,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,899856000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Scrophulariaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000005776C1E09AF654C0F3CFAD9397CE4140,116953,0101000020110F000015C17FFBDBCD61C15EEAA86815345041,116421,>1m <=5m,ATBI DATABASE,,1446884385000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,241566,3944885,35.613994,-83.853199,Abrams Creek Lower,,2162.467285,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446884385000,GRSM,UNR,,4,,,Cooper Road Trail,Cades Cove Loop Road,Valid,Aureolaria_laevigata,Aureolaria  laevigata,4492,Entire-leaf Yellow False Foxglove,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,870912000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Scrophulariaceae, ,~,observed, ,day,cert,Fridley Veg Plots
