the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000008FC8A2A911EE54C02410F5E338BC4140,118867,0101000020110F0000CEDB0F149CC661C1AFC5F4E4E8205041,118460,>1m <=5m,ATBI DATABASE,,1446885515000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253210,3928620,35.470479,-83.719824,Hazel Creek,Hazel Creek,1911.231934,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446885515000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive West,Valid,Baetis_intercalaris,Baetis  intercalaris,3441,Lesser Small Minnow Mayfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,965001600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Ephemeroptera, ,Pisciforma, , ,Baetidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E6100000BB6D076C6CEE54C0AF6FD3EB8BBC4140,118864,0101000020110F0000B8120A29E9C661C12182AD7B3F215041,118457,>1m <=5m,ATBI DATABASE,,1446885513000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252715,3928915,35.473013,-83.725363,Hazel Creek,Hazel Creek,1842.874512,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446885513000,GRSM,UNR,,6,,,Hazel Creek Trail,Lakeview Drive West,Valid,Baetis_intercalaris,Baetis  intercalaris,3441,Lesser Small Minnow Mayfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,770860800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Ephemeroptera, ,Pisciforma, , ,Baetidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E6100000AA49DEA318E454C0B5E2F91E8BBB4140,118876,0101000020110F00006DDFA7CB23BE61C182ECF8AF33205041,118467,>1m <=5m,ATBI DATABASE,,1446885520000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,267337,3927653,35.465176,-83.564,Forney Creek,,1817.035645,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446885520000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Baetis_intercalaris,Baetis  intercalaris,3441,Lesser Small Minnow Mayfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,770860800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Ephemeroptera, ,Pisciforma, , ,Baetidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E6100000C57BC7E93EDB54C0D53A11C771BE4140,118885,0101000020110F0000DEE550839FB661C18EE1CD363A235041,118475,>1m <=5m,ATBI DATABASE,,1446885525000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,279950,3929850,35.48784,-83.425711,Deep Creek,Deep Creek,2083.899658,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446885525000,GRSM,UNR,,5,,,Deep Creek Trail,Tom Branch Road,Valid,Baetis_intercalaris,Baetis  intercalaris,3441,Lesser Small Minnow Mayfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,770860800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Ephemeroptera, ,Pisciforma, , ,Baetidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E61000009E2350CFABC454C0B6F9326A21D54140,118896,0101000020110F0000DDF2915173A361C10E86A9A1EA3A5041,118487,>1m <=5m,ATBI DATABASE,,1446885533000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312367,3948781,35.665075,-83.072983,Lower Cataloochee Creek,Cataloochee Creek,2468.658691,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446885533000,GRSM,UNR,,4,,,Lawson Jenkins-Kerr Cemetery Access,Old Cataloochee Turnpike,Valid,Baetis_intercalaris,Baetis  intercalaris,3441,Lesser Small Minnow Mayfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,904003200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Ephemeroptera, ,Pisciforma, , ,Baetidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E610000099743DCC3CC754C04D6BD7B4EDCF4140,118894,0101000020110F0000288B7A4CA1A561C1894321DB7A355041,118485,>1m <=5m,ATBI DATABASE,,1446885532000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,308640,3944350,35.624435,-83.113082,Upper Cataloochee Creek,Rough Fork,2759.154297,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446885532000,GRSM,UNR,,3,,,Cataloochee Horse Trail,Cataloochee Entrance Road,Valid,Baetis_intercalaris,Baetis  intercalaris,3441,Lesser Small Minnow Mayfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,843609600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Ephemeroptera, ,Pisciforma, , ,Baetidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E6100000A3129716A7D754C0E23AFEBF35CB4140,118888,0101000020110F00001BF5294E92B361C12969AB068D305041,118478,>1m <=5m,ATBI DATABASE,,1446885527000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,285310,3940790,35.587571,-83.369569,Upper Oconaluftee River,,3260.996338,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446885527000,GRSM,UNR,,6,,,Kanati Fork Trail,Newfound Gap Road South,Valid,Baetis_intercalaris,Baetis  intercalaris,3441,Lesser Small Minnow Mayfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,900460800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Ephemeroptera, ,Pisciforma, , ,Baetidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E610000073F0841231D754C005DDC1FC13CB4140,118890,0101000020110F000092EA0A132EB361C1AEB517C469305041,118480,>1m <=5m,ATBI DATABASE,,1446885528000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,285960,3940660,35.586541,-83.362366,Upper Oconaluftee River,Oconaluftee River,2894.862305,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446885528000,GRSM,UNR,,7,,,Kanati Fork Trail,Newfound Gap Road South,Valid,Baetis_intercalaris,Baetis  intercalaris,3441,Lesser Small Minnow Mayfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,899942400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Ephemeroptera, ,Pisciforma, , ,Baetidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E6100000E64CADD3D5D354C0DAE57C2D7FC84140,118891,0101000020110F00004362225154B061C17B745DBDB72D5041,118481,>1m <=5m,ATBI DATABASE,,1446885529000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,290660,3938310,35.566374,-83.309922,Bradley Fork,Bradley Fork,2279.615479,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446885529000,GRSM,UNR,,4,,,Bradley Fork Trail,Bradly Fork Trail Road,Valid,Baetis_intercalaris,Baetis  intercalaris,3441,Lesser Small Minnow Mayfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,903571200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Ephemeroptera, ,Pisciforma, , ,Baetidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E6100000E42D2F0A4CD354C0D26BA93F5FC54140,118892,0101000020110F0000858D584BDFAF61C14619E9AC742A5041,118482,>1m <=5m,ATBI DATABASE,,1446885529000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291359,3935584,35.541962,-83.301512,Lower Oconaluftee River,Oconaluftee River,2291.101318,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446885529000,GRSM,UNR,,5,,,Tow String Horse Trail,Newfound Gap Road South,Valid,Baetis_intercalaris,Baetis  intercalaris,3441,Lesser Small Minnow Mayfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,905299200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Ephemeroptera, ,Pisciforma, , ,Baetidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E6100000373C391A92DA54C083C7A0DBD7CC4140,118886,0101000020110F000086C1A5BE0CB661C1A4CF21B741325041,118476,>1m <=5m,ATBI DATABASE,,1446885525000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,281213,3942306,35.600331,-83.415163,Upper Oconaluftee River,,4144.15918,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446885525000,GRSM,UNR,,7,,,Beech Flats Quiet Walkway,Newfound Gap Road South,Valid,Baetis_intercalaris,Baetis  intercalaris,3441,Lesser Small Minnow Mayfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,902102400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Ephemeroptera, ,Pisciforma, , ,Baetidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E6100000AA895C751FDE54C061BB62E30DD04140,118884,0101000020110F0000A59AA10F11B961C1B8CA237B9C355041,118474,>1m <=5m,ATBI DATABASE,,1446885524000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,276254,3945214,35.625417,-83.470666,West Prong Little Pigeon River Upper,Road Prong,3852.868408,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446885524000,GRSM,UNR,,5,,,Chimney Tops Trail,Chimney Tops Trailhead Overflow Pullout Parkng,Valid,Baetis_intercalaris,Baetis  intercalaris,3441,Lesser Small Minnow Mayfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,928800000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Ephemeroptera, ,Pisciforma, , ,Baetidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E61000008AA37A84DDD054C0C32EFB9635D24140,118893,0101000020110F0000209B0096CEAD61C1639F08FDDC375041,118484,>1m <=5m,ATBI DATABASE,,1446885531000,DERV,MOUNT GUYOT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,295060,3946630,35.642254,-83.263516,Upper Raven Fork,Raven Fork,4495.080078,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446885531000,GRSM,UNR,,4,,,Hyatt Ridge Trail,Beech Gap Trailhead Parking #2,Valid,Baetis_intercalaris,Baetis  intercalaris,3441,Lesser Small Minnow Mayfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,807235200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Ephemeroptera, ,Pisciforma, , ,Baetidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E610000059403E07C7D154C01B3C99AD2CDE4140,118871,0101000020110F0000B22120E894AE61C1ADA5610360445041,118483,>1m <=5m,ATBI DATABASE,,1446885530000,DERV,MOUNT GUYOT,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,294010,3957030,35.735732,-83.277769,Cosby Creek,Indian Camp Creek,3219.437744,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446885530000,GRSM,UNR,,6,,,Albright Grove NatureTrail,Cosby Campground Road B,Valid,Baetis_intercalaris,Baetis  intercalaris,3441,Lesser Small Minnow Mayfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,990057600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Ephemeroptera, ,Pisciforma, , ,Baetidae, ,~,by hand, , ,cert,ATBI
0101000020E6100000B1C377E6CED754C09B39860261DF4140,118889,0101000020110F000017FB201EB4B361C1F46E9EA3A2455041,118479,>1m <=5m,ATBI DATABASE,,1446885527000,DERV,MOUNT GUYOT,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,285512,3958276,35.745141,-83.371999,Webb Creek,,1434.059204,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446885527000,GRSM,UNR,,4,,,Old Settlers Trail,Greenbrier Unpaved Road,Valid,Baetis_intercalaris,Baetis  intercalaris,3441,Lesser Small Minnow Mayfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,839462400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Ephemeroptera, ,Pisciforma, , ,Baetidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E610000025E1087357D954C0A4FE59779CDF4140,118887,0101000020110F000088587F8201B561C181E933DBE0455041,118477,>1m <=5m,ATBI DATABASE,,1446885526000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,283350,3958530,35.746956,-83.395958,Little Pigeon River Middle,Copeland Creek,1361.612183,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446885526000,GRSM,UNR,,2,,,Old Settlers Trail,Greenbrier Road,Valid,Baetis_intercalaris,Baetis  intercalaris,3441,Lesser Small Minnow Mayfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,838080000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Ephemeroptera, ,Pisciforma, , ,Baetidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E610000069AA223AF6DE54C0B354273FE0D84140,118882,0101000020110F0000B2E1D176C7B961C162668326D53E5041,118472,>1m <=5m,ATBI DATABASE,,1446885523000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,275260,3952890,35.694337,-83.483774,Baskins Creek,Falls Branch,2314.302734,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446885523000,GRSM,UNR,,7,,,Baskins Creek Trail,Roaring Fork Motor Nature Trail,Valid,Baetis_intercalaris,Baetis  intercalaris,3441,Lesser Small Minnow Mayfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,808012800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Ephemeroptera, ,Pisciforma, , ,Baetidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E61000008AC33434E7E854C0263B3ADEBFD54140,118875,0101000020110F0000F5C2ECE938C261C13E916947903B5041,118466,>1m <=5m,ATBI DATABASE,,1446885519000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,261129,3950547,35.669911,-83.639107,Little River-Goshen Prong,,1913.619873,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446885519000,GRSM,UNR,,10,,,Curry Mountain Trail,Little River Gorge Road,Valid,Baetis_intercalaris,Baetis  intercalaris,3441,Lesser Small Minnow Mayfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,993945600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Ephemeroptera, ,Pisciforma, , ,Baetidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E61000005D4BE7A73EED54C043E2E87B64D44140,118868,0101000020110F0000AFECC8DEE8C561C1C853C322253A5041,118461,>1m <=5m,ATBI DATABASE,,1446885515000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,254955,3949538,35.65931,-83.706945,Little River-Goshen Prong,Little River,1184.109619,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446885515000,GRSM,UNR,,7,,,Roundtop Trail,Little River Gorge Road,Valid,Baetis_intercalaris,Baetis  intercalaris,3441,Lesser Small Minnow Mayfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,990057600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Ephemeroptera, ,Pisciforma, , ,Baetidae, ,~,by hand, , ,cert,ATBI
0101000020E6100000A16CD7D263EC54C0E411DC48D9D54140,118869,0101000020110F0000564D14042FC561C16902B4D9AA3B5041,118462,>1m <=5m,ATBI DATABASE,,1446885516000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,256199,3950767,35.670687,-83.693589,Little River-Goshen Prong,Little River,1208.904907,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446885516000,GRSM,UNR,,3,,,Roundtop Trail,Lr Pullout Parking @ Mp 10.542,Valid,Baetis_intercalaris,Baetis  intercalaris,3441,Lesser Small Minnow Mayfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1179446400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Ephemeroptera, ,Pisciforma, , ,Baetidae, ,~,by hand,No, ,cert,EPT DNA Barcoding
0101000020E6100000AD536E0008E054C0E436D7C69ED74140,118879,0101000020110F0000E4F721FBAFBA61C101200FFE843D5041,118470,>1m <=5m,ATBI DATABASE,,1446885522000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,273720,3951840,35.684526,-83.500484,Le Conte Creek,Le Conte Creek,2093.03125,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446885522000,GRSM,UNR,,4,,,Twin Creeks Trail,Natural Resources Center Parking #4,Valid,Baetis_intercalaris,Baetis  intercalaris,3441,Lesser Small Minnow Mayfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,850262400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Ephemeroptera, ,Pisciforma, , ,Baetidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E6100000A5AC796A62E354C0EEE0F4F6F3D14140,118878,0101000020110F0000F9C44F0889BD61C1B775026898375041,118469,>1m <=5m,ATBI DATABASE,,1446885521000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,268850,3947050,35.640251,-83.552878,Little River-Goshen Prong,Huskey Branch,2656.572266,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446885521000,GRSM,UNR,,4,,,Little River Trail,Little River Road,Valid,Baetis_intercalaris,Baetis  intercalaris,3441,Lesser Small Minnow Mayfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,906940800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Ephemeroptera, ,Pisciforma, , ,Baetidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E61000002D23869454E454C0442739A4B4CB4140,118877,0101000020110F0000CF6AE0B356BE61C1AA54AA8C11315041,118468,>1m <=5m,ATBI DATABASE,,1446885520000,DERV,SILERS BALD,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,267370,3941670,35.591443,-83.567658,Little River-Goshen Prong,Silers Creek,3636.584717,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446885520000,GRSM,UNR,,6,,,Goshen Prong Trail,Elkmont Cemetery Road,Valid,Baetis_intercalaris,Baetis  intercalaris,3441,Lesser Small Minnow Mayfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,839289600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Ephemeroptera, ,Pisciforma, , ,Baetidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E610000017619C5545EA54C0148876CC3BC04140,118872,0101000020110F0000418A9A4762C361C13181D8FF17255041,118463,>1m <=5m,ATBI DATABASE,,1446885517000,DERV,THUNDERHEAD MOUNTAIN,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,258690,3931950,35.501818,-83.660478,Hazel Creek,Cold Spring Branch,2605.751953,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446885517000,GRSM,UNR,,6,,,Cold Spring Gap Trail,Lakeview Drive East Parking #4,Valid,Baetis_intercalaris,Baetis  intercalaris,3441,Lesser Small Minnow Mayfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,809222400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Ephemeroptera, ,Pisciforma, , ,Baetidae, ,~,by hand, , ,cert,Inventory & Monitoring
