the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000E76521F50FF854C0DCEDF42F7BBE4140,125699,0101000020110F0000DEAECAD618CF61C11B2F6D0744235041,125252,>1m <=5m,ATBI DATABASE,,1446889398000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239095,3930980,35.488128,-83.87597,Lake Cheoah-Little Tennessee River,Dalton Branch,2023.961304,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446889398000,GRSM,UNR,,5,,,Wolf Ridge Trail,Twenty Mile Trailhead Parking,Valid,Botrychium_virginianum,Botrychium  virginianum,5470,Rattlesnake Fern,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1086998400000,Plantae,Tracheobionta, , ,Filicopsida, ,Pteridophyta, , , ,Ophioglossales, , , , ,Ophioglossaceae, ,~,observed, , ,cert,ATBI Ferns
0101000020E610000042B31B18C1F754C0B45756DC30BC4140,125702,0101000020110F00003BB03FDCD5CE61C15B3D4985E0205041,125255,>1m <=5m,ATBI DATABASE,,1446889399000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239474,3928982,35.470234,-83.871156,Lake Cheoah-Little Tennessee River,Twentymile Creek,1425.765137,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446889399000,GRSM,UNR,,4,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Botrychium_virginianum,Botrychium  virginianum,5470,Rattlesnake Fern,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1086998400000,Plantae,Tracheobionta, , ,Filicopsida, ,Pteridophyta, , , ,Ophioglossales, , , , ,Ophioglossaceae, ,~,observed, , ,cert,ATBI Ferns
0101000020E61000007FD6CCBF15F754C0453AD00B43BC4140,125713,0101000020110F0000D435475644CE61C102F12E7CF3205041,125264,>1m <=5m,ATBI DATABASE,,1446889403000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,240425,3929016,35.470789,-83.860698,Lake Cheoah-Little Tennessee River,Twentymile Creek,1721.15686,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446889403000,GRSM,UNR,,5,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Botrychium_virginianum,Botrychium  virginianum,5470,Rattlesnake Fern,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1086998400000,Plantae,Tracheobionta, , ,Filicopsida, ,Pteridophyta, , , ,Ophioglossales, , , , ,Ophioglossaceae, ,~,observed, , ,cert,ATBI Ferns
0101000020E61000004DC72F5E61F754C096941D1D42BC4140,125708,0101000020110F0000FBA45C8F84CE61C131884283F2205041,125260,>1m <=5m,ATBI DATABASE,,1446889401000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,240006,3929025,35.470761,-83.865314,Lake Cheoah-Little Tennessee River,Twentymile Creek,1595.85376,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446889401000,GRSM,UNR,,4,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Botrychium_virginianum,Botrychium  virginianum,5470,Rattlesnake Fern,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1086998400000,Plantae,Tracheobionta, , ,Filicopsida, ,Pteridophyta, , , ,Ophioglossales, , , , ,Ophioglossaceae, ,~,observed, , ,cert,ATBI Ferns
0101000020E610000068688DEBA6F654C0812B181695BC4140,125722,0101000020110F00006C1EB835E6CD61C123EE870A49215041,125273,>1m <=5m,ATBI DATABASE,,1446889408000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,241047,3929276,35.473293,-83.853934,Lake Cheoah-Little Tennessee River,Twentymile Creek,1857.014771,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446889408000,GRSM,UNR,,5,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Botrychium_virginianum,Botrychium  virginianum,5470,Rattlesnake Fern,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1086998400000,Plantae,Tracheobionta, , ,Filicopsida, ,Pteridophyta, , , ,Ophioglossales, , , , ,Ophioglossaceae, ,~,observed, , ,cert,ATBI Ferns
0101000020E61000000B569A6942F654C00422140008BD4140,125726,0101000020110F00003ED843D990CD61C11C9663E2C0215041,125277,>1m <=5m,ATBI DATABASE,,1446889410000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,241615,3929649,35.4768,-83.847799,Lake Cheoah-Little Tennessee River,,1996.108032,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446889410000,GRSM,UNR,,3,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Botrychium_virginianum,Botrychium  virginianum,5470,Rattlesnake Fern,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1086998400000,Plantae,Tracheobionta, , ,Filicopsida, ,Pteridophyta, , , ,Ophioglossales, , , , ,Ophioglossaceae, ,~,observed, , ,cert,ATBI Ferns
0101000020E61000001705ADFF14F654C061F15C5E87BD4140,125727,0101000020110F0000818E5C476ACD61C12239DFB845225041,125278,>1m <=5m,ATBI DATABASE,,1446889410000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,241879,3930073,35.480687,-83.845028,Lake Cheoah-Little Tennessee River,Twentymile Creek,2090.133789,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446889410000,GRSM,UNR,,2,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Botrychium_virginianum,Botrychium  virginianum,5470,Rattlesnake Fern,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1086998400000,Plantae,Tracheobionta, , ,Filicopsida, ,Pteridophyta, , , ,Ophioglossales, , , , ,Ophioglossaceae, ,~,observed, , ,cert,ATBI Ferns
0101000020E61000006F22C00AACF654C0BF6C9549D5BD4140,125723,0101000020110F0000ACF9518FEACD61C1771F7DFD96225041,125274,>1m <=5m,ATBI DATABASE,,1446889408000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,241050,3930361,35.483065,-83.854246,Lake Cheoah-Little Tennessee River,,2454.5896,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446889408000,GRSM,UNR,,4,,,Twentymile Loop Trail,Twenty Mile Trailhead Parking,Valid,Botrychium_virginianum,Botrychium  virginianum,5470,Rattlesnake Fern,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1181347200000,Plantae,Tracheobionta, , ,Filicopsida, ,Pteridophyta, , , ,Ophioglossales, , , , ,Ophioglossaceae, ,~,observed, , ,cert,ATBI Ferns
0101000020E6100000BD28C3B6BAF654C0B41DC5CCCDBD4140,125720,0101000020110F0000015F4D05F7CD61C109E9412E8F225041,125271,>1m <=5m,ATBI DATABASE,,1446889407000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,240968,3930338,35.482836,-83.855142,Lake Cheoah-Little Tennessee River,,2507.046387,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446889407000,GRSM,UNR,,2,,,Twentymile Loop Trail,Twenty Mile Trailhead Parking,Valid,Botrychium_virginianum,Botrychium  virginianum,5470,Rattlesnake Fern,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1181347200000,Plantae,Tracheobionta, , ,Filicopsida, ,Pteridophyta, , , ,Ophioglossales, , , , ,Ophioglossaceae, ,~,observed, , ,cert,ATBI Ferns
0101000020E61000007A1D978FC9F654C0927C2F02C6BD4140,125719,0101000020110F00002CBB58A103CE61C185E0EA0D87225041,125270,>1m <=5m,ATBI DATABASE,,1446889406000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,240885,3930314,35.482598,-83.856048,Lake Cheoah-Little Tennessee River,,2540.72168,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446889406000,GRSM,UNR,,6,,,Twentymile Loop Trail,Twenty Mile Trailhead Parking,Valid,Botrychium_virginianum,Botrychium  virginianum,5470,Rattlesnake Fern,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1181347200000,Plantae,Tracheobionta, , ,Filicopsida, ,Pteridophyta, , , ,Ophioglossales, , , , ,Ophioglossaceae, ,~,observed, , ,cert,ATBI Ferns
