the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E610000065862BD2EAFB54C0F5C03D92FCBF4140,128079,0101000020110F0000724282FB5ED261C1E265E609D6245041,127641,>1m <=5m,ATBI DATABASE,,1446890737000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,233668,3932446,35.499889,-83.936203,Chilhowee Lake,,1546.21521,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446890737000,GRSM,UNR,,6,,,Wolf Ridge Trail,Parson Branch Road (closed Winter),Valid,Cambarus_Cambarus_bartonii,Cambarus Cambarus bartonii,5196,Appalachian Brook Crayfish,Misc Arthropod,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1373846400000,Animalia, ,Arthropoda,Malacostraca,Eumalacostraca, , ,Protostomia,Ecdysozoa,Eucarida,Decapoda, , , , ,Cambaridae, ,~,seine, , ,cert,Crayfish Inventory
0101000020E6100000D92045902FF854C09169D245C1BB4140,128087,0101000020110F0000605F99AE33CF61C14683D5276C205041,127649,>1m <=5m,ATBI DATABASE,,1446890741000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,238851,3928622,35.466829,-83.877899,Lake Cheoah-Little Tennessee River,Twentymile Creek,1297.741455,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446890741000,GRSM,UNR,,5,,,Twentymile Trail,Twenty Mile Ranger Station Parking # 1,Valid,Cambarus_Cambarus_bartonii,Cambarus Cambarus bartonii,5196,Appalachian Brook Crayfish,Misc Arthropod,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1373846400000,Animalia, ,Arthropoda,Malacostraca,Eumalacostraca, , ,Protostomia,Ecdysozoa,Eucarida,Decapoda, , , , ,Cambaridae, ,~,seine, , ,cert,Crayfish Inventory
0101000020E61000009DD5D24116F854C0B4BDB9A6DDBB4140,128088,0101000020110F0000D2D673301ECF61C13030A1BF89205041,127650,>1m <=5m,ATBI DATABASE,,1446890742000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,238994,3928714,35.467695,-83.876354,Lake Cheoah-Little Tennessee River,Twentymile Creek,1329.22522,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446890742000,GRSM,UNR,,1,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Cambarus_Cambarus_bartonii,Cambarus Cambarus bartonii,5196,Appalachian Brook Crayfish,Misc Arthropod,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1272499200000,Animalia, ,Arthropoda,Malacostraca,Eumalacostraca, , ,Protostomia,Ecdysozoa,Eucarida,Decapoda, , , , ,Cambaridae, ,~,by hand,No,day,cert,Branchiobdellidans
0101000020E6100000158C06608BF454C0D93E2B0323BB4140,128109,0101000020110F00007B4F5DF91BCC61C18AE1E720C71F5041,127671,>1m <=5m,ATBI DATABASE,,1446890753000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,244000,3927937,35.461999,-83.821003,Lake Cheoah-Little Tennessee River,,1718.327026,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446890753000,GRSM,UNR,,5,,,Fairfax/Old Payne (Palmer) Access,Payne Cemetery Access Road,Valid,Cambarus_Cambarus_bartonii,Cambarus Cambarus bartonii,5196,Appalachian Brook Crayfish,Misc Arthropod,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1087257600000,Animalia, ,Arthropoda,Malacostraca,Eumalacostraca, , ,Protostomia,Ecdysozoa,Eucarida,Decapoda, , , , ,Cambaridae, ,~,dip net,No,day,cert,Northshore Road EIS
0101000020E6100000330F212DBCF754C0AEEACA466BBC4140,128090,0101000020110F0000F759FFAED1CE61C1F86A72701D215041,127652,>1m <=5m,ATBI DATABASE,,1446890743000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239507,3929179,35.472017,-83.870856,Lake Cheoah-Little Tennessee River,Moore Springs Branch,1470.776367,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446890743000,GRSM,UNR,,1,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Cambarus_Cambarus_bartonii,Cambarus Cambarus bartonii,5196,Appalachian Brook Crayfish,Misc Arthropod,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1373846400000,Animalia, ,Arthropoda,Malacostraca,Eumalacostraca, , ,Protostomia,Ecdysozoa,Eucarida,Decapoda, , , , ,Cambaridae, ,~,seine, , ,cert,Crayfish Inventory
0101000020E6100000FEEF8351DBF154C03DB0C94535BE4140,128118,0101000020110F00008CA8799BD3C961C11B63BB1AFB225041,127680,>1m <=5m,ATBI DATABASE,,1446890758000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,247887,3930491,35.485994,-83.779007,Eagle Creek,Lost Cove Creek,1807.843018,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446890758000,GRSM,UNR,,5,,,Lakeshore Trail,Lakeview Drive West,Valid,Cambarus_Cambarus_bartonii,Cambarus Cambarus bartonii,5196,Appalachian Brook Crayfish,Misc Arthropod,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1087257600000,Animalia, ,Arthropoda,Malacostraca,Eumalacostraca, , ,Protostomia,Ecdysozoa,Eucarida,Decapoda, , , , ,Cambaridae, ,~,dip net,No,day,cert,Northshore Road EIS
0101000020E6100000D3227F8988F154C0F32619226FBE4140,128120,0101000020110F00002B48164D8DC961C1FE4EAF7437235041,127682,>1m <=5m,ATBI DATABASE,,1446890759000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,248351,3930674,35.48776,-83.773954,Eagle Creek,Eagle Creek,1730.634399,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446890759000,GRSM,UNR,,3,,,Lakeshore Trail,Lakeview Drive West,Valid,Cambarus_Cambarus_bartonii,Cambarus Cambarus bartonii,5196,Appalachian Brook Crayfish,Misc Arthropod,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1341273600000,Animalia, ,Arthropoda,Malacostraca,Eumalacostraca, , ,Protostomia,Ecdysozoa,Eucarida,Decapoda, , , , ,Cambaridae, ,~,seine, , ,cert,Crayfish Inventory
0101000020E6100000A463165389F154C04CE6FA6C14BE4140,128119,0101000020110F000098564CF88DC961C1887B17D8D8225041,127681,>1m <=5m,ATBI DATABASE,,1446890758000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,248338,3930367,35.484992,-83.774002,Eagle Creek,Eagle Creek,1718.006592,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446890758000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive West,Valid,Cambarus_Cambarus_bartonii,Cambarus Cambarus bartonii,5196,Appalachian Brook Crayfish,Misc Arthropod,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1087257600000,Animalia, ,Arthropoda,Malacostraca,Eumalacostraca, , ,Protostomia,Ecdysozoa,Eucarida,Decapoda, , , , ,Cambaridae, ,~,dip net,No,day,cert,Northshore Road EIS
0101000020E6100000165895B722F154C03B4E085F50BE4140,128122,0101000020110F000028794CD336C961C1FCDD915E17235041,127684,>1m <=5m,ATBI DATABASE,,1446890760000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,248912,3930554,35.486821,-83.76774,Eagle Creek,Eagle Creek,1777.180176,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446890760000,GRSM,UNR,,6,,,Eagle Creek Trail,Lakeview Drive West,Valid,Cambarus_Cambarus_bartonii,Cambarus Cambarus bartonii,5196,Appalachian Brook Crayfish,Misc Arthropod,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1341273600000,Animalia, ,Arthropoda,Malacostraca,Eumalacostraca, , ,Protostomia,Ecdysozoa,Eucarida,Decapoda, , , , ,Cambaridae, ,~,seine, , ,cert,Crayfish Inventory
0101000020E61000001984735287EE54C0ADBD6514ACBC4140,128129,0101000020110F0000F90DAE0100C761C1AFBD370561215041,127691,>1m <=5m,ATBI DATABASE,,1446890764000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252569,3929028,35.473995,-83.727005,Hazel Creek,Hazel Creek,1705.917236,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446890764000,GRSM,UNR,,5,,,Lakeshore Trail,Lakeview Drive West,Valid,Cambarus_Cambarus_bartonii,Cambarus Cambarus bartonii,5196,Appalachian Brook Crayfish,Misc Arthropod,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1089763200000,Animalia, ,Arthropoda,Malacostraca,Eumalacostraca, , ,Protostomia,Ecdysozoa,Eucarida,Decapoda, , , , ,Cambaridae, ,~,dip net,No,day,cert,Northshore Road EIS
0101000020E61000003585A8374DEF54C06AC3873043BD4140,128123,0101000020110F0000C24B4214A8C761C12762529DFE215041,127685,>1m <=5m,ATBI DATABASE,,1446890760000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,251487,3929570,35.478606,-83.739084,Hazel Creek,Shehan Branch,1888.751953,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446890760000,GRSM,UNR,,3,,,Lakeshore Trail,Lakeview Drive West,Valid,Cambarus_Cambarus_bartonii,Cambarus Cambarus bartonii,5196,Appalachian Brook Crayfish,Misc Arthropod,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1341273600000,Animalia, ,Arthropoda,Malacostraca,Eumalacostraca, , ,Protostomia,Ecdysozoa,Eucarida,Decapoda, , , , ,Cambaridae, ,~,seine, , ,cert,Crayfish Inventory
