the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000004D6BB515A8D654C061EE3733AAE14140,128236,0101000020110F0000CC3B17BBB9B261C16510431007485041,127798,>1m <=5m,ATBI DATABASE,,1446890826000,DERV,JONES COVE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,287187,3960218,35.763,-83.354005,Webb Creek,Warden Branch,1528.995361,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446890826000,GRSM,UNR,,4,,,Old Settlers Trail,Greenbrier Unpaved Road,Valid,Cambarus_Hiaticambarus_longirostris,Cambarus Hiaticambarus longirostris,5201,Crayfish,Misc Arthropod,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,771638400000,Animalia, ,Arthropoda,Malacostraca,Eumalacostraca, , ,Protostomia,Ecdysozoa,Eucarida,Decapoda, , , , ,Cambaridae, ,~,by hand,No,year,cert,Foothills Parkway Sec 8B
0101000020E610000026C89B0B42D254C006B95FD3FDE14140,128237,0101000020110F000034EF9962FDAE61C1DB0B9B975E485041,127799,>1m <=5m,ATBI DATABASE,,1446890827000,DERV,JONES COVE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,293408,3960354,35.765552,-83.285277,East Fork Dunn Creek,Dunn Creek,1994.19751,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446890827000,GRSM,UNR,,7,,,Old Settlers Trail,Foothills Parkway Section 8a,Valid,Cambarus_Hiaticambarus_longirostris,Cambarus Hiaticambarus longirostris,5201,Crayfish,Misc Arthropod,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,936230400000,Animalia, ,Arthropoda,Malacostraca,Eumalacostraca, , ,Protostomia,Ecdysozoa,Eucarida,Decapoda, , , , ,Cambaridae, ,~,unspecified, ,day,cert,General
0101000020E61000007D023FE2ABCD54C01215F17097E34140,128240,0101000020110F00008FCA5B2B18AB61C14A6ACA5D0B4A5041,127802,>1m <=5m,ATBI DATABASE,,1446890828000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299919,3961592,35.778052,-83.213612,Cosby Creek,Cosby Creek,1740.437012,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446890828000,GRSM,UNR,,6,,,Tritt Cemetery Access Trail,Cosby Government Quarters / Ranger Station Access Road,Valid,Cambarus_Hiaticambarus_longirostris,Cambarus Hiaticambarus longirostris,5201,Crayfish,Misc Arthropod,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,936230400000,Animalia, ,Arthropoda,Malacostraca,Eumalacostraca, , ,Protostomia,Ecdysozoa,Eucarida,Decapoda, , , , ,Cambaridae, ,~,unspecified, ,day,cert,General
0101000020E6100000A56273D3FBCD54C0345C842C42E44140,128238,0101000020110F0000A79776105CAB61C1A000C41ABE4A5041,127800,>1m <=5m,ATBI DATABASE,,1446890828000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299491,3962180,35.783263,-83.218491,Cosby Creek,Cosby Creek,1662.979858,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446890828000,GRSM,UNR,,3,,,Tritt Cemetery Access Trail,Cosby Entrance Road,Valid,Cambarus_Hiaticambarus_longirostris,Cambarus Hiaticambarus longirostris,5201,Crayfish,Misc Arthropod,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1371859200000,Animalia, ,Arthropoda,Malacostraca,Eumalacostraca, , ,Protostomia,Ecdysozoa,Eucarida,Decapoda, , , , ,Cambaridae, ,~,seine, , ,cert,Crayfish Inventory
0101000020E61000005FD93F2EF5CD54C0AC6AEE8D46E44140,128239,0101000020110F0000AFE7A16B56AB61C19C1ECDB0C24A5041,127801,>1m <=5m,ATBI DATABASE,,1446890828000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299528,3962194,35.783396,-83.218086,Cosby Creek,Cosby Creek,1657.877686,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446890828000,GRSM,UNR,,8,,,Tritt Cemetery Access Trail,Cosby Entrance Road,Valid,Cambarus_Hiaticambarus_longirostris,Cambarus Hiaticambarus longirostris,5201,Crayfish,Misc Arthropod,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1273017600000,Animalia, ,Arthropoda,Malacostraca,Eumalacostraca, , ,Protostomia,Ecdysozoa,Eucarida,Decapoda, , , , ,Cambaridae, ,~,by hand,No,day,cert,Branchiobdellidans
0101000020E61000002625332D7DDA54C042645E3539DE4140,128232,0101000020110F000052EDECF8FAB561C1C23AAC1F6D445041,127794,>1m <=5m,ATBI DATABASE,,1446890824000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,281699,3957367,35.736114,-83.413886,Little Pigeon River Middle,Little Pigeon River,1367.463501,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446890824000,GRSM,UNR,,4,,,Duds Branch Concession Horse Trail,Greenbrier Road,Valid,Cambarus_Hiaticambarus_longirostris,Cambarus Hiaticambarus longirostris,5201,Crayfish,Misc Arthropod,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,936489600000,Animalia, ,Arthropoda,Malacostraca,Eumalacostraca, , ,Protostomia,Ecdysozoa,Eucarida,Decapoda, , , , ,Cambaridae, ,~,unspecified, ,day,cert,General
0101000020E6100000017BB5D1B0D954C03184E014FDDC4140,128234,0101000020110F0000C8D65C694DB561C182B9146122435041,127796,>1m <=5m,ATBI DATABASE,,1446890825000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,282801,3956269,35.726467,-83.401413,Little Pigeon River Middle,Little Pigeon River,1452.343506,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446890825000,GRSM,UNR,,5,,,Old Settlers Trail,Greenbrier Unpaved Road,Valid,Cambarus_Hiaticambarus_longirostris,Cambarus Hiaticambarus longirostris,5201,Crayfish,Misc Arthropod,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1271980800000,Animalia, ,Arthropoda,Malacostraca,Eumalacostraca, , ,Protostomia,Ecdysozoa,Eucarida,Decapoda, , , , ,Cambaridae, ,~,by hand,No,day,cert,Branchiobdellidans
0101000020E6100000FBFB8FC3B5D954C06B9E49B900DD4140,128233,0101000020110F000000D4739C51B561C1FC218C3026435041,127795,>1m <=5m,ATBI DATABASE,,1446890824000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,282774,3956282,35.726578,-83.401715,Little Pigeon River Middle,,1453.656616,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446890824000,GRSM,UNR,,6,,,Old Settlers Trail,Greenbrier Unpaved Road,Valid,Cambarus_Hiaticambarus_longirostris,Cambarus Hiaticambarus longirostris,5201,Crayfish,Misc Arthropod,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1371859200000,Animalia, ,Arthropoda,Malacostraca,Eumalacostraca, , ,Protostomia,Ecdysozoa,Eucarida,Decapoda, , , , ,Cambaridae, ,~,seine, , ,cert,Crayfish Inventory
0101000020E61000004D8680CF91D854C001E131A61ADB4140,128235,0101000020110F0000CC17B2A759B461C19EBE72B729415041,127797,>1m <=5m,ATBI DATABASE,,1446890826000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,284346,3954597,35.711744,-83.383896,Little Pigeon River Middle,Little Pigeon River,1636.914429,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446890826000,GRSM,UNR,,5,,,Old Settlers Trail,Greenbrier Picnic Area  Parking,Valid,Cambarus_Hiaticambarus_longirostris,Cambarus Hiaticambarus longirostris,5201,Crayfish,Misc Arthropod,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1363824000000,Animalia, ,Arthropoda,Malacostraca,Eumalacostraca, , ,Protostomia,Ecdysozoa,Eucarida,Decapoda, , , , ,Cambaridae, ,~,seine, , ,cert,Crayfish Inventory
0101000020E610000082979AB65FE254C05306A68434D84140,128231,0101000020110F0000C8A7F550ADBC61C1E7490892213E5041,127793,>1m <=5m,ATBI DATABASE,,1446890823000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,270420,3952432,35.689096,-83.537088,West Prong Little Pigeon River Upper,,1435.920288,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446890823000,GRSM,UNR,,5,,,Cove Mountain Trail,Park Headquarters Road,Valid,Cambarus_Hiaticambarus_longirostris,Cambarus Hiaticambarus longirostris,5201,Crayfish,Misc Arthropod,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1373932800000,Animalia, ,Arthropoda,Malacostraca,Eumalacostraca, , ,Protostomia,Ecdysozoa,Eucarida,Decapoda, , , , ,Cambaridae, ,~,seine, , ,cert,Crayfish Inventory
0101000020E6100000092E453BCCE954C05D73A6940DD74140,128228,0101000020110F00007D584E6DFBC261C17D87052DED3C5041,127790,>1m <=5m,ATBI DATABASE,,1446890821000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,259894,3951711,35.680095,-83.653086,Little River-Goshen Prong,Little River,1675.995239,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446890821000,GRSM,UNR,,5,,,Metcalf Bottoms Trail,Little River Gorge Road,Valid,Cambarus_Hiaticambarus_longirostris,Cambarus Hiaticambarus longirostris,5201,Crayfish,Misc Arthropod,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1374105600000,Animalia, ,Arthropoda,Malacostraca,Eumalacostraca, , ,Protostomia,Ecdysozoa,Eucarida,Decapoda, , , , ,Cambaridae, ,~,seine, , ,cert,Crayfish Inventory
