the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000009145C03F4AFB54C053695EEAF4BD4140,128509,0101000020110F00001375D09BD6D161C11CBD79FAB7225041,128065,>1m <=5m,ATBI DATABASE,,1446890979000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,234505,3930660,35.48403,-83.926403,Chilhowee Lake,,2145.195557,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446890979000,GRSM,UNR,,8,,,Wolf Ridge Trail,Parson Branch Road (closed Winter),Valid,Campanula_divaricata,Campanula  divaricata,5276,Southern Harebell,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Campanulales, , , , ,Campanulaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000E3CBE69F90F754C0550852D335BC4140,128524,0101000020110F0000F678F4B1ACCE61C1A4A4B5B2E5205041,128081,>1m <=5m,ATBI DATABASE,,1446890987000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239743,3928991,35.470386,-83.868198,Lake Cheoah-Little Tennessee River,Twentymile Creek,1552.283447,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446890987000,GRSM,UNR,,6,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Campanula_divaricata,Campanula  divaricata,5276,Southern Harebell,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1000944000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Campanulales, , , , ,Campanulaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000C9717A86ACF754C0ADA084015ABC4140,128523,0101000020110F000059CC2564C4CE61C13955B66D0B215041,128080,>1m <=5m,ATBI DATABASE,,1446890987000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239592,3929118,35.47149,-83.869901,Lake Cheoah-Little Tennessee River,Twentymile Creek,1512.143066,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446890987000,GRSM,UNR,,4,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Campanula_divaricata,Campanula  divaricata,5276,Southern Harebell,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1000944000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Campanulales, , , , ,Campanulaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000DA06D7A467F754C01D4B84BF3FBC4140,128527,0101000020110F0000599FE4E389CE61C190D6B70BF0205041,128083,>1m <=5m,ATBI DATABASE,,1446890988000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239971,3929018,35.470689,-83.865697,Lake Cheoah-Little Tennessee River,Twentymile Creek,1602.398926,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446890988000,GRSM,UNR,,4,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Campanula_divaricata,Campanula  divaricata,5276,Southern Harebell,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1000944000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Campanulales, , , , ,Campanulaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E610000002B873A3E0ED54C0CA3731DD91BB4140,128556,0101000020110F00003DD62F7172C661C1B8E803B83A205041,128111,>1m <=5m,ATBI DATABASE,,1446891003000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253466,3928047,35.465382,-83.716832,Hazel Creek,Laurel Branch,1903.563232,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446891003000,GRSM,UNR,,8,,,Lakeshore Trail,Lakeview Drive West,Valid,Campanula_divaricata,Campanula  divaricata,5276,Southern Harebell,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1096934400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Campanulales, , , , ,Campanulaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000731507A790EF54C05A440FDA7DBD4140,128555,0101000020110F00009C440B5AE1C761C130F8E3CB3B225041,128110,>1m <=5m,ATBI DATABASE,,1446891003000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,251119,3929779,35.480396,-83.7432,Hazel Creek,Shehan Branch,1973.419434,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446891003000,GRSM,UNR,,1,,,Lakeshore Trail,Lakeview Drive West,Valid,Campanula_divaricata,Campanula  divaricata,5276,Southern Harebell,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1096761600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Campanulales, , , , ,Campanulaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000C9E0CB519BE754C039DED8440AB94140,128561,0101000020110F000038D6520B1FC161C169C06B82971D5041,128116,>1m <=5m,ATBI DATABASE,,1446891006000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,262301,3925614,35.445619,-83.618851,Lower Fontana Lake-Little Tennessee River,Chambers Creek,1723.25061,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446891006000,GRSM,UNR,,8,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Campanula_divaricata,Campanula  divaricata,5276,Southern Harebell,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065398400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Campanulales, , , , ,Campanulaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000223B79D546E654C0D545A1A4C1B94140,128562,0101000020110F00004305A3DEFDBF61C154C3A2AF561E5041,128117,>1m <=5m,ATBI DATABASE,,1446891006000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,264204,3926185,35.451215,-83.598069,Fontana Lake-Tuckasegee River,,1941.074341,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446891006000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Campanula_divaricata,Campanula  divaricata,5276,Southern Harebell,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065484800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Campanulales, , , , ,Campanulaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000000768A4A3B1DF54C0F5A1C8F01EBA4140,128563,0101000020110F0000EDA621A266BA61C12A7A5AF5B71E5041,128118,>1m <=5m,ATBI DATABASE,,1446891007000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273549,3926260,35.454062,-83.495213,Fontana Lake-Tuckasegee River,Little Peachtree Creek,2351.469727,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446891007000,GRSM,UNR,,5,,,Conner @ Hickory Flats Cemetery Access,Lakeview Drive East,Valid,Campanula_divaricata,Campanula  divaricata,5276,Southern Harebell,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1219449600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Campanulales, , , , ,Campanulaceae, ,~,observed,No,day,cert,ATBI
0101000020E6100000EAC712154BCC54C082C8BF22C1E14140,128577,0101000020110F00004E91F488ECA961C150B8C3111F485041,128131,>1m <=5m,ATBI DATABASE,,1446891015000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,301830,3959956,35.7637,-83.192079,Cosby Creek,Riding Fork,2471.793945,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446891015000,GRSM,UNR,,3,,,Lower Mount Cammerer Trail,Cosby Picnic Area Parking C,Valid,Campanula_divaricata,Campanula  divaricata,5276,Southern Harebell,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,970185600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Campanulales, , , , ,Campanulaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000007C834B3479C754C063EB5548DFDF4140,128579,0101000020110F000082FA1A9AD4A561C1E067DDC626465041,128133,>1m <=5m,ATBI DATABASE,,1446891016000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,308604,3958175,35.748995,-83.116769,Big Creek,Big Creek,1902.103638,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446891016000,GRSM,UNR,,9,,,Big Creek Trail,Big Creek Campground Loop Road,Valid,Campanula_divaricata,Campanula  divaricata,5276,Southern Harebell,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,970012800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Campanulales, , , , ,Campanulaceae, ,~,by hand, , ,cert,INHS plant survey
