the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000BE2F03D56CD054C0598DC28112E24140,128699,0101000020110F00003C04D7E16EAD61C1CB73353D74485041,128253,>1m <=5m,ATBI DATABASE,,1446891085000,DERV,JONES COVE,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,295999,3960364,35.766183,-83.256639,Cosby Creek,Cricket Branch,2208.603516,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446891085000,GRSM,UNR,,6,,,Maddron Bald Trail,Cosby Entrance Road,Valid,Camponotus_pennsylvannicus,Camponotus  pennsylvannicus,5293,Black Carpenter Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1248307200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Formicinae,Camponotini,baiting, , ,cert,ATBI Ants
0101000020E610000039EDFC4A03D254C0B1C75DE7D3E14140,128698,0101000020110F0000B7FEE916C8AE61C1CE499CB632485041,128252,>1m <=5m,ATBI DATABASE,,1446891085000,DERV,JONES COVE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,293751,3960204,35.764272,-83.281447,East Fork Dunn Creek,Ogle Spring Branch,2055.864746,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446891085000,GRSM,UNR,,5,,,Old Settlers Trail,Foothills Parkway Section 8a,Valid,Camponotus_pennsylvannicus,Camponotus  pennsylvannicus,5293,Black Carpenter Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1247097600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Formicinae,Camponotini,baiting, , ,cert,ATBI Ants
0101000020E6100000C1BCA21C0BD254C03BDD49A963E14140,128697,0101000020110F0000F5FFE9BACEAE61C17E8F113CBD475041,128251,>1m <=5m,ATBI DATABASE,,1446891084000,DERV,JONES COVE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,293699,3959825,35.760847,-83.281924,East Fork Dunn Creek,Dunn Creek,2163.474121,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446891084000,GRSM,UNR,,6,,,Old Settlers Trail,Foothills Parkway Section 8a,Valid,Camponotus_pennsylvannicus,Camponotus  pennsylvannicus,5293,Black Carpenter Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1246492800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Formicinae,Camponotini,baiting, , ,cert,ATBI Ants
0101000020E61000009D251A9A4ECF54C054AB17927FE24140,128700,0101000020110F000060806FC97BAC61C18374FC65E6485041,128254,>1m <=5m,ATBI DATABASE,,1446891086000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,297587,3960697,35.769511,-83.239169,Cosby Creek,,1917.876587,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446891086000,GRSM,UNR,,7,,,Gabes Mountain Trail,Cosby Entrance Road,Valid,Camponotus_pennsylvannicus,Camponotus  pennsylvannicus,5293,Black Carpenter Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1249430400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Formicinae,Camponotini,baiting, , ,cert,ATBI Ants
0101000020E6100000BA38F745CCCD54C046CE1F334DE24140,128701,0101000020110F000027C384AD33AB61C128EB68ACB1485041,128255,>1m <=5m,ATBI DATABASE,,1446891086000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299715,3960478,35.767974,-83.215589,Cosby Creek,Crying Creek,1907.997803,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446891086000,GRSM,UNR,,6,,,Tritt Cemetery Access Trail,Cosby Entrance Road,Valid,Camponotus_pennsylvannicus,Camponotus  pennsylvannicus,5293,Black Carpenter Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1248134400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Formicinae,Camponotini,baiting, , ,cert,ATBI Ants
0101000020E610000025375805D8DE54C0D56A9A4763C84140,128683,0101000020110F000060B15BCFADB961C12213B19C9A2D5041,128237,>1m <=5m,ATBI DATABASE,,1446891075000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,275066,3938595,35.565523,-83.481931,Noland Creek,Noland Creek,5756.129395,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446891075000,GRSM,UNR,,6,,,Noland Divide Trail,Clingmans Dome Access Road,Valid,Camponotus_pennsylvannicus,Camponotus  pennsylvannicus,5293,Black Carpenter Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1312156800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Formicinae,Camponotini,"baiting, hand collecting", , ,cert,ATBI Ants
0101000020E610000005DB626058D954C0866D767149CA4140,128694,0101000020110F0000DE82144C02B561C125AE8C3F962F5041,128248,>1m <=5m,ATBI DATABASE,,1446891082000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,282894,3940048,35.580359,-83.396015,Deep Creek,Wild Cherry Branch,4752.765625,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446891082000,GRSM,UNR,,6,,,Thomas Divide Trail,Thomas Divide Trail Pullout Parking,Valid,Camponotus_pennsylvannicus,Camponotus  pennsylvannicus,5293,Black Carpenter Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1313712000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Formicinae,Camponotini,"baiting, hand collecting", , ,cert,ATBI Ants
0101000020E6100000C587E13CFFDA54C05E987E2946CE4140,128690,0101000020110F00004B3FF56E69B661C1D40B1A5BC0335041,128244,>1m <=5m,ATBI DATABASE,,1446891080000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,280640,3943561,35.611509,-83.421824,West Prong Little Pigeon River Upper,Mine Branch,5197.571289,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446891080000,GRSM,UNR,,6,,,Appalachian Trail,Newfound Gap Road North,Valid,Camponotus_pennsylvannicus,Camponotus  pennsylvannicus,5293,Black Carpenter Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1313366400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Formicinae,Camponotini,"baiting, hand collecting", , ,cert,ATBI Ants
0101000020E6100000817E14B2E9DA54C0B5CF85C650CE4140,128691,0101000020110F000007603C2357B661C148DE8171CB335041,128245,>1m <=5m,ATBI DATABASE,,1446891081000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,280760,3943594,35.611833,-83.42051,Upper Oconaluftee River,Minnie Ball Branch,5244.37793,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446891081000,GRSM,UNR,,9,,,Appalachian Trail,Newfound Gap Road North,Valid,Camponotus_pennsylvannicus,Camponotus  pennsylvannicus,5293,Black Carpenter Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1311033600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Formicinae,Camponotini,"baiting, hand collecting", , ,cert,ATBI Ants
0101000020E61000009F84677CDEDC54C0260F9B3A22CE4140,128687,0101000020110F00007F9A827500B861C101965BD19A335041,128241,>1m <=5m,ATBI DATABASE,,1446891078000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,277987,3943505,35.610413,-83.451075,West Prong Little Pigeon River Upper,Road Prong,5067.036621,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446891078000,GRSM,UNR,,9,,,Road Prong Trail,Indian Gap Road Parking,Valid,Camponotus_pennsylvannicus,Camponotus  pennsylvannicus,5293,Black Carpenter Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1312329600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Formicinae,Camponotini,"baiting, hand collecting", , ,cert,ATBI Ants
0101000020E6100000A3D62C7E70DC54C0CEB872FB07CE4140,128689,0101000020110F0000709DB70AA3B761C149912E667F335041,128243,>1m <=5m,ATBI DATABASE,,1446891079000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,278593,3943401,35.609612,-83.444362,Deep Creek,Deep Creek,5260.62207,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446891079000,GRSM,UNR,,2,,,Appalachian Trail,Clingmans Dome Access Road,Valid,Camponotus_pennsylvannicus,Camponotus  pennsylvannicus,5293,Black Carpenter Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1311724800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Formicinae,Camponotini,"baiting, hand collecting", , ,cert,ATBI Ants
