the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000003268111F12F354C0DBD948F336BB4140,130081,0101000020110F000077298692DBCA61C19E011EEBDB1F5041,129668,>1m <=5m,ATBI DATABASE,,1446891894000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,246092,3927945,35.462608,-83.797977,Lower Fontana Lake-Little Tennessee River,,1838.188721,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446891894000,GRSM,UNR,,2,,,Lakeshore Trail,Lakeview Drive West,Valid,Carex_intumescens,Carex  intumescens,7034,Greater Bladder Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1051488000000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Cyperaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000BE437FD89AEE54C034EF494B98BC4140,130085,0101000020110F0000DB97859610C761C1DC9AEE624C215041,129672,>1m <=5m,ATBI DATABASE,,1446891896000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252459,3928964,35.473391,-83.728197,Hazel Creek,Hazel Creek,1705.836914,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446891896000,GRSM,UNR,,6,,,Hazel Creek Trail,Lakeview Drive West,Valid,Carex_intumescens,Carex  intumescens,7034,Greater Bladder Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1051747200000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Cyperaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000B903AABC53EA54C0AC2DBD8923B84140,130090,0101000020110F000020E804836EC361C102C1DFFAA61C5041,129677,>1m <=5m,ATBI DATABASE,,1446891899000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,258421,3924936,35.438578,-83.661357,Lower Fontana Lake-Little Tennessee River,,1759.487549,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446891899000,GRSM,UNR,,5,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Carex_intumescens,Carex  intumescens,7034,Greater Bladder Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1056067200000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Cyperaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000002AD9987447E654C0057E98BA34B94140,130093,0101000020110F00000BCBC765FEBF61C1A7545EC6C31D5041,129680,>1m <=5m,ATBI DATABASE,,1446891901000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,264188,3925708,35.446915,-83.598107,Lower Fontana Lake-Little Tennessee River,Welch Branch,1879.539917,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446891901000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Carex_intumescens,Carex  intumescens,7034,Greater Bladder Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065484800000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Cyperaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000009FE857C608E454C05B6F0A21A3BB4140,130095,0101000020110F00008D8C335216BE61C12DA9E9B84C205041,129682,>1m <=5m,ATBI DATABASE,,1446891902000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,267427,3927732,35.465909,-83.563032,Forney Creek,Forney Creek,1709.066162,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446891902000,GRSM,UNR,,7,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Carex_intumescens,Carex  intumescens,7034,Greater Bladder Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1083196800000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Cyperaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E610000089FE3B68B7E354C0BB5E07BF2EBC4140,130097,0101000020110F0000C5E62E37D1BD61C1BBD9CA50DE205041,129684,>1m <=5m,ATBI DATABASE,,1446891903000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,267890,3928193,35.47017,-83.558065,Forney Creek,,2004.522827,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446891903000,GRSM,UNR,,5,,,White Oak Branch Trail,Lakeview Drive East Parking #4,Valid,Carex_intumescens,Carex  intumescens,7034,Greater Bladder Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1056240000000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Cyperaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000000DA1C493EFD954C0AD9408CEC5BE4140,130111,0101000020110F0000F39145B682B561C1649067DC91235041,129696,>1m <=5m,ATBI DATABASE,,1446891909000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,281814,3930089,35.490405,-83.405244,Deep Creek,Indian Creek,2272.2854,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446891909000,GRSM,UNR,,7,,,Indian Creek Trail,Galbraith Creek Rd,Valid,Carex_intumescens,Carex  intumescens,7034,Greater Bladder Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1056412800000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Cyperaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000E206813792CA54C023352631F9E04140,130120,0101000020110F000021CA961B76A861C157D39BCD4D475041,129704,>1m <=5m,ATBI DATABASE,,1446891914000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,304248,3959225,35.757598,-83.16517,Big Creek,,4932.509277,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446891914000,GRSM,UNR,,8,,,Appalachian Trail,Cosby Campground Road B,Valid,Carex_intumescens,Carex  intumescens,7034,Greater Bladder Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,970099200000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Cyperaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E610000089034669DFC754C06E53B718DBD94140,130121,0101000020110F00000AA507682BA661C1A0188C7DDB3F5041,129705,>1m <=5m,ATBI DATABASE,,1446891915000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,307927,3952973,35.701992,-83.123007,Big Creek,Swallow Fork,5792.12207,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446891915000,GRSM,UNR,,6,,,Baxter Creek Trail,Old Cataloochee Turnpike,Valid,Carex_intumescens,Carex  intumescens,7034,Greater Bladder Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-1262304000000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Cyperaceae, ,~,unspecified,No,decade,cert,GRSMNP Grassy Balds
0101000020E61000003E50204C27C754C063B47F7FF9DF4140,130122,0101000020110F00006A44D5098FA561C1C341F23542465041,129706,>1m <=5m,ATBI DATABASE,,1446891915000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,309058,3958254,35.749795,-83.11177,Big Creek,Big Creek,1735.755127,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446891915000,GRSM,UNR,,7,,,Baxter Creek Trail,Big Creek Campground Loop Road,Valid,Carex_intumescens,Carex  intumescens,7034,Greater Bladder Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,961545600000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Cyperaceae, ,~,by hand, , ,cert,INHS plant survey
