the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000D1076D678FF154C0BB3BF3F157BC4140,130265,0101000020110F000010D0182293C961C14AFC894709215041,129850,>1m <=5m,ATBI DATABASE,,1446891993000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,248262,3928863,35.471427,-83.774374,Eagle Creek,Eagle Creek,1786.793701,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446891993000,GRSM,UNR,,6,,,Lake Shore Trail low water access,Lakeview Drive West,Valid,Carex_pensylvanica,Carex  pensylvanica,7061,Pennsylvania Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1030406400000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Cyperaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000E2B66C6342E854C09904C347F1B84140,130288,0101000020110F0000421295EFACC161C13D1468757D1D5041,129873,>1m <=5m,ATBI DATABASE,,1446892007000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,261373,3925554,35.444856,-83.629048,Lower Fontana Lake-Little Tennessee River,Chambers Creek,1741.766113,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446892007000,GRSM,UNR,,7,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Carex_pensylvanica,Carex  pensylvanica,7061,Pennsylvania Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1083110400000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Cyperaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000F26A6AEDBEE754C032CF3877F5BF4140,130291,0101000020110F000058CF38493DC161C1B74245A0CE245041,129875,>1m <=5m,ATBI DATABASE,,1446892008000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,262263,3931616,35.499672,-83.621024,Hazel Creek,,5175.285645,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446892008000,GRSM,UNR,,10,,,High Rocks Trail,Lakeview Drive East Parking #4,Valid,Carex_pensylvanica,Carex  pensylvanica,7061,Pennsylvania Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1149638400000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Cyperaceae, ,~,observed,No,day,prob.,ATBI
0101000020E6100000C5DB345D3FE054C05A2FFD80C4BF4140,130304,0101000020110F0000924C1300DFBA61C1426F808C9B245041,129887,>1m <=5m,ATBI DATABASE,,1446892015000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272888,3931174,35.498177,-83.503863,Noland Creek,Holder Cove Branch,2626.955322,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446892015000,GRSM,UNR,,8,,,Noland Creek Trail,Lakeview Drive East,Valid,Carex_pensylvanica,Carex  pensylvanica,7061,Pennsylvania Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1087257600000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Cyperaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000001DC2032697E054C06278A391BABE4140,130301,0101000020110F0000740B3D8E29BB61C1A5910F2486235041,129884,>1m <=5m,ATBI DATABASE,,1446892014000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272379,3930286,35.490062,-83.509221,Noland Creek,,2992.0979,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446892014000,GRSM,UNR,,4,,,Lower Noland-Monteith Cemetery Access,Lakeview Drive East,Valid,Carex_pensylvanica,Carex  pensylvanica,7061,Pennsylvania Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1085443200000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Cyperaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000055304E026FCC54C0A5CC90AE82E14140,130348,0101000020110F00003BDC2A0C0BAA61C128A0AEB3DD475041,129928,>1m <=5m,ATBI DATABASE,,1446892040000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,301627,3959749,35.761794,-83.194271,Cosby Creek,,2548.987061,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446892040000,GRSM,UNR,,6,,,Lower Mount Cammerer Trail,Cosby Picnic Area Parking C,Valid,Carex_pensylvanica,Carex  pensylvanica,7061,Pennsylvania Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,925516800000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Cyperaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000DE0EA2EFEDC654C08F73BBA12DD94140,130357,0101000020110F000074D449525EA561C103CDD213263F5041,129937,>1m <=5m,ATBI DATABASE,,1446892045000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,309248,3952357,35.696698,-83.108269,Lower Cataloochee Creek,,4029.939209,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446892045000,GRSM,UNR,,6,,,Long Bunk Trail,Old Cataloochee Turnpike,Valid,Carex_pensylvanica,Carex  pensylvanica,7061,Pennsylvania Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1116633600000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Cyperaceae, ,~,observed, , ,cert,ATBI Ferns
0101000020E6100000352D32B3EFC654C0D1C76D15F3D84140,130356,0101000020110F0000010CCDD15FA561C193A672D9E83E5041,129936,>1m <=5m,ATBI DATABASE,,1446892045000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,309234,3952159,35.694911,-83.108376,Lower Cataloochee Creek,,4128.376953,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446892045000,GRSM,UNR,,7,,,Long Bunk Trail,Old Cataloochee Turnpike,Valid,Carex_pensylvanica,Carex  pensylvanica,7061,Pennsylvania Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1117324800000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Cyperaceae, ,~,observed,No,day,prob.,ATBI
0101000020E610000089034669DFC754C06E53B718DBD94140,130354,0101000020110F00000AA507682BA661C1A0188C7DDB3F5041,129934,>1m <=5m,ATBI DATABASE,,1446892044000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,307927,3952973,35.701992,-83.123007,Big Creek,Swallow Fork,5792.12207,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446892044000,GRSM,UNR,,6,,,Baxter Creek Trail,Old Cataloochee Turnpike,Valid,Carex_pensylvanica,Carex  pensylvanica,7061,Pennsylvania Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-1262304000000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Cyperaceae, ,~,unspecified,No,decade,cert,GRSMNP Grassy Balds
0101000020E6100000B6B149E6C7C754C01486237D17DF4140,130355,0101000020110F0000AF7D1A7017A661C13FC4CAB455455041,129935,>1m <=5m,ATBI DATABASE,,1446892044000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,308155,3957508,35.742897,-83.121572,Big Creek,Big Creek,1988.731201,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446892044000,GRSM,UNR,,4,,,Big Creek Trail,Big Creek Campground Loop Road,Valid,Carex_pensylvanica,Carex  pensylvanica,7061,Pennsylvania Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,957225600000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Cyperaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000006355C96FEDCC54C096331F0DB0D24140,130345,0101000020110F00003C3E2E6C76AA61C1C471F8F85C385041,129925,>1m <=5m,ATBI DATABASE,,1446892038000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,300641,3946918,35.645991,-83.201988,Upper Cataloochee Creek,Table Rock Branch,5069.424805,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446892038000,GRSM,UNR,,6,,,Balsam Mountain Trail,Balsam Mountain Road (closed Winter),Valid,Carex_pensylvanica,Carex  pensylvanica,7061,Pennsylvania Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1369612800000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Cyperaceae, ,~,observed,No,day,prob.,ATBI
