the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000D1076D678FF154C0BB3BF3F157BC4140,130369,0101000020110F000010D0182293C961C14AFC894709215041,129949,>1m <=5m,ATBI DATABASE,,1446892051000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,248262,3928863,35.471427,-83.774374,Eagle Creek,Eagle Creek,1786.793701,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446892051000,GRSM,UNR,,6,,,Lake Shore Trail low water access,Lakeview Drive West,Valid,Carex_plantaginea,Carex  plantaginea,7063,Plantain-leaf Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1030406400000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Cyperaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000825619F3FEED54C064EEFBF351BC4140,130377,0101000020110F0000D51B752F8CC661C1810FD90703215041,129957,>1m <=5m,ATBI DATABASE,,1446892056000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253316,3928702,35.471244,-83.718682,Hazel Creek,Hazel Creek,1738.276611,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446892056000,GRSM,UNR,,6,,,Hazel Creek Trail,Lakeview Drive West,Valid,Carex_plantaginea,Carex  plantaginea,7063,Plantain-leaf Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1051574400000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Cyperaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000B7CF4B412ECE54C073BCC56D3BDF4140,130406,0101000020110F0000868CCCE486AB61C1342C54507B455041,129984,>1m <=5m,ATBI DATABASE,,1446892072000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299114,3957830,35.743994,-83.221569,Cosby Creek,Inadu Creek,3066.615479,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446892072000,GRSM,UNR,,2,,,Snake Den Ridge Trail,Cosby Campground Road B,Valid,Carex_plantaginea,Carex  plantaginea,7063,Plantain-leaf Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,925430400000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Cyperaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000B100FA9ECDCD54C0AC2036F30CD14140,130407,0101000020110F0000FB5389D234AB61C10346F6FEA6365041,129985,>1m <=5m,ATBI DATABASE,,1446892073000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,299370,3945527,35.633201,-83.215671,Straight Fork Raven Fork,Straight Fork Raven Fork,3282.849609,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446892073000,GRSM,UNR,,6,,,Beech Gap Trail,Beech Gap Trailhead Parking #2,Valid,Carex_plantaginea,Carex  plantaginea,7063,Plantain-leaf Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,957312000000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Cyperaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000EDEE5DBD69D154C042DBBD1E84CE4140,130403,0101000020110F000072923DAD45AE61C1B1FE131501345041,129981,>1m <=5m,ATBI DATABASE,,1446892070000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,294211,3943447,35.6134,-83.272075,Upper Raven Fork,Enloe Creek,4112.953125,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446892070000,GRSM,UNR,,6,,,Enloe Creek Trail,Straight Fork Road,Valid,Carex_plantaginea,Carex  plantaginea,7063,Plantain-leaf Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,924998400000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Cyperaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000007BFA17270FD154C00F5B7C0F79CE4140,130404,0101000020110F00000DF1BBBDF8AD61C1EDC84887F5335041,129982,>1m <=5m,ATBI DATABASE,,1446892071000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,294711,3943398,35.613063,-83.266546,Upper Raven Fork,Enloe Creek,3950.544922,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446892071000,GRSM,UNR,,10,,,Enloe Creek Trail,Straight Fork Road,Valid,Carex_plantaginea,Carex  plantaginea,7063,Plantain-leaf Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1187222400000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Cyperaceae, ,~,observed,No,day,prob.,Tremont Expeditions
0101000020E61000008DBC32C354D054C01505E2CBFDCD4140,130405,0101000020110F000079EF9B705AAD61C19F6934C274335041,129983,>1m <=5m,ATBI DATABASE,,1446892071000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,295732,3942957,35.609301,-83.25517,Upper Raven Fork,Raven Fork,3749.122803,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446892071000,GRSM,UNR,,4,,,Enloe Creek Trail,Straight Fork Road,Valid,Carex_plantaginea,Carex  plantaginea,7063,Plantain-leaf Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,924998400000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Cyperaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000002593C322E4D654C04CF808A919CB4140,130398,0101000020110F000083736EBBECB261C1C6E7C5B06F305041,129977,>1m <=5m,ATBI DATABASE,,1446892068000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,286386,3940669,35.586714,-83.35767,Upper Oconaluftee River,,2777.677979,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446892068000,GRSM,UNR,,5,,,Kephart Prong Trail,Kephart Prong Trail Pullout Parking # 1,Valid,Carex_plantaginea,Carex  plantaginea,7063,Plantain-leaf Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1178150400000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Cyperaceae, ,~,by hand,No,day,cert,GSMNP Violaceae
0101000020E6100000FEF5C8EE9BD754C093CDD673B2CA4140,130397,0101000020110F0000F84ABAD488B361C175796AE803305041,129976,>1m <=5m,ATBI DATABASE,,1446892067000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,285361,3940344,35.583564,-83.368888,Upper Oconaluftee River,,3265.79126,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446892067000,GRSM,UNR,,3,,,Kanati Fork Trail,Newfound Gap Road South,Valid,Carex_plantaginea,Carex  plantaginea,7063,Plantain-leaf Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1314489600000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Cyperaceae, ,~,by hand,No,day,cert,General
0101000020E6100000A6C4F7C3C4D754C0359B846873CA4140,130396,0101000020110F000079829E82ABB361C163583A12C22F5041,129975,>1m <=5m,ATBI DATABASE,,1446892066000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,285130,3940136,35.58164,-83.371381,Upper Oconaluftee River,,3532.30835,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446892066000,GRSM,UNR,,4,,,Kanati Fork Trail,Newfound Gap Road South,Valid,Carex_plantaginea,Carex  plantaginea,7063,Plantain-leaf Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1097107200000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Cyperaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000FA19F800E6D754C023D6D8E14CCA4140,130395,0101000020110F0000851051BDC7B361C11073E7D6992F5041,129974,>1m <=5m,ATBI DATABASE,,1446892065000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,284943,3940010,35.580464,-83.373409,Upper Oconaluftee River,,3826.107178,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446892065000,GRSM,UNR,,2,,,Kanati Fork Trail,Newfound Gap Road South,Valid,Carex_plantaginea,Carex  plantaginea,7063,Plantain-leaf Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1097107200000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Cyperaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000404F45225BD354C01147635C0DC14140,130400,0101000020110F000053A11D1DECAF61C14581D9A1F2255041,129978,>1m <=5m,ATBI DATABASE,,1446892068000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291188,3931842,35.508213,-83.302433,Lower Oconaluftee River,Oconaluftee River,2009.75,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446892068000,GRSM,UNR,,6,,,Oconaluftee River Trail,Newfound Gap Road South,Valid,Carex_plantaginea,Carex  plantaginea,7063,Plantain-leaf Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,924566400000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Cyperaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000072B23A5D49D354C0FA68AB717AC14140,130401,0101000020110F000021089D05DDAF61C1C2A69A7164265041,129979,>1m <=5m,ATBI DATABASE,,1446892069000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291295,3932209,35.511542,-83.301349,Lower Raven Fork,Raven Fork,2016.376831,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446892069000,GRSM,UNR,,6,,,Oconaluftee River Trail,Oconaluftee Maintenance Area,Valid,Carex_plantaginea,Carex  plantaginea,7063,Plantain-leaf Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,969408000000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Cyperaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000522492FA88DF54C0539D262473D14140,130391,0101000020110F00000432B41944BA61C1543B7AC811375041,129971,>1m <=5m,ATBI DATABASE,,1446892064000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,274286,3946474,35.636319,-83.492731,West Prong Little Pigeon River Upper,,2756.592285,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446892064000,GRSM,UNR,,4,,,Cove Hardwood Nature Trail,Chimney Picnic Area #1,Valid,Carex_plantaginea,Carex  plantaginea,7063,Plantain-leaf Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1178150400000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Cyperaceae, ,~,by hand,No,day,cert,GSMNP Violaceae
0101000020E6100000E9FC65A1E4D154C08377F30D32DE4140,130402,0101000020110F0000DE4F410CAEAE61C17E2975A365445041,129980,>1m <=5m,ATBI DATABASE,,1446892070000,DERV,MOUNT GUYOT,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,293847,3957052,35.735896,-83.279576,Cosby Creek,Dunn Creek,3203.422363,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446892070000,GRSM,UNR,,6,,,Albright Grove NatureTrail,Cosby Campground Road B,Valid,Carex_plantaginea,Carex  plantaginea,7063,Plantain-leaf Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,956534400000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Cyperaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000632E923EB9D954C0E37C84761BDD4140,130393,0101000020110F0000CDB22F9154B561C18731E92942435041,129972,>1m <=5m,ATBI DATABASE,,1446892064000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,282757,3956373,35.727394,-83.401927,Little Pigeon River Middle,Little Pigeon River,1446.418213,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446892064000,GRSM,UNR,,5,,,Old Settlers Trail,Greenbrier Unpaved Road,Valid,Carex_plantaginea,Carex  plantaginea,7063,Plantain-leaf Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1177718400000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Cyperaceae, ,~,by hand,No,day,cert,GSMNP Violaceae
