the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000562B2FD378FB54C0847D10096CBE4140,130513,0101000020110F0000E2CC632AFED161C187F4803934235041,130094,>1m <=5m,ATBI DATABASE,,1446892132000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,234259,3931071,35.487665,-83.929245,Chilhowee Lake,,2079.214355,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446892132000,GRSM,UNR,,10,,,Wolf Ridge Trail,Parson Branch Road (closed Winter),Valid,Carex_swanii,Carex  swanii,7083,SwanÆs Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Cyperaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000B70532D840F654C0BBD078FC00BD4140,130521,0101000020110F0000587A59848FCD61C150D8B891B9215041,130102,>1m <=5m,ATBI DATABASE,,1446892136000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,241623,3929625,35.476586,-83.847704,Lake Cheoah-Little Tennessee River,,2018.79248,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446892136000,GRSM,UNR,,4,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Carex_swanii,Carex  swanii,7083,SwanÆs Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1027036800000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Cyperaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000BE437FD89AEE54C034EF494B98BC4140,130542,0101000020110F0000DB97859610C761C1DC9AEE624C215041,130123,>1m <=5m,ATBI DATABASE,,1446892148000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252459,3928964,35.473391,-83.728197,Hazel Creek,Hazel Creek,1705.836914,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446892148000,GRSM,UNR,,6,,,Hazel Creek Trail,Lakeview Drive West,Valid,Carex_swanii,Carex  swanii,7083,SwanÆs Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1051747200000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Cyperaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000D79D4CAE12E954C04653819035B94140,130545,0101000020110F00004F6BB7D65DC261C1782660A5C41D5041,130126,>1m <=5m,ATBI DATABASE,,1446892149000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,260225,3925816,35.44694,-83.641761,Lower Fontana Lake-Little Tennessee River,,1779.665405,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446892149000,GRSM,UNR,,4,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Carex_swanii,Carex  swanii,7083,SwanÆs Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1056067200000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Cyperaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000001DE820C97BD154C0836D82774BE04140,130552,0101000020110F0000B835CE0055AE61C15E7CB2FD97465041,130133,>1m <=5m,ATBI DATABASE,,1446892153000,DERV,JONES COVE,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,294468,3958858,35.752296,-83.273176,Cosby Creek,Maddron Creek,2494.216309,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446892153000,GRSM,UNR,,8,,,Maddron Bald Trail,Cosby Campground Road A,Valid,Carex_swanii,Carex  swanii,7083,SwanÆs Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,961718400000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Cyperaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000003E50204C27C754C063B47F7FF9DF4140,130553,0101000020110F00006A44D5098FA561C1C341F23542465041,130134,>1m <=5m,ATBI DATABASE,,1446892154000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,309058,3958254,35.749795,-83.11177,Big Creek,Big Creek,1735.755127,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446892154000,GRSM,UNR,,7,,,Baxter Creek Trail,Big Creek Campground Loop Road,Valid,Carex_swanii,Carex  swanii,7083,SwanÆs Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,961545600000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Cyperaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000274199F54BDE54C0644A9291BAC14140,130551,0101000020110F00004BD70FDB36B961C1F4B0A559A7265041,130132,>1m <=5m,ATBI DATABASE,,1446892153000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,275696,3932804,35.513499,-83.473382,Noland Creek,Noland Creek,3148.677246,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446892153000,GRSM,UNR,,4,,,Noland Creek Trail,Clingmans Dome Road Parking #3,Valid,Carex_swanii,Carex  swanii,7083,SwanÆs Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1087430400000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Cyperaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000013A0B5C13ADF54C07650F5AADCC04140,130549,0101000020110F0000483395AA01BA61C1A11879D4BF255041,130130,>1m <=5m,ATBI DATABASE,,1446892151000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,274355,3932086,35.506727,-83.487957,Noland Creek,Noland Creek,2889.060547,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446892151000,GRSM,UNR,,6,,,Noland Creek Trail,Lakeview Drive East,Valid,Carex_swanii,Carex  swanii,7083,SwanÆs Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1087430400000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Cyperaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000055F8C166F1DE54C0DC0D0F5211D74140,130550,0101000020110F00007DF89C5DC3B961C10BDB0E16F13C5041,130131,>1m <=5m,ATBI DATABASE,,1446892152000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,275247,3951322,35.680209,-83.48348,Le Conte Creek,,2603.028564,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446892152000,GRSM,UNR,,8,,,Baskins Creek Trail,Cherokee Orchard Road,Valid,Carex_swanii,Carex  swanii,7083,SwanÆs Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,901152000000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Cyperaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000008BBE99D018E454C00A9835BB72C84140,130546,0101000020110F00003199A5F123BE61C1CC12A3BEAA2D5041,130127,>1m <=5m,ATBI DATABASE,,1446892150000,DERV,SILERS BALD,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,267627,3938838,35.565994,-83.564011,Little River-Goshen Prong,Jonas Creek,5422.496582,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446892150000,GRSM,UNR,,4,,,Appalachian Trail,Clingmans Dome Road Parking #3,Valid,Carex_swanii,Carex  swanii,7083,SwanÆs Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-631152000000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Cyperaceae, ,~,unspecified,No,decade,cert,GRSMNP Grassy Balds
0101000020E6100000C5849E4E0BE054C04FD9E0B9C1C04140,130547,0101000020110F000064F6CCC9B2BA61C16FE1BEB8A3255041,130128,>1m <=5m,ATBI DATABASE,,1446892150000,DERV,SILERS BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273198,3932024,35.505905,-83.500686,Noland Creek,Mill Creek,2822.035645,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446892150000,GRSM,UNR,,6,,,Springhouse Branch Trail,Lakeview Drive East,Valid,Carex_swanii,Carex  swanii,7083,SwanÆs Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1056326400000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Cyperaceae, ,~,by hand, , ,cert,INHS plant survey
