the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000003B5F51E9BEEE54C0044605F8B5BC4140,131941,0101000020110F0000179BF5372FC761C1208667556B215041,131505,>1m <=5m,ATBI DATABASE,,1446892911000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252262,3929070,35.474296,-83.730398,Hazel Creek,Shehan Branch,1722.752441,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446892911000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive West,Valid,Carya_cordiformis,Carya  cordiformis,7191,Bitter-nut Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1096761600000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Juglandales, , , , ,Juglandaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000E88F7D51E1EE54C0CBD744EAE6BC4140,131939,0101000020110F00006740BE704CC761C107F721619E215041,131503,>1m <=5m,ATBI DATABASE,,1446892910000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252076,3929241,35.47579,-83.732498,Hazel Creek,Shehan Branch,1760.306274,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446892910000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive West,Valid,Carya_cordiformis,Carya  cordiformis,7191,Bitter-nut Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1096761600000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Juglandales, , , , ,Juglandaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000001C7C226135E154C00C9059D7D7BC4140,131952,0101000020110F0000D4BEF2F0AFBB61C18C34A9A88E215041,131515,>1m <=5m,ATBI DATABASE,,1446892916000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,271461,3928674,35.47533,-83.518879,Noland Creek,Bearpen Branch,2376.300293,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446892916000,GRSM,UNR,,4,,,Noland Creek Trail,Lakeview Drive East,Valid,Carya_cordiformis,Carya  cordiformis,7191,Bitter-nut Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1085184000000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Juglandales, , , , ,Juglandaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000EAFF96AC1CD154C086D328824AE24140,131975,0101000020110F0000F07C953904AE61C1F37441DBAE485041,131536,>1m <=5m,ATBI DATABASE,,1446892929000,DERV,JONES COVE,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,295033,3960576,35.767892,-83.267371,Cosby Creek,Buckeye Creek,1938.468628,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446892929000,GRSM,UNR,,7,,,Maddron Bald Trail,Foothills Parkway Section 8a,Valid,Carya_cordiformis,Carya  cordiformis,7191,Bitter-nut Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,970099200000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Juglandales, , , , ,Juglandaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000D6C18733BBD254C0FD9388880CE04140,131973,0101000020110F0000A5F46E4864AF61C17A04832156465041,131534,>1m <=5m,ATBI DATABASE,,1446892928000,DERV,JONES COVE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,292700,3958686,35.750376,-83.292672,East Fork Dunn Creek,,2568.599365,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446892928000,GRSM,UNR,,4,,,Old Settlers Trail,Cosby Campground Road A,Valid,Carya_cordiformis,Carya  cordiformis,7191,Bitter-nut Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,832550400000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Juglandales, , , , ,Juglandaceae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E6100000A3496EBC57D154C01DA1AA3FCBE04140,131974,0101000020110F0000B09FDE6236AE61C1E42F52B81D475041,131535,>1m <=5m,ATBI DATABASE,,1446892929000,DERV,JONES COVE,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,294677,3959286,35.756196,-83.270976,Cosby Creek,Cole Creek,2377.066895,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446892929000,GRSM,UNR,,4,,,Maddron Bald Trail,Cosby Entrance Road,Valid,Carya_cordiformis,Carya  cordiformis,7191,Bitter-nut Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,970099200000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Juglandales, , , , ,Juglandaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000008A5C7A7872CD54C065CDE0E02CE04140,131954,0101000020110F000008198A68E7AA61C1EBE8DDFA77465041,131538,>1m <=5m,ATBI DATABASE,,1446892930000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,300169,3958624,35.751363,-83.210108,Cosby Creek,,2435.421631,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446892930000,GRSM,UNR,,5,,,Snake Den Ridge Trail,Cosby Campground Road B,Valid,Carya_cordiformis,Carya  cordiformis,7191,Bitter-nut Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1355529600000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Juglandales, , , , ,Juglandaceae, ,~,observed,No,day,cert,ATBI
0101000020E61000001B208C30E9CC54C0ED8BE80458E04140,131977,0101000020110F000010C3C9D072AA61C1C2DE9320A5465041,131539,>1m <=5m,ATBI DATABASE,,1446892931000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,300930,3958753,35.752679,-83.201729,Cosby Creek,,2364.321777,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446892931000,GRSM,UNR,,4,,,Lower Mount Cammerer Trail,Cosby Campground Road B,Valid,Carya_cordiformis,Carya  cordiformis,7191,Bitter-nut Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1355529600000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Juglandales, , , , ,Juglandaceae, ,~,observed,No,day,cert,ATBI
0101000020E6100000811E0A6924CA54C0B64A688625DD4140,131978,0101000020110F000001DA5CD918A861C1A43EC8B04C435041,131540,>1m <=5m,ATBI DATABASE,,1446892931000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,304781,3955895,35.727701,-83.158468,Big Creek,Big Creek,2838.546387,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446892931000,GRSM,UNR,,5,,,Big Creek Trail,Big Creek Campground Loop Road,Valid,Carya_cordiformis,Carya  cordiformis,7191,Bitter-nut Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,970012800000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Juglandales, , , , ,Juglandaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000E9A9820F4DC854C0FCE54B63CCD14140,131981,0101000020110F0000E144178888A661C11F13090C6F375041,131543,>1m <=5m,ATBI DATABASE,,1446892933000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,307170,3946003,35.639043,-83.129699,Upper Cataloochee Creek,Palmer Creek,2997.938965,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446892933000,GRSM,UNR,,4,,,Palmer Creek Trail,Cataloochee Horse Camp,Valid,Carya_cordiformis,Carya  cordiformis,7191,Bitter-nut Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,905385600000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Juglandales, , , , ,Juglandaceae, ,~,observed, ,day,cert,Fridley Veg Plots
