the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000F10EE97D24F754C00B2B44B03FBC4140,132094,0101000020110F0000AF94A1DB50CE61C1B177D0FBEF205041,131657,>1m <=5m,ATBI DATABASE,,1446892995000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,240343,3929007,35.470687,-83.861598,Lake Cheoah-Little Tennessee River,Twentymile Creek,1704.007812,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446892995000,GRSM,UNR,,2,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Carya_glabra,Carya  glabra,7192,Pignut Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1000944000000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Juglandales, , , , ,Juglandaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E610000011F887B60EF754C0D597F507EFBD4140,132097,0101000020110F0000D7B6755C3ECE61C1877F46D7B1225041,131660,>1m <=5m,ATBI DATABASE,,1446892996000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,240506,3930464,35.48385,-83.860269,Lake Cheoah-Little Tennessee River,,2358.427979,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446892996000,GRSM,UNR,,6,,,Twentymile Loop Trail,Twenty Mile Trailhead Parking,Valid,Carya_glabra,Carya  glabra,7192,Pignut Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1020384000000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Juglandales, , , , ,Juglandaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000008660EA2119F754C05988344886BD4140,132095,0101000020110F0000C7C7DE3547CE61C19928C39644225041,131658,>1m <=5m,ATBI DATABASE,,1446892995000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,240438,3930111,35.480654,-83.860905,Lake Cheoah-Little Tennessee River,,2457.806885,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446892995000,GRSM,UNR,,7,,,Twentymile Loop Trail,Twenty Mile Trailhead Parking,Valid,Carya_glabra,Carya  glabra,7192,Pignut Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1020384000000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Juglandales, , , , ,Juglandaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000000A9DA53148F754C0BC8D778E1BBE4140,132093,0101000020110F0000AC25032E6FCE61C1B5D11E48E0225041,131656,>1m <=5m,ATBI DATABASE,,1446892994000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,240192,3930624,35.485209,-83.863777,Lake Cheoah-Little Tennessee River,,2155.944092,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446892994000,GRSM,UNR,,7,,,Twentymile Loop Trail,Twenty Mile Trailhead Parking,Valid,Carya_glabra,Carya  glabra,7192,Pignut Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1020384000000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Juglandales, , , , ,Juglandaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E610000013AEC1A76BF554C02CD74726EEBD4140,132125,0101000020110F000001189074DACC61C1EBF8E3EBB0225041,131692,>1m <=5m,ATBI DATABASE,,1446893013000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,242827,3930394,35.483823,-83.834692,Lake Cheoah-Little Tennessee River,,2519.925781,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446893013000,GRSM,UNR,,6,,,Twentymile Trail,Payne Cemetery Access Road,Valid,Carya_glabra,Carya  glabra,7192,Pignut Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1020297600000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Juglandales, , , , ,Juglandaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000B11B9F9194F254C04EC6EBE0F1BC4140,132166,0101000020110F0000B791C8F070CA61C1AB4F35D0A9215041,131733,>1m <=5m,ATBI DATABASE,,1446893035000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,246830,3929425,35.476125,-83.790314,Eagle Creek,Birchfield Branch,2121.757812,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446893035000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive West,Valid,Carya_glabra,Carya  glabra,7192,Pignut Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1082851200000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Juglandales, , , , ,Juglandaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000D9628CE291F254C0BDA65A2708BD4140,132167,0101000020110F0000108640A96ECA61C1649E590BC1215041,131734,>1m <=5m,ATBI DATABASE,,1446893036000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,246847,3929500,35.476805,-83.79015,Eagle Creek,Birchfield Branch,2127.21167,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446893036000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive West,Valid,Carya_glabra,Carya  glabra,7192,Pignut Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1082851200000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Juglandales, , , , ,Juglandaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000B5F7C3111CF254C0732B2DF874BD4140,132173,0101000020110F0000BB8DB0990ACA61C18FEB508832225041,131740,>1m <=5m,ATBI DATABASE,,1446893039000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,247510,3929850,35.480125,-83.782959,Eagle Creek,,1971.680664,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446893039000,GRSM,UNR,,8,,,Lakeshore Trail,Lakeview Drive West,Valid,Carya_glabra,Carya  glabra,7192,Pignut Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1082851200000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Juglandales, , , , ,Juglandaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000093B1EF66CF154C0511836F832BE4140,132178,0101000020110F000027FC8DE175C961C18744C8B3F8225041,131745,>1m <=5m,ATBI DATABASE,,1446893041000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,248498,3930466,35.485924,-83.772271,Eagle Creek,Eagle Creek,1961.589355,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446893041000,GRSM,UNR,,7,,,Lakeshore Trail,Lakeview Drive West,Valid,Carya_glabra,Carya  glabra,7192,Pignut Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1088640000000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Juglandales, , , , ,Juglandaceae, ,~,by hand,No,day,cert,Northshore Road EIS
0101000020E6100000D1076D678FF154C0BB3BF3F157BC4140,132177,0101000020110F000010D0182293C961C14AFC894709215041,131744,>1m <=5m,ATBI DATABASE,,1446893041000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,248262,3928863,35.471427,-83.774374,Eagle Creek,Eagle Creek,1786.793701,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446893041000,GRSM,UNR,,6,,,Lake Shore Trail low water access,Lakeview Drive West,Valid,Carya_glabra,Carya  glabra,7192,Pignut Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1030406400000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Juglandales, , , , ,Juglandaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000163B38DD74E854C0E96AD7F609BD4140,132231,0101000020110F00003F1D11CED7C161C178B3BAEEC2215041,131799,>1m <=5m,ATBI DATABASE,,1446893073000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,261188,3929112,35.47686,-83.632129,Lower Fontana Lake-Little Tennessee River,West Fork Chambers Creek,3535.269531,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446893073000,GRSM,UNR,,8,,,Cold Spring Gap Trail,Lakeview Drive East Parking #4,Valid,Carya_glabra,Carya  glabra,7192,Pignut Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1083024000000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Juglandales, , , , ,Juglandaceae, ,~,observed, , ,cert,INHS plant survey
