the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000C907DF2954DF54C0D240AD1B4FBA4140,135540,0101000020110F0000AEC5913E17BA61C13141F02DEA1E5041,135158,>1m <=5m,ATBI DATABASE,,1446895101000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,274071,3926410,35.455532,-83.489508,Fontana Lake-Tuckasegee River,Middle Peachtree Creek,2166.862793,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446895101000,GRSM,UNR,,8,,,Conner @ Hickory Flats Cemetery Access,Lakeview Drive East,Valid,Catocala_vidua,Catocala  vidua,7421,Widow Underwing Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1155427200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Catocalinae,~,MV light, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000D116F6052BC754C0D16D032321D04140,135560,0101000020110F000012EDEC3392A561C1776BCD97B0355041,135178,>1m <=5m,ATBI DATABASE,,1446895114000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,308742,3944522,35.626004,-83.111997,Upper Cataloochee Creek,Palmer Creek,2738.823242,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446895114000,GRSM,UNR,,6,,,Cataloochee Horse Trail,Cataloochee Entrance Road,Valid,Catocala_vidua,Catocala  vidua,7421,Widow Underwing Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,969321600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Catocalinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000002A6B3902FEC454C01B1123C3EBD14140,135561,0101000020110F0000543D5221B9A361C1B1B39AD58F375041,135179,>1m <=5m,ATBI DATABASE,,1446895115000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,311854,3946009,35.640001,-83.078,Lower Cataloochee Creek,Cataloochee Creek,2626.595459,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446895115000,GRSM,UNR,,6,,,Cataloochee Horse Trail,Cataloochee Entrance Road,Valid,Catocala_vidua,Catocala  vidua,7421,Widow Underwing Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,588902400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Catocalinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E61000000AA4103D33C354C082303142AAD14140,135569,0101000020110F0000454D1C7F33A261C1DFDB8D614B375041,135187,>1m <=5m,ATBI DATABASE,,1446895118000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,314385,3945734,35.638002,-83.049998,Lower Cataloochee Creek,Winding Stair Branch,3749.368652,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446895118000,GRSM,UNR,,9,,,Cataloochee Divide Trail,Old Cataloochee Turnpike,Valid,Catocala_vidua,Catocala  vidua,7421,Widow Underwing Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,588902400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Catocalinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000C937B3A7CEC754C0C476ED8EA9CE4140,135559,0101000020110F00008AD0E42C1DA661C1D46CB43128345041,135177,>1m <=5m,ATBI DATABASE,,1446895113000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,307810,3943270,35.614543,-83.121984,Upper Cataloochee Creek,Rough Fork,2843.140869,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446895113000,GRSM,UNR,,5,,,Rough Fork Trail,Cataloochee Entrance Road,Valid,Catocala_vidua,Catocala  vidua,7421,Widow Underwing Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,588902400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Catocalinae,~,black light trap,No, ,cert,Lepidoptera Survey
0101000020E61000008D94442EACC454C037E70A3D02CB4140,135567,0101000020110F00008A1D37A273A361C1C551E73A57305041,135185,>1m <=5m,ATBI DATABASE,,1446895117000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312180,3940009,35.585999,-83.073005,Lower Johnathans Creek,,4917.642578,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446895117000,GRSM,UNR,,7,,,Science Center Trail,The Purchase Road (closed Winter),Valid,Catocala_vidua,Catocala  vidua,7421,Widow Underwing Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,998092800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Catocalinae,~,UV light, ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000C1BB9F2AB1C454C0C4649D36D2CA4140,135565,0101000020110F0000439339DE77A361C1BB4A7C1325305041,135183,>1m <=5m,ATBI DATABASE,,1446895116000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312149,3939847,35.584533,-83.073309,Lower Johnathans Creek,,4827.102051,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446895116000,GRSM,UNR,,7,,,Ferguson Cabin Horse Trail,The Purchase Road (closed Winter),Valid,Catocala_vidua,Catocala  vidua,7421,Widow Underwing Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1095292800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Catocalinae,~,black light trap,No,day,cert,PKnob moths monitoring
0101000020E610000015B75DAACAC454C0EBEC30A2C4CA4140,135563,0101000020110F000077033D868DA361C1C42D00E516305041,135181,>1m <=5m,ATBI DATABASE,,1446895115000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312007,3939804,35.584119,-83.074866,Lower Johnathans Creek,,4783.5625,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446895115000,GRSM,UNR,,6,,,Ferguson Cabin Horse Trail,The Purchase Road (closed Winter),Valid,Catocala_vidua,Catocala  vidua,7421,Widow Underwing Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1095292800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Catocalinae,~,at light, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000B95B8DDD5FC454C03C47AEECD9C94140,135568,0101000020110F0000302FADD132A361C1E7EDB5CB212F5041,135186,>1m <=5m,ATBI DATABASE,,1446895118000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312581,3938997,35.576956,-83.068347,Lower Johnathans Creek,,4450.203125,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446895118000,GRSM,UNR,,6,,,Ferguson Cabin Trail,The Purchase Road (closed Winter),Valid,Catocala_vidua,Catocala  vidua,7421,Widow Underwing Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,969408000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Catocalinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E610000029FFB316E1D654C0DC6197D1DDCA4140,135550,0101000020110F00001BEFEC24EAB261C19F7E233231305041,135168,>1m <=5m,ATBI DATABASE,,1446895107000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,286398,3940466,35.584888,-83.357484,Upper Oconaluftee River,Oconaluftee River,2746.354492,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446895107000,GRSM,UNR,,4,,,Kephart Prong Trail,Kephart Prong Trail Pullout Parking # 2,Valid,Catocala_vidua,Catocala  vidua,7421,Widow Underwing Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1065916800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Catocalinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000772FF7C9F1D254C0197E934D89C14140,135557,0101000020110F0000A5F9ECA492AF61C116D27DF273265041,135175,>1m <=5m,ATBI DATABASE,,1446895112000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291781,3932248,35.511996,-83.296004,Lower Oconaluftee River,,2043.470581,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446895112000,GRSM,UNR,,6,,,Nations Cemetery Access,Access Road To Big Cove Road,Valid,Catocala_vidua,Catocala  vidua,7421,Widow Underwing Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,999648000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Catocalinae,~,UV light, ,day,cert,ATBI Lepidoptera TWIG
