the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000A13CAA9C41F854C004CC3AEBACBB4140,135890,0101000020110F000037B6B30243CF61C1ABC44FEE56205041,135496,>1m <=5m,ATBI DATABASE,,1446895293000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,238749,3928556,35.466208,-83.879,Lake Cheoah-Little Tennessee River,Twentymile Creek,1364.268677,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446895293000,GRSM,UNR,,7,,,Twentymile Trail,Twenty Mile Ranger Station Road,Valid,Celastrina_neglecta,Celastrina  neglecta,7506,Summer Azure,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-332726400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Lycaenidae,Lycaeninae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000D133A2B970F554C07BD89E683DBA4140,135894,0101000020110F0000A6A9D9C2DECC61C107B9AFB9D71E5041,135500,>1m <=5m,ATBI DATABASE,,1446895294000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,242707,3927196,35.454992,-83.835001,Lake Cheoah-Little Tennessee River,,1753.150391,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446895294000,GRSM,UNR,,10,,,Fairfax/Old Payne (Palmer) Access,Payne Cemetery Access Road,Valid,Celastrina_neglecta,Celastrina  neglecta,7506,Summer Azure,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1089072000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Lycaenidae,Lycaeninae,~,by hand,No,day,cert,Northshore Road EIS
0101000020E610000031E733E2FAF754C0116CE5F0CCBB4140,135892,0101000020110F0000D6BFE0F006CF61C14FF0B95278205041,135498,>1m <=5m,ATBI DATABASE,,1446895293000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239144,3928653,35.467185,-83.874684,Lake Cheoah-Little Tennessee River,Twentymile Creek,1670.58252,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446895293000,GRSM,UNR,,6,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Celastrina_neglecta,Celastrina  neglecta,7506,Summer Azure,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-1055721600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Lycaenidae,Lycaeninae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000F9EB5FA316F154C04CD8A11BD3BD4140,135901,0101000020110F000043BD15912CC961C176DD8BB794225041,135508,>1m <=5m,ATBI DATABASE,,1446895299000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,248967,3930128,35.482998,-83.767003,Eagle Creek,,2170.726807,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446895299000,GRSM,UNR,,4,,,Lakeshore Trail,Lakeview Drive West,Valid,Celastrina_neglecta,Celastrina  neglecta,7506,Summer Azure,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1086134400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Lycaenidae,Lycaeninae,~,by hand,No,day,cert,Northshore Road EIS
0101000020E61000000193E451DBF154C0E287014D2FBD4140,135899,0101000020110F000066BBCB9BD3C961C158EC2EDFE9215041,135506,>1m <=5m,ATBI DATABASE,,1446895298000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,247862,3929604,35.477999,-83.779007,Eagle Creek,Eagle Creek,1715.650391,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446895298000,GRSM,UNR,,2,,,Lake Shore Trail low water access,Lakeview Drive West,Valid,Celastrina_neglecta,Celastrina  neglecta,7506,Summer Azure,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1087257600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Lycaenidae,Lycaeninae,~,by hand,No,day,cert,Northshore Road EIS
0101000020E6100000EEFC0DA0C0F254C0356CB62785BB4140,135898,0101000020110F0000E46D8F5B96CA61C1450B65772D205041,135504,>1m <=5m,ATBI DATABASE,,1446895297000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,246551,3928197,35.464994,-83.793003,Eagle Creek,,1780.596191,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446895297000,GRSM,UNR,,5,,,Lakeshore Trail,Lakeview Drive West,Valid,Celastrina_neglecta,Celastrina  neglecta,7506,Summer Azure,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1089331200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Lycaenidae,Lycaeninae,~,by hand,No,day,cert,Northshore Road EIS
0101000020E6100000299081EBF3ED54C083605D2E85BB4140,135904,0101000020110F0000910F61D182C661C1EDD2547E2D205041,135511,>1m <=5m,ATBI DATABASE,,1446895301000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253358,3928007,35.464995,-83.718009,Hazel Creek,Laurel Branch,1839.779175,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446895301000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive West,Valid,Celastrina_neglecta,Celastrina  neglecta,7506,Summer Azure,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1086307200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Lycaenidae,Lycaeninae,~,by hand,No,day,cert,Northshore Road EIS
0101000020E61000000D73014987EE54C00A95C9BA49BC4140,135903,0101000020110F0000CE63A8F9FFC661C18EF17474FA205041,135510,>1m <=5m,ATBI DATABASE,,1446895300000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252560,3928695,35.470993,-83.727003,Hazel Creek,Hazel Creek,1695.825562,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446895300000,GRSM,UNR,,4,,,Hazel Creek Trail,Lakeview Drive West,Valid,Celastrina_neglecta,Celastrina  neglecta,7506,Summer Azure,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1087344000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Lycaenidae,Lycaeninae,~,by hand,No,day,cert,Northshore Road EIS
0101000020E6100000B76E85DB1AEF54C0319B7C8A0EBD4140,135902,0101000020110F00004681F64E7DC761C1F315A9B4C7215041,135509,>1m <=5m,ATBI DATABASE,,1446895300000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,251761,3929384,35.476999,-83.73601,Hazel Creek,Shehan Branch,1865.761719,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446895300000,GRSM,UNR,,7,,,Lakeshore Trail,Lakeview Drive West,Valid,Celastrina_neglecta,Celastrina  neglecta,7506,Summer Azure,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1089244800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Lycaenidae,Lycaeninae,~,by hand,No,day,cert,Northshore Road EIS
0101000020E61000000D256F8DE3ED54C015FF92BC49BC4140,135905,0101000020110F0000D0EDBFEA74C661C152F45176FA205041,135512,>1m <=5m,ATBI DATABASE,,1446895301000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253467,3928670,35.470993,-83.71701,Hazel Creek,Hazel Creek,1762.758789,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446895301000,GRSM,UNR,,6,,,Hazel Creek Trail,Lakeview Drive West,Valid,Celastrina_neglecta,Celastrina  neglecta,7506,Summer Azure,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1088035200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Lycaenidae,Lycaeninae,~,by hand,No,day,cert,Northshore Road EIS
0101000020E61000006CBEB76D08E454C0BDFB9199C0BA4140,135914,0101000020110F0000C77BEE0616BE61C14FBC6383601F5041,135521,>1m <=5m,ATBI DATABASE,,1446895307000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,267409,3926965,35.458996,-83.56301,Forney Creek,,1694.72168,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446895307000,GRSM,UNR,,3,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Celastrina_neglecta,Celastrina  neglecta,7506,Summer Azure,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1087430400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Lycaenidae,Lycaeninae,~,by hand,No,day,cert,Northshore Road EIS
