the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000A1A4A23F61F954C08B407A6CC6BB4140,136516,0101000020110F000075CBE74C37D061C11FEAE98671205041,136093,>1m <=5m,ATBI DATABASE,,1446895633000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,237158,3928689,35.466986,-83.896556,Lake Cheoah-Little Tennessee River,,1793.683472,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446895633000,GRSM,UNR,,7,,,Twentymile Trail,Twenty Mile Ranger Station Road,Valid,Cercis_canadensis_v_canadensis,Cercis  canadensis v. canadensis,7828,Redbud,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000075D7BCC8BF754C02C39DD68B6BA4140,136522,0101000020110F00003571B698A8CE61C18D0855E3551F5041,136099,>1m <=5m,ATBI DATABASE,,1446895636000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239732,3927692,35.458685,-83.867903,Lake Cheoah-Little Tennessee River,Little Tennessee River,1542.627441,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446895636000,GRSM,UNR,,10,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Cercis_canadensis_v_canadensis,Cercis  canadensis v. canadensis,7828,Redbud,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000D18EA7BAC7F754C0F1F031671CBB4140,136520,0101000020110F0000E31FD37EDBCE61C150D0A43CC01F5041,136097,>1m <=5m,ATBI DATABASE,,1446895635000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239410,3928047,35.461797,-83.871561,Lake Cheoah-Little Tennessee River,,1636.599854,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446895635000,GRSM,UNR,,7,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Cercis_canadensis_v_canadensis,Cercis  canadensis v. canadensis,7828,Redbud,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000B9CA97D3C2F754C0942DF0E724BB4140,136521,0101000020110F00008F87E654D7CE61C1E720631AC91F5041,136098,>1m <=5m,ATBI DATABASE,,1446895635000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239438,3928075,35.462057,-83.871262,Lake Cheoah-Little Tennessee River,,1686.404419,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446895635000,GRSM,UNR,,7,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Cercis_canadensis_v_canadensis,Cercis  canadensis v. canadensis,7828,Redbud,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E610000045E4DF5AD2F754C05C79B2632FBB4140,136519,0101000020110F000083C31B85E4CE61C1938ED108D41F5041,136096,>1m <=5m,ATBI DATABASE,,1446895634000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239353,3928113,35.462377,-83.87221,Lake Cheoah-Little Tennessee River,Little Tennessee River,1676.127441,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446895634000,GRSM,UNR,,8,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Cercis_canadensis_v_canadensis,Cercis  canadensis v. canadensis,7828,Redbud,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000A18E09BCE9F754C0D26A643153BB4140,136517,0101000020110F0000A71E4F60F8CE61C129603B5EF91F5041,136094,>1m <=5m,ATBI DATABASE,,1446895633000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239227,3928238,35.46347,-83.873637,Lake Cheoah-Little Tennessee River,,1637.353149,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446895633000,GRSM,UNR,,6,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Cercis_canadensis_v_canadensis,Cercis  canadensis v. canadensis,7828,Redbud,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000E5E10AA934D954C0017C06C077DF4140,136584,0101000020110F000082AFA2F6E3B461C159CC636FBA455041,136156,>1m <=5m,ATBI DATABASE,,1446895669000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,283539,3958401,35.745835,-83.393835,Little Pigeon River Middle,Copeland Creek,1501.770508,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446895669000,GRSM,UNR,,7,,,Old Settlers Trail,Greenbrier Road,Valid,Cercis_canadensis_v_canadensis,Cercis  canadensis v. canadensis,7828,Redbud,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1014768000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed, , ,cert,Keith Tree Survey
0101000020E6100000554D85151AE054C05C659D664BD84140,136583,0101000020110F00009FBC9E56BFBA61C17DDCA67F393E5041,136155,>1m <=5m,ATBI DATABASE,,1446895668000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,273635,3952427,35.689794,-83.501588,Le Conte Creek,Le Conte Creek,1878.935181,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446895668000,GRSM,UNR,,6,,,Twin Creeks Trail,Cherokee Orchard Road,Valid,Cercis_canadensis_v_canadensis,Cercis  canadensis v. canadensis,7828,Redbud,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,924825600000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000DBBCB36E0AEA54C05A38AE1EEED54140,136582,0101000020110F000009EC144130C361C1BE9EF0A1C03B5041,136154,>1m <=5m,ATBI DATABASE,,1446895668000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,259524,3950747,35.671322,-83.656883,Little River-Goshen Prong,,2039.716187,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446895668000,GRSM,UNR,,8,,,Meigs Creek Trail,Little River Gorge Road,Valid,Cercis_canadensis_v_canadensis,Cercis  canadensis v. canadensis,7828,Redbud,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1011484800000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed, , ,cert,Keith Tree Survey
0101000020E61000006EABD52EF8EB54C0839AD2E8F8D44140,136577,0101000020110F0000AE07C198D3C461C18C1DE649C03A5041,136149,>1m <=5m,ATBI DATABASE,,1446895664000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,256773,3949991,35.663839,-83.687019,Little River-Goshen Prong,Little River,1655.020142,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446895664000,GRSM,UNR,,7,,,Roundtop Trail,Little River Gorge Road,Valid,Cercis_canadensis_v_canadensis,Cercis  canadensis v. canadensis,7828,Redbud,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1010880000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed, , ,cert,Keith Tree Survey
0101000020E6100000443558DDEFEB54C0C5FF59D70ED54140,136578,0101000020110F0000C46B2D88CCC461C1C5691937D73A5041,136150,>1m <=5m,ATBI DATABASE,,1446895665000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,256821,3950064,35.664509,-83.686511,Little River-Goshen Prong,Little River,1608.988281,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446895665000,GRSM,UNR,,10,,,Roundtop Trail,Little River Gorge Road,Valid,Cercis_canadensis_v_canadensis,Cercis  canadensis v. canadensis,7828,Redbud,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1010880000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed, , ,cert,Keith Tree Survey
