the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E610000091E9E7858FEC54C0B40A205E92BD4140,138291,0101000020110F0000EEB1412154C561C15F99A03151225041,137907,>1m <=5m,ATBI DATABASE,,1446896703000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,255381,3929731,35.481022,-83.696256,Hazel Creek,Hazel Creek,2073.29248,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446896703000,GRSM,UNR,,4,,,Hazel Creek Trail,Lakeview Drive West,Valid,Chimaphila_maculata,Chimaphila  maculata,8078,Striped Pipsissewa,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1096848000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Pyrolaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000AA5B9126EBED54C005F91FC156BD4140,138288,0101000020110F00004D99C05E7BC661C1AB48020513225041,137904,>1m <=5m,ATBI DATABASE,,1446896702000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253450,3929582,35.479203,-83.717473,Hazel Creek,,2082.106689,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446896702000,GRSM,UNR,,6,,,Hazel Creek Trail,Lakeview Drive West,Valid,Chimaphila_maculata,Chimaphila  maculata,8078,Striped Pipsissewa,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1089244800000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Pyrolaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000041BF9E2BE1ED54C0BC90FE0649BD4140,138289,0101000020110F0000DE9ED5E472C661C1B80BF6B304225041,137905,>1m <=5m,ATBI DATABASE,,1446896702000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253504,3929534,35.478784,-83.716864,Hazel Creek,Hazel Creek,2018.631592,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446896702000,GRSM,UNR,,7,,,Hazel Creek Trail,Lakeview Drive West,Valid,Chimaphila_maculata,Chimaphila  maculata,8078,Striped Pipsissewa,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1089244800000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Pyrolaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000007F90FA25A1EA54C0A51C4DA755B94140,138293,0101000020110F0000E2E7DE41B0C361C155039A19E61D5041,137909,>1m <=5m,ATBI DATABASE,,1446896705000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,258020,3925984,35.44792,-83.666082,Lower Fontana Lake-Little Tennessee River,Pilkey Creek,1754.652344,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446896705000,GRSM,UNR,,2,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Chimaphila_maculata,Chimaphila  maculata,8078,Striped Pipsissewa,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1055980800000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Pyrolaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000ED0B2F5B47E654C0B1669C3A1ABA4140,138296,0101000020110F0000E9693250FEBF61C14985C50BB31E5041,137912,>1m <=5m,ATBI DATABASE,,1446896706000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,264209,3926485,35.453919,-83.598101,Fontana Lake-Tuckasegee River,,1888.910034,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446896706000,GRSM,UNR,,7,,,Lakeshore Trail,Lakeview Drive East,Valid,Chimaphila_maculata,Chimaphila  maculata,8078,Striped Pipsissewa,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065484800000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Pyrolaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000A991BE92E9E354C0633ABD2A8EBD4140,138299,0101000020110F0000D2BE54D2FBBD61C1DAD307D04C225041,137915,>1m <=5m,ATBI DATABASE,,1446896708000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,267643,3929390,35.480894,-83.561127,Forney Creek,,2268.97168,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446896708000,GRSM,UNR,,4,,,White Oak Branch Trail,Lakeview Drive East Parking #4,Valid,Chimaphila_maculata,Chimaphila  maculata,8078,Striped Pipsissewa,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1083196800000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Pyrolaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000C5DB345D3FE054C05A2FFD80C4BF4140,138312,0101000020110F0000924C1300DFBA61C1426F808C9B245041,137928,>1m <=5m,ATBI DATABASE,,1446896714000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272888,3931174,35.498177,-83.503863,Noland Creek,Holder Cove Branch,2626.955322,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446896714000,GRSM,UNR,,8,,,Noland Creek Trail,Lakeview Drive East,Valid,Chimaphila_maculata,Chimaphila  maculata,8078,Striped Pipsissewa,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1087257600000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Pyrolaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000001DC2032697E054C06278A391BABE4140,138311,0101000020110F0000740B3D8E29BB61C1A5910F2486235041,137927,>1m <=5m,ATBI DATABASE,,1446896714000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272379,3930286,35.490062,-83.509221,Noland Creek,,2992.0979,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446896714000,GRSM,UNR,,4,,,Lower Noland-Monteith Cemetery Access,Lakeview Drive East,Valid,Chimaphila_maculata,Chimaphila  maculata,8078,Striped Pipsissewa,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1085443200000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Pyrolaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000001C7C226135E154C00C9059D7D7BC4140,138310,0101000020110F0000D4BEF2F0AFBB61C18C34A9A88E215041,137926,>1m <=5m,ATBI DATABASE,,1446896713000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,271461,3928674,35.47533,-83.518879,Noland Creek,Bearpen Branch,2376.300293,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446896713000,GRSM,UNR,,4,,,Noland Creek Trail,Lakeview Drive East,Valid,Chimaphila_maculata,Chimaphila  maculata,8078,Striped Pipsissewa,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1085184000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Pyrolaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000061AA3E8F45E154C0CD11C15EBFBA4140,138309,0101000020110F000058F7D7AEBDBB61C12B9C223B5F1F5041,137925,>1m <=5m,ATBI DATABASE,,1446896713000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,271325,3926860,35.458958,-83.519867,Fontana Lake-Tuckasegee River,Noland Creek,2420.622559,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446896713000,GRSM,UNR,,4,,,Stiles Cemetery Access,Lakeview Drive East,Valid,Chimaphila_maculata,Chimaphila  maculata,8078,Striped Pipsissewa,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1087344000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Pyrolaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000C54C1045A6E154C0D4C85F48B1BA4140,138306,0101000020110F000003BFAAD10FBC61C118BAD28A501F5041,137922,>1m <=5m,ATBI DATABASE,,1446896712000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,270788,3926826,35.458528,-83.525769,Noland Creek,Noland Creek,1851.705811,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446896712000,GRSM,UNR,,7,,,Noland Creek Trail,Lakeview Drive East,Valid,Chimaphila_maculata,Chimaphila  maculata,8078,Striped Pipsissewa,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1086825600000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Pyrolaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000CEE2D4ED9DE154C05AF6E29367BB4140,138307,0101000020110F0000C3B436BC08BC61C1122ECF9F0E205041,137923,>1m <=5m,ATBI DATABASE,,1446896712000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,270850,3927442,35.464092,-83.52526,Noland Creek,,1977.764404,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446896712000,GRSM,UNR,,5,,,Noland Creek Trail,Lakeview Drive East,Valid,Chimaphila_maculata,Chimaphila  maculata,8078,Striped Pipsissewa,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1086825600000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Pyrolaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000004F1654DA76E154C0395DEB92BEBB4140,138308,0101000020110F000002403C8CE7BB61C1B0965E5769205041,137924,>1m <=5m,ATBI DATABASE,,1446896712000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,271074,3927731,35.466747,-83.522875,Noland Creek,,2081.526367,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446896712000,GRSM,UNR,,6,,,Noland Creek Trail,Lakeview Drive East,Valid,Chimaphila_maculata,Chimaphila  maculata,8078,Striped Pipsissewa,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1086825600000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Pyrolaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000003FDD526473E254C0899E871F4BBB4140,138305,0101000020110F000004227F07BEBC61C1388611F4F01F5041,137921,>1m <=5m,ATBI DATABASE,,1446896711000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,269665,3927376,35.463223,-83.538289,Noland Creek,,2218.819824,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446896711000,GRSM,UNR,,4,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Chimaphila_maculata,Chimaphila  maculata,8078,Striped Pipsissewa,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1085529600000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Pyrolaceae, ,~,observed, ,day,cert,Fridley Veg Plots
