the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000B3E63C6D11FB54C03CA28D264EBD4140,138758,0101000020110F0000D5C17459A6D161C1E2FFD70B0A225041,138359,>1m <=5m,ATBI DATABASE,,1446896959000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,234803,3930086,35.478941,-83.922934,Chilhowee Lake,,2026.297974,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446896959000,GRSM,UNR,,7,,,Wolf Ridge Trail,Parson Branch Road (closed Winter),Valid,Chrysopsis_mariana,Chrysopsis  mariana,8562,Maryland Golden-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000C1602FFB72F954C06EC270C7BEBB4140,138761,0101000020110F000082B2585C46D061C1CD45238E69205041,138362,>1m <=5m,ATBI DATABASE,,1446896961000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,237059,3928666,35.466753,-83.897639,Lake Cheoah-Little Tennessee River,,1712.54126,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446896961000,GRSM,UNR,,10,,,Twentymile Trail,Twenty Mile Ranger Station Road,Valid,Chrysopsis_mariana,Chrysopsis  mariana,8562,Maryland Golden-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000C811FEE7FEF554C072C3A8D14FBA4140,138766,0101000020110F000069E4FC8357CD61C1D156AEEBEA1E5041,138367,>1m <=5m,ATBI DATABASE,,1446896963000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,241921,3927281,35.455554,-83.843679,Lake Cheoah-Little Tennessee River,,1575.787842,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446896963000,GRSM,UNR,,10,,,Twentymile Trail,Payne Cemetery Access Road,Valid,Chrysopsis_mariana,Chrysopsis  mariana,8562,Maryland Golden-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000DDE42A8854F654C09BDE80014ABA4140,138765,0101000020110F00004CA9CC3CA0CD61C176AE11DCE41E5041,138366,>1m <=5m,ATBI DATABASE,,1446896963000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,241446,3927275,35.455377,-83.848905,Lake Cheoah-Little Tennessee River,Fox Branch,1623.208862,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446896963000,GRSM,UNR,,5,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Chrysopsis_mariana,Chrysopsis  mariana,8562,Maryland Golden-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E610000092303E92B3F654C06A87BA6D31BA4140,138764,0101000020110F0000171257F4F0CD61C18DC60B3CCB1E5041,138365,>1m <=5m,ATBI DATABASE,,1446896962000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,240917,3927207,35.454627,-83.854706,Lake Cheoah-Little Tennessee River,,1694.576782,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446896962000,GRSM,UNR,,9,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Chrysopsis_mariana,Chrysopsis  mariana,8562,Maryland Golden-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000C9E0CB519BE754C039DED8440AB94140,138771,0101000020110F000038D6520B1FC161C169C06B82971D5041,138372,>1m <=5m,ATBI DATABASE,,1446896966000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,262301,3925614,35.445619,-83.618851,Lower Fontana Lake-Little Tennessee River,Chambers Creek,1723.25061,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446896966000,GRSM,UNR,,8,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Chrysopsis_mariana,Chrysopsis  mariana,8562,Maryland Golden-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065398400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000005970350132F654C03CF3382D34CC4140,138767,0101000020110F00006874DEE982CD61C1149665C096315041,138368,>1m <=5m,ATBI DATABASE,,1446896964000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,242086,3942798,35.595335,-83.846798,Abrams Creek Upper,,1719.81543,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446896964000,GRSM,UNR,,6,,,Wet Bottom Trail,Cades Cove Loop Road,Valid,Chrysopsis_mariana,Chrysopsis  mariana,8562,Maryland Golden-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,283996800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E6100000898FA15975F554C045319EED43CD4140,138768,0101000020110F0000AD706BB0E2CC61C152258A99B2325041,138369,>1m <=5m,ATBI DATABASE,,1446896964000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,243156,3943688,35.603629,-83.835283,Abrams Creek Upper,Tater Branch,1848.436523,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446896964000,GRSM,UNR,,7,,,Cooper Road Trail,Cades Cove Loop Road,Valid,Chrysopsis_mariana,Chrysopsis  mariana,8562,Maryland Golden-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,283996800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E61000008F449585A2F354C0871054F088CB4140,138769,0101000020110F0000156B323656CB61C1F7D306E8E3305041,138370,>1m <=5m,ATBI DATABASE,,1446896965000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,245695,3942114,35.59011,-83.80679,Abrams Creek Upper,Oliver Branch,1859.68335,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446896965000,GRSM,UNR,,6,,,Lawson Cemetery Access,Cades Cove Loop Road,Valid,Chrysopsis_mariana,Chrysopsis  mariana,8562,Maryland Golden-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,283996800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E6100000FA9F50708DF754C01310974CB0C24140,138763,0101000020110F000009EA46FDA9CE61C15D3183C1A7275041,138364,>1m <=5m,ATBI DATABASE,,1446896962000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,239924,3934606,35.520998,-83.868004,Abrams Creek Lower,,4786.604492,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446896962000,GRSM,UNR,,6,,,Gregory Bald Trail,Parson Branch Road (closed Winter),Valid,Chrysopsis_mariana,Chrysopsis  mariana,8562,Maryland Golden-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-631152000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed,No,decade,cert,GRSMNP Grassy Balds
0101000020E61000004B8A50EB64FA54C014BB109463C44140,138759,0101000020110F00009083B8D613D161C12285EB006E295041,138360,>1m <=5m,ATBI DATABASE,,1446896960000,DERV,CALDERWOOD,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,235940,3936198,35.534282,-83.912405,Chilhowee Lake,,2696.564941,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446896960000,GRSM,UNR,,6,,,Gregory Bald Trail,Parson Branch Road (closed Winter),Valid,Chrysopsis_mariana,Chrysopsis  mariana,8562,Maryland Golden-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1000771200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand, , ,cert,INHS plant survey
