the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000008FC8A2A911EE54C02410F5E338BC4140,139140,0101000020110F0000CEDB0F149CC661C1AFC5F4E4E8205041,138745,>1m <=5m,ATBI DATABASE,,1446897176000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253210,3928620,35.470479,-83.719824,Hazel Creek,Hazel Creek,1911.231934,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446897176000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive West,Valid,Cinygmula_subaequalis,Cinygmula  subaequalis,8760,Subequal Flat-headed Mayfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,903398400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Ephemeroptera, ,Setisura, , ,Heptageniidae,Rhithrogeniinae,~,by hand, , ,cert,Inventory & Monitoring
0101000020E6100000D5720FB877CD54C0D7638C6332E14140,139158,0101000020110F0000BFF5A4DDEBAA61C114474CAA89475041,138763,>1m <=5m,ATBI DATABASE,,1446897186000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,300160,3959510,35.759343,-83.210428,Cosby Creek,,2137.029297,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446897186000,GRSM,UNR,,4,,,Gabes Mountain Trail,Cosby Entrance Road,Valid,Cinygmula_subaequalis,Cinygmula  subaequalis,8760,Subequal Flat-headed Mayfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,770515200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Ephemeroptera, ,Setisura, , ,Heptageniidae,Rhithrogeniinae,~,by hand, , ,cert,Inventory & Monitoring
0101000020E61000009F3629534CCD54C0640B7ADCA8E04140,139160,0101000020110F0000F047DA02C7AA61C1FA1541BBF9465041,138765,>1m <=5m,ATBI DATABASE,,1446897187000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,300389,3959039,35.755146,-83.20778,Cosby Creek,Cosby Creek,2240.317383,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446897187000,GRSM,UNR,,6,,,Low Gap Trail,Cosby Entrance Road,Valid,Cinygmula_subaequalis,Cinygmula  subaequalis,8760,Subequal Flat-headed Mayfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,990057600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Ephemeroptera, ,Setisura, , ,Heptageniidae,Rhithrogeniinae,~,by hand, , ,cert,ATBI
0101000020E6100000CE00D547F9CD54C0A616376600E44140,139157,0101000020110F0000CE150BE759AB61C1DF53943E794A5041,138762,>1m <=5m,ATBI DATABASE,,1446897186000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299500,3961957,35.781255,-83.218336,Cosby Creek,Fletcher Spring Branch,1872.005859,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446897186000,GRSM,UNR,,9,,,Tritt Cemetery Access Trail,Cosby Entrance Road,Valid,Cinygmula_subaequalis,Cinygmula  subaequalis,8760,Subequal Flat-headed Mayfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,990057600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Ephemeroptera, ,Setisura, , ,Heptageniidae,Rhithrogeniinae,~,by hand, , ,cert,ATBI
0101000020E610000000B6C1BE1ACB54C055A976D931D34140,139164,0101000020110F000026EBB20FEAA861C12D867BA1E4385041,138769,>1m <=5m,ATBI DATABASE,,1446897189000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,303230,3947300,35.649952,-83.173503,Upper Cataloochee Creek,Lost Bottom Creek,4567.367188,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446897189000,GRSM,UNR,,4,,,Balsam Mountain Trail,Balsam Mountain Road (closed Winter),Valid,Cinygmula_subaequalis,Cinygmula  subaequalis,8760,Subequal Flat-headed Mayfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,868406400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Ephemeroptera, ,Setisura, , ,Heptageniidae,Rhithrogeniinae,~,by hand, , ,cert,Inventory & Monitoring
0101000020E610000055BBA3B558C654C07462906D79D04140,139169,0101000020110F0000B5C65295DFA461C1AA0DB4D80C365041,138774,>1m <=5m,ATBI DATABASE,,1446897192000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,309911,3944796,35.628699,-83.09916,Upper Cataloochee Creek,Mossy Branch,2681.330078,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446897192000,GRSM,UNR,,4,,,Cataloochee Horse Trail,Cataloochee Entrance Road,Valid,Cinygmula_subaequalis,Cinygmula  subaequalis,8760,Subequal Flat-headed Mayfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1179360000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Ephemeroptera, ,Setisura, , ,Heptageniidae,Rhithrogeniinae,~,at light,No, ,cert,EPT DNA Barcoding
0101000020E61000003402A67660C554C0F351794DE5D04140,139170,0101000020110F00000A5672BF0CA461C1772D08917D365041,138775,>1m <=5m,ATBI DATABASE,,1446897193000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,311291,3945132,35.631991,-83.084009,Lower Cataloochee Creek,Cataloochee Creek,2619.234863,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446897193000,GRSM,UNR,,5,,,Cataloochee Horse Trail,Cataloochee Campground Loop Road,Valid,Cinygmula_subaequalis,Cinygmula  subaequalis,8760,Subequal Flat-headed Mayfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,640137600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Ephemeroptera, ,Setisura, , ,Heptageniidae,Rhithrogeniinae,~,by hand, ,month,cert,Inventory & Monitoring
0101000020E610000099743DCC3CC754C04D6BD7B4EDCF4140,139168,0101000020110F0000288B7A4CA1A561C1894321DB7A355041,138773,>1m <=5m,ATBI DATABASE,,1446897192000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,308640,3944350,35.624435,-83.113082,Upper Cataloochee Creek,Rough Fork,2759.154297,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446897192000,GRSM,UNR,,3,,,Cataloochee Horse Trail,Cataloochee Entrance Road,Valid,Cinygmula_subaequalis,Cinygmula  subaequalis,8760,Subequal Flat-headed Mayfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,638928000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Ephemeroptera, ,Setisura, , ,Heptageniidae,Rhithrogeniinae,~,by hand, , ,cert,Inventory & Monitoring
0101000020E6100000871AF779DBCA54C07475B8372EC74140,139166,0101000020110F0000A543C253B4A861C18EB7C9F2572C5041,138771,>1m <=5m,ATBI DATABASE,,1446897191000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,303350,3936880,35.556091,-83.169642,Lower Raven Fork,Bunches Creek,4891.049805,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446897191000,GRSM,UNR,,6,,,Flat Creek Trail,Heintooga Ridge Road,Valid,Cinygmula_subaequalis,Cinygmula  subaequalis,8760,Subequal Flat-headed Mayfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,962150400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Ephemeroptera, ,Setisura, , ,Heptageniidae,Rhithrogeniinae,~,by hand, , ,cert,Inventory & Monitoring
0101000020E61000004E52069240CB54C0DB9799BD9FC64140,139161,0101000020110F00003293B32F0AA961C1E333BC36C32B5041,138766,>1m <=5m,ATBI DATABASE,,1446897188000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,302780,3936410,35.551743,-83.175812,Lower Raven Fork,Flat Creek,4964.012695,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446897188000,GRSM,UNR,,7,,,Flat Creek Trail,Heintooga Ridge Road,Valid,Cinygmula_subaequalis,Cinygmula  subaequalis,8760,Subequal Flat-headed Mayfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,897868800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Ephemeroptera, ,Setisura, , ,Heptageniidae,Rhithrogeniinae,~,by hand, , ,cert,Inventory & Monitoring
0101000020E6100000ADC6C121CBCA54C0241A7C181CC64140,139167,0101000020110F000061021C72A6A861C1740F50CB392B5041,138772,>1m <=5m,ATBI DATABASE,,1446897191000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,303420,3935950,35.547726,-83.168644,Lower Raven Fork,Bunches Creek,4461.427734,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446897191000,GRSM,UNR,,7,,,Flat Creek Trail,Heintooga Ridge Road,Valid,Cinygmula_subaequalis,Cinygmula  subaequalis,8760,Subequal Flat-headed Mayfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,898646400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Ephemeroptera, ,Setisura, , ,Heptageniidae,Rhithrogeniinae,~,by hand, , ,cert,Inventory & Monitoring
