the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000C907DF2954DF54C0D240AD1B4FBA4140,140284,0101000020110F0000AEC5913E17BA61C13141F02DEA1E5041,139875,>1m <=5m,ATBI DATABASE,,1446897821000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,274071,3926410,35.455532,-83.489508,Fontana Lake-Tuckasegee River,Middle Peachtree Creek,2166.862793,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446897821000,GRSM,UNR,,8,,,Conner @ Hickory Flats Cemetery Access,Lakeview Drive East,Valid,Clepsis_peritana,Clepsis  peritana,9054,Garden Tortrix Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1023580800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Tortricoidea,Tortricidae,Tortricinae,~,UV light, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000A1C1FCCE1CDA54C036952DE876BE4140,140288,0101000020110F0000229D8120A9B561C17DAF75903F235041,139879,>1m <=5m,ATBI DATABASE,,1446897824000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,281557,3929828,35.487997,-83.408004,Deep Creek,Indian Creek,2285.814453,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446897824000,GRSM,UNR,,7,,,Indian Creek Trail,Galbraith Creek Rd,Valid,Clepsis_peritana,Clepsis  peritana,9054,Garden Tortrix Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1023667200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Tortricoidea,Tortricidae,Tortricinae,~,UV light, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000793E332304CE54C0CC4F14625AE44140,140299,0101000020110F000033C08F1F63AB61C184E32A73D74A5041,139890,>1m <=5m,ATBI DATABASE,,1446897831000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299447,3962263,35.784001,-83.218999,Cosby Creek,Cosby Creek,1650.478271,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446897831000,GRSM,UNR,,8,,,Tritt Cemetery Access Trail,Cosby Entrance Road,Valid,Clepsis_peritana,Clepsis  peritana,9054,Garden Tortrix Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,993340800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Tortricoidea,Tortricidae,Tortricinae,~,UV light, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000E54530528BCC54C06E3B0E3F5CDF4140,140300,0101000020110F00008EFECB1723AA61C198A88AA79D455041,139891,>1m <=5m,ATBI DATABASE,,1446897831000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,301429,3957889,35.744996,-83.196,Cosby Creek,Cosby Creek,2929.737305,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446897831000,GRSM,UNR,,6,,,Low Gap Trail,Cosby Campground Road B,Valid,Clepsis_peritana,Clepsis  peritana,9054,Garden Tortrix Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,964224000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Tortricoidea,Tortricidae,Tortricinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000D116F6052BC754C0D16D032321D04140,140302,0101000020110F000012EDEC3392A561C1776BCD97B0355041,139893,>1m <=5m,ATBI DATABASE,,1446897832000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,308742,3944522,35.626004,-83.111997,Upper Cataloochee Creek,Palmer Creek,2738.823242,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446897832000,GRSM,UNR,,6,,,Cataloochee Horse Trail,Cataloochee Entrance Road,Valid,Clepsis_peritana,Clepsis  peritana,9054,Garden Tortrix Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,969321600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Tortricoidea,Tortricidae,Tortricinae,~,UV light, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000008D94442EACC454C037E70A3D02CB4140,140308,0101000020110F00008A1D37A273A361C1C551E73A57305041,139899,>1m <=5m,ATBI DATABASE,,1446897835000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312180,3940009,35.585999,-83.073005,Lower Johnathans Creek,,4917.642578,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446897835000,GRSM,UNR,,7,,,Science Center Trail,The Purchase Road (closed Winter),Valid,Clepsis_peritana,Clepsis  peritana,9054,Garden Tortrix Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1023667200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Tortricoidea,Tortricidae,Tortricinae,~,UV light, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000000D5D00E27AC454C0110D2FE1C0CA4140,140311,0101000020110F0000E0AAD1C349A361C167A168F912305041,139902,>1m <=5m,ATBI DATABASE,,1446897836000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312448,3939782,35.584004,-83.069996,Lower Johnathans Creek,Beantown Creek,4682.922852,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446897836000,GRSM,UNR,,4,,,Ferguson Cabin Horse Trail,The Purchase Road (closed Winter),Valid,Clepsis_peritana,Clepsis  peritana,9054,Garden Tortrix Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1023580800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Tortricoidea,Tortricidae,Tortricinae,~,UV light, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000E9E0297CA7C454C0F5A0586276CA4140,140309,0101000020110F0000108A44A56FA361C15E82CA2DC52F5041,139900,>1m <=5m,ATBI DATABASE,,1446897835000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312196,3939535,35.581731,-83.072719,Lower Johnathans Creek,,4624.331543,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446897835000,GRSM,UNR,,6,,,Ferguson Cabin Trail,The Purchase Road (closed Winter),Valid,Clepsis_peritana,Clepsis  peritana,9054,Garden Tortrix Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1155081600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Tortricoidea,Tortricidae,Tortricinae,~,black light trap,No,day,cert,PKnob moths monitoring
0101000020E6100000C99A1C3497C454C016F2A26513CA4140,140310,0101000020110F0000380957D161A361C11A9270CF5D2F5041,139901,>1m <=5m,ATBI DATABASE,,1446897836000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312279,3939198,35.57871,-83.071725,Lower Johnathans Creek,,4456.333008,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446897836000,GRSM,UNR,,8,,,Ferguson Cabin Trail,The Purchase Road (closed Winter),Valid,Clepsis_peritana,Clepsis  peritana,9054,Garden Tortrix Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1155081600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Tortricoidea,Tortricidae,Tortricinae,~,at light, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000003517DB4BAAC454C03FCAADF537CA4140,140306,0101000020110F00009DA8800872A361C18805AAFD832F5041,139897,>1m <=5m,ATBI DATABASE,,1446897834000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312176,3939324,35.579826,-83.07289,Lower Johnathans Creek,,4557.775391,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446897834000,GRSM,UNR,,4,,,Ferguson Cabin Trail,The Purchase Road (closed Winter),Valid,Clepsis_peritana,Clepsis  peritana,9054,Garden Tortrix Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,964224000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Tortricoidea,Tortricidae,Tortricinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000B5EF24FEB5C454C04C7A66E9CDCA4140,140305,0101000020110F0000ED7D8DF77BA361C1A4B2779520305041,139896,>1m <=5m,ATBI DATABASE,,1446897834000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312122,3939833,35.584402,-83.073604,Lower Johnathans Creek,,4819.37207,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446897834000,GRSM,UNR,,6,,,Ferguson Cabin Horse Trail,The Purchase Road (closed Winter),Valid,Clepsis_peritana,Clepsis  peritana,9054,Garden Tortrix Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,969321600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Tortricoidea,Tortricidae,Tortricinae,~,UV light, , ,cert,ATBI Lepidoptera TWiG
