the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000579DA211D6CD54C09AF4BFA899DF4140,140623,0101000020110F0000487948FF3BAB61C1BFC639EBDD455041,140211,>1m <=5m,ATBI DATABASE,,1446898015000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299608,3958138,35.74687,-83.216187,Cosby Creek,Rock Creek,2724.500244,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446898015000,GRSM,UNR,,2,,,Snake Den Ridge Trail,Cosby Campground Road B,Valid,Clethrionomys_gapperi_carolinensis,Clethrionomys  gapperi carolinensis,9061,Southern Red-backed Vole,Mammal,Ecological Framework: Biological Integrity | Focal Species or Communities | Mammals,1011571200000,Animalia, ,Chordata, ,Mammalia, , ,Deuterostomia, , ,Rodentia, , , , ,Muridae, ,~,unspecified, , ,cert,ATBI Small Mammals
0101000020E6100000D18F14FE1DCE54C06FC8616531DF4140,140622,0101000020110F00000480FA1479AB61C15AE2C0D070455041,140208,>1m <=5m,ATBI DATABASE,,1446898014000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299203,3957794,35.743688,-83.220577,Cosby Creek,Inadu Creek,3003.143799,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446898014000,GRSM,UNR,,4,,,Snake Den Ridge Trail,Cosby Campground Road B,Valid,Clethrionomys_gapperi_carolinensis,Clethrionomys  gapperi carolinensis,9061,Southern Red-backed Vole,Mammal,Ecological Framework: Biological Integrity | Focal Species or Communities | Mammals,1011484800000,Animalia, ,Chordata, ,Mammalia, , ,Deuterostomia, , ,Rodentia, , , , ,Muridae, ,~,unspecified, , ,cert,ATBI Small Mammals
0101000020E61000004DD04D98D9C354C0AA0FE78B04CC4140,140629,0101000020110F0000BD4A77C8C0A261C1DD1F150165315041,140217,>1m <=5m,ATBI DATABASE,,1446898018000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,313363,3940859,35.593882,-83.060152,Lower Johnathans Creek,,4081.725586,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446898018000,GRSM,UNR,,8,,,Cataloochee Divide Trail,The Purchase Road (closed Winter),Valid,Clethrionomys_gapperi_carolinensis,Clethrionomys  gapperi carolinensis,9061,Southern Red-backed Vole,Mammal,Ecological Framework: Biological Integrity | Focal Species or Communities | Mammals,957657600000,Animalia, ,Chordata, ,Mammalia, , ,Deuterostomia, , ,Rodentia, , , , ,Muridae, ,~,unspecified, , ,cert,ATBI Small Mammals
0101000020E61000001315C338CCC454C0A9C267372FCB4140,140624,0101000020110F0000789D98D88EA361C1690DE43386305041,140212,>1m <=5m,ATBI DATABASE,,1446898016000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312006,3940165,35.587372,-83.074961,Lower Johnathans Creek,Cove Creek,4946.448242,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446898016000,GRSM,UNR,,7,,,Science Center Trail,The Purchase Road (closed Winter),Valid,Clethrionomys_gapperi_carolinensis,Clethrionomys  gapperi carolinensis,9061,Southern Red-backed Vole,Mammal,Ecological Framework: Biological Integrity | Focal Species or Communities | Mammals,989884800000,Animalia, ,Chordata, ,Mammalia, , ,Deuterostomia, , ,Rodentia, , , , ,Muridae, ,~,unspecified, , ,cert,ATBI Small Mammals
0101000020E61000000EE1B10210C454C0CB8AF9AA76CB4140,140626,0101000020110F00006F248DFFEEA261C1DF440ED3D0305041,140214,>1m <=5m,ATBI DATABASE,,1446898017000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,313052,3940385,35.589552,-83.063473,Lower Johnathans Creek,,4575.452637,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446898017000,GRSM,UNR,,2,,,Science Center Trail,The Purchase Road (closed Winter),Valid,Clethrionomys_gapperi_carolinensis,Clethrionomys  gapperi carolinensis,9061,Southern Red-backed Vole,Mammal,Ecological Framework: Biological Integrity | Focal Species or Communities | Mammals,989884800000,Animalia, ,Chordata, ,Mammalia, , ,Deuterostomia, , ,Rodentia, , , , ,Muridae, ,~,unspecified, , ,cert,ATBI Small Mammals
0101000020E610000090FAF319A2C454C00C135226D1C94140,140625,0101000020110F0000F7C9C0126BA361C16B4805A2182F5041,140213,>1m <=5m,ATBI DATABASE,,1446898016000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312214,3938975,35.576688,-83.07239,Lower Johnathans Creek,,4284.481934,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446898016000,GRSM,UNR,,3,,,Ferguson Cabin Trail,The Purchase Road (closed Winter),Valid,Clethrionomys_gapperi_carolinensis,Clethrionomys  gapperi carolinensis,9061,Southern Red-backed Vole,Mammal,Ecological Framework: Biological Integrity | Focal Species or Communities | Mammals,1019260800000,Animalia, ,Chordata, ,Mammalia, , ,Deuterostomia, , ,Rodentia, , , , ,Muridae, ,~,unspecified, , ,cert,ATBI Small Mammals
0101000020E610000009C1D041DCC354C0DDCEFF31C8CB4140,140627,0101000020110F0000861E460BC3A261C181EBC2F825315041,140215,>1m <=5m,ATBI DATABASE,,1446898017000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,313344,3940655,35.59204,-83.060315,Lower Johnathans Creek,,4347.554199,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446898017000,GRSM,UNR,,6,,,Science Center Trail,The Purchase Road (closed Winter),Valid,Clethrionomys_gapperi_carolinensis,Clethrionomys  gapperi carolinensis,9061,Southern Red-backed Vole,Mammal,Ecological Framework: Biological Integrity | Focal Species or Communities | Mammals,989712000000,Animalia, ,Chordata, ,Mammalia, , ,Deuterostomia, , ,Rodentia, , , , ,Muridae, ,~,unspecified, , ,cert,ATBI Small Mammals
0101000020E6100000693A700BACDF54C047DD3D3605C54140,140513,0101000020110F0000E4A2C2E161BA61C17B882AB3162A5041,140104,>1m <=5m,ATBI DATABASE,,1446897946000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273819,3935706,35.539215,-83.494872,Forney Creek,Keeyuga Creek,5707.666992,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446897946000,GRSM,UNR,,6,,,Forney Ridge Trail,Clingmans Dome Road Parking #3,Valid,Clethrionomys_gapperi_carolinensis,Clethrionomys  gapperi carolinensis,9061,Southern Red-backed Vole,Mammal,Ecological Framework: Biological Integrity | Focal Species or Communities | Mammals,1031356800000,Animalia, ,Chordata, ,Mammalia, , ,Deuterostomia, , ,Rodentia, , , , ,Muridae, ,~,unspecified, , ,cert,ATBI Small Mammals
0101000020E61000001EEB30C6AADF54C05600FA273FC54140,140537,0101000020110F0000C71487CD60BA61C1C7D2B92D532A5041,140128,>1m <=5m,ATBI DATABASE,,1446897959000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273831,3935902,35.540983,-83.494794,Forney Creek,Keeyuga Creek,5806.80957,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446897959000,GRSM,UNR,,6,,,Forney Ridge Trail,Clingmans Dome Road Parking #3,Valid,Clethrionomys_gapperi_carolinensis,Clethrionomys  gapperi carolinensis,9061,Southern Red-backed Vole,Mammal,Ecological Framework: Biological Integrity | Focal Species or Communities | Mammals,955324800000,Animalia, ,Chordata, ,Mammalia, , ,Deuterostomia, , ,Rodentia, , , , ,Muridae, ,~,unspecified, , ,cert,ATBI Small Mammals
0101000020E6100000853E9874B1DF54C0CD36A61D7AC74140,140539,0101000020110F0000978A2C7A66BA61C1D896EA2EA72C5041,140130,>1m <=5m,ATBI DATABASE,,1446897960000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273843,3937836,35.558407,-83.495202,Forney Creek,,6408.642578,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446897960000,GRSM,UNR,,6,,,Clingmans Dome Trail,Clingmans Dome Access Road,Valid,Clethrionomys_gapperi_carolinensis,Clethrionomys  gapperi carolinensis,9061,Southern Red-backed Vole,Mammal,Ecological Framework: Biological Integrity | Focal Species or Communities | Mammals,1032566400000,Animalia, ,Chordata, ,Mammalia, , ,Deuterostomia, , ,Rodentia, , , , ,Muridae, ,~,by hand, , ,cert,ATBI Reeves DLIA 1999
