the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000B95889C08BF154C015ABB519EFBD4140,140581,0101000020110F00009D56180890C961C14C02CAE9B1225041,140248,>1m <=5m,ATBI DATABASE,,1446898036000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,248321,3930241,35.483852,-83.774151,Eagle Creek,Eagle Creek,1710.458008,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446898036000,GRSM,UNR,,4,,,Lakeshore Trail,Lakeview Drive West,Valid,Clinostomus_funduloides,Clinostomus  funduloides,9080,Smoky Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,612057600000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Cyprinidae, ,~,unspecified, ,day,cert,Historic Fishes
0101000020E61000005994846A41EE54C095B811CD7EBC4140,140653,0101000020110F00004F78A8A2C4C661C1FE19F2CC31215041,140252,>1m <=5m,ATBI DATABASE,,1446898038000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252952,3928864,35.472613,-83.722739,Hazel Creek,Hazel Creek,1901.817383,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446898038000,GRSM,UNR,,5,,,Lakeshore Trail,Lakeview Drive West,Valid,Clinostomus_funduloides,Clinostomus  funduloides,9080,Smoky Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,612057600000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Cyprinidae, ,~,unspecified, ,day,cert,Historic Fishes
0101000020E6100000A9CD237246EE54C0AE12720688BC4140,140652,0101000020110F00003B5F3CE8C8C661C187D08A6B3B215041,140251,>1m <=5m,ATBI DATABASE,,1446898038000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252925,3928896,35.472894,-83.723046,Hazel Creek,Hazel Creek,1850.35498,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446898038000,GRSM,UNR,,6,,,Hazel Creek Trail,Lakeview Drive West,Valid,Clinostomus_funduloides,Clinostomus  funduloides,9080,Smoky Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,529718400000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Cyprinidae, ,~,unspecified, ,day,cert,Historic Fishes
0101000020E61000006F0C48955DED54C09A0D6202DFBC4140,140655,0101000020110F00005E35042303C661C104A46A2296215041,140254,>1m <=5m,ATBI DATABASE,,1446898039000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,254223,3929155,35.475549,-83.708833,Hazel Creek,Hazel Creek,1958.431885,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446898039000,GRSM,UNR,,5,,,Hazel Creek Trail,Lakeview Drive West,Valid,Clinostomus_funduloides,Clinostomus  funduloides,9080,Smoky Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,326505600000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Cyprinidae, ,~,unspecified, ,day,cert,Historic Fishes
0101000020E6100000D14359CAC2E154C0C30D5B276CBA4140,140659,0101000020110F00004690A60A28BC61C1ECC8BA76081F5041,140259,>1m <=5m,ATBI DATABASE,,1446898042000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,270624,3926596,35.456419,-83.52751,Noland Creek,Noland Creek,1810.87915,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446898042000,GRSM,UNR,,7,,,Noland Creek Trail,Lakeview Drive East Parking #2,Valid,Clinostomus_funduloides,Clinostomus  funduloides,9080,Smoky Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,313286400000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Cyprinidae, ,~,unspecified, ,day,cert,Historic Fishes
0101000020E610000021881737DAE154C03AA9880383B94140,140658,0101000020110F0000A8C1AFEF3BBC61C16624F563151E5041,140258,>1m <=5m,ATBI DATABASE,,1446898041000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,270474,3925810,35.449304,-83.52894,Noland Creek,Noland Creek,1836.906128,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446898041000,GRSM,UNR,,2,,,Noland Creek Trail,Lakeview Drive East,Valid,Clinostomus_funduloides,Clinostomus  funduloides,9080,Smoky Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,644112000000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Cyprinidae, ,~,unspecified, ,day,cert,Historic Fishes
0101000020E61000008139181C0BDC54C04B4D12BD5FBA4140,140592,0101000020110F00008B93E8EF4CB761C1FCB5E384FB1E5041,140260,>1m <=5m,ATBI DATABASE,,1446898042000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,278732,3926350,35.45604,-83.438174,Deep Creek,,1799.486816,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446898042000,GRSM,UNR,,5,,,Noland Divide Trail,East Deep Creek Road,Valid,Clinostomus_funduloides,Clinostomus  funduloides,9080,Smoky Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,299635200000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Cyprinidae, ,~,unspecified, ,year,cert,Historic Fishes
0101000020E61000005E7CE3010BDC54C01FB2D3DF70BA4140,140615,0101000020110F0000A6D7A6D94CB761C13041BF620D1F5041,140261,>1m <=5m,ATBI DATABASE,,1446898043000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,278734,3926408,35.456563,-83.438168,Deep Creek,,1806.475586,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446898043000,GRSM,UNR,,6,,,Noland Divide Trail,East Deep Creek Road,Valid,Clinostomus_funduloides,Clinostomus  funduloides,9080,Smoky Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,611971200000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Cyprinidae, ,~,unspecified, ,day,cert,Historic Fishes
0101000020E61000004520EA803CDB54C0771309A161BE4140,109,0101000020110F0000FBA269779DB661C1A581C55E29235041,140266,>1m <=5m,ATBI DATABASE,,1446898045000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,279962,3929795,35.487348,-83.425564,Deep Creek,Deep Creek,2126.052246,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446898045000,GRSM,UNR,,6,,,Deep Creek Trail,Tom Branch Road,Valid,Clinostomus_funduloides,Clinostomus  funduloides,9080,Smoky Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,499651200000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Cyprinidae, ,~,unspecified, ,day,cert,Historic Fishes
0101000020E61000008B0DE55DF8DB54C09A0A0074A9BA4140,106,0101000020110F000055BBCB043DB761C1D096E760481F5041,140264,>1m <=5m,ATBI DATABASE,,1446898044000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,278842,3926597,35.458289,-83.43703,Deep Creek,Deep Creek,1843.741455,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446898044000,GRSM,UNR,,8,,,Noland Divide Trail,East Deep Creek Road,Valid,Clinostomus_funduloides,Clinostomus  funduloides,9080,Smoky Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,655084800000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Cyprinidae, ,~,unspecified, ,day,cert,Historic Fishes
