the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000F10EE97D24F754C00B2B44B03FBC4140,141532,0101000020110F0000AF94A1DB50CE61C1B177D0FBEF205041,141173,>1m <=5m,ATBI DATABASE,,1446898553000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,240343,3929007,35.470687,-83.861598,Lake Cheoah-Little Tennessee River,Twentymile Creek,1704.007812,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446898553000,GRSM,UNR,,2,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Collinsonia_canadensis,Collinsonia  canadensis,8357,Stoneroot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1000944000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Lamiales, , , , ,Lamiaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000656E33B297F654C07A1C0BAC91BC4140,141537,0101000020110F0000D187B247D9CD61C13622027B45215041,141177,>1m <=5m,ATBI DATABASE,,1446898555000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,241131,3929262,35.473189,-83.853005,Lake Cheoah-Little Tennessee River,Twentymile Creek,1862.303467,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446898555000,GRSM,UNR,,4,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Collinsonia_canadensis,Collinsonia  canadensis,8357,Stoneroot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1020297600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Lamiales, , , , ,Lamiaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000005BE6CD1114EE54C0DE46FFE251BC4140,141632,0101000020110F000060BD5F1F9EC661C1331622F602215041,141268,>1m <=5m,ATBI DATABASE,,1446898605000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253199,3928705,35.471242,-83.719971,Hazel Creek,Hazel Creek,1780.442627,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446898605000,GRSM,UNR,,7,,,Lakeshore Trail,Lakeview Drive West,Valid,Collinsonia_canadensis,Collinsonia  canadensis,8357,Stoneroot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1096934400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Lamiales, , , , ,Lamiaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000AB1BB5E322EE54C0C9BDE47288BC4140,141630,0101000020110F00002A8189B5AAC661C17794A3DC3B215041,141266,>1m <=5m,ATBI DATABASE,,1446898604000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253122,3928892,35.472907,-83.720875,Hazel Creek,Hazel Creek,1728.525391,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446898604000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive West,Valid,Collinsonia_canadensis,Collinsonia  canadensis,8357,Stoneroot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1096934400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Lamiales, , , , ,Lamiaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000005D24CE39A1ED54C05CCF40C72FBC4140,141633,0101000020110F0000600FF2953CC661C12B7B5564DF205041,141269,>1m <=5m,ATBI DATABASE,,1446898605000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253832,3928572,35.470201,-83.712961,Hazel Creek,,2006.924561,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446898605000,GRSM,UNR,,7,,,Hazel Creek Trail,Lakeview Drive West,Valid,Collinsonia_canadensis,Collinsonia  canadensis,8357,Stoneroot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1088640000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Lamiales, , , , ,Lamiaceae, ,~,by hand,No,day,cert,Northshore Road EIS
0101000020E6100000EDC3381AC8E654C06E19021DB9B94140,141642,0101000020110F00007F7751A86BC061C177D206CB4D1E5041,141278,>1m <=5m,ATBI DATABASE,,1446898610000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,263487,3926175,35.450955,-83.605959,Lower Fontana Lake-Little Tennessee River,,1828.222534,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446898610000,GRSM,UNR,,2,,,Campsite 98 access,Lakeview Drive East Parking #4,Valid,Collinsonia_canadensis,Collinsonia  canadensis,8357,Stoneroot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1088640000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Lamiales, , , , ,Lamiaceae, ,~,observed,No,season,cert,Northshore Road EIS
0101000020E61000008526701BC8E654C0CDA19268B9B94140,141643,0101000020110F000020ED59A96BC061C15317CF194E1E5041,141279,>1m <=5m,ATBI DATABASE,,1446898611000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,263487,3926176,35.450964,-83.605959,Lower Fontana Lake-Little Tennessee River,,1828.222534,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446898611000,GRSM,UNR,,2,,,Campsite 98 access,Lakeview Drive East Parking #4,Valid,Collinsonia_canadensis,Collinsonia  canadensis,8357,Stoneroot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1088640000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Lamiales, , , , ,Lamiaceae, ,~,by hand,No,day,cert,Northshore Road EIS
0101000020E6100000B319C62EA8E754C049523CA870BF4140,141640,0101000020110F00009EE30CF829C161C1DE26F01444245041,141276,>1m <=5m,ATBI DATABASE,,1446898609000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,262377,3931163,35.495619,-83.619636,Forney Creek,Bear Creek,4634.84375,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446898609000,GRSM,UNR,,6,,,Cold Spring Gap Trail,Lakeview Drive East Parking #4,Valid,Collinsonia_canadensis,Collinsonia  canadensis,8357,Stoneroot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1149552000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Lamiales, , , , ,Lamiaceae, ,~,observed,No,day,cert,ATBI
0101000020E61000001DC2032697E054C06278A391BABE4140,141658,0101000020110F0000740B3D8E29BB61C1A5910F2486235041,141294,>1m <=5m,ATBI DATABASE,,1446898619000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272379,3930286,35.490062,-83.509221,Noland Creek,,2992.0979,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446898619000,GRSM,UNR,,4,,,Lower Noland-Monteith Cemetery Access,Lakeview Drive East,Valid,Collinsonia_canadensis,Collinsonia  canadensis,8357,Stoneroot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1085443200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Lamiales, , , , ,Lamiaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000001F3CD83737E054C0CEF25AE84EBE4140,141659,0101000020110F00001B19FA14D8BA61C1258BC3D715235041,141295,>1m <=5m,ATBI DATABASE,,1446898619000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272901,3929908,35.486776,-83.503366,Noland Creek,Noland Creek,2376.458984,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446898619000,GRSM,UNR,,5,,,Noland Creek Trail,Lakeview Drive East,Valid,Collinsonia_canadensis,Collinsonia  canadensis,8357,Stoneroot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1087084800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Lamiales, , , , ,Lamiaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000BE1B1FEEA9E054C0250F5CD6DEBC4140,141655,0101000020110F0000CEDDC38139BB61C1BD2681F495215041,141291,>1m <=5m,ATBI DATABASE,,1446898618000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272234,3928678,35.475544,-83.510368,Noland Creek,Noland Creek,2271.351074,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446898618000,GRSM,UNR,,7,,,Noland Creek Trail,Lakeview Drive East,Valid,Collinsonia_canadensis,Collinsonia  canadensis,8357,Stoneroot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1085097600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Lamiales, , , , ,Lamiaceae, ,~,observed, ,day,cert,Fridley Veg Plots
