the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000008B72C4B595FB54C02B7B57ACBDBF4140,141802,0101000020110F000088929CB216D261C15400536C94245041,141433,>1m <=5m,ATBI DATABASE,,1446898699000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,234133,3932219,35.497969,-83.931008,Chilhowee Lake,Parson Branch,1717.55957,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446898699000,GRSM,UNR,,6,,,Wolf Ridge Trail,Parson Branch Road (closed Winter),Valid,Coluber_constrictor_constrictor,Coluber  constrictor constrictor,9603,Northern Black Racer,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,988675200000,Animalia, ,Chordata, ,Reptilia, , ,Deuterostomia, , ,Squamata, ,Serpentes, , ,Colubridae, ,~,road kill, , ,cert,ATBI Reptiles
0101000020E61000007708169916F154C07E18745E3DBD4140,141887,0101000020110F0000DCC658882CC961C126F7428BF8215041,141513,>1m <=5m,ATBI DATABASE,,1446898742000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,248953,3929621,35.478429,-83.767,Eagle Creek,,1896.395142,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446898742000,GRSM,UNR,,1,,,Lakeshore Trail,Lakeview Drive West,Valid,Coluber_constrictor_constrictor,Coluber  constrictor constrictor,9603,Northern Black Racer,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,1093996800000,Animalia, ,Chordata, ,Reptilia, , ,Deuterostomia, , ,Squamata, ,Serpentes, , ,Colubridae, ,~,unspecified, , ,cert,ATBI Reptiles
0101000020E61000002DFF7D00B1E354C0540D90A26DBC4140,141901,0101000020110F0000A3B68CC6CBBD61C1559117E61F215041,141524,>1m <=5m,ATBI DATABASE,,1446898748000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,267931,3928405,35.472089,-83.557674,Forney Creek,,2092.670166,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446898748000,GRSM,UNR,,10,,,White Oak Branch Trail,Lakeview Drive East Parking #4,Valid,Coluber_constrictor_constrictor,Coluber  constrictor constrictor,9603,Northern Black Racer,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,1061251200000,Animalia, ,Chordata, ,Reptilia, , ,Deuterostomia, , ,Squamata, ,Serpentes, , ,Colubridae, ,~,unspecified, , ,cert,ATBI Reptiles
0101000020E6100000EE842C45B1E154C063E5585DD5B94140,141902,0101000020110F000087E9632919BC61C1FB3A603F6B1E5041,141525,>1m <=5m,ATBI DATABASE,,1446898749000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,270708,3926083,35.451817,-83.526441,Noland Creek,Noland Creek,1936.81189,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446898749000,GRSM,UNR,,7,,,Noland Creek Trail,Lakeview Drive East,Valid,Coluber_constrictor_constrictor,Coluber  constrictor constrictor,9603,Northern Black Racer,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,992217600000,Animalia, ,Chordata, ,Reptilia, , ,Deuterostomia, , ,Squamata, ,Serpentes, , ,Colubridae, ,~,unspecified, , ,cert,ATBI Reptiles
0101000020E6100000D9E493226DDA54C05E7F74ECCBBD4140,141912,0101000020110F0000318A2B59EDB561C1338F4A398D225041,141532,>1m <=5m,ATBI DATABASE,,1446898753000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,281098,3929260,35.482779,-83.412907,Deep Creek,Indian Creek,2305.043945,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446898753000,GRSM,UNR,,7,,,Laney Cemetery Access,Indian Camp Creek Road,Valid,Coluber_constrictor_constrictor,Coluber  constrictor constrictor,9603,Northern Black Racer,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,991526400000,Animalia, ,Chordata, ,Reptilia, , ,Deuterostomia, , ,Squamata, ,Serpentes, , ,Colubridae, ,~,unspecified, , ,cert,ATBI Reptiles
0101000020E61000005B50D87842DB54C069BC563D3EBE4140,141908,0101000020110F0000369D1589A2B661C1A275147504235041,141530,>1m <=5m,ATBI DATABASE,,1446898752000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,279926,3929676,35.486268,-83.425928,Deep Creek,,2125.682617,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446898752000,GRSM,UNR,,6,,,Deep Creek Trail,Tom Branch Road,Valid,Coluber_constrictor_constrictor,Coluber  constrictor constrictor,9603,Northern Black Racer,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,991526400000,Animalia, ,Chordata, ,Reptilia, , ,Deuterostomia, , ,Squamata, ,Serpentes, , ,Colubridae, ,~,unspecified, , ,cert,ATBI Reptiles
0101000020E61000007502954FA1DB54C0F3BB208A18BF4140,141907,0101000020110F000056020615F3B661C1F65D9429E8235041,141529,>1m <=5m,ATBI DATABASE,,1446898751000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,279419,3930428,35.49293,-83.431717,Deep Creek,Deep Creek,2041.771606,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446898751000,GRSM,UNR,,6,,,Deep Creek Trail,Tom Branch Road,Valid,Coluber_constrictor_constrictor,Coluber  constrictor constrictor,9603,Northern Black Racer,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,991526400000,Animalia, ,Chordata, ,Reptilia, , ,Deuterostomia, , ,Squamata, ,Serpentes, , ,Colubridae, ,~,unspecified, , ,cert,ATBI Reptiles
0101000020E610000070A06F87BDDB54C072925074C9BB4140,141906,0101000020110F000043B33E0C0BB761C1D514F3AF74205041,141528,>1m <=5m,ATBI DATABASE,,1446898750000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,279192,3927564,35.467079,-83.433439,Deep Creek,,2057.128174,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446898750000,GRSM,UNR,,6,,,Deep Creek Horse Trail,West Deep Creek Road,Valid,Coluber_constrictor_constrictor,Coluber  constrictor constrictor,9603,Northern Black Racer,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,1020297600000,Animalia, ,Chordata, ,Reptilia, , ,Deuterostomia, , ,Squamata, ,Serpentes, , ,Colubridae, ,~,unspecified, , ,cert,ATBI Reptiles
0101000020E61000006AC2F69311C554C06D4896B25DD24140,141918,0101000020110F0000AB3C18C0C9A361C1523482E706385041,141539,>1m <=5m,ATBI DATABASE,,1446898757000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,311754,3946397,35.643478,-83.079194,Lower Cataloochee Creek,,2686.592529,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446898757000,GRSM,UNR,,7,,,Cataloochee Horse Trail,Cataloochee Creek Road,Valid,Coluber_constrictor_constrictor,Coluber  constrictor constrictor,9603,Northern Black Racer,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,1057968000000,Animalia, ,Chordata, ,Reptilia, , ,Deuterostomia, , ,Squamata, ,Serpentes, , ,Colubridae, ,~,unspecified, , ,cert,ATBI Reptiles
0101000020E61000001B5B6073B4C454C013D359FBB5D24140,141919,0101000020110F00008AB546A87AA361C11EB6B42B63385041,141540,>1m <=5m,ATBI DATABASE,,1446898758000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312275,3946685,35.646172,-83.07351,Lower Cataloochee Creek,Winding Stair Branch,2615.977539,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446898758000,GRSM,UNR,,6,,,Cataloochee Horse Trail,Cataloochee Creek Road,Valid,Coluber_constrictor_constrictor,Coluber  constrictor constrictor,9603,Northern Black Racer,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,1057968000000,Animalia, ,Chordata, ,Reptilia, , ,Deuterostomia, , ,Squamata, ,Serpentes, , ,Colubridae, ,~,unspecified, , ,cert,ATBI Reptiles
