the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000A1C1FCCE1CDA54C036952DE876BE4140,142126,0101000020110F0000229D8120A9B561C17DAF75903F235041,141743,>1m <=5m,ATBI DATABASE,,1446898871000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,281557,3929828,35.487997,-83.408004,Deep Creek,Indian Creek,2285.814453,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446898871000,GRSM,UNR,,7,,,Indian Creek Trail,Galbraith Creek Rd,Valid,Condylolomia_participalis,Condylolomia  participalis,9675,Drab Condylolomia Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1023580800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Pyralidae,Chrysauginae,~,UV light, , ,cert,ATBI Lepidoptera TWiG
0101000020E610000034EE7ABAF1DA54C0D4815F3CA6BB4140,142122,0101000020110F00005CB4BCF55DB661C11D4C44F64F205041,141739,>1m <=5m,ATBI DATABASE,,1446898869000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,280318,3927417,35.466004,-83.421,Deep Creek,Tom Branch,2149.892578,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446898869000,GRSM,UNR,,2,,,Wiggins-Watson-Toms Branch Cemetery Access,Tom Branch Road,Valid,Condylolomia_participalis,Condylolomia  participalis,9675,Drab Condylolomia Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,964396800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Pyralidae,Chrysauginae,~,UV light, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000008DBA5C18D7DB54C004EED970E1BA4140,142120,0101000020110F00001050DAC220B761C1A6539AC1821F5041,141737,>1m <=5m,ATBI DATABASE,,1446898868000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,279031,3926782,35.459998,-83.434999,Deep Creek,,1836.47522,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446898868000,GRSM,UNR,,5,,,Noland Divide Trail,Deep Creek Campground Loop 1,Valid,Condylolomia_participalis,Condylolomia  participalis,9675,Drab Condylolomia Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,964483200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Pyralidae,Chrysauginae,~,UV light, ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000329504FC68D054C03BF524979CE24140,142149,0101000020110F00009BA2489D6BAD61C198CA54C604495041,141765,>1m <=5m,ATBI DATABASE,,1446898885000,DERV,JONES COVE,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,296031,3960831,35.770397,-83.256404,Cosby Creek,Cricket Branch,2054.198975,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446898885000,GRSM,UNR,,7,,,Maddron Bald Trail,Cosby Entrance Road,Valid,Condylolomia_participalis,Condylolomia  participalis,9675,Drab Condylolomia Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,993427200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Pyralidae,Chrysauginae,~,UV light, ,week,cert,ATBI Lepidoptera TWIG
0101000020E61000003E690E34B2CD54C03C4546BB95E34140,142153,0101000020110F000042805D891DAB61C127EC9D93094A5041,141770,>1m <=5m,ATBI DATABASE,,1446898888000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299884,3961587,35.778,-83.213998,Cosby Creek,Cosby Creek,1742.802612,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446898888000,GRSM,UNR,,6,,,Tritt Cemetery Access Trail,Cosby Government Quarters / Ranger Station Access Road,Valid,Condylolomia_participalis,Condylolomia  participalis,9675,Drab Condylolomia Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1023580800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Pyralidae,Chrysauginae,~,UV light, ,day,cert,ATBI Lepidoptera TWIG
0101000020E610000036EB29C570CD54C0AD2C247C89E14140,142156,0101000020110F0000DDB1D3F6E5AA61C1A9027DD2E4475041,141773,>1m <=5m,ATBI DATABASE,,1446898889000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,300205,3959804,35.762001,-83.210004,Cosby Creek,Cosby Creek,2040.874756,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446898889000,GRSM,UNR,,5,,,Gabes Mountain Trail,Cosby Entrance Road,Valid,Condylolomia_participalis,Condylolomia  participalis,9675,Drab Condylolomia Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,995155200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Pyralidae,Chrysauginae,~,UV light, ,day,cert,ATBI Lepidoptera TWIG
0101000020E61000002D552FE0A1CD54C0F33F4FBCB0E14140,142154,0101000020110F0000582E66AB0FAB61C1956F6AE70D485041,141771,>1m <=5m,ATBI DATABASE,,1446898888000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299937,3959943,35.763199,-83.213001,Cosby Creek,Fletcher Spring Branch,2035.18103,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446898888000,GRSM,UNR,,6,,,Gabes Mountain Trail,Cosby Entrance Road,Valid,Condylolomia_participalis,Condylolomia  participalis,9675,Drab Condylolomia Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,993168000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Pyralidae,Chrysauginae,~,UV light, ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000217D47AB3FCD54C03EF9D9A727E04140,142157,0101000020110F00005C573843BCAA61C1AF4FAA8372465041,141774,>1m <=5m,ATBI DATABASE,,1446898890000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,300449,3958600,35.751203,-83.207007,Cosby Creek,,2392.250244,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446898890000,GRSM,UNR,,6,,,Cosby Horse Trail,Cosby Campground Road B,Valid,Condylolomia_participalis,Condylolomia  participalis,9675,Drab Condylolomia Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,993168000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Pyralidae,Chrysauginae,~,UV light, ,day,cert,ATBI Lepidoptera TWIG
0101000020E61000003C2859C8C8C654C049ABF4EF47E14140,142164,0101000020110F0000CFEB59C43EA561C13201D737A0475041,141781,>1m <=5m,ATBI DATABASE,,1446898893000,DERV,WATERVILLE,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,309604,3959375,35.760001,-83.106001,Big Creek,Chestnut Branch,1627.269409,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446898893000,GRSM,UNR,,3,,,Chestnut Branch Trail,Big Creek Ranger Station Parking,Valid,Condylolomia_participalis,Condylolomia  participalis,9675,Drab Condylolomia Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1023580800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Pyralidae,Chrysauginae,~,UV light, ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000EFC0E72487C654C01B2D4D7289E14140,142165,0101000020110F00009D8D2E0507A561C1818430C8E4475041,141782,>1m <=5m,ATBI DATABASE,,1446898894000,DERV,WATERVILLE,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,309971,3959589,35.762,-83.101995,Big Creek,,1678.279663,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446898894000,GRSM,UNR,,7,,,Chestnut Branch Trail,Big Creek Entrance Road,Valid,Condylolomia_participalis,Condylolomia  participalis,9675,Drab Condylolomia Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,964483200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Pyralidae,Chrysauginae,~,UV light, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000B9556BBC0FCD54C0C33528AEEBDF4140,142158,0101000020110F00004929938D93AA61C1905930C033465041,141775,>1m <=5m,ATBI DATABASE,,1446898890000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,300709,3958391,35.749373,-83.204081,Cosby Creek,Cosby Creek,2450.387451,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446898890000,GRSM,UNR,,3,,,Low Gap Trail Access,Cosby Campground Road B,Valid,Condylolomia_participalis,Condylolomia  participalis,9675,Drab Condylolomia Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,993168000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Pyralidae,Chrysauginae,~,UV light, , ,cert,ATBI Lepidoptera TWiG
