the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000A463165389F154C04CE6FA6C14BE4140,142824,0101000020110F000098564CF88DC961C1887B17D8D8225041,142477,>1m <=5m,ATBI DATABASE,,1446899285000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,248338,3930367,35.484992,-83.774002,Eagle Creek,Eagle Creek,1718.006592,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446899285000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive West,Valid,Cordulegaster_erronea,Cordulegaster  erronea,10049,Tiger Spiketail,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1088640000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Odonata, ,Anisoptera, , ,Cordulegastridae, ,~,by hand,No,season,cert,Northshore Road EIS
0101000020E61000008FC8A2A911EE54C02410F5E338BC4140,142831,0101000020110F0000CEDB0F149CC661C1AFC5F4E4E8205041,142484,>1m <=5m,ATBI DATABASE,,1446899289000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253210,3928620,35.470479,-83.719824,Hazel Creek,Hazel Creek,1911.231934,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446899289000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive West,Valid,Cordulegaster_erronea,Cordulegaster  erronea,10049,Tiger Spiketail,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,965001600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Odonata, ,Anisoptera, , ,Cordulegastridae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E61000007D929C28F6E354C054513A6DDABD4140,142846,0101000020110F0000E2F2A98206BE61C12385B4599C225041,142498,>1m <=5m,ATBI DATABASE,,1446899298000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,267580,3929650,35.483222,-83.561895,Forney Creek,,2129.938477,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446899298000,GRSM,UNR,,2,,,Forney Creek Trail,Lakeview Drive East Parking #4,Valid,Cordulegaster_erronea,Cordulegaster  erronea,10049,Tiger Spiketail,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,772761600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Odonata, ,Anisoptera, , ,Cordulegastridae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E6100000BFCE6437C7E354C06A23551630BF4140,142848,0101000020110F00000FDE6FA4DEBD61C137FDC9B900245041,142500,>1m <=5m,ATBI DATABASE,,1446899299000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,267870,3930800,35.493648,-83.55903,Forney Creek,Bee Gum Branch,2274.353027,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446899299000,GRSM,UNR,,10,,,Forney Creek Trail,Lakeview Drive East Parking #4,Valid,Cordulegaster_erronea,Cordulegaster  erronea,10049,Tiger Spiketail,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,772761600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Odonata, ,Anisoptera, , ,Cordulegastridae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E610000086C4CB40F6E354C0046A3430A7BF4140,142847,0101000020110F00000C22349706BE61C1F6CD97F77C245041,142499,>1m <=5m,ATBI DATABASE,,1446899299000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,267620,3931210,35.497283,-83.561901,Forney Creek,Forney Creek,2177.403809,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446899299000,GRSM,UNR,,5,,,Forney Creek Trail,Lakeview Drive East Parking #4,Valid,Cordulegaster_erronea,Cordulegaster  erronea,10049,Tiger Spiketail,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,774662400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Odonata, ,Anisoptera, , ,Cordulegastridae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E610000085D2450DDDDE54C093C9BD8188B94140,142859,0101000020110F0000692A3215B2B961C12122041E1B1E5041,142509,>1m <=5m,ATBI DATABASE,,1446899305000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,274714,3925721,35.449472,-83.482238,Fontana Lake-Tuckasegee River,Peachtree Creek,2046.831177,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446899305000,GRSM,UNR,,7,,,Conner @ Hickory Flats Cemetery Access,Lakeview Drive East,Valid,Cordulegaster_erronea,Cordulegaster  erronea,10049,Tiger Spiketail,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,872553600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Odonata, ,Anisoptera, , ,Cordulegastridae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E6100000C1CA8F629ADB54C074F90C3169BC4140,142870,0101000020110F0000555B3233EDB661C19CDDD4431B215041,142518,>1m <=5m,ATBI DATABASE,,1446899310000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,279400,3928100,35.471953,-83.431294,Deep Creek,Deep Creek,2085.309082,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446899310000,GRSM,UNR,,7,,,Deep Creek Horse Trail,Tom Branch Road,Valid,Cordulegaster_erronea,Cordulegaster  erronea,10049,Tiger Spiketail,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,869443200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Odonata, ,Anisoptera, , ,Cordulegastridae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E61000004D6BB515A8D654C061EE3733AAE14140,142873,0101000020110F0000CC3B17BBB9B261C16510431007485041,142521,>1m <=5m,ATBI DATABASE,,1446899312000,DERV,JONES COVE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,287187,3960218,35.763,-83.354005,Webb Creek,Warden Branch,1528.995361,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446899312000,GRSM,UNR,,4,,,Old Settlers Trail,Greenbrier Unpaved Road,Valid,Cordulegaster_erronea,Cordulegaster  erronea,10049,Tiger Spiketail,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,771638400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Odonata, ,Anisoptera, , ,Cordulegastridae, ,~,by hand,No,year,cert,Foothills Parkway Sec 8B
0101000020E61000003D498507C6C754C079F7C0C1F0E04140,142891,0101000020110F00002A807CD915A661C10CDE9EF944475041,142535,>1m <=5m,ATBI DATABASE,,1446899320000,DERV,WATERVILLE,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,308200,3959110,35.75734,-83.121458,Big Creek,Leatherwood Branch,2246.479248,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446899320000,GRSM,UNR,,4,,,Chestnut Branch Trail,Big Creek Entrance Road,Valid,Cordulegaster_erronea,Cordulegaster  erronea,10049,Tiger Spiketail,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,835747200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Odonata, ,Anisoptera, , ,Cordulegastridae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E6100000469FB241D6CD54C0B58B26AD3EDF4140,142882,0101000020110F000070451A283CAB61C1A3F349B67E455041,142527,>1m <=5m,ATBI DATABASE,,1446899316000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299600,3957830,35.744093,-83.216198,Cosby Creek,Rock Creek,2857.007568,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446899316000,GRSM,UNR,,1,,,Snake Den Ridge Trail,Cosby Campground Road B,Valid,Cordulegaster_erronea,Cordulegaster  erronea,10049,Tiger Spiketail,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,866592000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Odonata, ,Anisoptera, , ,Cordulegastridae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E6100000F7F00CEA60CA54C0E6DB9B1CD4D24140,142883,0101000020110F00000A442F3C4CA861C1A5C00FA982385041,142528,>1m <=5m,ATBI DATABASE,,1446899317000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,304250,3946960,35.647091,-83.162161,Upper Cataloochee Creek,Lost Bottom Creek,3844.570801,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446899317000,GRSM,UNR,,7,,,Palmer Creek Trail,Balsam Mountain Road (closed Winter),Valid,Cordulegaster_erronea,Cordulegaster  erronea,10049,Tiger Spiketail,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,805939200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Odonata, ,Anisoptera, , ,Cordulegastridae, ,~,by hand, , ,cert,Inventory & Monitoring
