the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000002ACCD6553CF854C0D3B6DAFDC9BE4140,144900,0101000020110F00009BF271873ECF61C16D4D6A3A96235041,144523,>1m <=5m,ATBI DATABASE,,1446900408000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,238857,3931254,35.490532,-83.878678,Lake Cheoah-Little Tennessee River,Dalton Branch,2282.555908,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446900408000,GRSM,UNR,,1,,,Wolf Ridge Trail,Twenty Mile Trailhead Parking,Valid,Corvus_brachyrhynchos,Corvus  brachyrhynchos,10244,American Crow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,864172800000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Corvidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E61000009DE01F7217F854C004F1291CDBBE4140,144905,0101000020110F00002C38E5321FCF61C188099915A8235041,144528,>1m <=5m,ATBI DATABASE,,1446900411000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239063,3931306,35.491055,-83.876427,Lake Cheoah-Little Tennessee River,Dalton Branch,2382.541992,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446900411000,GRSM,UNR,,6,,,Wolf Ridge Trail,Twenty Mile Trailhead Parking,Valid,Corvus_brachyrhynchos,Corvus  brachyrhynchos,10244,American Crow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,864172800000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Corvidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E61000003EB4273227F854C0947F0F5982BE4140,144903,0101000020110F00004BDB4C932CCF61C1266F797F4B235041,144526,>1m <=5m,ATBI DATABASE,,1446900410000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,238967,3931008,35.488346,-83.877388,Lake Cheoah-Little Tennessee River,Dalton Branch,2086.394775,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446900410000,GRSM,UNR,,6,,,Wolf Ridge Trail,Twenty Mile Trailhead Parking,Valid,Corvus_brachyrhynchos,Corvus  brachyrhynchos,10244,American Crow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,864172800000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Corvidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E6100000B693F8444DF854C04B198C9FB3BE4140,144895,0101000020110F0000442746E94CCF61C11ADD5AE57E235041,144518,>1m <=5m,ATBI DATABASE,,1446900406000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,238761,3931181,35.48985,-83.879712,Lake Cheoah-Little Tennessee River,Dalton Branch,2134.833984,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446900406000,GRSM,UNR,,1,,,Wolf Ridge Trail,Twenty Mile Trailhead Parking,Valid,Corvus_brachyrhynchos,Corvus  brachyrhynchos,10244,American Crow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,895622400000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Corvidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E61000007E9E49720BF454C0A3BE667297BB4140,145044,0101000020110F000094700053AFCB61C1452B5A8A40205041,144680,>1m <=5m,ATBI DATABASE,,1446900491000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,244720,3928311,35.465552,-83.813194,Lake Cheoah-Little Tennessee River,,2545.727051,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446900491000,GRSM,UNR,,6,,,Appalachian Trail,Payne Cemetery Access Road,Valid,Corvus_brachyrhynchos,Corvus  brachyrhynchos,10244,American Crow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,895795200000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Corvidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E610000032BF0F11BBF654C0B81B8687D7BD4140,144946,0101000020110F0000DB4BFE51F7CD61C1F59B1B5499225041,144572,>1m <=5m,ATBI DATABASE,,1446900433000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,240967,3930371,35.483133,-83.855164,Lake Cheoah-Little Tennessee River,,2539.585693,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446900433000,GRSM,UNR,,5,,,Twentymile Loop Trail,Twenty Mile Trailhead Parking,Valid,Corvus_brachyrhynchos,Corvus  brachyrhynchos,10244,American Crow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,898560000000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Corvidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E610000005A428900CF754C0D1B48C208ABD4140,144937,0101000020110F0000824407893CCE61C1DAF7669948225041,144561,>1m <=5m,ATBI DATABASE,,1446900427000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,240508,3930122,35.480771,-83.860138,Lake Cheoah-Little Tennessee River,,2472.455566,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446900427000,GRSM,UNR,,8,,,Twentymile Loop Trail,Twenty Mile Trailhead Parking,Valid,Corvus_brachyrhynchos,Corvus  brachyrhynchos,10244,American Crow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,898560000000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Corvidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E61000001C3564719CF754C055D8D6A0C6BD4140,144923,0101000020110F0000C32581BBB6CE61C1A86664B387225041,144546,>1m <=5m,ATBI DATABASE,,1446900420000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239717,3930350,35.482617,-83.868919,Lake Cheoah-Little Tennessee River,Moore Springs Branch,1744.282715,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446900420000,GRSM,UNR,,1,,,Wolf Ridge Trail,Twenty Mile Trailhead Parking,Valid,Corvus_brachyrhynchos,Corvus  brachyrhynchos,10244,American Crow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,895622400000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Corvidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E6100000E197191AD5F754C00DC8374B71BE4140,144914,0101000020110F00000FA65BDAE6CE61C1BB2D9FB539235041,144537,>1m <=5m,ATBI DATABASE,,1446900415000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239420,3930937,35.487826,-83.872378,Lake Cheoah-Little Tennessee River,Dalton Branch,1927.066895,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446900415000,GRSM,UNR,,7,,,Wolf Ridge Trail,Twenty Mile Trailhead Parking,Valid,Corvus_brachyrhynchos,Corvus  brachyrhynchos,10244,American Crow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,864172800000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Corvidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E6100000AE6B148FB4F754C09469703F46BE4140,144918,0101000020110F000083E6D136CBCE61C16D966BCF0C235041,144541,>1m <=5m,ATBI DATABASE,,1446900417000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239596,3930786,35.486512,-83.870391,Lake Cheoah-Little Tennessee River,Dalton Branch,1893.34375,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446900417000,GRSM,UNR,,6,,,Wolf Ridge Trail,Twenty Mile Trailhead Parking,Valid,Corvus_brachyrhynchos,Corvus  brachyrhynchos,10244,American Crow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,895622400000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Corvidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
