the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000DDE42A8854F654C09BDE80014ABA4140,149795,0101000020110F00004CA9CC3CA0CD61C176AE11DCE41E5041,149475,>1m <=5m,ATBI DATABASE,,1446903219000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,241446,3927275,35.455377,-83.848905,Lake Cheoah-Little Tennessee River,Fox Branch,1623.208862,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446903219000,GRSM,UNR,,5,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Danthonia_spicata,Danthonia  spicata,11583,Poverty Wild Oat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000E1FE4072B8EA54C00AB8BC7977B94140,149816,0101000020110F0000A3DA540BC4C361C12A8A735C091E5041,149495,>1m <=5m,ATBI DATABASE,,1446903229000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,257894,3926102,35.448952,-83.667504,Lower Fontana Lake-Little Tennessee River,,1928.001099,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446903229000,GRSM,UNR,,9,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Danthonia_spicata,Danthonia  spicata,11583,Poverty Wild Oat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1055980800000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000006C10DC979FEA54C0C4659A9227B84140,149819,0101000020110F0000D17DBFEFAEC361C11C208E2FAB1C5041,149498,>1m <=5m,ATBI DATABASE,,1446903231000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,258001,3924961,35.438701,-83.665987,Lower Fontana Lake-Little Tennessee River,,1735.524536,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446903231000,GRSM,UNR,,9,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Danthonia_spicata,Danthonia  spicata,11583,Poverty Wild Oat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1056067200000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E610000029B7BDD5A1EA54C0DB5908332CB84140,149818,0101000020110F00003C4D25D7B0C361C157C93B02B01C5041,149497,>1m <=5m,ATBI DATABASE,,1446903231000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,257989,3924977,35.438842,-83.666124,Lower Fontana Lake-Little Tennessee River,,1711.106567,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446903231000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Danthonia_spicata,Danthonia  spicata,11583,Poverty Wild Oat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1056067200000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000003FC901E1A1EA54C0329469ED23B84140,149817,0101000020110F00006ABEB6E0B0C361C10F9DC662A71C5041,149496,>1m <=5m,ATBI DATABASE,,1446903230000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,257988,3924949,35.43859,-83.666126,Lower Fontana Lake-Little Tennessee River,,1717.50415,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446903230000,GRSM,UNR,,8,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Danthonia_spicata,Danthonia  spicata,11583,Poverty Wild Oat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1056067200000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000AF14926467C354C0D4735DC8C8D24140,149826,0101000020110F000006698CCA5FA261C1D563EBD176385041,149506,>1m <=5m,ATBI DATABASE,,1446903236000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,314117,3946710,35.646746,-83.053182,Lower Cataloochee Creek,Hoglen Branch,3699.446533,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446903236000,GRSM,UNR,,7,,,Cataloochee Divide Trail,Old Cataloochee Turnpike,Valid,Danthonia_spicata,Danthonia  spicata,11583,Poverty Wild Oat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,898473600000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000065A318C597C654C01CFF7F4831C84140,149682,0101000020110F00008F56F72315A561C15BEBA569662D5041,149505,>1m <=5m,ATBI DATABASE,,1446903236000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,309409,3937626,35.563997,-83.103009,Lower Johnathans Creek,,5509.786133,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446903236000,GRSM,UNR,,6,,,Hemphill Bald Trail,The Purchase Road (closed Winter),Valid,Danthonia_spicata,Danthonia  spicata,11583,Poverty Wild Oat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,0,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,unspecified,No,decade,cert,GRSMNP Grassy Balds
0101000020E61000002110346E23DD54C01208C2B55DC34140,149825,0101000020110F000058717D033BB861C10D73EDB65C285041,149504,>1m <=5m,ATBI DATABASE,,1446903235000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,277373,3934182,35.52629,-83.455283,Noland Creek,,4284.936523,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446903235000,GRSM,UNR,,2,,,Noland Divide Trail,Clingmans Dome Road Parking #3,Valid,Danthonia_spicata,Danthonia  spicata,11583,Poverty Wild Oat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1372032000000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed,No,day,cert,ATBI
0101000020E6100000069D4D9D80DD54C086927C3EADC04140,149823,0101000020110F0000F73EA2278AB861C1EF835C5A8E255041,149502,>1m <=5m,ATBI DATABASE,,1446903234000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,276799,3931864,35.50528,-83.460971,Deep Creek,,4447.407715,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446903234000,GRSM,UNR,,3,,,Noland Divide Trail,West Deep Creek Road,Valid,Danthonia_spicata,Danthonia  spicata,11583,Poverty Wild Oat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1372032000000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed,No,day,prob.,ATBI
0101000020E6100000E27065D79DDF54C08CBFCB1EFEC44140,149821,0101000020110F00004327ABD155BA61C1DD28564C0F2A5041,149500,>1m <=5m,ATBI DATABASE,,1446903233000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273897,3935680,35.538998,-83.494005,Noland Creek,Keeyuga Creek,5757.082031,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446903233000,GRSM,UNR,,6,,,Forney Ridge Trail,Clingmans Dome Road Parking #3,Valid,Danthonia_spicata,Danthonia  spicata,11583,Poverty Wild Oat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,0,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,unspecified,No,decade,cert,GRSMNP Grassy Balds
0101000020E61000002D95E2A378DD54C0E57A17D332C54140,149824,0101000020110F0000E953DB6183B861C17F1ABB4E462A5041,149503,>1m <=5m,ATBI DATABASE,,1446903235000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,276941,3935782,35.540607,-83.460484,Deep Creek,Pole Road Creek,4659.588867,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446903235000,GRSM,UNR,,10,,,Noland Divide Trail,Clingmans Dome Access Road,Valid,Danthonia_spicata,Danthonia  spicata,11583,Poverty Wild Oat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1372032000000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed,No,day,prob.,ATBI
