the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000F6ADC75E9EEE54C0433934D97DBC4140,150291,0101000020110F0000B9BAD49413C761C120B2A0CE30215041,149961,>1m <=5m,ATBI DATABASE,,1446903493000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252437,3928875,35.472584,-83.728412,Hazel Creek,Hazel Creek,1814.500488,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446903493000,GRSM,UNR,,10,,,Hazel Creek Trail,Lakeview Drive West,Valid,Dasylophia_thyatiroides,Dasylophia  thyatiroides,11621,Gray-patched Prominent Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1185235200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Notodontidae, ,~,black light trap, ,day,cert,Noctuidae
0101000020E6100000A78E040330EE54C0AC76520165BC4140,150292,0101000020110F0000DCB799DAB5C661C17FE82CE616215041,149962,>1m <=5m,ATBI DATABASE,,1446903494000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253046,3928774,35.471826,-83.721676,Hazel Creek,Hazel Creek,1918.112427,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446903494000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive West,Valid,Dasylophia_thyatiroides,Dasylophia  thyatiroides,11621,Gray-patched Prominent Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1090368000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Notodontidae, ,~,black light trap,No,day,cert,Northshore Road EIS
0101000020E61000001F614BA1E9E654C064C7C59F88B84140,150295,0101000020110F000051B1EC2188C061C13B0B395B101D5041,149965,>1m <=5m,ATBI DATABASE,,1446903495000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,263274,3925149,35.441663,-83.608006,Lower Fontana Lake-Little Tennessee River,Poplar Pole Branch,1961.320557,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446903495000,GRSM,UNR,,4,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Dasylophia_thyatiroides,Dasylophia  thyatiroides,11621,Gray-patched Prominent Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1090454400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Notodontidae, ,~,black light trap,No,day,cert,Northshore Road EIS
0101000020E6100000329504FC68D054C03BF524979CE24140,150315,0101000020110F00009BA2489D6BAD61C198CA54C604495041,149985,>1m <=5m,ATBI DATABASE,,1446903508000,DERV,JONES COVE,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,296031,3960831,35.770397,-83.256404,Cosby Creek,Cricket Branch,2054.198975,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446903508000,GRSM,UNR,,7,,,Maddron Bald Trail,Cosby Entrance Road,Valid,Dasylophia_thyatiroides,Dasylophia  thyatiroides,11621,Gray-patched Prominent Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,998438400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Notodontidae, ,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E61000003E690E34B2CD54C03C4546BB95E34140,150316,0101000020110F000042805D891DAB61C127EC9D93094A5041,149986,>1m <=5m,ATBI DATABASE,,1446903509000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299884,3961587,35.778,-83.213998,Cosby Creek,Cosby Creek,1742.802612,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446903509000,GRSM,UNR,,6,,,Tritt Cemetery Access Trail,Cosby Government Quarters / Ranger Station Access Road,Valid,Dasylophia_thyatiroides,Dasylophia  thyatiroides,11621,Gray-patched Prominent Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,957830400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Notodontidae, ,~,at light, ,day,cert,ATBI Lepidoptera TWIG
0101000020E61000005FE1185AC1C654C0E62127E17CD94140,150318,0101000020110F0000F1D0C47438A561C1CCC46FF4783F5041,149988,>1m <=5m,ATBI DATABASE,,1446903510000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,309500,3952620,35.699117,-83.105547,Lower Cataloochee Creek,,4020.623291,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446903510000,GRSM,UNR,,6,,,Long Bunk Trail,Old Cataloochee Turnpike,Valid,Dasylophia_thyatiroides,Dasylophia  thyatiroides,11621,Gray-patched Prominent Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,618710400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Notodontidae, ,~,black light trap,No, ,cert,Lepidoptera Survey
0101000020E610000022C22CA5C8C454C06B36234B32CB4140,150320,0101000020110F0000DBD6FCCE8BA361C1AB5F906A89305041,149990,>1m <=5m,ATBI DATABASE,,1446903511000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312026,3940175,35.587465,-83.074742,Lower Johnathans Creek,Cove Creek,4904.751465,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446903511000,GRSM,UNR,,7,,,Science Center Trail,The Purchase Road (closed Winter),Valid,Dasylophia_thyatiroides,Dasylophia  thyatiroides,11621,Gray-patched Prominent Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1055203200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Notodontidae, ,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E610000094C58B8581C454C03723038030CA4140,150324,0101000020110F000096243E674FA361C15ED37B337C2F5041,149994,>1m <=5m,ATBI DATABASE,,1446903513000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312401,3939294,35.579598,-83.070401,Lower Johnathans Creek,,4630.230469,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446903513000,GRSM,UNR,,6,,,Ferguson Cabin Trail,The Purchase Road (closed Winter),Valid,Dasylophia_thyatiroides,Dasylophia  thyatiroides,11621,Gray-patched Prominent Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1053907200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Notodontidae, ,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000C99A1C3497C454C016F2A26513CA4140,150323,0101000020110F0000380957D161A361C11A9270CF5D2F5041,149993,>1m <=5m,ATBI DATABASE,,1446903512000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312279,3939198,35.57871,-83.071725,Lower Johnathans Creek,,4456.333008,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446903512000,GRSM,UNR,,8,,,Ferguson Cabin Trail,The Purchase Road (closed Winter),Valid,Dasylophia_thyatiroides,Dasylophia  thyatiroides,11621,Gray-patched Prominent Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1053907200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Notodontidae, ,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000B5EF24FEB5C454C04C7A66E9CDCA4140,150321,0101000020110F0000ED7D8DF77BA361C1A4B2779520305041,149991,>1m <=5m,ATBI DATABASE,,1446903511000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312122,3939833,35.584402,-83.073604,Lower Johnathans Creek,,4819.37207,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446903511000,GRSM,UNR,,6,,,Ferguson Cabin Horse Trail,The Purchase Road (closed Winter),Valid,Dasylophia_thyatiroides,Dasylophia  thyatiroides,11621,Gray-patched Prominent Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,958089600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Notodontidae, ,~,at light, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000789EB5C4B2C454C05B48EF44DECA4140,150322,0101000020110F000043B9823A79A361C1EE2B98AA31305041,149992,>1m <=5m,ATBI DATABASE,,1446903512000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312141,3939888,35.584901,-83.073407,Lower Johnathans Creek,,4863.807617,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446903512000,GRSM,UNR,,7,,,Science Center Trail,The Purchase Road (closed Winter),Valid,Dasylophia_thyatiroides,Dasylophia  thyatiroides,11621,Gray-patched Prominent Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1055030400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Notodontidae, ,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
