the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000C9717A86ACF754C0ADA084015ABC4140,152397,0101000020110F000059CC2564C4CE61C13955B66D0B215041,151986,>1m <=5m,ATBI DATABASE,,1446904643000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239592,3929118,35.47149,-83.869901,Lake Cheoah-Little Tennessee River,Twentymile Creek,1512.143066,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446904643000,GRSM,UNR,,4,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Desmodium_paniculatum_v_paniculatum,Desmodium  paniculatum v. paniculatum,11906,Panicled-leaf Tick-trefoil,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1000944000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000E9B21AA359EE54C0DCFDB4D555BC4140,152410,0101000020110F0000DB6CD134D9C661C18DDE251407215041,151999,>1m <=5m,ATBI DATABASE,,1446904650000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252814,3928729,35.471363,-83.724217,Hazel Creek,Hazel Creek,1733.713135,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446904650000,GRSM,UNR,,9,,,Hazel Creek Trail,Lakeview Drive West,Valid,Desmodium_paniculatum_v_paniculatum,Desmodium  paniculatum v. paniculatum,11906,Panicled-leaf Tick-trefoil,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1096934400000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000ACCD7905A3EC54C09BA308555CBD4140,152412,0101000020110F0000F73699B064C561C1E1F83ED618225041,152001,>1m <=5m,ATBI DATABASE,,1446904651000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,255268,3929551,35.479373,-83.697446,Hazel Creek,Hazel Creek,2010.145508,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446904651000,GRSM,UNR,,6,,,Hazel Creek Trail,Lakeview Drive West,Valid,Desmodium_paniculatum_v_paniculatum,Desmodium  paniculatum v. paniculatum,11906,Panicled-leaf Tick-trefoil,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1096848000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000003F907F10B0E854C09413E3B830B94140,152414,0101000020110F0000F22373150AC261C1E4890999BF1D5041,152003,>1m <=5m,ATBI DATABASE,,1446904652000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,260771,3925785,35.446793,-83.635742,Lower Fontana Lake-Little Tennessee River,Kirkland Branch,1783.707642,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446904652000,GRSM,UNR,,3,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Desmodium_paniculatum_v_paniculatum,Desmodium  paniculatum v. paniculatum,11906,Panicled-leaf Tick-trefoil,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065398400000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000F17042EEB0E854C05CD46FB24FB94140,152413,0101000020110F000029AACAD10AC261C109E1DDE3DF1D5041,152002,>1m <=5m,ATBI DATABASE,,1446904652000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,260769,3925890,35.447738,-83.635795,Lower Fontana Lake-Little Tennessee River,Kirkland Branch,1793.300659,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446904652000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Desmodium_paniculatum_v_paniculatum,Desmodium  paniculatum v. paniculatum,11906,Panicled-leaf Tick-trefoil,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065398400000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000DAD3271CAEE854C007D24DBB48B94140,152416,0101000020110F0000A02F826C08C261C14075E1A0D81D5041,152005,>1m <=5m,ATBI DATABASE,,1446904653000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,260784,3925866,35.447525,-83.635623,Lower Fontana Lake-Little Tennessee River,Kirkland Branch,1786.86499,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446904653000,GRSM,UNR,,5,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Desmodium_paniculatum_v_paniculatum,Desmodium  paniculatum v. paniculatum,11906,Panicled-leaf Tick-trefoil,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065398400000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000007F7D14787EE054C045F63B0061BF4140,152426,0101000020110F0000EB216A9814BB61C1830FF5BF33245041,152015,>1m <=5m,ATBI DATABASE,,1446904658000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272530,3930846,35.495141,-83.507715,Noland Creek,Drinklog Branch,2573.8396,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446904658000,GRSM,UNR,,1,,,Noland Creek Trail,Lakeview Drive East,Valid,Desmodium_paniculatum_v_paniculatum,Desmodium  paniculatum v. paniculatum,11906,Panicled-leaf Tick-trefoil,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1087257600000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000093AB11273BE054C07C1C0717D8BE4140,152427,0101000020110F00005EB4696CDBBA61C1C26123EFA4235041,152016,>1m <=5m,ATBI DATABASE,,1446904658000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272891,3930373,35.490963,-83.503606,Noland Creek,Noland Creek,2426.181641,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446904658000,GRSM,UNR,,7,,,Noland Creek Trail,Lakeview Drive East,Valid,Desmodium_paniculatum_v_paniculatum,Desmodium  paniculatum v. paniculatum,11906,Panicled-leaf Tick-trefoil,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1087257600000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000001F3CD83737E054C0CEF25AE84EBE4140,152428,0101000020110F00001B19FA14D8BA61C1258BC3D715235041,152017,>1m <=5m,ATBI DATABASE,,1446904659000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272901,3929908,35.486776,-83.503366,Noland Creek,Noland Creek,2376.458984,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446904659000,GRSM,UNR,,5,,,Noland Creek Trail,Lakeview Drive East,Valid,Desmodium_paniculatum_v_paniculatum,Desmodium  paniculatum v. paniculatum,11906,Panicled-leaf Tick-trefoil,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1087084800000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000014817E2ABE054C044E2B58AFFBC4140,152423,0101000020110F0000BBA8632A3BBB61C18DB01710B8215041,152012,>1m <=5m,ATBI DATABASE,,1446904656000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272226,3928789,35.476542,-83.510487,Noland Creek,,2107.562744,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446904656000,GRSM,UNR,,1,,,Noland Creek Trail,Lakeview Drive East,Valid,Desmodium_paniculatum_v_paniculatum,Desmodium  paniculatum v. paniculatum,11906,Panicled-leaf Tick-trefoil,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1087084800000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed, ,day,cert,Fridley Veg Plots
