the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000AB86256766FA54C01CE706A848BF4140,152446,0101000020110F0000A3EA4F1915D161C1D397D35A1A245041,152035,>1m <=5m,ATBI DATABASE,,1446904669000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,235801,3931773,35.494398,-83.912496,Chilhowee Lake,,2273.623779,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446904669000,GRSM,UNR,,7,,,Wolf Ridge Trail,Parson Branch Road (closed Winter),Valid,Desmognathus_conanti,Desmognathus  conanti,11915,Spotted Dusky Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,970531200000,Animalia, ,Chordata, ,Amphibia, , ,Deuterostomia, , ,Caudata, , , , ,Plethodontidae, ,~,observed, , ,cert,ATBI Amphibians
0101000020E61000007B9A84EC8BF954C0F90B0870E4BE4140,152450,0101000020110F0000AB66698B5BD061C18D7F64D0B1235041,152040,>1m <=5m,ATBI DATABASE,,1446904671000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,237001,3931398,35.49134,-83.899161,Lake Cheoah-Little Tennessee River,Pole Bridge Branch,3077.633057,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446904671000,GRSM,UNR,,2,,,Wolf Ridge Trail,Parson Branch Road (closed Winter),Valid,Desmognathus_conanti,Desmognathus  conanti,11915,Spotted Dusky Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,970012800000,Animalia, ,Chordata, ,Amphibia, , ,Deuterostomia, , ,Caudata, , , , ,Plethodontidae, ,~,observed, , ,cert,ATBI Amphibians
0101000020E6100000A230AC9E90F954C06A27787A4DBC4140,152449,0101000020110F000093EB66885FD061C16813415DFE205041,152039,>1m <=5m,ATBI DATABASE,,1446904671000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,236909,3929154,35.471108,-83.899448,Lake Cheoah-Little Tennessee River,Pole Bridge Branch,1681.40686,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446904671000,GRSM,UNR,,1,,,Twentymile Trail,Twenty Mile Ranger Station Road,Valid,Desmognathus_conanti,Desmognathus  conanti,11915,Spotted Dusky Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,938736000000,Animalia, ,Chordata, ,Amphibia, , ,Deuterostomia, , ,Caudata, , , , ,Plethodontidae, ,~,observed, , ,cert,ATBI Amphibians
0101000020E61000004157074515F854C047AFB403E3BB4140,152460,0101000020110F000039F3C0591DCF61C154BA5F578F205041,152050,>1m <=5m,ATBI DATABASE,,1446904676000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239000,3928732,35.467859,-83.876294,Lake Cheoah-Little Tennessee River,Twentymile Creek,1329.22522,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446904676000,GRSM,UNR,,1,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Desmognathus_conanti,Desmognathus  conanti,11915,Spotted Dusky Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,938044800000,Animalia, ,Chordata, ,Amphibia, , ,Deuterostomia, , ,Caudata, , , , ,Plethodontidae, ,~,observed, , ,cert,ATBI Amphibians
0101000020E6100000738AA2C819F854C0EBD63018E3BB4140,152459,0101000020110F0000E0E0352F21CF61C10F57BC6C8F205041,152049,>1m <=5m,ATBI DATABASE,,1446904676000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,238975,3928733,35.467861,-83.87657,Lake Cheoah-Little Tennessee River,Twentymile Creek,1334.636475,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446904676000,GRSM,UNR,,7,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Desmognathus_conanti,Desmognathus  conanti,11915,Spotted Dusky Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,964396800000,Animalia, ,Chordata, ,Amphibia, , ,Deuterostomia, , ,Caudata, , , , ,Plethodontidae, ,~,observed, , ,cert,ATBI Amphibians
0101000020E6100000D5FB9832B7F754C02AED98B079BC4140,152461,0101000020110F0000A4948974CDCE61C185DA63782C215041,152051,>1m <=5m,ATBI DATABASE,,1446904677000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239536,3929227,35.472457,-83.870552,Lake Cheoah-Little Tennessee River,Moore Springs Branch,1472.199707,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446904677000,GRSM,UNR,,2,,,Wolf Ridge Trail,Twenty Mile Trailhead Parking,Valid,Desmognathus_conanti,Desmognathus  conanti,11915,Spotted Dusky Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,960768000000,Animalia, ,Chordata, ,Amphibia, , ,Deuterostomia, , ,Caudata, , , , ,Plethodontidae, ,~,observed, , ,cert,ATBI Amphibians
0101000020E6100000AAABD533B1F754C0626FC773B4BC4140,152464,0101000020110F00000B12105DC8CE61C11B6483C069215041,152054,>1m <=5m,ATBI DATABASE,,1446904678000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239575,3929425,35.47425,-83.870186,Lake Cheoah-Little Tennessee River,Moore Springs Branch,1594.8479,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446904678000,GRSM,UNR,,10,,,Wolf Ridge Trail,Twenty Mile Trailhead Parking,Valid,Desmognathus_conanti,Desmognathus  conanti,11915,Spotted Dusky Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,938044800000,Animalia, ,Chordata, ,Amphibia, , ,Deuterostomia, , ,Caudata, , , , ,Plethodontidae, ,~,observed, , ,cert,ATBI Amphibians
0101000020E610000096FD50EF9DF554C0B93E58381CBE4140,152483,0101000020110F0000B8F5612805CD61C1A7AE4EF9E0225041,152072,>1m <=5m,ATBI DATABASE,,1446904687000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,242553,3930558,35.485229,-83.83776,Lake Cheoah-Little Tennessee River,Proctor Branch,2379.517578,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446904687000,GRSM,UNR,,9,,,Twentymile Trail,Payne Cemetery Access Road,Valid,Desmognathus_conanti,Desmognathus  conanti,11915,Spotted Dusky Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,964396800000,Animalia, ,Chordata, ,Amphibia, , ,Deuterostomia, , ,Caudata, , , , ,Plethodontidae, ,~,observed, , ,cert,ATBI Amphibians
0101000020E61000005BFF6F6B99F554C0D68D25231CBE4140,152484,0101000020110F000097C1B15201CD61C1997F32E3E0225041,152073,>1m <=5m,ATBI DATABASE,,1446904688000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,242578,3930557,35.485227,-83.837485,Lake Cheoah-Little Tennessee River,Proctor Branch,2357.647461,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446904688000,GRSM,UNR,,10,,,Twentymile Loop Trail,Payne Cemetery Access Road,Valid,Desmognathus_conanti,Desmognathus  conanti,11915,Spotted Dusky Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,925430400000,Animalia, ,Chordata, ,Amphibia, , ,Deuterostomia, , ,Caudata, , , , ,Plethodontidae, ,~,observed, , ,cert,ATBI Amphibians
0101000020E61000003B85DB2892EE54C0DB21AF1BB7BC4140,152125,0101000020110F00006FE8FB3509C761C12E7093856C215041,152091,>1m <=5m,ATBI DATABASE,,1446904698000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252510,3929067,35.474331,-83.727667,Hazel Creek,,1728.107178,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446904698000,GRSM,UNR,,5,,,Lakeshore Trail,Lakeview Drive West,Valid,Desmognathus_conanti,Desmognathus  conanti,11915,Spotted Dusky Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,1276041600000,Animalia, ,Chordata, ,Amphibia, , ,Deuterostomia, , ,Caudata, , , , ,Plethodontidae, ,~,by hand,No,day,prob.,Tremont Expeditions
