the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000AB86256766FA54C01CE706A848BF4140,152682,0101000020110F0000A3EA4F1915D161C1D397D35A1A245041,152268,>1m <=5m,ATBI DATABASE,,1446904800000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,235801,3931773,35.494398,-83.912496,Chilhowee Lake,,2273.623779,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446904800000,GRSM,UNR,,7,,,Wolf Ridge Trail,Parson Branch Road (closed Winter),Valid,Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,970531200000,Animalia, ,Chordata, ,Amphibia, , ,Deuterostomia, , ,Caudata, , , , ,Plethodontidae, ,~,observed, , ,cert,ATBI Amphibians
0101000020E61000007B9A84EC8BF954C0F90B0870E4BE4140,152684,0101000020110F0000AB66698B5BD061C18D7F64D0B1235041,152270,>1m <=5m,ATBI DATABASE,,1446904801000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,237001,3931398,35.49134,-83.899161,Lake Cheoah-Little Tennessee River,Pole Bridge Branch,3077.633057,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446904801000,GRSM,UNR,,2,,,Wolf Ridge Trail,Parson Branch Road (closed Winter),Valid,Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,970012800000,Animalia, ,Chordata, ,Amphibia, , ,Deuterostomia, , ,Caudata, , , , ,Plethodontidae, ,~,observed, , ,cert,ATBI Amphibians
0101000020E61000004157074515F854C047AFB403E3BB4140,152690,0101000020110F000039F3C0591DCF61C154BA5F578F205041,152276,>1m <=5m,ATBI DATABASE,,1446904804000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239000,3928732,35.467859,-83.876294,Lake Cheoah-Little Tennessee River,Twentymile Creek,1329.22522,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446904804000,GRSM,UNR,,1,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,938044800000,Animalia, ,Chordata, ,Amphibia, , ,Deuterostomia, , ,Caudata, , , , ,Plethodontidae, ,~,observed, , ,cert,ATBI Amphibians
0101000020E610000051781008A2F554C008A3403C5EBA4140,152700,0101000020110F000085AA15A308CD61C1AAA4A8F3F91E5041,152286,>1m <=5m,ATBI DATABASE,,1446904809000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,242437,3927315,35.455994,-83.83801,Lake Cheoah-Little Tennessee River,,1453.71521,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446904809000,GRSM,UNR,,6,,,Fairfax/Old Payne (Palmer) Access,Payne Cemetery Access Road,Valid,Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,1089072000000,Animalia, ,Chordata, ,Amphibia, , ,Deuterostomia, , ,Caudata, , , , ,Plethodontidae, ,~,dip net,No,day,cert,Northshore Road EIS
0101000020E6100000362A72B318F454C04BF2CB7CE1BA4140,152711,0101000020110F000035ECCF94BACB61C155EB0ECE821F5041,152297,>1m <=5m,ATBI DATABASE,,1446904815000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,244629,3927697,35.46,-83.814003,Lake Cheoah-Little Tennessee River,,1807.252441,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446904815000,GRSM,UNR,,7,,,Appalachian Trail,Payne Cemetery Access Road,Valid,Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,1087948800000,Animalia, ,Chordata, ,Amphibia, , ,Deuterostomia, , ,Caudata, , , , ,Plethodontidae, ,~,dip net,No,day,cert,Northshore Road EIS
0101000020E610000065D6162729F454C03295F01702BB4140,152710,0101000020110F0000551BC38DC8CB61C19FA0ACCDA41F5041,152296,>1m <=5m,ATBI DATABASE,,1446904814000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,244541,3927810,35.460995,-83.815008,Lake Cheoah-Little Tennessee River,,1771.060425,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446904814000,GRSM,UNR,,6,,,Fairfax/Old Payne (Palmer) Access,Payne Cemetery Access Road,Valid,Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,1087257600000,Animalia, ,Chordata, ,Amphibia, , ,Deuterostomia, , ,Caudata, , , , ,Plethodontidae, ,~,dip net,No,day,cert,Northshore Road EIS
0101000020E6100000D5FB9832B7F754C02AED98B079BC4140,152692,0101000020110F0000A4948974CDCE61C185DA63782C215041,152278,>1m <=5m,ATBI DATABASE,,1446904805000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239536,3929227,35.472457,-83.870552,Lake Cheoah-Little Tennessee River,Moore Springs Branch,1472.199707,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446904805000,GRSM,UNR,,2,,,Wolf Ridge Trail,Twenty Mile Trailhead Parking,Valid,Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,967075200000,Animalia, ,Chordata, ,Amphibia, , ,Deuterostomia, , ,Caudata, , , , ,Plethodontidae, ,~,observed, , ,cert,ATBI Amphibians
0101000020E6100000AAABD533B1F754C0626FC773B4BC4140,152693,0101000020110F00000B12105DC8CE61C11B6483C069215041,152279,>1m <=5m,ATBI DATABASE,,1446904805000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239575,3929425,35.47425,-83.870186,Lake Cheoah-Little Tennessee River,Moore Springs Branch,1594.8479,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446904805000,GRSM,UNR,,10,,,Wolf Ridge Trail,Twenty Mile Trailhead Parking,Valid,Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,938044800000,Animalia, ,Chordata, ,Amphibia, , ,Deuterostomia, , ,Caudata, , , , ,Plethodontidae, ,~,observed, , ,cert,ATBI Amphibians
0101000020E610000096FD50EF9DF554C0B93E58381CBE4140,152703,0101000020110F0000B8F5612805CD61C1A7AE4EF9E0225041,152289,>1m <=5m,ATBI DATABASE,,1446904811000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,242553,3930558,35.485229,-83.83776,Lake Cheoah-Little Tennessee River,Proctor Branch,2379.517578,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446904811000,GRSM,UNR,,9,,,Twentymile Trail,Payne Cemetery Access Road,Valid,Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,965865600000,Animalia, ,Chordata, ,Amphibia, , ,Deuterostomia, , ,Caudata, , , , ,Plethodontidae, ,~,observed, , ,cert,ATBI Amphibians
0101000020E6100000C72E9D4BDBF154C0C3BC857D14BE4140,152718,0101000020110F0000EB927696D3C961C1C68458E9D8225041,152304,>1m <=5m,ATBI DATABASE,,1446904818000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,247884,3930380,35.484993,-83.779006,Eagle Creek,Lost Cove Creek,1824.586182,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446904818000,GRSM,UNR,,4,,,Lakeshore Trail,Lakeview Drive West,Valid,Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,1087862400000,Animalia, ,Chordata, ,Amphibia, , ,Deuterostomia, , ,Caudata, , , , ,Plethodontidae, ,~,dip net,No,day,cert,Northshore Road EIS
