the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000FFEAE8EDECF154C07CD0A3515DBB4140,153817,0101000020110F000010C07490E2C961C1F2044AED03205041,153357,>1m <=5m,ATBI DATABASE,,1446905416000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,247720,3928029,35.463779,-83.780082,Eagle Creek,Augerhole Branch,1809.2771,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446905416000,GRSM,UNR,,4,,,Lakeshore Trail,Lakeview Drive West,Valid,Dicranodontium_denudatum,Dicranodontium  denudatum,12267,Denuded Dicranodontium Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1088640000000,Plantae, ,Musci_phylum, ,Bryopsida,Bryidae, ,Bryophyta,Musci, ,Dicranales, , , , ,Dicranaceae, ,~,by hand,No,day,cert,Northshore Road EIS
0101000020E610000067BB77117CC754C0AB6EFC30D2D94140,153859,0101000020110F0000E409CA08D7A561C10EC6482DD23F5041,153398,>1m <=5m,ATBI DATABASE,,1446905440000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,308475,3952931,35.70172,-83.116944,Lower Cataloochee Creek,,5129.781738,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446905440000,GRSM,UNR,,7,,,Mount Sterling Trail,Old Cataloochee Turnpike,Valid,Dicranodontium_denudatum,Dicranodontium  denudatum,12267,Denuded Dicranodontium Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1214352000000,Plantae, ,Musci_phylum, ,Bryopsida,Bryidae, ,Bryophyta,Musci, ,Dicranales, , , , ,Dicranaceae, ,~,by hand, , ,cert,ATBI Bryophytes
0101000020E6100000E9AC44108FCF54C0C43B905A80DE4140,153855,0101000020110F00007FFDBA88B2AC61C183BC7390B7445041,153395,>1m <=5m,ATBI DATABASE,,1446905439000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,297152,3957241,35.738285,-83.243103,Cosby Creek,,4985.087402,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446905439000,GRSM,UNR,,8,,,Snake Den Ridge Trail,Cosby Campground Road B,Valid,Dicranodontium_denudatum,Dicranodontium  denudatum,12267,Denuded Dicranodontium Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1217808000000,Plantae, ,Musci_phylum, ,Bryopsida,Bryidae, ,Bryophyta,Musci, ,Dicranales, , , , ,Dicranaceae, ,~,by hand, , ,cert,ATBI Bryophytes
0101000020E61000005E21761DFFCF54C06B2F3FC31DDC4140,153853,0101000020110F0000BBF212B311AD61C1339621C238425041,153393,>1m <=5m,ATBI DATABASE,,1446905438000,DERV,MOUNT GUYOT,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,296486,3955188,35.719651,-83.249942,Big Creek,,5945.569824,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446905438000,GRSM,UNR,,6,,,Appalachian Trail,Cosby Campground Road B,Valid,Dicranodontium_denudatum,Dicranodontium  denudatum,12267,Denuded Dicranodontium Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1181779200000,Plantae, ,Musci_phylum, ,Bryopsida,Bryidae, ,Bryophyta,Musci, ,Dicranales, , , , ,Dicranaceae, ,~,by hand, , ,cert,ATBI Bryophytes
0101000020E610000099D9F1A39DCF54C0F3A0E5E80DDC4140,153854,0101000020110F0000565F0BEABEAC61C1E516C22C28425041,153394,>1m <=5m,ATBI DATABASE,,1446905438000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,297023,3955122,35.719168,-83.243993,Big Creek,,5615.57373,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446905438000,GRSM,UNR,,7,,,Appalachian Trail,Cosby Campground Road B,Valid,Dicranodontium_denudatum,Dicranodontium  denudatum,12267,Denuded Dicranodontium Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1211932800000,Plantae, ,Musci_phylum, ,Bryopsida,Bryidae, ,Bryophyta,Musci, ,Dicranales, , , , ,Dicranaceae, ,~,by hand, , ,cert,ATBI Bryophytes
0101000020E610000016A7D6D2AECE54C093ED94FFAAD84140,153856,0101000020110F0000C2E74716F4AB61C1CA3361779D3E5041,153396,>1m <=5m,ATBI DATABASE,,1446905439000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,298275,3952157,35.692712,-83.229416,Straight Fork Raven Fork,Thermo Branch,5952.520996,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446905439000,GRSM,UNR,,6,,,Balsam Mountain Trail,Cosby Campground Road B,Valid,Dicranodontium_denudatum,Dicranodontium  denudatum,12267,Denuded Dicranodontium Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1217376000000,Plantae, ,Musci_phylum, ,Bryopsida,Bryidae, ,Bryophyta,Musci, ,Dicranales, , , , ,Dicranaceae, ,~,by hand, , ,cert,ATBI Bryophytes
0101000020E61000003F62426C53CE54C0ED29A5E6B9D84140,153858,0101000020110F00003638DC75A6AB61C1AE0AEE0CAD3E5041,153397,>1m <=5m,ATBI DATABASE,,1446905440000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,298781,3952196,35.693166,-83.223838,Straight Fork Raven Fork,Dans Branch,6037.185547,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446905440000,GRSM,UNR,,7,,,Balsam Mountain Trail,Cosby Campground Road B,Valid,Dicranodontium_denudatum,Dicranodontium  denudatum,12267,Denuded Dicranodontium Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1186012800000,Plantae, ,Musci_phylum, ,Bryopsida,Bryidae, ,Bryophyta,Musci, ,Dicranales, , , , ,Dicranaceae, ,~,by hand, , ,cert,ATBI Bryophytes
0101000020E6100000EB5BF0E6ACDF54C07E8DF8E330C54140,153824,0101000020110F000077A12E9C62BA61C13B53F349442A5041,153364,>1m <=5m,ATBI DATABASE,,1446905419000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273818,3935854,35.540548,-83.494924,Forney Creek,Keeyuga Creek,5771.138184,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446905419000,GRSM,UNR,,6,,,Forney Ridge Trail,Clingmans Dome Road Parking #3,Valid,Dicranodontium_denudatum,Dicranodontium  denudatum,12267,Denuded Dicranodontium Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1182124800000,Plantae, ,Musci_phylum, ,Bryopsida,Bryidae, ,Bryophyta,Musci, ,Dicranales, , , , ,Dicranaceae, ,~,by hand, , ,cert,ATBI Bryophytes
0101000020E61000003FBFB534B3DF54C03B8FD1D447C74140,153825,0101000020110F00000F27C2F667BA61C1373C17B0722C5041,153365,>1m <=5m,ATBI DATABASE,,1446905420000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273829,3937666,35.556873,-83.495309,Forney Creek,,6357.449219,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446905420000,GRSM,UNR,,6,,,Clingmans Dome Trail,Clingmans Dome Road Parking #3,Valid,Dicranodontium_denudatum,Dicranodontium  denudatum,12267,Denuded Dicranodontium Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1184544000000,Plantae, ,Musci_phylum, ,Bryopsida,Bryidae, ,Bryophyta,Musci, ,Dicranales, , , , ,Dicranaceae, ,~,by hand, , ,cert,ATBI Bryophytes
0101000020E61000005DCC3C3DFFDF54C0D3A56217D0C74140,153823,0101000020110F00006CDEFC89A8BA61C17DFBF9F0002D5041,153363,>1m <=5m,ATBI DATABASE,,1446905419000,DERV,SILERS BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273420,3938138,35.561031,-83.49995,Forney Creek,Forney Creek,6379.115234,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446905419000,GRSM,UNR,,6,,,Clingmans Dome Bypass Trail,Clingmans Dome Access Road,Valid,Dicranodontium_denudatum,Dicranodontium  denudatum,12267,Denuded Dicranodontium Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1184803200000,Plantae, ,Musci_phylum, ,Bryopsida,Bryidae, ,Bryophyta,Musci, ,Dicranales, , , , ,Dicranaceae, ,~,by hand, , ,cert,ATBI Bryophytes
