the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000006DE9B84A52CA54C09CC0745AB7E14140,154241,0101000020110F0000438BF9D03FA861C182A19CD414485041,153776,>1m <=5m,ATBI DATABASE,,1446905661000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,304615,3959861,35.763401,-83.161269,Big Creek,Chestnut Branch,4881.635742,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446905661000,GRSM,UNR,,7,,,Mount Cammerer Trail,Cosby Campground Road B,Valid,Diervilla_sessilifolia,Diervilla  sessilifolia,11213,Southern Bush-honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,970099200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Dipsacales, , , , ,Caprifoliaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000E27065D79DDF54C08CBFCB1EFEC44140,154211,0101000020110F00004327ABD155BA61C1DD28564C0F2A5041,153746,>1m <=5m,ATBI DATABASE,,1446905644000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273897,3935680,35.538998,-83.494005,Noland Creek,Keeyuga Creek,5757.082031,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446905644000,GRSM,UNR,,6,,,Forney Ridge Trail,Clingmans Dome Road Parking #3,Valid,Diervilla_sessilifolia,Diervilla  sessilifolia,11213,Southern Bush-honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-315619200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Dipsacales, , , , ,Caprifoliaceae, ,~,unspecified,No,decade,cert,GRSMNP Grassy Balds
0101000020E61000009E21545DCBDF54C03C6EB02BFEC64140,154207,0101000020110F0000A4645B7B7CBA61C1B3EB4FCA252C5041,153742,>1m <=5m,ATBI DATABASE,,1446905642000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273689,3937420,35.554625,-83.496783,Forney Creek,,6067.022461,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446905642000,GRSM,UNR,,6,,,Forney Ridge Trail,Clingmans Dome Road Parking #3,Valid,Diervilla_sessilifolia,Diervilla  sessilifolia,11213,Southern Bush-honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065657600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Dipsacales, , , , ,Caprifoliaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000B522AC51A5DF54C0D42AA3660FC74140,154212,0101000020110F000070C2762B5CBA61C14D2B0BC7372C5041,153747,>1m <=5m,ATBI DATABASE,,1446905644000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273901,3937473,35.555151,-83.494461,Noland Creek,Salola Branch,6230.663086,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446905644000,GRSM,UNR,,6,,,Forney Ridge Trail,Clingmans Dome Road Parking #3,Valid,Diervilla_sessilifolia,Diervilla  sessilifolia,11213,Southern Bush-honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1020816000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Dipsacales, , , , ,Caprifoliaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000AE1BD0810EDC54C0AA16C7370AD24140,154226,0101000020110F0000687E8FD24FB761C14E177AA9AF375041,153761,>1m <=5m,ATBI DATABASE,,1446905653000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,279221,3946862,35.64093,-83.438381,West Prong Little Pigeon River Upper,Styx Branch,4486.347656,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446905653000,GRSM,UNR,,1,,,Alum Cave Trail,Alum Cave Bluffs Trailhead Parking,Valid,Diervilla_sessilifolia,Diervilla  sessilifolia,11213,Southern Bush-honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,903657600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Dipsacales, , , , ,Caprifoliaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000E952F9BD3EDC54C0410A227B52D34140,154221,0101000020110F0000BA87DBC978B761C1D48E91BC06395041,153756,>1m <=5m,ATBI DATABASE,,1446905650000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,278982,3947980,35.650948,-83.441325,West Prong Little Pigeon River Upper,,6049.395996,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446905650000,GRSM,UNR,,9,,,Alum Cave Trail,Nfg Pullout Parking At Mp 9.48,Valid,Diervilla_sessilifolia,Diervilla  sessilifolia,11213,Southern Bush-honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,900288000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Dipsacales, , , , ,Caprifoliaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000F2E1BF6456DC54C0342A15F95AD34140,154220,0101000020110F00002C2D2EE08CB761C1252FC19C0F395041,153755,>1m <=5m,ATBI DATABASE,,1446905649000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,278852,3948012,35.651207,-83.442769,West Prong Little Pigeon River Upper,,6035.264648,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446905649000,GRSM,UNR,,4,,,Alum Cave Trail,Nfg Pullout Parking At Mp 9.48,Valid,Diervilla_sessilifolia,Diervilla  sessilifolia,11213,Southern Bush-honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,903657600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Dipsacales, , , , ,Caprifoliaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000003F08DD327BDC54C00D3CDBC9BED34140,154217,0101000020110F000009786222ACB761C18A27C2F077395041,153752,>1m <=5m,ATBI DATABASE,,1446905647000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,278657,3948355,35.654253,-83.445015,West Prong Little Pigeon River Upper,,6378.271973,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446905647000,GRSM,UNR,,10,,,Alum Cave Trail,Nfg Pullout Parking At Mp 9.48,Valid,Diervilla_sessilifolia,Diervilla  sessilifolia,11213,Southern Bush-honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,645321600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Dipsacales, , , , ,Caprifoliaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000000598F25479DC54C07D864C06BBD34140,154218,0101000020110F0000AE997D8CAAB761C100D69E0174395041,153753,>1m <=5m,ATBI DATABASE,,1446905648000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,278667,3948342,35.654138,-83.444901,West Prong Little Pigeon River Upper,,6310.39209,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446905648000,GRSM,UNR,,7,,,Alum Cave Trail,Nfg Pullout Parking At Mp 9.48,Valid,Diervilla_sessilifolia,Diervilla  sessilifolia,11213,Southern Bush-honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,645321600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Dipsacales, , , , ,Caprifoliaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000F99034DB5CDC54C0CF5A27C1AAD34140,154219,0101000020110F000088694F5D92B761C18A8A1B0063395041,153754,>1m <=5m,ATBI DATABASE,,1446905649000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,278823,3948283,35.653642,-83.443163,Roaring Fork,,6500.601562,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446905649000,GRSM,UNR,,6,,,Cliff Top viewpoint access,Nfg Pullout Parking At Mp 9.48,Valid,Diervilla_sessilifolia,Diervilla  sessilifolia,11213,Southern Bush-honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,989884800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Dipsacales, , , , ,Caprifoliaceae, ,~,observed, ,day,cert,Fridley Veg Plots
