the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000068B28C565F754C05330B19986BA4140,154694,0101000020110F0000E7D47F4C88CE61C1CCA3E009241F5041,154239,>1m <=5m,ATBI DATABASE,,1446905920000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239938,3927524,35.457226,-83.865582,Lake Cheoah-Little Tennessee River,,1670.646484,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446905920000,GRSM,UNR,,10,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Diospyros_virginiana,Diospyros  virginiana,11365,Common Persimmon,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ebenales, , , , ,Ebenaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E61000009E70EB7890EE54C0DC4FBE8728BC4140,154705,0101000020110F0000A79B23C707C761C1581C5AD5D7205041,154250,>1m <=5m,ATBI DATABASE,,1446905926000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252506,3928584,35.46998,-83.727564,Hazel Creek,Hazel Creek,1842.274292,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446905926000,GRSM,UNR,,7,,,Hazel Creek Trail,Lakeview Drive West,Valid,Diospyros_virginiana,Diospyros  virginiana,11365,Common Persimmon,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1018051200000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ebenales, , , , ,Ebenaceae, ,~,observed, , ,cert,Keith Tree Survey
0101000020E61000006AEF304674EE54C0F67E3F1651BC4140,154711,0101000020110F00005D4B45D4EFC661C1618B9C2002215041,154256,>1m <=5m,ATBI DATABASE,,1446905929000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252666,3928717,35.471218,-83.725843,Hazel Creek,Hazel Creek,1698.943359,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446905929000,GRSM,UNR,,4,,,Hazel Creek Trail,Lakeview Drive West,Valid,Diospyros_virginiana,Diospyros  virginiana,11365,Common Persimmon,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1096934400000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ebenales, , , , ,Ebenaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000EDEE71A170EE54C09C0E15D159BC4140,154712,0101000020110F0000D9D016BCECC661C1AE75333B0B215041,154257,>1m <=5m,ATBI DATABASE,,1446905930000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252687,3928746,35.471484,-83.72562,Hazel Creek,Hazel Creek,1704.128174,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446905930000,GRSM,UNR,,4,,,Hazel Creek Trail,Lakeview Drive West,Valid,Diospyros_virginiana,Diospyros  virginiana,11365,Common Persimmon,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1096934400000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ebenales, , , , ,Ebenaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E610000055B4145192EE54C0550DEB5BA0BC4140,154706,0101000020110F00003F4F255809C761C1CCF714CC54215041,154251,>1m <=5m,ATBI DATABASE,,1446905927000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252507,3928990,35.473637,-83.727676,Hazel Creek,Hazel Creek,1703.477051,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446905927000,GRSM,UNR,,4,,,Lakeshore Trail,Lakeview Drive West,Valid,Diospyros_virginiana,Diospyros  virginiana,11365,Common Persimmon,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1051747200000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ebenales, , , , ,Ebenaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E610000097B4263987EE54C01C93658B9BBC4140,154708,0101000020110F00001D4C31ECFFC661C15235B7C64F215041,154253,>1m <=5m,ATBI DATABASE,,1446905928000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252568,3928972,35.47349,-83.726999,Hazel Creek,Hazel Creek,1702.226807,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446905928000,GRSM,UNR,,4,,,Hazel Creek Trail,Lakeview Drive West,Valid,Diospyros_virginiana,Diospyros  virginiana,11365,Common Persimmon,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1051747200000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ebenales, , , , ,Ebenaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000BE437FD89AEE54C034EF494B98BC4140,154704,0101000020110F0000DB97859610C761C1DC9AEE624C215041,154249,>1m <=5m,ATBI DATABASE,,1446905926000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252459,3928964,35.473391,-83.728197,Hazel Creek,Hazel Creek,1705.836914,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446905926000,GRSM,UNR,,6,,,Hazel Creek Trail,Lakeview Drive West,Valid,Diospyros_virginiana,Diospyros  virginiana,11365,Common Persimmon,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1051747200000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ebenales, , , , ,Ebenaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000DE675FF09EEB54C0BFBB069EF7BF4140,154717,0101000020110F00004E273FCD87C461C100B6E0DED0245041,154262,>1m <=5m,ATBI DATABASE,,1446905933000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,256770,3931771,35.499737,-83.681572,Hazel Creek,Hazel Creek,2325.033203,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446905933000,GRSM,UNR,,4,,,Hazel Creek Trail,Lakeview Drive West,Valid,Diospyros_virginiana,Diospyros  virginiana,11365,Common Persimmon,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1018051200000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ebenales, , , , ,Ebenaceae, ,~,observed, , ,cert,Keith Tree Survey
0101000020E6100000F5B36A6DA0EA54C0C6569CE634B94140,154720,0101000020110F00003D481FA5AFC361C12F6641F4C31D5041,154265,>1m <=5m,ATBI DATABASE,,1446905935000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,258021,3925873,35.44692,-83.666038,Lower Fontana Lake-Little Tennessee River,Pilkey Creek,1716.215332,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446905935000,GRSM,UNR,,5,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Diospyros_virginiana,Diospyros  virginiana,11365,Common Persimmon,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1056153600000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ebenales, , , , ,Ebenaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E610000046598F60A2EA54C02A08A9D127B94140,154719,0101000020110F0000BF6C0B4DB1C361C115F6E150B61D5041,154264,>1m <=5m,ATBI DATABASE,,1446905934000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,258009,3925829,35.446521,-83.666157,Lower Fontana Lake-Little Tennessee River,Pilkey Creek,1711.234619,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446905934000,GRSM,UNR,,1,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Diospyros_virginiana,Diospyros  virginiana,11365,Common Persimmon,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1056153600000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ebenales, , , , ,Ebenaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E610000076086A9804E754C0A19A838156B94140,154728,0101000020110F00008910BF089FC061C19A1219FDE61D5041,154272,>1m <=5m,ATBI DATABASE,,1446905939000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,263143,3925850,35.447946,-83.609651,Lower Fontana Lake-Little Tennessee River,Chambers Creek,1698.705322,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446905939000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Diospyros_virginiana,Diospyros  virginiana,11365,Common Persimmon,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065571200000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ebenales, , , , ,Ebenaceae, ,~,observed, , ,cert,INHS plant survey
