the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E610000026F8FAE8C1F754C0C66F502336BC4140,156131,0101000020110F0000A3DAA48DD6CE61C16B392106E6205041,155632,>1m <=5m,ATBI DATABASE,,1446906717000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239470,3929000,35.470395,-83.871206,Lake Cheoah-Little Tennessee River,Twentymile Creek,1430.253174,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446906717000,GRSM,UNR,,4,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Dolophilodes_distinctus,Dolophilodes  distinctus,12688,Winter Caddisfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,779414400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Trichoptera, ,Annulipalpia, , ,Philopotamidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E610000065D1BBDE21F654C0A7A7F97E38BD4140,156163,0101000020110F0000FEECDA3575CD61C15A3A3876F3215041,155662,>1m <=5m,ATBI DATABASE,,1446906732000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,241800,3929808,35.47828,-83.845813,Lake Cheoah-Little Tennessee River,Twentymile Creek,2241.774902,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446906732000,GRSM,UNR,,10,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Dolophilodes_distinctus,Dolophilodes  distinctus,12688,Winter Caddisfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,934156800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Trichoptera, ,Annulipalpia, , ,Philopotamidae, ,~,at light, , ,cert,ATBI Aquatic TWiG
0101000020E6100000CAC9663CC1F154C0079F5C16BDBD4140,156207,0101000020110F0000E1AE9974BDC961C1A507E9BF7D225041,155701,>1m <=5m,ATBI DATABASE,,1446906754000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,248020,3930080,35.482326,-83.777415,Eagle Creek,Eagle Creek,1709.033936,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446906754000,GRSM,UNR,,1,,,Lake Shore Trail low water access,Lakeview Drive West,Valid,Dolophilodes_distinctus,Dolophilodes  distinctus,12688,Winter Caddisfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1019520000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Trichoptera, ,Annulipalpia, , ,Philopotamidae, ,~,by hand,No,day,cert,ATBI
0101000020E6100000EA1D326EB5EE54C0FB4F6D6670BC4140,156225,0101000020110F00007E959A2A27C761C1A90D4BC822215041,155717,>1m <=5m,ATBI DATABASE,,1446906763000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252308,3928833,35.472173,-83.72982,Hazel Creek,,1747.899658,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446906763000,GRSM,UNR,,8,,,Hazel Creek Trail,Lakeview Drive West,Valid,Dolophilodes_distinctus,Dolophilodes  distinctus,12688,Winter Caddisfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1019433600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Trichoptera, ,Annulipalpia, , ,Philopotamidae, ,~,by hand,No,day,cert,ATBI
0101000020E61000008DC7C10FA8EE54C096F499BB2FBC4140,156226,0101000020110F000042ECECCF1BC761C194DD2E58DF205041,155718,>1m <=5m,ATBI DATABASE,,1446906763000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252376,3928612,35.4702,-83.729004,Hazel Creek,Hazel Creek,1921.724609,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446906763000,GRSM,UNR,,4,,,Hazel Creek Trail,Lakeview Drive West,Valid,Dolophilodes_distinctus,Dolophilodes  distinctus,12688,Winter Caddisfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1019433600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Trichoptera, ,Annulipalpia, , ,Philopotamidae, ,~,by hand,No,day,cert,ATBI
0101000020E61000008FC8A2A911EE54C02410F5E338BC4140,156231,0101000020110F0000CEDB0F149CC661C1AFC5F4E4E8205041,155723,>1m <=5m,ATBI DATABASE,,1446906766000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253210,3928620,35.470479,-83.719824,Hazel Creek,Hazel Creek,1911.231934,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446906766000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive West,Valid,Dolophilodes_distinctus,Dolophilodes  distinctus,12688,Winter Caddisfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,839894400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Trichoptera, ,Annulipalpia, , ,Philopotamidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E6100000BB6D076C6CEE54C0AF6FD3EB8BBC4140,156228,0101000020110F0000B8120A29E9C661C12182AD7B3F215041,155720,>1m <=5m,ATBI DATABASE,,1446906764000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252715,3928915,35.473013,-83.725363,Hazel Creek,Hazel Creek,1842.874512,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446906764000,GRSM,UNR,,6,,,Hazel Creek Trail,Lakeview Drive West,Valid,Dolophilodes_distinctus,Dolophilodes  distinctus,12688,Winter Caddisfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,770860800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Trichoptera, ,Annulipalpia, , ,Philopotamidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E6100000120D18456BEE54C0BB449FD687BC4140,156229,0101000020110F0000E4078D2EE8C661C19C33AB393B215041,155721,>1m <=5m,ATBI DATABASE,,1446906765000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252721,3928901,35.472889,-83.725293,Hazel Creek,Hazel Creek,1858.626953,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446906765000,GRSM,UNR,,8,,,Hazel Creek Trail,Lakeview Drive West,Valid,Dolophilodes_distinctus,Dolophilodes  distinctus,12688,Winter Caddisfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,934329600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Trichoptera, ,Annulipalpia, , ,Philopotamidae, ,~,at light, , ,cert,ATBI Aquatic TWiG
0101000020E61000002AB17F5F42E454C01BAFEDABBABB4140,156337,0101000020110F00002938443D47BE61C1C9AFA24565205041,155827,>1m <=5m,ATBI DATABASE,,1446906828000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,267110,3927820,35.466627,-83.566547,Forney Creek,Forney Creek,1925.609375,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446906828000,GRSM,UNR,,10,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Dolophilodes_distinctus,Dolophilodes  distinctus,12688,Winter Caddisfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1078617600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Trichoptera, ,Annulipalpia, , ,Philopotamidae, ,~,by hand,No, ,cert,ATBI
0101000020E6100000AA49DEA318E454C0B5E2F91E8BBB4140,156340,0101000020110F00006DDFA7CB23BE61C182ECF8AF33205041,155829,>1m <=5m,ATBI DATABASE,,1446906829000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,267337,3927653,35.465176,-83.564,Forney Creek,,1817.035645,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446906829000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Dolophilodes_distinctus,Dolophilodes  distinctus,12688,Winter Caddisfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1055635200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Trichoptera, ,Annulipalpia, , ,Philopotamidae, ,~,black light trap, , ,cert,Antimycin-A
