the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000006DE071FEC4FB54C0F9A44342BCBF4140,157070,0101000020110F0000F3331EDB3ED261C19CA19BF292245041,156541,>1m <=5m,ATBI DATABASE,,1446907230000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,233871,3932222,35.497926,-83.933894,Chilhowee Lake,Parson Branch,1672.392944,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446907230000,GRSM,UNR,,5,,,Wolf Ridge Trail,Parson Branch Road (closed Winter),Valid,Drunella_tuberculata,Drunella  tuberculata,12992,Tuberculate Spiny Crawler Mayfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,990144000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Ephemeroptera, ,Rectracheata,Pannota, ,Ephemerellidae, ,~,by hand, , ,cert,ATBI
0101000020E6100000D6C5AF5012F854C0C1876BE5C0BB4140,157073,0101000020110F0000956464D71ACF61C1BFAB4EC36B205041,156544,>1m <=5m,ATBI DATABASE,,1446907232000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239013,3928616,35.466817,-83.876114,Lake Cheoah-Little Tennessee River,Twentymile Creek,1449.210449,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446907232000,GRSM,UNR,,5,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Drunella_tuberculata,Drunella  tuberculata,12992,Tuberculate Spiny Crawler Mayfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,990144000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Ephemeroptera, ,Rectracheata,Pannota, ,Ephemerellidae, ,~,by hand, , ,cert,ATBI
0101000020E610000065C2092E31F854C0832C840F84BB4140,157072,0101000020110F0000EC31030E35CF61C1785137532C205041,156543,>1m <=5m,ATBI DATABASE,,1446907231000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,238836,3928415,35.464961,-83.877998,Lake Cheoah-Little Tennessee River,,1648.739624,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446907231000,GRSM,UNR,,7,,,Twentymile Trail,Twenty Mile Ranger Station Parking # 1,Valid,Drunella_tuberculata,Drunella  tuberculata,12992,Tuberculate Spiny Crawler Mayfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1179360000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Ephemeroptera, ,Rectracheata,Pannota, ,Ephemerellidae, ,~,by hand,No, ,cert,EPT DNA Barcoding
0101000020E610000026F8FAE8C1F754C0C66F502336BC4140,157077,0101000020110F0000A3DAA48DD6CE61C16B392106E6205041,156548,>1m <=5m,ATBI DATABASE,,1446907233000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239470,3929000,35.470395,-83.871206,Lake Cheoah-Little Tennessee River,Twentymile Creek,1430.253174,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446907233000,GRSM,UNR,,4,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Drunella_tuberculata,Drunella  tuberculata,12992,Tuberculate Spiny Crawler Mayfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,963187200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Ephemeroptera, ,Rectracheata,Pannota, ,Ephemerellidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E61000008FC8A2A911EE54C02410F5E338BC4140,157112,0101000020110F0000CEDB0F149CC661C1AFC5F4E4E8205041,156583,>1m <=5m,ATBI DATABASE,,1446907252000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253210,3928620,35.470479,-83.719824,Hazel Creek,Hazel Creek,1911.231934,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446907252000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive West,Valid,Drunella_tuberculata,Drunella  tuberculata,12992,Tuberculate Spiny Crawler Mayfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,993945600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Ephemeroptera, ,Rectracheata,Pannota, ,Ephemerellidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E6100000BB6D076C6CEE54C0AF6FD3EB8BBC4140,157106,0101000020110F0000B8120A29E9C661C12182AD7B3F215041,156577,>1m <=5m,ATBI DATABASE,,1446907249000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252715,3928915,35.473013,-83.725363,Hazel Creek,Hazel Creek,1842.874512,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446907249000,GRSM,UNR,,6,,,Hazel Creek Trail,Lakeview Drive West,Valid,Drunella_tuberculata,Drunella  tuberculata,12992,Tuberculate Spiny Crawler Mayfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,770860800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Ephemeroptera, ,Rectracheata,Pannota, ,Ephemerellidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E6100000AA49DEA318E454C0B5E2F91E8BBB4140,157162,0101000020110F00006DDFA7CB23BE61C182ECF8AF33205041,156633,>1m <=5m,ATBI DATABASE,,1446907283000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,267337,3927653,35.465176,-83.564,Forney Creek,,1817.035645,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446907283000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Drunella_tuberculata,Drunella  tuberculata,12992,Tuberculate Spiny Crawler Mayfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,770860800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Ephemeroptera, ,Rectracheata,Pannota, ,Ephemerellidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E610000059109D0D75E454C0927FE79034BC4140,157160,0101000020110F0000FBAA2F4872BE61C179A87B62E4205041,156631,>1m <=5m,ATBI DATABASE,,1446907281000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,266840,3928240,35.470347,-83.56964,Forney Creek,Bear Creek,2050.530518,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446907281000,GRSM,UNR,,7,,,Bear Creek Trail,Lakeview Drive East Parking #4,Valid,Drunella_tuberculata,Drunella  tuberculata,12992,Tuberculate Spiny Crawler Mayfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,770860800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Ephemeroptera, ,Rectracheata,Pannota, ,Ephemerellidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E610000085D2450DDDDE54C093C9BD8188B94140,157185,0101000020110F0000692A3215B2B961C12122041E1B1E5041,156656,>1m <=5m,ATBI DATABASE,,1446907298000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,274714,3925721,35.449472,-83.482238,Fontana Lake-Tuckasegee River,Peachtree Creek,2046.831177,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446907298000,GRSM,UNR,,7,,,Conner @ Hickory Flats Cemetery Access,Lakeview Drive East,Valid,Drunella_tuberculata,Drunella  tuberculata,12992,Tuberculate Spiny Crawler Mayfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,872553600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Ephemeroptera, ,Rectracheata,Pannota, ,Ephemerellidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E6100000C1CA8F629ADB54C074F90C3169BC4140,157194,0101000020110F0000555B3233EDB661C19CDDD4431B215041,156665,>1m <=5m,ATBI DATABASE,,1446907303000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,279400,3928100,35.471953,-83.431294,Deep Creek,Deep Creek,2085.309082,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446907303000,GRSM,UNR,,7,,,Deep Creek Horse Trail,Tom Branch Road,Valid,Drunella_tuberculata,Drunella  tuberculata,12992,Tuberculate Spiny Crawler Mayfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,869443200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Ephemeroptera, ,Rectracheata,Pannota, ,Ephemerellidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E6100000C6E7AE224CDB54C0DB36740940BC4140,157195,0101000020110F00003EB41DBEAAB661C1BC98D258F0205041,156666,>1m <=5m,ATBI DATABASE,,1446907304000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,279830,3927950,35.470697,-83.426518,Deep Creek,Deep Creek,2110.923828,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446907304000,GRSM,UNR,,5,,,Deep Creek Trail,Tom Branch Road,Valid,Drunella_tuberculata,Drunella  tuberculata,12992,Tuberculate Spiny Crawler Mayfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,872035200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Ephemeroptera, ,Rectracheata,Pannota, ,Ephemerellidae, ,~,by hand, , ,cert,Inventory & Monitoring
