the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000110B6B19FFC854C0BB473A339CC64140,159007,0101000020110F0000FB186CBD1FA761C18FE09484BF2B5041,158686,>1m <=5m,ATBI DATABASE,,1446908434000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,305975,3936328,35.551635,-83.140566,Upper Cataloochee Creek,,5323.525391,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446908434000,GRSM,UNR,,3,,,Hemphill Bald Trail,Heintooga Ridge Road,Valid,Dryopteris_campyloptera,Dryopteris  campyloptera,13025,Mountain Wood Fern,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1148688000000,Plantae,Tracheobionta, , ,Filicopsida, ,Pteridophyta, , , ,Polypodiales, , , , ,Dryopteridaceae, ,~,observed, , ,cert,ATBI Ferns
0101000020E6100000D1A8DAB0BEC954C004E0183CABC64140,159006,0101000020110F000024D16C75C2A761C104AD6336CF2B5041,158685,>1m <=5m,ATBI DATABASE,,1446908433000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,304916,3936402,35.552094,-83.15226,Upper Cataloochee Creek,Caldwell Fork,5162.646484,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446908433000,GRSM,UNR,,7,,,Hemphill Bald Trail,Heintooga Ridge Road,Valid,Dryopteris_campyloptera,Dryopteris  campyloptera,13025,Mountain Wood Fern,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1148688000000,Plantae,Tracheobionta, , ,Filicopsida, ,Pteridophyta, , , ,Polypodiales, , , , ,Dryopteridaceae, ,~,observed, , ,cert,ATBI Ferns
0101000020E6100000BE1D5052DAC954C0FB867CB6DFC64140,159004,0101000020110F0000E175EAECD9A761C1B44EA2FE052C5041,158683,>1m <=5m,ATBI DATABASE,,1446908433000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,304767,3936583,35.553695,-83.153946,Upper Cataloochee Creek,Caldwell Fork,5121.307617,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446908433000,GRSM,UNR,,6,,,Hemphill Bald Trail,Heintooga Ridge Road,Valid,Dryopteris_campyloptera,Dryopteris  campyloptera,13025,Mountain Wood Fern,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1148688000000,Plantae,Tracheobionta, , ,Filicopsida, ,Pteridophyta, , , ,Polypodiales, , , , ,Dryopteridaceae, ,~,observed, , ,cert,ATBI Ferns
0101000020E6100000F2692A98CCC954C0B346B452C5C64140,159005,0101000020110F000049775944CEA761C145E03172EA2B5041,158684,>1m <=5m,ATBI DATABASE,,1446908433000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,304841,3936492,35.55289,-83.153109,Upper Cataloochee Creek,Caldwell Fork,5106.713867,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446908433000,GRSM,UNR,,6,,,Hemphill Bald Trail,Heintooga Ridge Road,Valid,Dryopteris_campyloptera,Dryopteris  campyloptera,13025,Mountain Wood Fern,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1148688000000,Plantae,Tracheobionta, , ,Filicopsida, ,Pteridophyta, , , ,Polypodiales, , , , ,Dryopteridaceae, ,~,observed, , ,cert,ATBI Ferns
0101000020E6100000E3A524B6FEC954C0B3C40E601AC74140,159002,0101000020110F00001B77DAD4F8A761C1FD71E73B432C5041,158681,>1m <=5m,ATBI DATABASE,,1446908432000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,304570,3936786,35.555486,-83.156167,Upper Cataloochee Creek,,5185.90332,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446908432000,GRSM,UNR,,6,,,Hemphill Bald Trail,Heintooga Ridge Road,Valid,Dryopteris_campyloptera,Dryopteris  campyloptera,13025,Mountain Wood Fern,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1148688000000,Plantae,Tracheobionta, , ,Filicopsida, ,Pteridophyta, , , ,Polypodiales, , , , ,Dryopteridaceae, ,~,observed, , ,cert,ATBI Ferns
0101000020E6100000597EE62DF0C954C02B05466607C74140,159003,0101000020110F00008E00407DECA761C1CFC5AF6C2F2C5041,158682,>1m <=5m,ATBI DATABASE,,1446908432000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,304649,3936720,35.554906,-83.15528,Upper Cataloochee Creek,,5174.811523,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446908432000,GRSM,UNR,,6,,,Hemphill Bald Trail,Heintooga Ridge Road,Valid,Dryopteris_campyloptera,Dryopteris  campyloptera,13025,Mountain Wood Fern,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1148688000000,Plantae,Tracheobionta, , ,Filicopsida, ,Pteridophyta, , , ,Polypodiales, , , , ,Dryopteridaceae, ,~,observed, , ,cert,ATBI Ferns
0101000020E6100000AD4116A424CA54C0D42BED2DD5C74140,158995,0101000020110F0000E7FD820B19A861C1A0C8D840062D5041,158674,>1m <=5m,ATBI DATABASE,,1446908428000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,304374,3937423,35.561186,-83.158482,Upper Cataloochee Creek,,5093.421387,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446908428000,GRSM,UNR,,8,,,Hemphill Bald Trail,Heintooga Ridge Road,Valid,Dryopteris_campyloptera,Dryopteris  campyloptera,13025,Mountain Wood Fern,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1148688000000,Plantae,Tracheobionta, , ,Filicopsida, ,Pteridophyta, , , ,Polypodiales, , , , ,Dryopteridaceae, ,~,observed, , ,cert,ATBI Ferns
0101000020E6100000E140D1072ECA54C0FC78896DEFC74140,158994,0101000020110F00001F2F000521A861C1AC7940A8212D5041,158673,>1m <=5m,ATBI DATABASE,,1446908428000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,304324,3937513,35.561987,-83.159056,Upper Cataloochee Creek,,5091.078125,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446908428000,GRSM,UNR,,6,,,Hemphill Bald Trail,Heintooga Ridge Road,Valid,Dryopteris_campyloptera,Dryopteris  campyloptera,13025,Mountain Wood Fern,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1148688000000,Plantae,Tracheobionta, , ,Filicopsida, ,Pteridophyta, , , ,Polypodiales, , , , ,Dryopteridaceae, ,~,observed, , ,cert,ATBI Ferns
0101000020E6100000DDB5682721CA54C0326BE049B6C74140,158996,0101000020110F0000752C5C1516A861C12F18C700E62C5041,158675,>1m <=5m,ATBI DATABASE,,1446908429000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,304391,3937318,35.560244,-83.15827,Upper Cataloochee Creek,,5094.376953,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446908429000,GRSM,UNR,,5,,,Hemphill Bald Trail,Heintooga Ridge Road,Valid,Dryopteris_campyloptera,Dryopteris  campyloptera,13025,Mountain Wood Fern,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1148688000000,Plantae,Tracheobionta, , ,Filicopsida, ,Pteridophyta, , , ,Polypodiales, , , , ,Dryopteridaceae, ,~,observed, , ,cert,ATBI Ferns
0101000020E6100000DDC2BDA91DCA54C0BCD63E1A97C74140,158997,0101000020110F0000E3235E1E13A861C1A549E671C52C5041,158676,>1m <=5m,ATBI DATABASE,,1446908429000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,304408,3937212,35.559292,-83.158057,Upper Cataloochee Creek,,5072.044434,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446908429000,GRSM,UNR,,4,,,Hemphill Bald Trail,Heintooga Ridge Road,Valid,Dryopteris_campyloptera,Dryopteris  campyloptera,13025,Mountain Wood Fern,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1148688000000,Plantae,Tracheobionta, , ,Filicopsida, ,Pteridophyta, , , ,Polypodiales, , , , ,Dryopteridaceae, ,~,observed, , ,cert,ATBI Ferns
0101000020E6100000E9981C9F12CA54C0364407F75FC74140,158999,0101000020110F000001DBB5BD09A861C185BFE9E18B2C5041,158678,>1m <=5m,ATBI DATABASE,,1446908430000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,304465,3937024,35.557609,-83.157383,Upper Cataloochee Creek,,5161.675781,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446908430000,GRSM,UNR,,7,,,Hemphill Bald Trail,Heintooga Ridge Road,Valid,Dryopteris_campyloptera,Dryopteris  campyloptera,13025,Mountain Wood Fern,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1148688000000,Plantae,Tracheobionta, , ,Filicopsida, ,Pteridophyta, , , ,Polypodiales, , , , ,Dryopteridaceae, ,~,observed, , ,cert,ATBI Ferns
0101000020E6100000EEE1490D18CA54C0F6DF7A897BC74140,158998,0101000020110F00000F57635A0EA861C1AE6EBFAAA82C5041,158677,>1m <=5m,ATBI DATABASE,,1446908430000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,304437,3937118,35.558451,-83.157714,Upper Cataloochee Creek,,5095.702148,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446908430000,GRSM,UNR,,6,,,Hemphill Bald Trail,Heintooga Ridge Road,Valid,Dryopteris_campyloptera,Dryopteris  campyloptera,13025,Mountain Wood Fern,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1148688000000,Plantae,Tracheobionta, , ,Filicopsida, ,Pteridophyta, , , ,Polypodiales, , , , ,Dryopteridaceae, ,~,observed, , ,cert,ATBI Ferns
0101000020E6100000FF9AC5EE0FCA54C0D5056AA846C74140,159000,0101000020110F000053681A7507A861C1302D7B76712C5041,158679,>1m <=5m,ATBI DATABASE,,1446908430000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,304478,3936938,35.556837,-83.157219,Upper Cataloochee Creek,,5136.956543,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446908430000,GRSM,UNR,,7,,,Hemphill Bald Trail,Heintooga Ridge Road,Valid,Dryopteris_campyloptera,Dryopteris  campyloptera,13025,Mountain Wood Fern,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1148688000000,Plantae,Tracheobionta, , ,Filicopsida, ,Pteridophyta, , , ,Polypodiales, , , , ,Dryopteridaceae, ,~,observed, , ,cert,ATBI Ferns
0101000020E610000091E8723E0DCA54C0A4A1CA592DC74140,159001,0101000020110F0000719B822C05A861C1860B1B0B572C5041,158680,>1m <=5m,ATBI DATABASE,,1446908431000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,304491,3936852,35.556065,-83.157054,Upper Cataloochee Creek,,5142.77832,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446908431000,GRSM,UNR,,2,,,Hemphill Bald Trail,Heintooga Ridge Road,Valid,Dryopteris_campyloptera,Dryopteris  campyloptera,13025,Mountain Wood Fern,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1148688000000,Plantae,Tracheobionta, , ,Filicopsida, ,Pteridophyta, , , ,Polypodiales, , , , ,Dryopteridaceae, ,~,observed, , ,cert,ATBI Ferns
0101000020E61000005ABF40E046CA54C08CBDC08110C84140,158992,0101000020110F0000FAACEB1E36A861C126C25531442D5041,158671,>1m <=5m,ATBI DATABASE,,1446908427000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,304189,3937628,35.562997,-83.160572,Upper Cataloochee Creek,,5160.008789,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446908427000,GRSM,UNR,,6,,,Hemphill Bald Trail,Heintooga Ridge Road,Valid,Dryopteris_campyloptera,Dryopteris  campyloptera,13025,Mountain Wood Fern,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1148688000000,Plantae,Tracheobionta, , ,Filicopsida, ,Pteridophyta, , , ,Polypodiales, , , , ,Dryopteridaceae, ,~,observed, , ,cert,ATBI Ferns
0101000020E61000005F489B6B37CA54C0D1541FAD09C84140,158993,0101000020110F0000B1248AFE28A861C13764B30F3D2D5041,158672,>1m <=5m,ATBI DATABASE,,1446908427000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,304274,3937603,35.562788,-83.159629,Upper Cataloochee Creek,,5112.811523,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446908427000,GRSM,UNR,,8,,,Hemphill Bald Trail,Heintooga Ridge Road,Valid,Dryopteris_campyloptera,Dryopteris  campyloptera,13025,Mountain Wood Fern,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1148688000000,Plantae,Tracheobionta, , ,Filicopsida, ,Pteridophyta, , , ,Polypodiales, , , , ,Dryopteridaceae, ,~,observed, , ,cert,ATBI Ferns
0101000020E61000009ED2AA5E2ACB54C065FB80AF84CE4140,158990,0101000020110F00005C00D354F7A861C1697F4FAC01345041,158670,>1m <=5m,ATBI DATABASE,,1446908426000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,303054,3943249,35.613417,-83.174457,Upper Cataloochee Creek,Falling Rock Creek,5617.931152,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446908426000,GRSM,UNR,,7,,,Spruce Mountain Trail,Balsam Mountain Road (closed Winter),Valid,Dryopteris_campyloptera,Dryopteris  campyloptera,13025,Mountain Wood Fern,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1027468800000,Plantae,Tracheobionta, , ,Filicopsida, ,Pteridophyta, , , ,Polypodiales, , , , ,Dryopteridaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000217835A64BCB54C0EDC99A9D34CE4140,158989,0101000020110F00000B3C799813A961C15F549206AE335041,158669,>1m <=5m,ATBI DATABASE,,1446908426000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,302864,3942982,35.610974,-83.176488,Upper Cataloochee Creek,Falling Rock Creek,5576.762207,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446908426000,GRSM,UNR,,7,,,Spruce Mountain Trail,Balsam Mountain Road (closed Winter),Valid,Dryopteris_campyloptera,Dryopteris  campyloptera,13025,Mountain Wood Fern,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1027468800000,Plantae,Tracheobionta, , ,Filicopsida, ,Pteridophyta, , , ,Polypodiales, , , , ,Dryopteridaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000E255F744EEDF54C0DAAD6079A2C44140,158899,0101000020110F0000C09165209ABA61C1F8AE7BA5AF295041,158582,>1m <=5m,ATBI DATABASE,,1446908374000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273444,3935381,35.536201,-83.498914,Noland Creek,,5331.303223,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446908374000,GRSM,UNR,,7,,,Forney Ridge Trail,Clingmans Dome Road Parking #3,Valid,Dryopteris_campyloptera,Dryopteris  campyloptera,13025,Mountain Wood Fern,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1056240000000,Plantae,Tracheobionta, , ,Filicopsida, ,Pteridophyta, , , ,Polypodiales, , , , ,Dryopteridaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E610000088A0B9CDE2DF54C0B5C1C0B5CBC44140,158901,0101000020110F000051E07E6390BA61C167B724AFDA295041,158584,>1m <=5m,ATBI DATABASE,,1446908375000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273511,3935519,35.53746,-83.498214,Forney Creek,Keeyuga Creek,5393.729004,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446908375000,GRSM,UNR,,6,,,Forney Ridge Trail,Clingmans Dome Road Parking #3,Valid,Dryopteris_campyloptera,Dryopteris  campyloptera,13025,Mountain Wood Fern,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1027555200000,Plantae,Tracheobionta, , ,Filicopsida, ,Pteridophyta, , , ,Polypodiales, , , , ,Dryopteridaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000007BF69EC298DF54C0075964B565C54140,158903,0101000020110F0000F470EB8051BA61C12D4D046B7B2A5041,158586,>1m <=5m,ATBI DATABASE,,1446908376000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273934,3936030,35.54216,-83.493695,Forney Creek,Keeyuga Creek,5873.155762,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446908376000,GRSM,UNR,,6,,,Forney Ridge Trail,Clingmans Dome Road Parking #3,Valid,Dryopteris_campyloptera,Dryopteris  campyloptera,13025,Mountain Wood Fern,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1026518400000,Plantae,Tracheobionta, , ,Filicopsida, ,Pteridophyta, , , ,Polypodiales, , , , ,Dryopteridaceae, ,~,observed, , ,cert,ATBI Ferns
0101000020E610000029903C848FDF54C0DE8CF28A6FC54140,158905,0101000020110F0000331126A749BA61C16C1AC3AE852A5041,158588,>1m <=5m,ATBI DATABASE,,1446908377000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273986,3936062,35.54246,-83.493131,Forney Creek,Bald Branch,5880.595703,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446908377000,GRSM,UNR,,6,,,Forney Ridge Trail,Clingmans Dome Road Parking #3,Valid,Dryopteris_campyloptera,Dryopteris  campyloptera,13025,Mountain Wood Fern,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1026518400000,Plantae,Tracheobionta, , ,Filicopsida, ,Pteridophyta, , , ,Polypodiales, , , , ,Dryopteridaceae, ,~,observed, , ,cert,ATBI Ferns
0101000020E61000002A039A1786DF54C0C4EF636279C54140,158906,0101000020110F00005FD918A641BA61C1D7C17CF48F2A5041,158589,>1m <=5m,ATBI DATABASE,,1446908377000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,274039,3936094,35.54276,-83.492555,Noland Creek,Bald Branch,5874.854492,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446908377000,GRSM,UNR,,9,,,Forney Ridge Trail,Clingmans Dome Road Parking #3,Valid,Dryopteris_campyloptera,Dryopteris  campyloptera,13025,Mountain Wood Fern,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1026518400000,Plantae,Tracheobionta, , ,Filicopsida, ,Pteridophyta, , , ,Polypodiales, , , , ,Dryopteridaceae, ,~,observed, , ,cert,ATBI Ferns
