the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000DDAEC82966CD54C085CF380FD2DF4140,161112,0101000020110F0000096CA7F4DCAA61C1933D72F018465041,160784,>1m <=5m,ATBI DATABASE,,1446909603000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,300230,3958315,35.748591,-83.209357,Cosby Creek,,2594.519531,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446909603000,GRSM,UNR,,7,,,Snake Den Ridge Trail,Cosby Campground Road B,Valid,Echiniscus_virginicus,Echiniscus  virginicus,13163,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1155945600000,Animalia, ,Tardigrada, ,Heterotardigrada, , ,Protostomia,Ecdysozoa, ,Echiniscoidea, , , , ,Echiniscidae, ,~,by hand,No, ,cert,ATBI Tardigrades
0101000020E6100000818AD17013CE54C0277587F6ECDE4140,161109,0101000020110F0000FDC7CB1E70AB61C1D7F6383529455041,160782,>1m <=5m,ATBI DATABASE,,1446909603000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299256,3957561,35.7416,-83.219933,Cosby Creek,Inadu Creek,3408.606934,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446909603000,GRSM,UNR,,8,,,Snake Den Ridge Trail,Cosby Campground Road B,Valid,Echiniscus_virginicus,Echiniscus  virginicus,13163,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1053043200000,Animalia, ,Tardigrada, ,Heterotardigrada, , ,Protostomia,Ecdysozoa, ,Echiniscoidea, , , , ,Echiniscidae, ,~,scraping, , ,cert,ATBI Tardigrades
0101000020E610000061985888EACD54C0FE578CB064D34140,161107,0101000020110F00000E9A85604DAB61C182F7A1C419395041,160780,>1m <=5m,ATBI DATABASE,,1446909601000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,299256,3947561,35.651503,-83.217436,Straight Fork Raven Fork,Balsam Corner Creek,3904.60498,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446909601000,GRSM,UNR,,7,,,Balsam Mountain Trail,Beech Gap Trailhead Parking #2,Valid,Echiniscus_virginicus,Echiniscus  virginicus,13163,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1053043200000,Animalia, ,Tardigrada, ,Heterotardigrada, , ,Protostomia,Ecdysozoa, ,Echiniscoidea, , , , ,Echiniscidae, ,~,scraping, , ,cert,ATBI Tardigrades
0101000020E61000003EF9DF3D2CC554C0847C54EC3DCB4140,161129,0101000020110F0000A2D05765E0A361C1388AD28F95305041,160798,>1m <=5m,ATBI DATABASE,,1446909610000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,311476,3940226,35.58782,-83.080821,Upper Cataloochee Creek,McKee Branch,4680.64502,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446909610000,GRSM,UNR,,6,,,McKee Branch Trail,The Purchase Road (closed Winter),Valid,Echiniscus_virginicus,Echiniscus  virginicus,13163,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1038009600000,Animalia, ,Tardigrada, ,Heterotardigrada, , ,Protostomia,Ecdysozoa, ,Echiniscoidea, , , , ,Echiniscidae, ,~,by hand, , ,cert,ATBI Tardigrades
0101000020E6100000594F858930C554C0FC0D86863ACB4140,161119,0101000020110F000066C8450BE4A361C1BF406E0392305041,160791,>1m <=5m,ATBI DATABASE,,1446909607000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,311452,3940215,35.587717,-83.081084,Upper Cataloochee Creek,McKee Branch,4672.024902,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446909607000,GRSM,UNR,,5,,,McKee Branch Trail,The Purchase Road (closed Winter),Valid,Echiniscus_virginicus,Echiniscus  virginicus,13163,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1038009600000,Animalia, ,Tardigrada, ,Heterotardigrada, , ,Protostomia,Ecdysozoa, ,Echiniscoidea, , , , ,Echiniscidae, ,~,by hand, , ,cert,ATBI Tardigrades
0101000020E6100000AD1089542EC554C05B0AD6A537CB4140,161128,0101000020110F0000B42C6E2BE2A361C1145E10028F305041,160797,>1m <=5m,ATBI DATABASE,,1446909610000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,311464,3940205,35.587629,-83.080949,Upper Cataloochee Creek,McKee Branch,4657.446289,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446909610000,GRSM,UNR,,4,,,McKee Branch Trail,The Purchase Road (closed Winter),Valid,Echiniscus_virginicus,Echiniscus  virginicus,13163,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1038009600000,Animalia, ,Tardigrada, ,Heterotardigrada, , ,Protostomia,Ecdysozoa, ,Echiniscoidea, , , , ,Echiniscidae, ,~,scraping, ,day,cert,ATBI Tardigrades
0101000020E6100000734A5CA131C554C09515F2312DCB4140,161116,0101000020110F0000B1CAF0F8E4A361C10CA57A1784305041,160788,>1m <=5m,ATBI DATABASE,,1446909605000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,311445,3940170,35.58731,-83.08115,Upper Cataloochee Creek,McKee Branch,4630.607422,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446909605000,GRSM,UNR,,4,,,McKee Branch Trail,The Purchase Road (closed Winter),Valid,Echiniscus_virginicus,Echiniscus  virginicus,13163,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1038009600000,Animalia, ,Tardigrada, ,Heterotardigrada, , ,Protostomia,Ecdysozoa, ,Echiniscoidea, , , , ,Echiniscidae, ,~,by hand, , ,cert,ATBI Tardigrades
0101000020E61000002FD04B4B40C554C0D6DDDB854ACB4140,161115,0101000020110F000056C8286DF1A361C1B6E472B8A2305041,160787,>1m <=5m,ATBI DATABASE,,1446909605000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,311366,3940271,35.588205,-83.082045,Upper Cataloochee Creek,,4760.139648,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446909605000,GRSM,UNR,,8,,,McKee Branch Trail,The Purchase Road (closed Winter),Valid,Echiniscus_virginicus,Echiniscus  virginicus,13163,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1038009600000,Animalia, ,Tardigrada, ,Heterotardigrada, , ,Protostomia,Ecdysozoa, ,Echiniscoidea, , , , ,Echiniscidae, ,~,scraping, ,day,cert,ATBI Tardigrades
0101000020E61000000D2D99002FC554C02CC5F8AA41CB4140,161124,0101000020110F0000BF3F90BDE2A361C155E0FD7899305041,160794,>1m <=5m,ATBI DATABASE,,1446909608000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,311461,3940239,35.587935,-83.08099,Upper Cataloochee Creek,McKee Branch,4696.990723,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446909608000,GRSM,UNR,,5,,,McKee Branch Trail,The Purchase Road (closed Winter),Valid,Echiniscus_virginicus,Echiniscus  virginicus,13163,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1038009600000,Animalia, ,Tardigrada, ,Heterotardigrada, , ,Protostomia,Ecdysozoa, ,Echiniscoidea, , , , ,Echiniscidae, ,~,scraping, , ,cert,ATBI Tardigrades
0101000020E6100000926E5355EBC354C005B916FD86CB4140,161131,0101000020110F00001C4828D9CFA261C17213A0DEE1305041,160800,>1m <=5m,ATBI DATABASE,,1446909611000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,313256,3940436,35.59005,-83.061235,Lower Johnathans Creek,,4494.515625,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446909611000,GRSM,UNR,,1,,,Science Center Trail,The Purchase Road (closed Winter),Valid,Echiniscus_virginicus,Echiniscus  virginicus,13163,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1000512000000,Animalia, ,Tardigrada, ,Heterotardigrada, , ,Protostomia,Ecdysozoa, ,Echiniscoidea, , , , ,Echiniscidae, ,~,by hand, , ,cert,ATBI Tardigrades
