the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000002ACCD6553CF854C0D3B6DAFDC9BE4140,162202,0101000020110F00009BF271873ECF61C16D4D6A3A96235041,161870,>1m <=5m,ATBI DATABASE,,1446910211000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,238857,3931254,35.490532,-83.878678,Lake Cheoah-Little Tennessee River,Dalton Branch,2282.555908,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446910211000,GRSM,UNR,,1,,,Wolf Ridge Trail,Twenty Mile Trailhead Parking,Valid,Empidonax_virescens,Empidonax  virescens,13547,Acadian Flycatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,864172800000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Tyrannidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E61000007B356BE9A4F754C0D5B7D65BE6BC4140,162223,0101000020110F00000A90CFECBDCE61C1747697CC9D215041,161891,>1m <=5m,ATBI DATABASE,,1446910222000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239648,3929592,35.475773,-83.869436,Lake Cheoah-Little Tennessee River,Moore Springs Branch,1574.895386,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446910222000,GRSM,UNR,,6,,,Wolf Ridge Trail,Twenty Mile Trailhead Parking,Valid,Empidonax_virescens,Empidonax  virescens,13547,Acadian Flycatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,864172800000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Tyrannidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E6100000DFE15A1309F654C0ACC79823BABD4140,162280,0101000020110F00002145062760CD61C117F5B2AC7A225041,161949,>1m <=5m,ATBI DATABASE,,1446910253000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,241950,3930243,35.482236,-83.8443,Lake Cheoah-Little Tennessee River,,2127.276855,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446910253000,GRSM,UNR,,6,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Empidonax_virescens,Empidonax  virescens,13547,Acadian Flycatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,927849600000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Tyrannidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E6100000853E5B1199F754C0B307DEB945BD4140,162229,0101000020110F0000F1E4ADDDB3CE61C111CC8A4201225041,161897,>1m <=5m,ATBI DATABASE,,1446910225000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239723,3929913,35.478684,-83.868713,Lake Cheoah-Little Tennessee River,Moore Springs Branch,1643.756348,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446910225000,GRSM,UNR,,5,,,Wolf Ridge Trail,Twenty Mile Trailhead Parking,Valid,Empidonax_virescens,Empidonax  virescens,13547,Acadian Flycatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,864172800000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Tyrannidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E6100000B6D5517A8BF754C0B62E4B018ABD4140,162234,0101000020110F0000E7A8EE52A8CE61C1B5A0CD7848225041,161902,>1m <=5m,ATBI DATABASE,,1446910227000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239805,3930142,35.480767,-83.867884,Lake Cheoah-Little Tennessee River,Moore Springs Branch,1692.271118,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446910227000,GRSM,UNR,,2,,,Wolf Ridge Trail,Twenty Mile Trailhead Parking,Valid,Empidonax_virescens,Empidonax  virescens,13547,Acadian Flycatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,895622400000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Tyrannidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E61000001C3564719CF754C055D8D6A0C6BD4140,162228,0101000020110F0000C32581BBB6CE61C1A86664B387225041,161896,>1m <=5m,ATBI DATABASE,,1446910225000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239717,3930350,35.482617,-83.868919,Lake Cheoah-Little Tennessee River,Moore Springs Branch,1744.282715,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446910225000,GRSM,UNR,,1,,,Wolf Ridge Trail,Twenty Mile Trailhead Parking,Valid,Empidonax_virescens,Empidonax  virescens,13547,Acadian Flycatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,927849600000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Tyrannidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E6100000E197191AD5F754C00DC8374B71BE4140,162216,0101000020110F00000FA65BDAE6CE61C1BB2D9FB539235041,161884,>1m <=5m,ATBI DATABASE,,1446910218000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239420,3930937,35.487826,-83.872378,Lake Cheoah-Little Tennessee River,Dalton Branch,1927.066895,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446910218000,GRSM,UNR,,7,,,Wolf Ridge Trail,Twenty Mile Trailhead Parking,Valid,Empidonax_virescens,Empidonax  virescens,13547,Acadian Flycatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,895622400000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Tyrannidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E6100000BDA7E42F9CF754C0AB8AE4C31DBE4140,162232,0101000020110F0000CA75E083B6CE61C18BE9DF95E2225041,161900,>1m <=5m,ATBI DATABASE,,1446910226000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239727,3930645,35.485277,-83.868904,Lake Cheoah-Little Tennessee River,Moore Springs Branch,1804.144775,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446910226000,GRSM,UNR,,4,,,Wolf Ridge Trail,Twenty Mile Trailhead Parking,Valid,Empidonax_virescens,Empidonax  virescens,13547,Acadian Flycatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,927849600000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Tyrannidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E6100000F164CDE17DF754C08C04D19533BE4140,162238,0101000020110F00009883EDC69CCE61C1628E2B58F9225041,161906,>1m <=5m,ATBI DATABASE,,1446910230000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239897,3930714,35.485942,-83.867054,Lake Cheoah-Little Tennessee River,Moore Springs Branch,1931.033691,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446910230000,GRSM,UNR,,3,,,Twentymile Loop Trail,Twenty Mile Trailhead Parking,Valid,Empidonax_virescens,Empidonax  virescens,13547,Acadian Flycatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,898560000000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Tyrannidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E6100000CBAD341CFBF754C09739999C80BE4140,162209,0101000020110F0000BED1232207CF61C134EADEAF49235041,161877,>1m <=5m,ATBI DATABASE,,1446910215000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239211,3930995,35.488293,-83.874697,Lake Cheoah-Little Tennessee River,Dalton Branch,2023.478027,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446910215000,GRSM,UNR,,5,,,Wolf Ridge Trail,Twenty Mile Trailhead Parking,Valid,Empidonax_virescens,Empidonax  virescens,13547,Acadian Flycatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,927849600000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Tyrannidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
