the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000D133A2B970F554C07BD89E683DBA4140,164144,0101000020110F0000A6A9D9C2DECC61C107B9AFB9D71E5041,163838,>1m <=5m,ATBI DATABASE,,1446911320000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,242707,3927196,35.454992,-83.835001,Lake Cheoah-Little Tennessee River,,1753.150391,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446911320000,GRSM,UNR,,10,,,Fairfax/Old Payne (Palmer) Access,Payne Cemetery Access Road,Valid,Epargyreus_clarus,Epargyreus  clarus,13910,Silverspotted Skipper,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1089072000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Pyrginae,~,by hand,No,day,cert,Northshore Road EIS
0101000020E6100000F9EB5FA316F154C04CD8A11BD3BD4140,164157,0101000020110F000043BD15912CC961C176DD8BB794225041,163850,>1m <=5m,ATBI DATABASE,,1446911326000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,248967,3930128,35.482998,-83.767003,Eagle Creek,,2170.726807,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446911326000,GRSM,UNR,,4,,,Lakeshore Trail,Lakeview Drive West,Valid,Epargyreus_clarus,Epargyreus  clarus,13910,Silverspotted Skipper,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1086134400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Pyrginae,~,by hand,No,day,cert,Northshore Road EIS
0101000020E61000004EC71FE98CF154C0B55A317AF3BD4140,164156,0101000020110F00004DAEFC0391C961C1A5C5767AB6225041,163849,>1m <=5m,ATBI DATABASE,,1446911326000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,248315,3930256,35.483986,-83.774221,Eagle Creek,Eagle Creek,1708.567383,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446911326000,GRSM,UNR,,5,,,Lakeshore Trail,Lakeview Drive West,Valid,Epargyreus_clarus,Epargyreus  clarus,13910,Silverspotted Skipper,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1244592000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Pyrginae,~,aerial net,No,day,cert,Tremont Expeditions
0101000020E61000000193E451DBF154C0E287014D2FBD4140,164154,0101000020110F000066BBCB9BD3C961C158EC2EDFE9215041,163848,>1m <=5m,ATBI DATABASE,,1446911325000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,247862,3929604,35.477999,-83.779007,Eagle Creek,Eagle Creek,1715.650391,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446911325000,GRSM,UNR,,2,,,Lake Shore Trail low water access,Lakeview Drive West,Valid,Epargyreus_clarus,Epargyreus  clarus,13910,Silverspotted Skipper,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1087257600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Pyrginae,~,by hand,No,day,cert,Northshore Road EIS
0101000020E6100000497090943DF054C053F42AAC40BB4140,164158,0101000020110F000061E12C3874C861C1DE0E5D0EE61F5041,163851,>1m <=5m,ATBI DATABASE,,1446911327000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,250107,3927865,35.462904,-83.753754,Hazel Creek,Cable Branch,1859.948486,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446911327000,GRSM,UNR,,3,,,Lakeshore Trail,Lakeview Drive West,Valid,Epargyreus_clarus,Epargyreus  clarus,13910,Silverspotted Skipper,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1213228800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Pyrginae,~,observed,No,day,cert,ATBI
0101000020E6100000EEFC0DA0C0F254C0356CB62785BB4140,164151,0101000020110F0000E46D8F5B96CA61C1450B65772D205041,163845,>1m <=5m,ATBI DATABASE,,1446911324000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,246551,3928197,35.464994,-83.793003,Eagle Creek,,1780.596191,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446911324000,GRSM,UNR,,5,,,Lakeshore Trail,Lakeview Drive West,Valid,Epargyreus_clarus,Epargyreus  clarus,13910,Silverspotted Skipper,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1089331200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Pyrginae,~,by hand,No,day,cert,Northshore Road EIS
0101000020E61000002F9706DEC6F354C0E4D3EC4C64BB4140,164148,0101000020110F0000FD88761475CB61C15909FB340B205041,163842,>1m <=5m,ATBI DATABASE,,1446911322000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,245095,3928127,35.463992,-83.809009,Lower Fontana Lake-Little Tennessee River,,2048.250488,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446911322000,GRSM,UNR,,1,,,Lakeshore Trail,Lakeview Drive West,Valid,Epargyreus_clarus,Epargyreus  clarus,13910,Silverspotted Skipper,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1086048000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Pyrginae,~,by hand,No,day,cert,Northshore Road EIS
0101000020E6100000299081EBF3ED54C083605D2E85BB4140,164167,0101000020110F0000910F61D182C661C1EDD2547E2D205041,163859,>1m <=5m,ATBI DATABASE,,1446911331000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253358,3928007,35.464995,-83.718009,Hazel Creek,Laurel Branch,1839.779175,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446911331000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive West,Valid,Epargyreus_clarus,Epargyreus  clarus,13910,Silverspotted Skipper,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1086307200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Pyrginae,~,by hand,No,day,cert,Northshore Road EIS
0101000020E61000003106FACAF7EF54C0C48BA42EB0BA4140,164159,0101000020110F0000A21AEDF238C861C12E4011654F1F5041,163852,>1m <=5m,ATBI DATABASE,,1446911327000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,250480,3927365,35.458495,-83.749495,Hazel Creek,Cable Branch,1707.578613,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446911327000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive West,Valid,Epargyreus_clarus,Epargyreus  clarus,13910,Silverspotted Skipper,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1213228800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Pyrginae,~,aerial net,No,day,cert,ATBI
0101000020E61000000D73014987EE54C00A95C9BA49BC4140,164162,0101000020110F0000CE63A8F9FFC661C18EF17474FA205041,163855,>1m <=5m,ATBI DATABASE,,1446911329000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252560,3928695,35.470993,-83.727003,Hazel Creek,Hazel Creek,1695.825562,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446911329000,GRSM,UNR,,4,,,Hazel Creek Trail,Lakeview Drive West,Valid,Epargyreus_clarus,Epargyreus  clarus,13910,Silverspotted Skipper,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1087344000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Pyrginae,~,by hand,No,day,cert,Northshore Road EIS
0101000020E6100000C2F446787EEE54C0BBB7215496BC4140,164163,0101000020110F0000A67E047DF8C661C1C40534564A215041,163856,>1m <=5m,ATBI DATABASE,,1446911329000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252616,3928953,35.473331,-83.726465,Hazel Creek,Hazel Creek,1718.541992,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446911329000,GRSM,UNR,,8,,,Hazel Creek Trail,Lakeview Drive West,Valid,Epargyreus_clarus,Epargyreus  clarus,13910,Silverspotted Skipper,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1213142400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Pyrginae,~,observed,No,day,cert,ATBI
