the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000001EA280D6A4DA54C0D6B9A3B850DE4140,166210,0101000020110F0000E1EF20A81CB661C1369AAEB985445041,165915,>1m <=5m,ATBI DATABASE,,1446912489000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,281482,3957452,35.736832,-83.416307,Little Pigeon River Middle,Little Pigeon River,1537.403076,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446912489000,GRSM,UNR,,10,,,Duds Branch Concession Horse Trail,Greenbrier Parking Area 1,Valid,Etheostoma_rufilineatum,Etheostoma  rufilineatum,14976,Redline Darter,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-1020816000000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Perciformes, , , , ,Percidae, ,~,unspecified, ,day,cert,Historic Fishes
0101000020E610000031D092B30FD854C06C9DEC3114DA4140,166212,0101000020110F000075F04227EBB361C178C0313517405041,165917,>1m <=5m,ATBI DATABASE,,1446912490000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,285043,3953691,35.703734,-83.375954,Little Pigeon River Upper,,1803.351807,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446912490000,GRSM,UNR,,6,,,Old Settlers Trail,Ramsey Prong Road,Valid,Etheostoma_rufilineatum,Etheostoma  rufilineatum,14976,Redline Darter,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,464227200000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Perciformes, , , , ,Percidae, ,~,unspecified, ,day,cert,Historic Fishes
0101000020E610000062F98B8A2CDE54C0CDE1D3D627DA4140,166209,0101000020110F0000A46B182C1CB961C12B2FD5C02B405041,165914,>1m <=5m,ATBI DATABASE,,1446912489000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,276402,3953971,35.704334,-83.471465,Roaring Fork,,2094.826172,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446912489000,GRSM,UNR,,6,,,Baskins Creek Trail,Roaring Fork Motor Nature Trail,Valid,Etheostoma_rufilineatum,Etheostoma  rufilineatum,14976,Redline Darter,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-956793600000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Perciformes, , , , ,Percidae, ,~,unspecified, ,day,cert,Historic Fishes
0101000020E6100000C2AE1EDE70ED54C04CEB41D1D4D44140,166203,0101000020110F000093F6DF8313C661C1EB07578F9A3A5041,165908,>1m <=5m,ATBI DATABASE,,1446912485000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,254688,3949926,35.662738,-83.71001,Little River-Rudd Branch,Little River,1118.230957,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446912485000,GRSM,UNR,,10,,,Chestnut Top Trail,Townsend Entrance Road,Valid,Etheostoma_rufilineatum,Etheostoma  rufilineatum,14976,Redline Darter,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,1283990400000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Perciformes, , , , ,Percidae, ,~,electrofishing,No, ,cert,Fish Parasites
0101000020E610000091D32B8687ED54C05345B9800CD54140,166202,0101000020110F00009C3BDCC126C661C1B4D150C5D43A5041,165907,>1m <=5m,ATBI DATABASE,,1446912485000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,254568,3950118,35.664437,-83.711393,Little River-Rudd Branch,Little River,1112.991211,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446912485000,GRSM,UNR,,8,,,Chestnut Top Trail,Townsend Entrance Road,Valid,Etheostoma_rufilineatum,Etheostoma  rufilineatum,14976,Redline Darter,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,1316044800000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Perciformes, , , , ,Percidae, ,~,seine,No,day,cert,Researcher Reports
0101000020E6100000B52EAD9AC8ED54C0D4B77AC548D54140,166198,0101000020110F00009EF6A1075EC661C10B2226C6133B5041,165903,>1m <=5m,ATBI DATABASE,,1446912482000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,254214,3950332,35.666276,-83.715365,Little River-Rudd Branch,Rush Branch,1369.768066,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446912482000,GRSM,UNR,,3,,,Chestnut Top Trail,Townsend Entrance Road,Valid,Etheostoma_rufilineatum,Etheostoma  rufilineatum,14976,Redline Darter,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,313804800000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Perciformes, , , , ,Percidae, ,~,unspecified, ,day,cert,Historic Fishes
0101000020E6100000B28D7F6C40EC54C02BE21168B2D54140,166206,0101000020110F000099A76DF310C561C19D89B034823B5041,165911,>1m <=5m,ATBI DATABASE,,1446912487000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,256391,3950630,35.6695,-83.691428,Little River-Goshen Prong,,1482.676025,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446912487000,GRSM,UNR,,10,,,Roundtop Trail,Little River Gorge Road,Valid,Etheostoma_rufilineatum,Etheostoma  rufilineatum,14976,Redline Darter,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,1060732800000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Perciformes, , , , ,Percidae, ,~,day snorkel visual survey,No, ,cert,CFI Fish Surveys
0101000020E610000049A7186176EC54C0EBEBA0E25DD54140,166205,0101000020110F000025E278C63EC561C18EDAA4D8293B5041,165910,>1m <=5m,ATBI DATABASE,,1446912486000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,256085,3950352,35.666921,-83.694721,Little River-Goshen Prong,Little River,1333.258545,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446912486000,GRSM,UNR,,7,,,Roundtop Trail,Little River Gorge Road,Valid,Etheostoma_rufilineatum,Etheostoma  rufilineatum,14976,Redline Darter,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,1063152000000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Perciformes, , , , ,Percidae, ,~,day snorkel visual survey,No, ,cert,CFI Fish Surveys
0101000020E610000073B7C025EDEC54C0F5DCD4DD88D34140,166204,0101000020110F00009E1128A5A3C561C1EF6C88943F395041,165909,>1m <=5m,ATBI DATABASE,,1446912486000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,255385,3948782,35.652607,-83.70197,Little River-Crooked Creek,Middle Prong Little River,1384.383789,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446912486000,GRSM,UNR,,9,,,Roundtop Trail,Tremont Road,Valid,Etheostoma_rufilineatum,Etheostoma  rufilineatum,14976,Redline Darter,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,313977600000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Perciformes, , , , ,Percidae, ,~,unspecified, ,day,cert,Historic Fishes
0101000020E6100000DE7C5D65D1ED54C0AC7E0489E3D24140,166197,0101000020110F000037AE247F65C661C1686FB2C792385041,165902,>1m <=5m,ATBI DATABASE,,1446912482000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,254108,3948257,35.647562,-83.715901,Little River-Crooked Creek,West Prong Little River,1585.686157,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446912482000,GRSM,UNR,,4,,,Chestnut Top Trail,Laurel Creek Road,Valid,Etheostoma_rufilineatum,Etheostoma  rufilineatum,14976,Redline Darter,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,583113600000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Perciformes, , , , ,Percidae, ,~,unspecified, ,day,cert,Historic Fishes
