the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000009537073587F654C0ACEDF7E250BC4140,167517,0101000020110F00006D71A746CBCD61C1ED8622EB01215041,167220,>1m <=5m,ATBI DATABASE,,1446913233000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,241216,3929040,35.471212,-83.851998,Lake Cheoah-Little Tennessee River,,2136.718262,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446913233000,GRSM,UNR,,7,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Eunotia_exigua,Eunotia  exigua,15580,Meager Enotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1120003200000,Stramenopila, ,Heterokontophyta, ,Bacillariophyceae, , , , , ,Achnanthales, , , , ,Bacillariophyceae, ,~,bryophyte squeeze, , ,cert,ATBI Algae & Diatoms
0101000020E61000003D9CEE3F89EB54C0DB575C2BC0BF4140,167523,0101000020110F0000C8A08E6175C461C1B6B2F10697245041,167226,>1m <=5m,ATBI DATABASE,,1446913236000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,256885,3931580,35.498045,-83.680248,Hazel Creek,Hazel Creek,2336.083008,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446913236000,GRSM,UNR,,7,,,Hazel Creek Trail,Lakeview Drive West,Valid,Eunotia_exigua,Eunotia  exigua,15580,Meager Enotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1119830400000,Stramenopila, ,Heterokontophyta, ,Bacillariophyceae, , , , , ,Achnanthales, , , , ,Bacillariophyceae, ,~,bryophyte squeeze, , ,cert,ATBI Algae & Diatoms
0101000020E610000066AB0F47BED154C08336D651D7E04140,167555,0101000020110F000024CC89798DAE61C1100B665A2A475041,167258,>1m <=5m,ATBI DATABASE,,1446913256000,DERV,JONES COVE,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,294112,3959340,35.756564,-83.277235,Cosby Creek,Indian Camp Creek,2232.551514,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446913256000,GRSM,UNR,,4,,,Old Settlers Trail,Cosby Entrance Road,Valid,Eunotia_exigua,Eunotia  exigua,15580,Meager Enotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1123632000000,Stramenopila, ,Heterokontophyta, ,Bacillariophyceae, , , , , ,Achnanthales, , , , ,Bacillariophyceae, ,~,bryophyte squeeze, , ,cert,ATBI Algae & Diatoms
0101000020E610000092B2DDEE79CD54C0295DDE4235E14140,167564,0101000020110F0000795808BFEDAA61C18302E4AB8C475041,167267,>1m <=5m,ATBI DATABASE,,1446913261000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,300148,3959520,35.759431,-83.210563,Cosby Creek,Rock Creek,2137.029297,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446913261000,GRSM,UNR,,6,,,Gabes Mountain Trail,Cosby Entrance Road,Valid,Eunotia_exigua,Eunotia  exigua,15580,Meager Enotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1119484800000,Stramenopila, ,Heterokontophyta, ,Bacillariophyceae, , , , , ,Achnanthales, , , , ,Bacillariophyceae, ,~,bryophyte squeeze, , ,cert,ATBI Algae & Diatoms
0101000020E6100000F9503FFBF3CD54C0BCEF9E570AE44140,167561,0101000020110F0000003EE56655AB61C1A2865CA7834A5041,167264,>1m <=5m,ATBI DATABASE,,1446913260000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299530,3961990,35.781559,-83.218012,Cosby Creek,Fletcher Spring Branch,1812.632812,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446913260000,GRSM,UNR,,5,,,Tritt Cemetery Access Trail,Cosby Entrance Road,Valid,Eunotia_exigua,Eunotia  exigua,15580,Meager Enotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1119484800000,Stramenopila, ,Heterokontophyta, ,Bacillariophyceae, , , , , ,Achnanthales, , , , ,Bacillariophyceae, ,~,bryophyte squeeze, , ,cert,ATBI Algae & Diatoms
0101000020E6100000F0D305100CC754C003523932BEDF4140,167568,0101000020110F0000FE646CE877A561C132232F2704465041,167271,>1m <=5m,ATBI DATABASE,,1446913263000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,309204,3958050,35.747985,-83.110107,Big Creek,,2085.789062,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446913263000,GRSM,UNR,,9,,,Baxter Creek Trail,Big Creek Campground Loop Road,Valid,Eunotia_exigua,Eunotia  exigua,15580,Meager Enotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1120780800000,Stramenopila, ,Heterokontophyta, ,Bacillariophyceae, , , , , ,Achnanthales, , , , ,Bacillariophyceae, ,~,bryophyte squeeze, , ,cert,ATBI Algae & Diatoms
0101000020E6100000A36BDD08D6CD54C055CC12BB3BDF4140,167562,0101000020110F000031A1D5F73BAB61C1D89337A17B455041,167265,>1m <=5m,ATBI DATABASE,,1446913260000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299601,3957820,35.744003,-83.216185,Cosby Creek,Rock Creek,2867.583496,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446913260000,GRSM,UNR,,1,,,Snake Den Ridge Trail,Cosby Campground Road B,Valid,Eunotia_exigua,Eunotia  exigua,15580,Meager Enotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1118966400000,Stramenopila, ,Heterokontophyta, ,Bacillariophyceae, , , , , ,Achnanthales, , , , ,Bacillariophyceae, ,~,bryophyte squeeze, , ,cert,ATBI Algae & Diatoms
0101000020E6100000E5E0046CC8CF54C0F6EAF960BADD4140,167560,0101000020110F00001D04A53FE3AC61C1AD23B96CE8435041,167263,>1m <=5m,ATBI DATABASE,,1446913259000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,296820,3956578,35.732243,-83.246604,Cosby Creek,,5378.673828,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446913259000,GRSM,UNR,,6,,,Maddron Bald Trail,Cosby Campground Road B,Valid,Eunotia_exigua,Eunotia  exigua,15580,Meager Enotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1123632000000,Stramenopila, ,Heterokontophyta, ,Bacillariophyceae, , , , , ,Achnanthales, , , , ,Bacillariophyceae, ,~,bryophyte squeeze, , ,cert,ATBI Algae & Diatoms
0101000020E6100000028FAF0A42C854C04D4F7813C0D14140,167567,0101000020110F000034185D2C7FA661C114CA492E62375041,167270,>1m <=5m,ATBI DATABASE,,1446913263000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,307230,3945960,35.638667,-83.129027,Upper Cataloochee Creek,Palmer Creek,2988.080566,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446913263000,GRSM,UNR,,7,,,Palmer Creek Trail,Cataloochee Horse Camp,Valid,Eunotia_exigua,Eunotia  exigua,15580,Meager Enotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1119657600000,Stramenopila, ,Heterokontophyta, ,Bacillariophyceae, , , , , ,Achnanthales, , , , ,Bacillariophyceae, ,~,bryophyte squeeze, , ,cert,ATBI Algae & Diatoms
0101000020E6100000A6D1E4624CC954C05931108F3AD14140,167566,0101000020110F00003CA43B6161A761C13C4BCCA7D6365041,167269,>1m <=5m,ATBI DATABASE,,1446913262000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,305748,3945540,35.634593,-83.145283,Upper Cataloochee Creek,Palmer Creek,3538.689941,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446913262000,GRSM,UNR,,7,,,Palmer Creek Trail,Balsam Mountain Road (closed Winter),Valid,Eunotia_exigua,Eunotia  exigua,15580,Meager Enotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1119657600000,Stramenopila, ,Heterokontophyta, ,Bacillariophyceae, , , , , ,Achnanthales, , , , ,Bacillariophyceae, ,~,bryophyte squeeze, , ,cert,ATBI Algae & Diatoms
