the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000001FF497D679EC54C08C304A72EEBF4140,167947,0101000020110F0000877A86B641C561C14C17B04DC7245041,167644,>1m <=5m,ATBI DATABASE,,1446913485000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,255557,3931773,35.499457,-83.694932,Hazel Creek,Sugar Fork,2293.095947,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446913485000,GRSM,UNR,,4,,,Jenkins Ridge Trail,Lakeview Drive West,Valid,Eunotia_varioundulata,Eunotia  varioundulata,15636,Undulated Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1119916800000,Stramenopila, ,Heterokontophyta, ,Bacillariophyceae, , , , , ,Achnanthales, , , , ,Bacillariophyceae, ,~,bryophyte squeeze, , ,cert,ATBI Algae & Diatoms
0101000020E610000063EF2DFBC1C654C085487815EEE04140,167980,0101000020110F0000B17593FD38A561C1FE31762D42475041,167676,>1m <=5m,ATBI DATABASE,,1446913505000,DERV,WATERVILLE,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,309635,3959070,35.757259,-83.105586,Big Creek,Leatherwood Branch,1625.174561,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446913505000,GRSM,UNR,,6,,,Chestnut Branch Trail,Big Creek Entrance Road,Valid,Eunotia_varioundulata,Eunotia  varioundulata,15636,Undulated Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1120780800000,Stramenopila, ,Heterokontophyta, ,Bacillariophyceae, , , , , ,Achnanthales, , , , ,Bacillariophyceae, ,~,bryophyte squeeze, , ,cert,ATBI Algae & Diatoms
0101000020E6100000F21C7399B8CC54C0B696892F4EDF4140,167978,0101000020110F0000DE2F428C49AA61C180F4F1F08E455041,167674,>1m <=5m,ATBI DATABASE,,1446913504000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,301178,3957847,35.744567,-83.198763,Cosby Creek,Camel Hump Creek,2762.475586,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446913504000,GRSM,UNR,,4,,,Low Gap Trail,Cosby Campground Road B,Valid,Eunotia_varioundulata,Eunotia  varioundulata,15636,Undulated Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1119484800000,Stramenopila, ,Heterokontophyta, ,Bacillariophyceae, , , , , ,Achnanthales, , , , ,Bacillariophyceae, ,~,bryophyte squeeze, , ,cert,ATBI Algae & Diatoms
0101000020E6100000E5E0046CC8CF54C0F6EAF960BADD4140,167976,0101000020110F00001D04A53FE3AC61C1AD23B96CE8435041,167672,>1m <=5m,ATBI DATABASE,,1446913503000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,296820,3956578,35.732243,-83.246604,Cosby Creek,,5378.673828,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446913503000,GRSM,UNR,,6,,,Maddron Bald Trail,Cosby Campground Road B,Valid,Eunotia_varioundulata,Eunotia  varioundulata,15636,Undulated Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1123632000000,Stramenopila, ,Heterokontophyta, ,Bacillariophyceae, , , , , ,Achnanthales, , , , ,Bacillariophyceae, ,~,bryophyte squeeze, , ,cert,ATBI Algae & Diatoms
0101000020E61000002E59616F4CC754C02F004520AFCF4140,167979,0101000020110F0000D9CF5894AEA561C12CFA667839355041,167675,>1m <=5m,ATBI DATABASE,,1446913505000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,308549,3944140,35.622525,-83.114036,Upper Cataloochee Creek,Rough Fork,3058.412598,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446913505000,GRSM,UNR,,7,,,Doc Caldwell Cemetery Access,Cataloochee Entrance Road,Valid,Eunotia_varioundulata,Eunotia  varioundulata,15636,Undulated Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1119052800000,Stramenopila, ,Heterokontophyta, ,Bacillariophyceae, , , , , ,Achnanthales, , , , ,Bacillariophyceae, ,~,bryophyte squeeze, , ,cert,ATBI Algae & Diatoms
0101000020E61000001A250B3F88CD54C0818A875055CF4140,167977,0101000020110F0000D10C05E7F9AA61C1AC2FB5A2DB345041,167673,>1m <=5m,ATBI DATABASE,,1446913504000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,299720,3944030,35.619784,-83.211437,Straight Fork Raven Fork,Straight Fork Raven Fork,3326.971924,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446913504000,GRSM,UNR,,6,,,Beech Gap Trail,Balsam Mountain Road (closed Winter),Valid,Eunotia_varioundulata,Eunotia  varioundulata,15636,Undulated Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1121731200000,Stramenopila, ,Heterokontophyta, ,Bacillariophyceae, , , , , ,Achnanthales, , , , ,Bacillariophyceae, ,~,bryophyte squeeze, , ,cert,ATBI Algae & Diatoms
0101000020E610000089BFB61697D054C03BBC3607C7CD4140,167975,0101000020110F0000A72E51C592AD61C1AB8EC78B3B335041,167671,>1m <=5m,ATBI DATABASE,,1446913502000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,295361,3942780,35.607629,-83.259218,Upper Raven Fork,Raven Fork,3490.68457,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446913502000,GRSM,UNR,,1,,,Enloe Creek Trail,Straight Fork Road,Valid,Eunotia_varioundulata,Eunotia  varioundulata,15636,Undulated Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1121731200000,Stramenopila, ,Heterokontophyta, ,Bacillariophyceae, , , , , ,Achnanthales, , , , ,Bacillariophyceae, ,~,bryophyte squeeze, , ,cert,ATBI Algae & Diatoms
0101000020E610000070ECB13E4FD754C05226E925FCCB4140,167970,0101000020110F00008C0030B347B361C1B31A8C3B5C315041,167666,>1m <=5m,ATBI DATABASE,,1446913499000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,285812,3941450,35.593626,-83.364208,Upper Oconaluftee River,Kephart Prong,3020.436279,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446913499000,GRSM,UNR,,9,,,Kephart Prong Trail,Newfound Gap Road South,Valid,Eunotia_varioundulata,Eunotia  varioundulata,15636,Undulated Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1120608000000,Stramenopila, ,Heterokontophyta, ,Bacillariophyceae, , , , , ,Achnanthales, , , , ,Bacillariophyceae, ,~,bryophyte squeeze, , ,cert,ATBI Algae & Diatoms
0101000020E6100000B9B2DC16E8D354C0B5F00505DCC74140,167972,0101000020110F00004141C5D363B061C15CF504650D2D5041,167668,>1m <=5m,ATBI DATABASE,,1446913501000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,290546,3937760,35.561395,-83.311037,Bradley Fork,Bradley Fork,2280.655762,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446913501000,GRSM,UNR,,2,,,Smokemont Stables Trail to Towstring Horse Trail,Smokemont Campground Road Da,Valid,Eunotia_varioundulata,Eunotia  varioundulata,15636,Undulated Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1121644800000,Stramenopila, ,Heterokontophyta, ,Bacillariophyceae, , , , , ,Achnanthales, , , , ,Bacillariophyceae, ,~,bryophyte squeeze, , ,cert,ATBI Algae & Diatoms
0101000020E6100000A34FF575CADE54C0995DA156EBC04140,167961,0101000020110F00003DD11B4BA2B961C1027FCC22CF255041,167657,>1m <=5m,ATBI DATABASE,,1446913494000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,274978,3932120,35.507175,-83.481103,Noland Creek,Noland Creek,3138.178711,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446913494000,GRSM,UNR,,6,,,Noland Creek Trail,Lakeview Drive East,Valid,Eunotia_varioundulata,Eunotia  varioundulata,15636,Undulated Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1120003200000,Stramenopila, ,Heterokontophyta, ,Bacillariophyceae, , , , , ,Achnanthales, , , , ,Bacillariophyceae, ,~,bryophyte squeeze, , ,cert,ATBI Algae & Diatoms
0101000020E6100000E5EC9DD196DA54C0D306A9D9D8CC4140,167967,0101000020110F00005C4616C010B661C1309E79C042325041,167663,>1m <=5m,ATBI DATABASE,,1446913497000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,281187,3942310,35.600361,-83.415451,Upper Oconaluftee River,,4181.410156,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446913497000,GRSM,UNR,,7,,,Beech Flats Quiet Walkway,Newfound Gap Road South,Valid,Eunotia_varioundulata,Eunotia  varioundulata,15636,Undulated Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1121817600000,Stramenopila, ,Heterokontophyta, ,Bacillariophyceae, , , , , ,Achnanthales, , , , ,Bacillariophyceae, ,~,bryophyte squeeze, , ,cert,ATBI Algae & Diatoms
0101000020E6100000E9F25D7FAFDA54C0BDF0D0A5AFCF4140,167966,0101000020110F0000F30FC1B525B661C13D0AEF033A355041,167662,>1m <=5m,ATBI DATABASE,,1446913497000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,281111,3944774,35.622541,-83.416957,West Prong Little Pigeon River Upper,,4837.994141,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446913497000,GRSM,UNR,,10,,,Appalachian Trail,Newfound Gap Road North,Valid,Eunotia_varioundulata,Eunotia  varioundulata,15636,Undulated Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1118966400000,Stramenopila, ,Heterokontophyta, ,Bacillariophyceae, , , , , ,Achnanthales, , , , ,Bacillariophyceae, ,~,bryophyte squeeze, , ,cert,ATBI Algae & Diatoms
0101000020E61000007DB4D3CAD5DC54C0CCC34967CECD4140,167964,0101000020110F00005A9B5313F9B761C1B9451A4043335041,167660,>1m <=5m,ATBI DATABASE,,1446913496000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,278028,3943220,35.607855,-83.450545,West Prong Little Pigeon River Upper,Road Prong,5334.875977,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446913496000,GRSM,UNR,,4,,,Appalachian Trail,Clingmans Dome Access Road,Valid,Eunotia_varioundulata,Eunotia  varioundulata,15636,Undulated Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1121385600000,Stramenopila, ,Heterokontophyta, ,Bacillariophyceae, , , , , ,Achnanthales, , , , ,Bacillariophyceae, ,~,bryophyte squeeze, , ,cert,ATBI Algae & Diatoms
0101000020E6100000CDEF764827DE54C0934472E32AD14140,167963,0101000020110F00005D0CDEB417B961C17127C847C6365041,167659,>1m <=5m,ATBI DATABASE,,1446913495000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,276235,3946180,35.634114,-83.471144,West Prong Little Pigeon River Upper,Road Prong,3543.629395,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446913495000,GRSM,UNR,,6,,,Chimney Tops Trail,Chimney Tops Trailhead Parking,Valid,Eunotia_varioundulata,Eunotia  varioundulata,15636,Undulated Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1121385600000,Stramenopila, ,Heterokontophyta, ,Bacillariophyceae, , , , , ,Achnanthales, , , , ,Bacillariophyceae, ,~,bryophyte squeeze, , ,cert,ATBI Algae & Diatoms
0101000020E6100000527C77895CDE54C0F302126BB6D44140,167962,0101000020110F0000B26061EF44B961C1E9EE59C87A3A5041,167658,>1m <=5m,ATBI DATABASE,,1446913494000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,276018,3949260,35.66181,-83.474394,Le Conte Creek,,3746.75415,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446913494000,GRSM,UNR,,4,,,Rainbow Falls Trail,Roaring Fork Motor Nature Trail,Valid,Eunotia_varioundulata,Eunotia  varioundulata,15636,Undulated Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1120953600000,Stramenopila, ,Heterokontophyta, ,Bacillariophyceae, , , , , ,Achnanthales, , , , ,Bacillariophyceae, ,~,bryophyte squeeze, , ,cert,ATBI Algae & Diatoms
0101000020E610000086D3F1B4D6DC54C02A15D3D3E7D54140,167965,0101000020110F0000C2AC29DAF9B761C1A923DE0DBA3B5041,167661,>1m <=5m,ATBI DATABASE,,1446913496000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,278198,3950240,35.67113,-83.450601,Roaring Fork,,4252.991699,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446913496000,GRSM,UNR,,7,,,Trillium Gap Trail,Roaring Fork Motor Nature Trail,Valid,Eunotia_varioundulata,Eunotia  varioundulata,15636,Undulated Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1121472000000,Stramenopila, ,Heterokontophyta, ,Bacillariophyceae, , , , , ,Achnanthales, , , , ,Bacillariophyceae, ,~,bryophyte squeeze, , ,cert,ATBI Algae & Diatoms
0101000020E6100000D158F68261D954C041E3871F63D54140,167968,0101000020110F000051CB3B0E0AB561C19C146B522F3B5041,167664,>1m <=5m,ATBI DATABASE,,1446913498000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,283078,3949670,35.667081,-83.396573,Porters Creek,Shutts Prong,2894.244873,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446913498000,GRSM,UNR,,4,,,Porters Creek Trail,Porters Creek Trailhead Parking,Valid,Eunotia_varioundulata,Eunotia  varioundulata,15636,Undulated Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1118620800000,Stramenopila, ,Heterokontophyta, ,Bacillariophyceae, , , , , ,Achnanthales, , , , ,Bacillariophyceae, ,~,bryophyte squeeze, , ,cert,ATBI Algae & Diatoms
0101000020E610000023F8C8AE60D554C044DC75A6B8D94140,167971,0101000020110F0000FCBD0CABA3B161C10AC8FD76B73F5041,167667,>1m <=5m,ATBI DATABASE,,1446913500000,DERV,MOUNT GUYOT,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,288830,3953290,35.700941,-83.334022,Little Pigeon River Upper,Middle Prong Little Pigeon River,2808.441406,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446913500000,GRSM,UNR,,2,,,Ramsey Cascades Trail,Ramsey Cascades Trailhead Parking,Valid,Eunotia_varioundulata,Eunotia  varioundulata,15636,Undulated Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1120780800000,Stramenopila, ,Heterokontophyta, ,Bacillariophyceae, , , , , ,Achnanthales, , , , ,Bacillariophyceae, ,~,bryophyte squeeze, , ,cert,ATBI Algae & Diatoms
0101000020E6100000D92D62D509D154C0CCAF64A300DD4140,167974,0101000020110F000097B83B39F4AD61C1C060A41926435041,167670,>1m <=5m,ATBI DATABASE,,1446913502000,DERV,MOUNT GUYOT,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,295031,3955990,35.726575,-83.266221,Cosby Creek,Copperhead Branch,4382.619141,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446913502000,GRSM,UNR,,4,,,Maddron Bald Trail,Cosby Campground Road B,Valid,Eunotia_varioundulata,Eunotia  varioundulata,15636,Undulated Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1123632000000,Stramenopila, ,Heterokontophyta, ,Bacillariophyceae, , , , , ,Achnanthales, , , , ,Bacillariophyceae, ,~,bryophyte squeeze, , ,cert,ATBI Algae & Diatoms
