the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000C9EFAC5ED7FA54C01263437ED0BC4140,168805,0101000020110F0000DC5CAD0A75D161C19BB1E1FE86215041,168492,>1m <=5m,ATBI DATABASE,,1446913966000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,235112,3929651,35.475106,-83.919391,Chilhowee Lake,Cooper Camp Branch,2025.034302,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446913966000,GRSM,UNR,,9,,,Wolf Ridge Trail,Parson Branch Road (closed Winter),Valid,Euphorbia_corollata,Euphorbia  corollata,15714,Flowering Spurge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Euphorbiales, , , , ,Euphorbiaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000562B2FD378FB54C0847D10096CBE4140,168800,0101000020110F0000E2CC632AFED161C187F4803934235041,168487,>1m <=5m,ATBI DATABASE,,1446913964000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,234259,3931071,35.487665,-83.929245,Chilhowee Lake,,2079.214355,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446913964000,GRSM,UNR,,10,,,Wolf Ridge Trail,Parson Branch Road (closed Winter),Valid,Euphorbia_corollata,Euphorbia  corollata,15714,Flowering Spurge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Euphorbiales, , , , ,Euphorbiaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000FAE3D7BE89F854C0FA0A35B780BB4140,168814,0101000020110F0000C676084680CF61C18DD949D628205041,168499,>1m <=5m,ATBI DATABASE,,1446913970000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,238345,3928418,35.464859,-83.883403,Lake Cheoah-Little Tennessee River,Little Tennessee River,1426.533081,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446913970000,GRSM,UNR,,7,,,Twentymile Trail,Twenty Mile Ranger Station Road,Valid,Euphorbia_corollata,Euphorbia  corollata,15714,Flowering Spurge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Euphorbiales, , , , ,Euphorbiaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000C1602FFB72F954C06EC270C7BEBB4140,168808,0101000020110F000082B2585C46D061C1CD45238E69205041,168494,>1m <=5m,ATBI DATABASE,,1446913967000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,237059,3928666,35.466753,-83.897639,Lake Cheoah-Little Tennessee River,,1712.54126,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446913967000,GRSM,UNR,,10,,,Twentymile Trail,Twenty Mile Ranger Station Road,Valid,Euphorbia_corollata,Euphorbia  corollata,15714,Flowering Spurge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Euphorbiales, , , , ,Euphorbiaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E61000002967EB1D24F954C0E7EF2192B5BB4140,168812,0101000020110F000084CF986103D061C16CCBF8F35F205041,168497,>1m <=5m,ATBI DATABASE,,1446913969000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,237495,3928622,35.466472,-83.892825,Lake Cheoah-Little Tennessee River,,1814.850342,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446913969000,GRSM,UNR,,10,,,Twentymile Trail,Twenty Mile Ranger Station Road,Valid,Euphorbia_corollata,Euphorbia  corollata,15714,Flowering Spurge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Euphorbiales, , , , ,Euphorbiaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E61000003111CDA124F954C0E7582907AABB4140,168810,0101000020110F0000459A9AD103D061C13D6F95EA53205041,168496,>1m <=5m,ATBI DATABASE,,1446913968000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,237491,3928583,35.46612,-83.892857,Lake Cheoah-Little Tennessee River,,1787.291504,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446913968000,GRSM,UNR,,7,,,Twentymile Trail,Twenty Mile Ranger Station Road,Valid,Euphorbia_corollata,Euphorbia  corollata,15714,Flowering Spurge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Euphorbiales, , , , ,Euphorbiaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000A1A4A23F61F954C08B407A6CC6BB4140,168809,0101000020110F000075CBE74C37D061C11FEAE98671205041,168495,>1m <=5m,ATBI DATABASE,,1446913968000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,237158,3928689,35.466986,-83.896556,Lake Cheoah-Little Tennessee River,,1793.683472,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446913968000,GRSM,UNR,,7,,,Twentymile Trail,Twenty Mile Ranger Station Road,Valid,Euphorbia_corollata,Euphorbia  corollata,15714,Flowering Spurge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Euphorbiales, , , , ,Euphorbiaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E61000004DDAEF4401F554C0D583C1B637BA4140,168823,0101000020110F00000DA1051A80CC61C157FFAAC9D11E5041,168508,>1m <=5m,ATBI DATABASE,,1446913974000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,243324,3927159,35.454818,-83.828198,Lake Cheoah-Little Tennessee River,,1883.028931,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446913974000,GRSM,UNR,,8,,,Fairfax/Old Payne (Palmer) Access,Payne Cemetery Access Road,Valid,Euphorbia_corollata,Euphorbia  corollata,15714,Flowering Spurge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Euphorbiales, , , , ,Euphorbiaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E610000017271C4C73F654C0D79316C14EBA4140,168820,0101000020110F0000F9FED65DBACD61C134B17CCFE91E5041,168505,>1m <=5m,ATBI DATABASE,,1446913973000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,241276,3927296,35.455522,-83.850783,Lake Cheoah-Little Tennessee River,Fox Branch,1747.835327,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446913973000,GRSM,UNR,,8,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Euphorbia_corollata,Euphorbia  corollata,15714,Flowering Spurge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Euphorbiales, , , , ,Euphorbiaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000DDE42A8854F654C09BDE80014ABA4140,168821,0101000020110F00004CA9CC3CA0CD61C176AE11DCE41E5041,168506,>1m <=5m,ATBI DATABASE,,1446913973000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,241446,3927275,35.455377,-83.848905,Lake Cheoah-Little Tennessee River,Fox Branch,1623.208862,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446913973000,GRSM,UNR,,5,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Euphorbia_corollata,Euphorbia  corollata,15714,Flowering Spurge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Euphorbiales, , , , ,Euphorbiaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000268CF40F93F654C06D32B6593ABA4140,168819,0101000020110F000088F53758D5CD61C1C2296689D41E5041,168504,>1m <=5m,ATBI DATABASE,,1446913972000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,241098,3927232,35.454899,-83.852722,Lake Cheoah-Little Tennessee River,Fox Branch,1687.985962,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446913972000,GRSM,UNR,,9,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Euphorbia_corollata,Euphorbia  corollata,15714,Flowering Spurge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Euphorbiales, , , , ,Euphorbiaceae, ,~,observed, ,day,cert,TVA Powerline Plants
