the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000D76D55B447ED54C05D7ABEEAB1BC4140,169532,0101000020110F00009938218EF0C561C18F29A51B67215041,169215,>1m <=5m,ATBI DATABASE,,1446914375000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,254340,3928999,35.474173,-83.707497,Hazel Creek,Hazel Creek,1942.507324,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446914375000,GRSM,UNR,,4,,,Hazel Creek Trail,Lakeview Drive West,Valid,Eurhoptus_pyriformis,Eurhoptus  pyriformis,14703,Weevil 9,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1058486400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Cucujiformia,Polyphaga, ,Curculionoidea,Curculionidae, ,~,Berlese sampling, , ,cert,ATBI Coleoptera Survey
0101000020E610000095B9B5BCBADA54C098FDEA0CB4BC4140,169546,0101000020110F0000CE7B7B412FB661C12EB33D5569215041,169229,>1m <=5m,ATBI DATABASE,,1446914384000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,280645,3928323,35.474238,-83.417644,Deep Creek,Indian Creek,2086.38916,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446914384000,GRSM,UNR,,7,,,Indian Creek Trail,Indian Camp Creek Road,Valid,Eurhoptus_pyriformis,Eurhoptus  pyriformis,14703,Weevil 9,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1027555200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Cucujiformia,Polyphaga, ,Curculionoidea,Curculionidae, ,~,Berlese sampling, , ,cert,ATBI Coleoptera Survey
0101000020E61000003DFBC55D3ECF54C0E998CDC51AE14140,169558,0101000020110F00002AD776FF6DAC61C11A8FCCF270475041,169241,>1m <=5m,ATBI DATABASE,,1446914391000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,297649,3959487,35.758623,-83.238178,Cosby Creek,Lower Falling Branch,2955.18042,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446914391000,GRSM,UNR,,5,,,Gabes Mountain Trail,Cosby Entrance Road,Valid,Eurhoptus_pyriformis,Eurhoptus  pyriformis,14703,Weevil 9,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1027036800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Cucujiformia,Polyphaga, ,Curculionoidea,Curculionidae, ,~,Berlese sampling, , ,cert,ATBI Coleoptera Survey
0101000020E610000023949648E4C754C03AE0BD1AD5E04140,169561,0101000020110F000007E85F8B2FA661C196A5E40828475041,169244,>1m <=5m,ATBI DATABASE,,1446914393000,DERV,WATERVILLE,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,308031,3959020,35.756497,-83.123304,Big Creek,Leatherwood Branch,2436.970215,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446914393000,GRSM,UNR,,5,,,Chestnut Branch Trail,Big Creek Entrance Road,Valid,Eurhoptus_pyriformis,Eurhoptus  pyriformis,14703,Weevil 9,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,996624000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Cucujiformia,Polyphaga, ,Curculionoidea,Curculionidae, ,~,Berlese sampling,No, ,cert,ATBI Coleoptera Survey
0101000020E61000006AE65428AECB54C09C3E374B41D14140,169559,0101000020110F00002BB13B4267A961C12BF87DB1DD365041,169242,>1m <=5m,ATBI DATABASE,,1446914391000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,302378,3945637,35.634798,-83.182501,Straight Fork Raven Fork,,4320.413086,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446914391000,GRSM,UNR,,4,,,Balsam Mountain Trail,Balsam Mountain Road (closed Winter),Valid,Eurhoptus_pyriformis,Eurhoptus  pyriformis,14703,Weevil 9,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1003536000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Cucujiformia,Polyphaga, ,Curculionoidea,Curculionidae, ,~,Berlese sampling,No, ,cert,ATBI Coleoptera Survey
0101000020E6100000B2D0226944C454C02487C169F2CB4140,169564,0101000020110F0000D9BF70801BA361C19D1AA71052315041,169247,>1m <=5m,ATBI DATABASE,,1446914394000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312771,3940810,35.593328,-83.066672,Lower Johnathans Creek,,3986.601074,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446914394000,GRSM,UNR,,1,,,Cataloochee Divide Trail,The Purchase Road (closed Winter),Valid,Eurhoptus_pyriformis,Eurhoptus  pyriformis,14703,Weevil 9,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1027123200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Cucujiformia,Polyphaga, ,Curculionoidea,Curculionidae, ,~,Berlese sampling, , ,cert,ATBI Coleoptera Survey
0101000020E6100000A4106BFEF3C454C0CD8341C7BECA4140,169562,0101000020110F00004C44E19FB0A361C140FFA4C710305041,169245,>1m <=5m,ATBI DATABASE,,1446914393000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,311778,3939789,35.58394,-83.077388,Upper Cataloochee Creek,,4809.892578,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446914393000,GRSM,UNR,,6,,,Cataloochee Divide Trail,The Purchase Road (closed Winter),Valid,Eurhoptus_pyriformis,Eurhoptus  pyriformis,14703,Weevil 9,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1027036800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Cucujiformia,Polyphaga, ,Curculionoidea,Curculionidae, ,~,Berlese sampling, , ,cert,ATBI Coleoptera Survey
0101000020E6100000CC2894EDF2C454C01C3ED93CEACA4140,169563,0101000020110F0000934428B8AFA361C14FA6512A3E305041,169246,>1m <=5m,ATBI DATABASE,,1446914393000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,311787,3939936,35.585267,-83.077323,Upper Cataloochee Creek,,4832.112305,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446914393000,GRSM,UNR,,6,,,Cataloochee Divide Trail,The Purchase Road (closed Winter),Valid,Eurhoptus_pyriformis,Eurhoptus  pyriformis,14703,Weevil 9,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1026864000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Cucujiformia,Polyphaga, ,Curculionoidea,Curculionidae, ,~,Berlese sampling, , ,cert,ATBI Coleoptera Survey
0101000020E61000005AC260520ACB54C05D553C5632C64140,169560,0101000020110F00002A32EB1CDCA861C1C495B202512B5041,169243,>1m <=5m,ATBI DATABASE,,1446914392000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,303072,3936033,35.548404,-83.172501,Lower Raven Fork,Flat Creek,4759.305176,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446914392000,GRSM,UNR,,10,,,Flat Creek Trail,Heintooga Ridge Road,Valid,Eurhoptus_pyriformis,Eurhoptus  pyriformis,14703,Weevil 9,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,996537600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Cucujiformia,Polyphaga, ,Curculionoidea,Curculionidae, ,~,Berlese sampling,No, ,cert,ATBI Coleoptera Survey
0101000020E6100000FE94C525D0D554C08EA5CA6268C84140,169553,0101000020110F000069B0D25502B261C17D877DF19F2D5041,169236,>1m <=5m,ATBI DATABASE,,1446914388000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,287857,3938299,35.565679,-83.340825,Upper Oconaluftee River,Collins Creek,2739.009766,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446914388000,GRSM,UNR,,7,,,Smokemont Loop Trail,Collins Creek Picnic Area Upper Loop Parking C,Valid,Eurhoptus_pyriformis,Eurhoptus  pyriformis,14703,Weevil 9,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1027123200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Cucujiformia,Polyphaga, ,Curculionoidea,Curculionidae, ,~,Berlese sampling, , ,cert,ATBI Coleoptera Survey
0101000020E6100000631ACF653FD854C07CF2B9E5B3C94140,169552,0101000020110F000004186BA913B461C1D1F35916FA2E5041,169235,>1m <=5m,ATBI DATABASE,,1446914387000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,284436,3939504,35.575796,-83.378865,Upper Oconaluftee River,,4103.150879,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446914387000,GRSM,UNR,,6,,,Kanati Fork Trail,Newfound Gap Road South,Valid,Eurhoptus_pyriformis,Eurhoptus  pyriformis,14703,Weevil 9,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1027296000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Cucujiformia,Polyphaga, ,Curculionoidea,Curculionidae, ,~,Berlese sampling, , ,cert,ATBI Coleoptera Survey
