the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000632DDBDA04CA54C07B3246BE27C74140,169621,0101000020110F00008D1C8F0CFEA761C164968030512C5041,169301,>1m <=5m,ATBI DATABASE,,1446914426000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,304537,3936832,35.555894,-83.156542,Upper Cataloochee Creek,,5167.756836,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446914426000,GRSM,UNR,,6,,,Hemphill Bald Trail,Heintooga Ridge Road,Valid,Eurybia_chlorolepis,Eurybia  chlorolepis,14724,Mountain Wood-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1027296000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000000E0C536D0DCB54C0E2DA6A8592C64140,169620,0101000020110F0000752611C0DEA861C1F067066AB52B5041,169300,>1m <=5m,ATBI DATABASE,,1446914426000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,303062,3936359,35.55134,-83.172691,Lower Raven Fork,Flat Creek,4892.463867,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446914426000,GRSM,UNR,,6,,,Flat Creek Trail,Heintooga Ridge Road,Valid,Eurybia_chlorolepis,Eurybia  chlorolepis,14724,Mountain Wood-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1020988800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000005CD5DEAFFBCB54C00D53CC625ECB4140,169619,0101000020110F0000A70DC11AA9A961C1326E0277B7305041,169299,>1m <=5m,ATBI DATABASE,,1446914425000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,301836,3940545,35.588811,-83.187233,Straight Fork Raven Fork,,5112.449219,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446914425000,GRSM,UNR,,3,,,Flat Creek Trail,Balsam Mountain Road (closed Winter),Valid,Eurybia_chlorolepis,Eurybia  chlorolepis,14724,Mountain Wood-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1027468800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000027E3A3BB27CC54C0B333D816D6CD4140,169618,0101000020110F0000A0D64483CEA961C1BCD675474B335041,169298,>1m <=5m,ATBI DATABASE,,1446914424000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,301640,3942689,35.608089,-83.189921,Straight Fork Raven Fork,Round Bottom Creek,4722.422852,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446914424000,GRSM,UNR,,6,,,Spruce Mountain Trail,Balsam Mountain Road (closed Winter),Valid,Eurybia_chlorolepis,Eurybia  chlorolepis,14724,Mountain Wood-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1027468800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000002961E89C95DF54C01B0E667B03C54140,169594,0101000020110F00007E90A0D44EBA61C15161F5E4142A5041,169276,>1m <=5m,ATBI DATABASE,,1446914410000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273943,3935697,35.539162,-83.493503,Noland Creek,Keeyuga Creek,5771.469727,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446914410000,GRSM,UNR,,9,,,Forney Ridge Trail,Clingmans Dome Road Parking #3,Valid,Eurybia_chlorolepis,Eurybia  chlorolepis,14724,Mountain Wood-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1027555200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000083D2CE6BF7DE54C07CE08B78B0C74140,169595,0101000020110F00007E766D7AC8B961C16261EAEDDF2C5041,169277,>1m <=5m,ATBI DATABASE,,1446914411000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,274877,3937994,35.560066,-83.483847,Noland Creek,Clingmans Creek,5149.285645,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446914411000,GRSM,UNR,,7,,,Noland Divide Trail,Clingmans Dome Access Road,Valid,Eurybia_chlorolepis,Eurybia  chlorolepis,14724,Mountain Wood-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1085270400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000029D006E49BDE54C0E403DAD4FBCC4140,169598,0101000020110F0000EEF1CEBD7AB961C1B5D6754A67325041,169280,>1m <=5m,ATBI DATABASE,,1446914412000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,275499,3942570,35.601428,-83.478261,Little River-Goshen Prong,,4963.806152,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446914412000,GRSM,UNR,,6,,,Sugarland Mountain Trail,Clingmans Dome Access Road,Valid,Eurybia_chlorolepis,Eurybia  chlorolepis,14724,Mountain Wood-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,998956800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000AD879FFA65DD54C0895523BE8AD04140,169604,0101000020110F00007DD5868873B861C1CF5D4BF01E365041,169285,>1m <=5m,ATBI DATABASE,,1446914416000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,277290,3945611,35.629227,-83.459345,West Prong Little Pigeon River Upper,West Prong Little Pigeon River,3924.62207,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446914416000,GRSM,UNR,,4,,,Alum Cave trailhead,Nfg Pullout Parking At Mp 9.95,Valid,Eurybia_chlorolepis,Eurybia  chlorolepis,14724,Mountain Wood-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,900979200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000049AA17C590DE54C0D359AFE700D34140,169600,0101000020110F0000C602E84B71B961C1CEDCD079B1385041,169281,>1m <=5m,ATBI DATABASE,,1446914413000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,275692,3947786,35.648458,-83.477582,West Prong Little Pigeon River Upper,Big Branch,5015.061523,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446914413000,GRSM,UNR,,3,,,Bullhead Trail,Newfound Gap Road North,Valid,Eurybia_chlorolepis,Eurybia  chlorolepis,14724,Mountain Wood-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,872121600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000A16A66C088DE54C0D3DA97E012D24140,169601,0101000020110F0000A9D38D7C6AB961C176E22CB6B8375041,169282,>1m <=5m,ATBI DATABASE,,1446914414000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,275716,3946979,35.641194,-83.477093,West Prong Little Pigeon River Upper,West Prong Little Pigeon River,3451.256104,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446914414000,GRSM,UNR,,3,,,Bullhead Trail,Newfound Gap Road North,Valid,Eurybia_chlorolepis,Eurybia  chlorolepis,14724,Mountain Wood-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,902793600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000013BD4FFF20DF54C0254E6FD2F6D24140,169596,0101000020110F0000D661F5C9EBB961C12D9704F0A6385041,169278,>1m <=5m,ATBI DATABASE,,1446914411000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,274894,3947772,35.648151,-83.486385,West Prong Little Pigeon River Upper,,4628.130859,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446914411000,GRSM,UNR,,6,,,Bullhead Trail,Pullout Parking At Mp 7.72,Valid,Eurybia_chlorolepis,Eurybia  chlorolepis,14724,Mountain Wood-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,902880000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,Fridley Veg Plots
