the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E610000023F8354B8FC854C04DEE0C67BFDD4140,170923,0101000020110F0000DA9492C8C0A661C10C4C48AEED435041,170602,>1m <=5m,ATBI DATABASE,,1446915183000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,307029,3956367,35.732397,-83.133742,Big Creek,Mouse Creek,2583.390625,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446915183000,GRSM,UNR,,5,,,Big Creek Trail,Big Creek Campground Loop Road,Valid,Eurylophella_funeralis,Eurylophella  funeralis,14751,Spiny Crawler Mayfly 5,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,934761600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Ephemeroptera, ,Rectracheata,Pannota, ,Ephemerellidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E6100000469FB241D6CD54C0B58B26AD3EDF4140,170919,0101000020110F000070451A283CAB61C1A3F349B67E455041,170598,>1m <=5m,ATBI DATABASE,,1446915181000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299600,3957830,35.744093,-83.216198,Cosby Creek,Rock Creek,2857.007568,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446915181000,GRSM,UNR,,1,,,Snake Den Ridge Trail,Cosby Campground Road B,Valid,Eurylophella_funeralis,Eurylophella  funeralis,14751,Spiny Crawler Mayfly 5,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,866592000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Ephemeroptera, ,Rectracheata,Pannota, ,Ephemerellidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E61000003402A67660C554C0F351794DE5D04140,170926,0101000020110F00000A5672BF0CA461C1772D08917D365041,170605,>1m <=5m,ATBI DATABASE,,1446915185000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,311291,3945132,35.631991,-83.084009,Lower Cataloochee Creek,Cataloochee Creek,2619.234863,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446915185000,GRSM,UNR,,5,,,Cataloochee Horse Trail,Cataloochee Campground Loop Road,Valid,Eurylophella_funeralis,Eurylophella  funeralis,14751,Spiny Crawler Mayfly 5,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,648000000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Ephemeroptera, ,Rectracheata,Pannota, ,Ephemerellidae, ,~,by hand, ,month,cert,Inventory & Monitoring
0101000020E6100000F68C2159B0C454C05C25767268D54140,170928,0101000020110F0000B3714D2C77A361C1D35639E3343B5041,170607,>1m <=5m,ATBI DATABASE,,1446915186000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312347,3949022,35.667243,-83.07326,Lower Cataloochee Creek,Cataloochee Creek,2470.140625,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446915186000,GRSM,UNR,,6,,,Lawson Jenkins-Kerr Cemetery Access,Old Cataloochee Turnpike,Valid,Eurylophella_funeralis,Eurylophella  funeralis,14751,Spiny Crawler Mayfly 5,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,632361600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Ephemeroptera, ,Rectracheata,Pannota, ,Ephemerellidae, ,~,by hand, ,month,cert,Inventory & Monitoring
0101000020E61000009E2350CFABC454C0B6F9326A21D54140,170929,0101000020110F0000DDF2915173A361C10E86A9A1EA3A5041,170608,>1m <=5m,ATBI DATABASE,,1446915186000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312367,3948781,35.665075,-83.072983,Lower Cataloochee Creek,Cataloochee Creek,2468.658691,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446915186000,GRSM,UNR,,4,,,Lawson Jenkins-Kerr Cemetery Access,Old Cataloochee Turnpike,Valid,Eurylophella_funeralis,Eurylophella  funeralis,14751,Spiny Crawler Mayfly 5,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,631152000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Ephemeroptera, ,Rectracheata,Pannota, ,Ephemerellidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E610000099743DCC3CC754C04D6BD7B4EDCF4140,170925,0101000020110F0000288B7A4CA1A561C1894321DB7A355041,170604,>1m <=5m,ATBI DATABASE,,1446915184000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,308640,3944350,35.624435,-83.113082,Upper Cataloochee Creek,Rough Fork,2759.154297,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446915184000,GRSM,UNR,,3,,,Cataloochee Horse Trail,Cataloochee Entrance Road,Valid,Eurylophella_funeralis,Eurylophella  funeralis,14751,Spiny Crawler Mayfly 5,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,638928000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Ephemeroptera, ,Rectracheata,Pannota, ,Ephemerellidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E61000004E52069240CB54C0DB9799BD9FC64140,170921,0101000020110F00003293B32F0AA961C1E333BC36C32B5041,170600,>1m <=5m,ATBI DATABASE,,1446915182000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,302780,3936410,35.551743,-83.175812,Lower Raven Fork,Flat Creek,4964.012695,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446915182000,GRSM,UNR,,7,,,Flat Creek Trail,Heintooga Ridge Road,Valid,Eurylophella_funeralis,Eurylophella  funeralis,14751,Spiny Crawler Mayfly 5,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,993945600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Ephemeroptera, ,Rectracheata,Pannota, ,Ephemerellidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E6100000AA895C751FDE54C061BB62E30DD04140,170916,0101000020110F0000A59AA10F11B961C1B8CA237B9C355041,170595,>1m <=5m,ATBI DATABASE,,1446915179000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,276254,3945214,35.625417,-83.470666,West Prong Little Pigeon River Upper,Road Prong,3852.868408,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446915179000,GRSM,UNR,,5,,,Chimney Tops Trail,Chimney Tops Trailhead Overflow Pullout Parkng,Valid,Eurylophella_funeralis,Eurylophella  funeralis,14751,Spiny Crawler Mayfly 5,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,961372800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Ephemeroptera, ,Rectracheata,Pannota, ,Ephemerellidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E61000005A33F56405DA54C05D3CAA0445DD4140,170918,0101000020110F00007270C63D95B561C1B98981A36D435041,170597,>1m <=5m,ATBI DATABASE,,1446915180000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,282340,3956524,35.728662,-83.406575,Little Pigeon River Middle,Injun Creek,1452.533081,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446915180000,GRSM,UNR,,5,,,Grapeyard Ridge Trail,Greenbrier Ranger Station Parking,Valid,Eurylophella_funeralis,Eurylophella  funeralis,14751,Spiny Crawler Mayfly 5,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1007683200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Ephemeroptera, ,Rectracheata,Pannota, ,Ephemerellidae, ,~,by hand, , ,cert,ATBI
0101000020E6100000DF16060E63E554C0B425104E82D24140,170909,0101000020110F00003E45B46A3CBF61C1B66499292D385041,170588,>1m <=5m,ATBI DATABASE,,1446915175000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,266029,3947606,35.644595,-83.584167,Little River-Goshen Prong,Jakes Creek,2376.764893,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446915175000,GRSM,UNR,,9,,,Jakes Creek Trail,Elkmont Cemetery Road,Valid,Eurylophella_funeralis,Eurylophella  funeralis,14751,Spiny Crawler Mayfly 5,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,989971200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Ephemeroptera, ,Rectracheata,Pannota, ,Ephemerellidae, ,~,by hand, , ,cert,ATBI
0101000020E6100000AD536E0008E054C0E436D7C69ED74140,170914,0101000020110F0000E4F721FBAFBA61C101200FFE843D5041,170593,>1m <=5m,ATBI DATABASE,,1446915178000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,273720,3951840,35.684526,-83.500484,Le Conte Creek,Le Conte Creek,2093.03125,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446915178000,GRSM,UNR,,4,,,Twin Creeks Trail,Natural Resources Center Parking #4,Valid,Eurylophella_funeralis,Eurylophella  funeralis,14751,Spiny Crawler Mayfly 5,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,993945600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Ephemeroptera, ,Rectracheata,Pannota, ,Ephemerellidae, ,~,by hand, , ,cert,Inventory & Monitoring
