the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000B693F8444DF854C04B198C9FB3BE4140,171783,0101000020110F0000442746E94CCF61C11ADD5AE57E235041,171462,>1m <=5m,ATBI DATABASE,,1446915672000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,238761,3931181,35.48985,-83.879712,Lake Cheoah-Little Tennessee River,Dalton Branch,2134.833984,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446915672000,GRSM,UNR,,1,,,Wolf Ridge Trail,Twenty Mile Trailhead Parking,Valid,Fagus_grandifolia,Fagus  grandifolia,16280,American Beech,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,864172800000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Fagales, , , , ,Fagaceae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E610000097CE382115F854C0BB1DE46CEFBB4140,171791,0101000020110F00005ECF573B1DCF61C14B188E489C205041,171470,>1m <=5m,ATBI DATABASE,,1446915676000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239002,3928774,35.468237,-83.876286,Lake Cheoah-Little Tennessee River,Twentymile Creek,1337.211792,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446915676000,GRSM,UNR,,4,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Fagus_grandifolia,Fagus  grandifolia,16280,American Beech,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1086998400000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Fagales, , , , ,Fagaceae, ,~,observed, , ,cert,ATBI Ferns
0101000020E61000006E99019E3CF854C00660307DC4BB4140,171785,0101000020110F0000489ABCC43ECF61C104906E826F205041,171464,>1m <=5m,ATBI DATABASE,,1446915673000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,238779,3928635,35.466927,-83.878696,Lake Cheoah-Little Tennessee River,Twentymile Creek,1285.63562,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446915673000,GRSM,UNR,,1,,,Twentymile Trail,Twenty Mile Ranger Station Road,Valid,Fagus_grandifolia,Fagus  grandifolia,16280,American Beech,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1086998400000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Fagales, , , , ,Fagaceae, ,~,observed, , ,cert,ATBI Ferns
0101000020E61000007B356BE9A4F754C0D5B7D65BE6BC4140,171800,0101000020110F00000A90CFECBDCE61C1747697CC9D215041,171479,>1m <=5m,ATBI DATABASE,,1446915681000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239648,3929592,35.475773,-83.869436,Lake Cheoah-Little Tennessee River,Moore Springs Branch,1574.895386,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446915681000,GRSM,UNR,,6,,,Wolf Ridge Trail,Twenty Mile Trailhead Parking,Valid,Fagus_grandifolia,Fagus  grandifolia,16280,American Beech,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,864172800000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Fagales, , , , ,Fagaceae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E61000002DDB3BC103F754C0DC0A2C4346BC4140,171836,0101000020110F00007B80EB0D35CE61C17F93D0D6F6205041,171515,>1m <=5m,ATBI DATABASE,,1446915699000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,240525,3929024,35.470887,-83.8596,Lake Cheoah-Little Tennessee River,Twentymile Creek,1736.40564,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446915699000,GRSM,UNR,,4,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Fagus_grandifolia,Fagus  grandifolia,16280,American Beech,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1000944000000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Fagales, , , , ,Fagaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000007FD6CCBF15F754C0453AD00B43BC4140,171829,0101000020110F0000D435475644CE61C102F12E7CF3205041,171508,>1m <=5m,ATBI DATABASE,,1446915696000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,240425,3929016,35.470789,-83.860698,Lake Cheoah-Little Tennessee River,Twentymile Creek,1721.15686,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446915696000,GRSM,UNR,,5,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Fagus_grandifolia,Fagus  grandifolia,16280,American Beech,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1086998400000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Fagales, , , , ,Fagaceae, ,~,observed, , ,cert,ATBI Ferns
0101000020E6100000F10EE97D24F754C00B2B44B03FBC4140,171827,0101000020110F0000AF94A1DB50CE61C1B177D0FBEF205041,171506,>1m <=5m,ATBI DATABASE,,1446915695000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,240343,3929007,35.470687,-83.861598,Lake Cheoah-Little Tennessee River,Twentymile Creek,1704.007812,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446915695000,GRSM,UNR,,2,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Fagus_grandifolia,Fagus  grandifolia,16280,American Beech,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1000944000000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Fagales, , , , ,Fagaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000E3652A1D5CF654C07C1BC3E5F6BD4140,171870,0101000020110F0000452B4AADA6CD61C15053B10BBA225041,171546,>1m <=5m,ATBI DATABASE,,1446915715000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,241496,3930462,35.48409,-83.849368,Lake Cheoah-Little Tennessee River,,2338.679932,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446915715000,GRSM,UNR,,6,,,Twentymile Loop Trail,Twenty Mile Trailhead Parking,Valid,Fagus_grandifolia,Fagus  grandifolia,16280,American Beech,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,898560000000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Fagales, , , , ,Fagaceae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E610000032BF0F11BBF654C0B81B8687D7BD4140,171843,0101000020110F0000DB4BFE51F7CD61C1F59B1B5499225041,171522,>1m <=5m,ATBI DATABASE,,1446915703000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,240967,3930371,35.483133,-83.855164,Lake Cheoah-Little Tennessee River,,2539.585693,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446915703000,GRSM,UNR,,5,,,Twentymile Loop Trail,Twenty Mile Trailhead Parking,Valid,Fagus_grandifolia,Fagus  grandifolia,16280,American Beech,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,898560000000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Fagales, , , , ,Fagaceae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E610000005A428900CF754C0D1B48C208ABD4140,171835,0101000020110F0000824407893CCE61C1DAF7669948225041,171514,>1m <=5m,ATBI DATABASE,,1446915699000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,240508,3930122,35.480771,-83.860138,Lake Cheoah-Little Tennessee River,,2472.455566,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446915699000,GRSM,UNR,,8,,,Twentymile Loop Trail,Twenty Mile Trailhead Parking,Valid,Fagus_grandifolia,Fagus  grandifolia,16280,American Beech,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,898560000000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Fagales, , , , ,Fagaceae, ,~,observed, ,day,cert,Ted Simons Bird Survey
