the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000CAC9663CC1F154C0079F5C16BDBD4140,173139,0101000020110F0000E1AE9974BDC961C1A507E9BF7D225041,172804,>1m <=5m,ATBI DATABASE,,1446916462000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,248020,3930080,35.482326,-83.777415,Eagle Creek,Eagle Creek,1709.033936,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446916462000,GRSM,UNR,,1,,,Lake Shore Trail low water access,Lakeview Drive West,Valid,Fattigia_pele,Fattigia  pele,16540,Mountain Delicate Burrower,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1019520000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Trichoptera, ,Integripalpia, , ,Sericostomatidae, ,~,by hand,No,day,cert,ATBI
0101000020E61000008FC8A2A911EE54C02410F5E338BC4140,173144,0101000020110F0000CEDB0F149CC661C1AFC5F4E4E8205041,172809,>1m <=5m,ATBI DATABASE,,1446916465000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253210,3928620,35.470479,-83.719824,Hazel Creek,Hazel Creek,1911.231934,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446916465000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive West,Valid,Fattigia_pele,Fattigia  pele,16540,Mountain Delicate Burrower,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,808963200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Trichoptera, ,Integripalpia, , ,Sericostomatidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E6100000728D2565B8E854C0FA3E9131FBB84140,173173,0101000020110F00009E6EB52811C261C1B11015CB871D5041,172836,>1m <=5m,ATBI DATABASE,,1446916481000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,260720,3925605,35.445159,-83.636251,Lower Fontana Lake-Little Tennessee River,Kirkland Branch,1681.755127,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446916481000,GRSM,UNR,,5,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Fattigia_pele,Fattigia  pele,16540,Mountain Delicate Burrower,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1019692800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Trichoptera, ,Integripalpia, , ,Sericostomatidae, ,~,by hand,No,day,cert,ATBI
0101000020E610000037C14930FBE654C0B3B2002455B94140,173180,0101000020110F0000A52B860B97C061C12CA1B790E51D5041,172843,>1m <=5m,ATBI DATABASE,,1446916484000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,263195,3925844,35.447904,-83.609077,Lower Fontana Lake-Little Tennessee River,Chambers Creek,1709.669922,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446916484000,GRSM,UNR,,9,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Fattigia_pele,Fattigia  pele,16540,Mountain Delicate Burrower,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1019692800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Trichoptera, ,Integripalpia, , ,Sericostomatidae, ,~,by hand,No,day,cert,ATBI
0101000020E6100000AA49DEA318E454C0B5E2F91E8BBB4140,173189,0101000020110F00006DDFA7CB23BE61C182ECF8AF33205041,172850,>1m <=5m,ATBI DATABASE,,1446916489000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,267337,3927653,35.465176,-83.564,Forney Creek,,1817.035645,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446916489000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Fattigia_pele,Fattigia  pele,16540,Mountain Delicate Burrower,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,770860800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Trichoptera, ,Integripalpia, , ,Sericostomatidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E6100000BA115DEADCE554C0CAC4F457E4BD4140,173181,0101000020110F0000E2EDC3E9A3BF61C17A069BB1A6225041,172844,>1m <=5m,ATBI DATABASE,,1446916485000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,264885,3929754,35.483524,-83.591605,Forney Creek,,2765.958984,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446916485000,GRSM,UNR,,6,,,Bear Creek Trail,Lakeview Drive East Parking #4,Valid,Fattigia_pele,Fattigia  pele,16540,Mountain Delicate Burrower,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1055635200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Trichoptera, ,Integripalpia, , ,Sericostomatidae, ,~,black light trap, , ,cert,Antimycin-A
0101000020E61000002E4C62ED88E554C0950EDADBC8BC4140,173183,0101000020110F0000DC04FA945CBF61C1B649A3087F215041,172845,>1m <=5m,ATBI DATABASE,,1446916485000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,265325,3928782,35.474873,-83.586478,Forney Creek,Bear Creek,2486.301025,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446916485000,GRSM,UNR,,7,,,Bear Creek Trail,Lakeview Drive East Parking #4,Valid,Fattigia_pele,Fattigia  pele,16540,Mountain Delicate Burrower,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1055635200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Trichoptera, ,Integripalpia, , ,Sericostomatidae, ,~,black light trap, , ,cert,Antimycin-A
0101000020E610000059109D0D75E454C0927FE79034BC4140,173185,0101000020110F0000FBAA2F4872BE61C179A87B62E4205041,172847,>1m <=5m,ATBI DATABASE,,1446916486000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,266840,3928240,35.470347,-83.56964,Forney Creek,Bear Creek,2050.530518,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446916486000,GRSM,UNR,,7,,,Bear Creek Trail,Lakeview Drive East Parking #4,Valid,Fattigia_pele,Fattigia  pele,16540,Mountain Delicate Burrower,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,772070400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Trichoptera, ,Integripalpia, , ,Sericostomatidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E6100000BFCE6437C7E354C06A23551630BF4140,173200,0101000020110F00000FDE6FA4DEBD61C137FDC9B900245041,172860,>1m <=5m,ATBI DATABASE,,1446916495000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,267870,3930800,35.493648,-83.55903,Forney Creek,Bee Gum Branch,2274.353027,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446916495000,GRSM,UNR,,10,,,Forney Creek Trail,Lakeview Drive East Parking #4,Valid,Fattigia_pele,Fattigia  pele,16540,Mountain Delicate Burrower,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,772761600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Trichoptera, ,Integripalpia, , ,Sericostomatidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E610000086C4CB40F6E354C0046A3430A7BF4140,173198,0101000020110F00000C22349706BE61C1F6CD97F77C245041,172859,>1m <=5m,ATBI DATABASE,,1446916495000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,267620,3931210,35.497283,-83.561901,Forney Creek,Forney Creek,2177.403809,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446916495000,GRSM,UNR,,5,,,Forney Creek Trail,Lakeview Drive East Parking #4,Valid,Fattigia_pele,Fattigia  pele,16540,Mountain Delicate Burrower,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,774662400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Trichoptera, ,Integripalpia, , ,Sericostomatidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E6100000C57BC7E93EDB54C0D53A11C771BE4140,173225,0101000020110F0000DEE550839FB661C18EE1CD363A235041,172883,>1m <=5m,ATBI DATABASE,,1446916509000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,279950,3929850,35.48784,-83.425711,Deep Creek,Deep Creek,2083.899658,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446916509000,GRSM,UNR,,5,,,Deep Creek Trail,Tom Branch Road,Valid,Fattigia_pele,Fattigia  pele,16540,Mountain Delicate Burrower,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,869529600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Trichoptera, ,Integripalpia, , ,Sericostomatidae, ,~,by hand, , ,cert,Inventory & Monitoring
