the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000003D768C3520F854C04664404C7BBE4140,173926,0101000020110F0000A1793CA426CF61C1F494F02444235041,173580,>1m <=5m,ATBI DATABASE,,1446916905000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239005,3930983,35.488131,-83.876962,Lake Cheoah-Little Tennessee River,Dalton Branch,2047.277954,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446916905000,GRSM,UNR,,2,,,Wolf Ridge Trail,Twenty Mile Trailhead Parking,Valid,Fraxinus_americana_variety,Fraxinus  americana variety,16833,White Ash,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1086998400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Oleaceae, ,~,observed, , ,cert,ATBI Ferns
0101000020E6100000C56B066739F854C059A91C6AC6BB4140,173925,0101000020110F00002650C7093CCF61C11E69728471205041,173579,>1m <=5m,ATBI DATABASE,,1446916904000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,238797,3928641,35.466986,-83.878499,Lake Cheoah-Little Tennessee River,Twentymile Creek,1290.139893,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446916904000,GRSM,UNR,,2,,,Twentymile Trail,Twenty Mile Ranger Station Road,Valid,Fraxinus_americana_variety,Fraxinus  americana variety,16833,White Ash,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1000944000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Oleaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000002DDB3BC103F754C0DC0A2C4346BC4140,173944,0101000020110F00007B80EB0D35CE61C17F93D0D6F6205041,173598,>1m <=5m,ATBI DATABASE,,1446916914000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,240525,3929024,35.470887,-83.8596,Lake Cheoah-Little Tennessee River,Twentymile Creek,1736.40564,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446916914000,GRSM,UNR,,4,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Fraxinus_americana_variety,Fraxinus  americana variety,16833,White Ash,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1000944000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Oleaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000E624015B1FF754C0F44E983F45BC4140,173941,0101000020110F00003B94E17E4CCE61C156041EC8F5205041,173595,>1m <=5m,ATBI DATABASE,,1446916912000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,240372,3929025,35.470856,-83.861285,Lake Cheoah-Little Tennessee River,Twentymile Creek,1736.993652,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446916912000,GRSM,UNR,,4,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Fraxinus_americana_variety,Fraxinus  americana variety,16833,White Ash,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1020297600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Oleaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E610000064B6EDD925F754C00A88EB464FBC4140,173938,0101000020110F0000FAFF330352CE61C1F1B16E3D00215041,173592,>1m <=5m,ATBI DATABASE,,1446916911000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,240337,3929060,35.471163,-83.861681,Lake Cheoah-Little Tennessee River,Twentymile Creek,1823.44873,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446916911000,GRSM,UNR,,10,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Fraxinus_americana_variety,Fraxinus  americana variety,16833,White Ash,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1027036800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Oleaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000F10EE97D24F754C00B2B44B03FBC4140,173940,0101000020110F0000AF94A1DB50CE61C1B177D0FBEF205041,173594,>1m <=5m,ATBI DATABASE,,1446916912000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,240343,3929007,35.470687,-83.861598,Lake Cheoah-Little Tennessee River,Twentymile Creek,1704.007812,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446916912000,GRSM,UNR,,2,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Fraxinus_americana_variety,Fraxinus  americana variety,16833,White Ash,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1000944000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Oleaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000D905A20B30F754C0CD9118BB3FBC4140,173936,0101000020110F0000F536A0AB5ACE61C123A21B07F0205041,173590,>1m <=5m,ATBI DATABASE,,1446916910000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,240279,3929009,35.470688,-83.862303,Lake Cheoah-Little Tennessee River,Twentymile Creek,1682.416626,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446916910000,GRSM,UNR,,8,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Fraxinus_americana_variety,Fraxinus  americana variety,16833,White Ash,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1027036800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Oleaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000EE975E8159F754C0ACD23E9F46BC4140,173932,0101000020110F00000C2CE0E17DCE61C1A325D536F7205041,173586,>1m <=5m,ATBI DATABASE,,1446916908000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,240050,3929039,35.470898,-83.864834,Lake Cheoah-Little Tennessee River,Twentymile Creek,1616.719849,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446916908000,GRSM,UNR,,5,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Fraxinus_americana_variety,Fraxinus  americana variety,16833,White Ash,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1027036800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Oleaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000AD12B0466BF654C0FC7527DFB9BC4140,173963,0101000020110F0000E222DE8DB3CD61C100EF62676F215041,173617,>1m <=5m,ATBI DATABASE,,1446916924000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,241381,3929391,35.474416,-83.850293,Lake Cheoah-Little Tennessee River,Twentymile Creek,1917.626587,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446916924000,GRSM,UNR,,3,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Fraxinus_americana_variety,Fraxinus  americana variety,16833,White Ash,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1027036800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Oleaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000008B3EF12C99F654C05BD45CAB93BC4140,173953,0101000020110F0000E7D45C89DACD61C1598F3F9047215041,173607,>1m <=5m,ATBI DATABASE,,1446916918000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,241123,3929269,35.47325,-83.853095,Lake Cheoah-Little Tennessee River,Twentymile Creek,1867.777954,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446916918000,GRSM,UNR,,5,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Fraxinus_americana_variety,Fraxinus  americana variety,16833,White Ash,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1027036800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Oleaceae, ,~,observed, , ,cert,INHS plant survey
