the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000001F3CD83737E054C0CEF25AE84EBE4140,175108,0101000020110F00001B19FA14D8BA61C1258BC3D715235041,174746,>1m <=5m,ATBI DATABASE,,1446917559000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272901,3929908,35.486776,-83.503366,Noland Creek,Noland Creek,2376.458984,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446917559000,GRSM,UNR,,5,,,Noland Creek Trail,Lakeview Drive East,Valid,Galium_lanceolatum,Galium  lanceolatum,17019,Lance-leaf Wild Licorice,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1087084800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Rubiales, , , , ,Rubiaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000006A0C68599FCE54C0CDDFCECFDEE04140,175111,0101000020110F000095DCD5F1E6AB61C19F3AB23132475041,174749,>1m <=5m,ATBI DATABASE,,1446917561000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,298522,3959264,35.756793,-83.228472,Cosby Creek,,2702.22876,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446917561000,GRSM,UNR,,6,,,Gabes Mountain Trail,Cosby Campground Road A,Valid,Galium_lanceolatum,Galium  lanceolatum,17019,Lance-leaf Wild Licorice,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,932860800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Rubiales, , , , ,Rubiaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000008BABB32236C754C048BD5172A1DE4140,175112,0101000020110F0000D7EBF6A39BA561C1C0F4C530DA445041,174750,>1m <=5m,ATBI DATABASE,,1446917561000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,308951,3957091,35.739295,-83.112675,Big Creek,Baxter Creek,2307.467529,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446917561000,GRSM,UNR,,6,,,Baxter Creek Trail,Big Creek Campground Loop Road,Valid,Galium_lanceolatum,Galium  lanceolatum,17019,Lance-leaf Wild Licorice,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,961632000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Rubiales, , , , ,Rubiaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000007167D61A36C554C02EF69DBA0DCB4140,175113,0101000020110F00002469CBC5E8A361C1385EE83A63305041,174751,>1m <=5m,ATBI DATABASE,,1446917562000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,311418,3940064,35.58635,-83.081423,Upper Cataloochee Creek,McKee Branch,4544.246582,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446917562000,GRSM,UNR,,4,,,McKee Branch Trail,The Purchase Road (closed Winter),Valid,Galium_lanceolatum,Galium  lanceolatum,17019,Lance-leaf Wild Licorice,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,929923200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Rubiales, , , , ,Rubiaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000065AD67BCD8C354C00D249185C1CB4140,175114,0101000020110F00000DAAB40DC0A261C177D972001F315041,174752,>1m <=5m,ATBI DATABASE,,1446917562000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,313363,3940632,35.591836,-83.0601,Lower Johnathans Creek,,4338.147461,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446917562000,GRSM,UNR,,6,,,Science Center Trail,The Purchase Road (closed Winter),Valid,Galium_lanceolatum,Galium  lanceolatum,17019,Lance-leaf Wild Licorice,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,935020800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Rubiales, , , , ,Rubiaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000069D4D9D80DD54C086927C3EADC04140,175109,0101000020110F0000F73EA2278AB861C1EF835C5A8E255041,174747,>1m <=5m,ATBI DATABASE,,1446917560000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,276799,3931864,35.50528,-83.460971,Deep Creek,,4447.407715,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446917560000,GRSM,UNR,,3,,,Noland Divide Trail,West Deep Creek Road,Valid,Galium_lanceolatum,Galium  lanceolatum,17019,Lance-leaf Wild Licorice,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1372032000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Rubiales, , , , ,Rubiaceae, ,~,observed,No,day,prob.,ATBI
0101000020E6100000792C6595A9D154C00B0F41A5EFDF4140,175110,0101000020110F00006D973AE67BAE61C1843477E637465041,174748,>1m <=5m,ATBI DATABASE,,1446917560000,DERV,MOUNT GUYOT,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,294208,3958553,35.749494,-83.275972,Cosby Creek,Maddron Creek,2644.308838,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446917560000,GRSM,UNR,,7,,,Maddron Bald Trail,Cosby Campground Road B,Valid,Galium_lanceolatum,Galium  lanceolatum,17019,Lance-leaf Wild Licorice,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,961718400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Rubiales, , , , ,Rubiaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000007F1BE8F595EC54C0FB69091D27D24140,175101,0101000020110F0000C078E79859C561C1115010DCCD375041,174739,>1m <=5m,ATBI DATABASE,,1446917555000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,255834,3947571,35.641812,-83.696649,Little River-Crooked Creek,,1480.345947,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446917555000,GRSM,UNR,,4,,,West Prong Trail,Tremont Road,Valid,Galium_lanceolatum,Galium  lanceolatum,17019,Lance-leaf Wild Licorice,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,933724800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Rubiales, , , , ,Rubiaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000AB27499097EF54C0B352683078CA4140,175100,0101000020110F000078EBAC38E7C761C10F475010C72F5041,174738,>1m <=5m,ATBI DATABASE,,1446917555000,DERV,THUNDERHEAD MOUNTAIN,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,251394,3941029,35.581786,-83.743622,Abrams Creek Upper,Anthony Creek,3063.949951,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446917555000,GRSM,UNR,,9,,,Anthony Creek Trail,Laurel Creek Road,Valid,Galium_lanceolatum,Galium  lanceolatum,17019,Lance-leaf Wild Licorice,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1090886400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Rubiales, , , , ,Rubiaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000B68AAF8A38E954C0D6BF8AE48FCB4140,175107,0101000020110F00001D9C76FE7DC261C1CFD9442BEB305041,174745,>1m <=5m,ATBI DATABASE,,1446917559000,DERV,THUNDERHEAD MOUNTAIN,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,260442,3941729,35.590322,-83.644072,Little River-Crooked Creek,,3936.14209,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446917559000,GRSM,UNR,,9,,,Greenbrier Ridge Trail,Upper Tremont Road,Valid,Galium_lanceolatum,Galium  lanceolatum,17019,Lance-leaf Wild Licorice,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,837993600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Rubiales, , , , ,Rubiaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000005389FC446FEA54C01A4345448DCD4140,175103,0101000020110F0000AA5B29E585C361C1854A3635FF325041,174741,>1m <=5m,ATBI DATABASE,,1446917556000,DERV,THUNDERHEAD MOUNTAIN,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,258770,3943500,35.605867,-83.663037,Little River-Crooked Creek,Sams Creek,2412.623779,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446917556000,GRSM,UNR,,2,,,Thunderhead Prong Quiet Walkway,Upper Tremont Road,Valid,Galium_lanceolatum,Galium  lanceolatum,17019,Lance-leaf Wild Licorice,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,378691200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Rubiales, , , , ,Rubiaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E610000025065BCEC0E954C0C61904DC07CE4140,175104,0101000020110F000096D22CB9F1C261C18EB258457F335041,174742,>1m <=5m,ATBI DATABASE,,1446917557000,DERV,THUNDERHEAD MOUNTAIN,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,259746,3943889,35.609608,-83.652389,Little River-Crooked Creek,Lynn Camp Prong,2866.902832,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446917557000,GRSM,UNR,,1,,,Middle Prong Trail,Upper Tremont Road,Valid,Galium_lanceolatum,Galium  lanceolatum,17019,Lance-leaf Wild Licorice,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,252460800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Rubiales, , , , ,Rubiaceae, ,~,observed, ,year,cert,Fridley Veg Plots
